Date,BID,ASK,RIC
2020-02-18,102.535,102.841,80282KAZ9=
2020-02-19,102.966,103.272,80282KAZ9=
2020-02-20,103.243,103.55,80282KAZ9=
2020-02-21,103.502,103.81,80282KAZ9=
2020-02-24,104.2,104.511,80282KAZ9=
2020-02-25,104.295,104.605,80282KAZ9=
2020-02-26,104.444,104.754,80282KAZ9=
2020-02-27,104.875,105.187,80282KAZ9=
2020-02-28,104.478,104.788,80282KAZ9=
2020-03-02,103.257,103.563,80282KAZ9=
2020-03-03,104.352,104.661,80282KAZ9=
2020-03-04,104.036,104.344,80282KAZ9=
2020-03-05,104.753,105.063,80282KAZ9=
2020-03-06,105.333,105.646,80282KAZ9=
2020-03-09,102.418,102.72,80282KAZ9=
2020-03-10,101.943,102.243,80282KAZ9=
2020-03-11,100.251,100.546,80282KAZ9=
2020-03-12,96.249,96.53,80282KAZ9=
2020-03-13,96.411,96.692,80282KAZ9=
2020-03-16,97.235,97.519,80282KAZ9=
2020-03-17,91.655,92.186,80282KAZ9=
2020-03-18,91.16,91.688,80282KAZ9=
2020-03-19,91.462,91.991,80282KAZ9=
2020-03-20,78.0,78.75,80282KAZ9=
2020-03-23,78.0,78.75,80282KAZ9=
2020-03-24,80.0,80.75,80282KAZ9=
2020-03-25,80.0,80.75,80282KAZ9=
2020-03-26,80.0,80.75,80282KAZ9=
2020-03-27,80.0,80.75,80282KAZ9=
2020-03-30,80.0,80.75,80282KAZ9=
2020-03-31,80.0,80.75,80282KAZ9=
2020-04-01,91.0,91.75,80282KAZ9=
2020-04-02,91.0,91.75,80282KAZ9=
2020-04-03,90.0,90.75,80282KAZ9=
2020-04-06,90.0,90.75,80282KAZ9=
2020-04-07,95.0,95.75,80282KAZ9=
2020-04-08,94.0,94.75,80282KAZ9=
2020-04-09,94.0,94.75,80282KAZ9=
2020-04-10,94.0,94.75,80282KAZ9=
2020-04-13,98.125,98.875,80282KAZ9=
2020-04-14,98.125,98.875,80282KAZ9=
2020-04-15,99.375,100.125,80282KAZ9=
2020-04-16,99.375,100.125,80282KAZ9=
2020-04-17,98.5,99.25,80282KAZ9=
2020-04-20,98.5,99.25,80282KAZ9=
2020-04-21,98.5,99.25,80282KAZ9=
2020-04-22,98.5,99.25,80282KAZ9=
2020-04-23,96.75,97.5,80282KAZ9=
2020-04-24,96.75,97.5,80282KAZ9=
2020-04-27,96.75,97.5,80282KAZ9=
2020-04-28,96.75,97.5,80282KAZ9=
2020-04-29,96.75,97.5,80282KAZ9=
2020-04-30,96.75,97.5,80282KAZ9=
2020-05-01,96.75,97.5,80282KAZ9=
2020-05-04,96.75,97.5,80282KAZ9=
2020-05-05,97.625,98.375,80282KAZ9=
2020-05-06,97.625,98.375,80282KAZ9=
2020-05-07,97.625,98.375,80282KAZ9=
2020-05-08,97.625,98.375,80282KAZ9=
2020-05-11,97.625,98.375,80282KAZ9=
2020-05-12,97.625,98.375,80282KAZ9=
2020-05-13,97.625,98.375,80282KAZ9=
2020-05-14,97.625,98.375,80282KAZ9=
2020-05-15,97.625,98.375,80282KAZ9=
