Date,BID,ASK,RIC
2014-04-15,99.9602,100.3527,85628UAF3=
2014-04-16,99.9209,100.3131,85628UAF3=
2014-04-17,99.2507,99.6396,85628UAF3=
2014-04-21,99.2973,99.6863,85628UAF3=
2014-04-22,99.3283,99.7174,85628UAF3=
2014-04-23,99.4681,99.8576,85628UAF3=
2014-04-24,99.5536,99.9435,85628UAF3=
2014-04-25,97.3741,97.7536,85628UAF3=
2014-04-28,97.0572,97.4351,85628UAF3=
2014-04-29,97.0577,97.4355,85628UAF3=
2014-04-30,97.5276,97.9074,85628UAF3=
2014-05-01,97.7785,98.1594,85628UAF3=
2014-05-02,97.9995,98.3813,85628UAF3=
2014-05-05,97.8323,98.2133,85628UAF3=
2014-05-06,97.9163,98.2976,85628UAF3=
2014-05-07,97.9553,98.3365,85628UAF3=
2014-05-08,97.7429,98.1231,85628UAF3=
2014-05-09,97.7054,98.0853,85628UAF3=
2014-05-12,97.4183,97.7968,85628UAF3=
2014-05-13,97.5169,97.8958,85628UAF3=
2014-05-14,99.4292,99.8168,85628UAF3=
2014-05-15,99.8867,100.2764,85628UAF3=
2014-05-16,99.6227,100.0111,85628UAF3=
2014-05-19,99.4447,99.8321,85628UAF3=
2014-05-20,99.6924,100.0809,85628UAF3=
2014-05-21,99.5376,99.925,85628UAF3=
2014-05-22,99.3908,99.7775,85628UAF3=
2014-05-23,99.5388,99.9261,85628UAF3=
2014-05-27,99.6613,100.0491,85628UAF3=
2014-05-28,101.4041,101.7999,85628UAF3=
2014-05-29,101.2066,101.6014,85628UAF3=
2014-05-30,101.1669,101.5614,85628UAF3=
2014-06-02,100.7505,101.1429,85628UAF3=
2014-06-03,100.1884,100.5781,85628UAF3=
2014-06-04,100.2969,100.6869,85628UAF3=
2014-06-05,100.2968,100.6867,85628UAF3=
2014-06-06,100.2111,100.6006,85628UAF3=
2014-06-09,100.1256,100.5146,85628UAF3=
2014-06-10,101.0462,101.4393,85628UAF3=
2014-06-11,101.0453,101.4382,85628UAF3=
2014-06-12,101.3827,101.7771,85628UAF3=
2014-06-13,101.2959,101.6898,85628UAF3=
2014-06-16,101.3663,101.7604,85628UAF3=
2014-06-17,100.9424,101.3345,85628UAF3=
2014-06-18,101.4356,101.8297,85628UAF3=
2014-06-19,101.184,101.5769,85628UAF3=
2014-06-20,101.2778,101.671,85628UAF3=
2014-06-23,101.1521,101.5446,85628UAF3=
2014-06-24,101.1439,101.5364,85628UAF3=
2014-06-25,101.2684,101.6611,85628UAF3=
2014-06-26,101.4956,101.8893,85628UAF3=
2014-06-27,101.4638,101.8573,85628UAF3=
2014-06-30,101.4948,101.8884,85628UAF3=
2014-07-01,101.2114,101.6033,85628UAF3=
2014-07-02,100.7434,101.133,85628UAF3=
2014-07-03,100.6423,101.0313,85628UAF3=
2014-07-07,100.8519,101.2418,85628UAF3=
2014-07-08,101.2885,101.6803,85628UAF3=
2014-07-09,101.3032,101.6949,85628UAF3=
2014-07-10,101.4593,101.8516,85628UAF3=
2014-07-11,101.6549,102.048,85628UAF3=
2014-07-14,101.3726,101.7644,85628UAF3=
2014-07-15,101.3332,101.7247,85628UAF3=
2014-07-16,101.5121,101.9041,85628UAF3=
2014-07-17,102.1949,102.59,85628UAF3=
2014-07-18,101.8797,102.2733,85628UAF3=
2014-07-21,101.9814,102.3754,85628UAF3=
2014-07-22,102.0046,102.3985,85628UAF3=
2014-07-23,101.9797,102.3733,85628UAF3=
2014-07-24,101.7205,102.1128,85628UAF3=
2014-07-25,101.9945,102.388,85628UAF3=
2014-07-28,101.8241,102.2168,85628UAF3=
2014-07-29,102.049,102.4427,85628UAF3=
2014-07-30,101.2664,101.6562,85628UAF3=
2014-07-31,101.2662,101.6558,85628UAF3=
