Date,BID,ASK,RIC
2019-01-18,99.5564,99.7779,85628UAJ5=
2019-01-21,99.6474,99.8691,85628UAJ5=
2019-01-22,99.7513,99.9733,85628UAJ5=
2019-01-23,99.738,99.9599,85628UAJ5=
2019-01-24,99.8975,100.1195,85628UAJ5=
2019-01-25,99.9373,100.1593,85628UAJ5=
2019-01-28,100.0125,100.2345,85628UAJ5=
2019-01-29,99.9339,100.1558,85628UAJ5=
2019-01-30,100.399,100.6219,85628UAJ5=
2019-01-31,101.0541,101.2784,85628UAJ5=
2019-02-01,100.7629,100.9863,85628UAJ5=
2019-02-04,100.6109,100.8338,85628UAJ5=
2019-02-05,100.7084,100.9315,85628UAJ5=
2019-02-06,100.7391,100.9622,85628UAJ5=
2019-02-07,100.9381,101.1613,85628UAJ5=
2019-02-08,101.0223,101.2456,85628UAJ5=
2019-02-11,100.9013,101.1242,85628UAJ5=
2019-02-12,100.8029,101.0255,85628UAJ5=
2019-02-13,100.6426,100.8646,85628UAJ5=
2019-02-14,101.3342,101.5576,85628UAJ5=
2019-02-15,101.2288,101.4518,85628UAJ5=
2019-02-18,101.2138,101.4367,85628UAJ5=
2019-02-19,101.395,101.6183,85628UAJ5=
2019-02-20,101.3408,101.5638,85628UAJ5=
2019-02-21,101.1518,101.374,85628UAJ5=
2019-02-22,101.3377,101.5603,85628UAJ5=
2019-02-25,101.2925,101.5149,85628UAJ5=
2019-02-26,101.4611,101.6835,85628UAJ5=
2019-02-27,101.2763,101.4982,85628UAJ5=
2019-02-28,101.1414,101.3626,85628UAJ5=
2019-03-01,100.9335,101.1541,85628UAJ5=
2019-03-04,101.0739,101.2947,85628UAJ5=
2019-03-05,101.0733,101.294,85628UAJ5=
2019-03-06,101.1917,101.4126,85628UAJ5=
2019-03-07,101.4456,101.6668,85628UAJ5=
2019-03-08,101.5066,101.7278,85628UAJ5=
2019-03-11,101.7535,101.9752,85628UAJ5=
2019-03-12,101.9253,102.1474,85628UAJ5=
2019-03-13,101.7958,102.0174,85628UAJ5=
2019-03-14,101.8017,102.023,85628UAJ5=
2019-03-15,101.9555,102.1771,85628UAJ5=
2019-03-18,101.8748,102.0961,85628UAJ5=
2019-03-19,101.812,102.033,85628UAJ5=
2019-03-20,102.2666,102.4886,85628UAJ5=
2019-03-21,102.4535,102.6757,85628UAJ5=
2019-03-22,102.7766,102.9995,85628UAJ5=
2019-03-25,103.0201,103.2435,85628UAJ5=
2019-03-26,102.738,102.9605,85628UAJ5=
2019-03-27,102.9055,103.1284,85628UAJ5=
2019-03-28,102.7247,102.9469,85628UAJ5=
2019-03-29,102.6124,102.8342,85628UAJ5=
2019-04-01,102.1254,102.3458,85628UAJ5=
2019-04-02,102.3092,102.53,85628UAJ5=
2019-04-03,102.1011,102.3212,85628UAJ5=
2019-04-04,102.1504,102.3703,85628UAJ5=
2019-04-05,102.1975,102.4174,85628UAJ5=
2019-04-08,102.113,102.3326,85628UAJ5=
2019-04-09,102.1952,102.4149,85628UAJ5=
2019-04-10,102.3564,102.5764,85628UAJ5=
2019-04-11,102.1511,102.3702,85628UAJ5=
2019-04-12,101.8748,102.0931,85628UAJ5=
2019-04-15,101.8956,102.1138,85628UAJ5=
2019-04-16,101.9294,102.1476,85628UAJ5=
2019-04-17,101.9383,102.1561,85628UAJ5=
2019-04-18,102.0852,102.3032,85628UAJ5=
2019-04-19,102.0917,102.3097,85628UAJ5=
2019-04-22,102.0102,102.2279,85628UAJ5=
2019-04-23,102.1265,102.3444,85628UAJ5=
2019-04-24,102.3301,102.5484,85628UAJ5=
2019-04-25,102.2393,102.457,85628UAJ5=
2019-04-26,102.4209,102.639,85628UAJ5=
2019-04-29,102.4936,102.7117,85628UAJ5=
2019-04-30,102.6449,102.8633,85628UAJ5=
2019-05-01,102.5258,102.7438,85628UAJ5=
2019-05-02,102.3394,102.5566,85628UAJ5=
2019-05-03,102.4336,102.6509,85628UAJ5=
2019-05-06,102.5712,102.7887,85628UAJ5=
2019-05-07,102.7437,102.9615,85628UAJ5=
2019-05-08,102.5902,102.8075,85628UAJ5=
2019-05-09,102.7378,102.9551,85628UAJ5=
2019-05-10,102.6757,102.8928,85628UAJ5=
2019-05-13,103.0303,103.2481,85628UAJ5=
2019-05-14,103.007,103.2247,85628UAJ5=
2019-05-15,102.9055,103.1228,85628UAJ5=
2019-05-16,102.8142,103.0309,85628UAJ5=
