Date,BID,ASK,RIC
2016-05-09,105.4829,105.9173,86562MAC4=
2016-05-10,105.4555,105.8897,86562MAC4=
2016-05-11,105.8767,106.3126,86562MAC4=
2016-05-12,106.1975,106.6349,86562MAC4=
2016-05-13,106.5982,107.0374,86562MAC4=
2016-05-16,106.0289,106.4652,86562MAC4=
2016-05-17,106.071,106.5074,86562MAC4=
2016-05-18,105.5718,106.0055,86562MAC4=
2016-05-19,105.761,106.1956,86562MAC4=
2016-05-20,105.9592,106.3946,86562MAC4=
2016-05-23,106.2971,106.734,86562MAC4=
2016-05-24,105.9476,106.3827,86562MAC4=
2016-05-25,105.6987,106.1324,86562MAC4=
2016-05-26,105.9678,106.4026,86562MAC4=
2016-05-27,105.6287,106.0618,86562MAC4=
2016-05-30,105.4475,105.8797,86562MAC4=
2016-05-31,105.3685,105.8003,86562MAC4=
2016-06-01,105.3818,105.8133,86562MAC4=
2016-06-02,105.5528,105.985,86562MAC4=
2016-06-03,107.0027,107.4417,86562MAC4=
2016-06-06,106.6863,107.1237,86562MAC4=
2016-06-07,106.8768,107.315,86562MAC4=
2016-06-08,105.8638,106.2969,86562MAC4=
2016-06-09,106.0353,106.4691,86562MAC4=
2016-06-10,106.3632,106.7985,86562MAC4=
2016-06-13,106.7184,107.1553,86562MAC4=
2016-06-14,106.3428,106.7778,86562MAC4=
2016-06-15,105.9228,106.3554,86562MAC4=
2016-06-16,106.4667,106.9018,86562MAC4=
2016-06-17,105.7734,106.2051,86562MAC4=
2016-06-20,106.3161,106.7503,86562MAC4=
2016-06-21,106.9229,107.3599,86562MAC4=
2016-06-22,106.735,107.1708,86562MAC4=
2016-06-23,107.0381,107.4752,86562MAC4=
2016-06-24,107.6664,108.1064,86562MAC4=
2016-06-27,108.706,109.1509,86562MAC4=
2016-06-28,109.0416,109.4879,86562MAC4=
2016-06-29,109.291,109.7381,86562MAC4=
2016-06-30,109.664,110.1128,86562MAC4=
2016-07-01,108.5585,109.0019,86562MAC4=
2016-07-04,108.8832,109.3281,86562MAC4=
2016-07-05,110.2697,110.7211,86562MAC4=
2016-07-06,109.3216,109.7682,86562MAC4=
2016-07-07,110.6199,111.0726,86562MAC4=
2016-07-08,110.1399,110.5902,86562MAC4=
2016-07-11,109.2434,109.6893,86562MAC4=
2016-07-12,108.9126,109.3568,86562MAC4=
2016-07-13,108.4113,108.8528,86562MAC4=
2016-07-14,108.9038,109.3476,86562MAC4=
2016-07-15,108.8042,109.2474,86562MAC4=
2016-07-19,109.0654,109.5096,86562MAC4=
2016-07-20,108.5111,108.9523,86562MAC4=
2016-07-21,108.9678,109.4111,86562MAC4=
2016-07-22,108.6302,109.0718,86562MAC4=
2016-07-25,108.6369,109.0784,86562MAC4=
2016-07-26,108.7405,109.1824,86562MAC4=
2016-07-27,108.8243,109.2664,86562MAC4=
2016-07-28,108.6019,109.0428,86562MAC4=
2016-07-29,108.9346,109.377,86562MAC4=
2016-08-01,108.668,109.109,86562MAC4=
2016-08-02,108.4549,108.8948,86562MAC4=
2016-08-03,108.4487,108.8883,86562MAC4=
2016-08-04,109.3275,109.7711,86562MAC4=
2016-08-05,108.0247,108.462,86562MAC4=
2016-08-08,109.1638,109.6064,86562MAC4=
2016-08-09,108.9234,109.3648,86562MAC4=
2016-08-10,108.8816,109.3224,86562MAC4=
2016-08-12,109.0796,109.5211,86562MAC4=
2016-08-15,108.9981,109.4392,86562MAC4=
2016-08-16,108.592,109.031,86562MAC4=
2016-08-17,109.1651,109.6065,86562MAC4=
2016-08-18,108.9429,109.3832,86562MAC4=
2016-08-19,108.4327,108.8704,86562MAC4=
2016-08-22,108.7631,109.2023,86562MAC4=
2016-08-23,108.7346,109.1735,86562MAC4=
2016-08-24,108.5882,109.0261,86562MAC4=
2016-08-25,108.7172,109.1556,86562MAC4=
2016-08-26,108.5319,108.9695,86562MAC4=
2016-08-29,108.9515,109.3909,86562MAC4=
2016-08-30,108.7828,109.2213,86562MAC4=
2016-08-31,108.8791,109.3176,86562MAC4=
2016-09-01,109.1221,109.5617,86562MAC4=
2016-09-02,108.6127,109.0498,86562MAC4=
2016-09-05,108.5421,108.9788,86562MAC4=
2016-09-06,108.5582,108.9949,86562MAC4=
2016-09-07,108.534,108.9703,86562MAC4=
2016-09-08,107.9592,108.3927,86562MAC4=
2016-09-09,108.0176,108.4513,86562MAC4=
2016-09-12,107.326,107.7563,86562MAC4=
2016-09-13,106.674,107.1012,86562MAC4=
2016-09-14,106.6857,107.1126,86562MAC4=
2016-09-15,106.5223,106.9484,86562MAC4=
2016-09-16,106.7248,107.1517,86562MAC4=
2016-09-20,106.9002,107.3277,86562MAC4=
2016-09-21,107.3219,107.7511,86562MAC4=
2016-09-23,107.6868,108.1174,86562MAC4=
2016-09-26,108.167,108.5998,86562MAC4=
2016-09-27,108.1994,108.6322,86562MAC4=
2016-09-28,108.1757,108.6081,86562MAC4=
2016-09-29,108.2943,108.7271,86562MAC4=
2016-09-30,108.3785,108.8116,86562MAC4=
2016-10-03,107.6963,108.1261,86562MAC4=
2016-10-04,107.2409,107.6685,86562MAC4=
2016-10-05,107.2673,107.6946,86562MAC4=
2016-10-06,107.4105,107.8384,86562MAC4=
2016-10-07,107.4597,107.8877,86562MAC4=
2016-10-11,106.9214,107.3468,86562MAC4=
2016-10-12,106.9414,107.3666,86562MAC4=
2016-10-13,106.999,107.4244,86562MAC4=
2016-10-14,106.5823,107.0056,86562MAC4=
2016-10-17,106.9783,107.4033,86562MAC4=
2016-10-18,107.0358,107.461,86562MAC4=
2016-10-19,106.9794,107.404,86562MAC4=
2016-10-20,107.1557,107.581,86562MAC4=
2016-10-21,107.3236,107.7496,86562MAC4=
2016-10-24,107.0502,107.4748,86562MAC4=
2016-10-25,106.7945,107.2179,86562MAC4=
2016-10-26,106.8396,107.263,86562MAC4=
2016-10-27,106.5194,106.9412,86562MAC4=
2016-10-28,106.2741,106.6946,86562MAC4=
2016-10-31,106.6423,107.0644,86562MAC4=
2016-11-01,106.5227,106.9442,86562MAC4=
2016-11-02,106.7363,107.1584,86562MAC4=
2016-11-04,106.9435,107.3664,86562MAC4=
2016-11-07,106.5208,106.9416,86562MAC4=
2016-11-08,106.3464,106.766,86562MAC4=
2016-11-09,104.8009,105.2133,86562MAC4=
