Date,BID,ASK,RIC
2016-07-13,99.0357,99.4687,86562MAF7=
2016-07-14,98.5708,99.0014,86562MAF7=
2016-07-15,98.3909,98.8205,86562MAF7=
2016-07-18,98.0834,98.5113,86562MAF7=
2016-07-19,98.2205,98.649,86562MAF7=
2016-07-20,97.6936,98.1192,86562MAF7=
2016-07-21,98.222,98.6501,86562MAF7=
2016-07-22,98.6675,99.0977,86562MAF7=
2016-07-25,97.6527,98.0778,86562MAF7=
2016-07-26,97.755,98.1805,86562MAF7=
2016-07-27,98.2666,98.6944,86562MAF7=
2016-07-28,98.2243,98.6518,86562MAF7=
2016-07-29,98.7207,99.1505,86562MAF7=
2016-08-01,98.5496,98.9785,86562MAF7=
2016-08-02,98.2596,98.687,86562MAF7=
2016-08-03,97.9206,98.346,86562MAF7=
2016-08-04,98.8594,99.2893,86562MAF7=
2016-08-05,98.3637,98.791,86562MAF7=
2016-08-08,97.939,98.3641,86562MAF7=
2016-08-09,98.8173,99.2467,86562MAF7=
2016-08-10,99.2127,99.6437,86562MAF7=
2016-08-11,98.6302,99.0582,86562MAF7=
2016-08-12,99.5834,100.016,86562MAF7=
2016-08-15,99.0758,99.5058,86562MAF7=
2016-08-16,98.7678,99.1962,86562MAF7=
2016-08-17,98.991,99.4202,86562MAF7=
2016-08-18,99.2054,99.6355,86562MAF7=
2016-08-19,99.5667,99.9985,86562MAF7=
2016-08-22,98.8634,99.2916,86562MAF7=
2016-08-23,99.4378,99.8688,86562MAF7=
2016-08-24,98.7876,99.2151,86562MAF7=
2016-08-25,99.0868,99.5156,86562MAF7=
2016-08-26,98.6527,99.0794,86562MAF7=
2016-08-29,99.2325,99.6619,86562MAF7=
2016-08-30,98.9846,99.4127,86562MAF7=
2016-08-31,99.0026,99.4304,86562MAF7=
2016-09-01,98.7302,99.1565,86562MAF7=
2016-09-02,98.4927,98.9178,86562MAF7=
2016-09-06,98.6968,99.1228,86562MAF7=
2016-09-07,98.6807,99.1063,86562MAF7=
2016-09-08,98.0383,98.4606,86562MAF7=
2016-09-09,97.5097,97.9293,86562MAF7=
