Date,BID,ASK,RIC
2016-10-13,100.2062,100.6373,86562MAK6=
2016-10-14,99.7002,100.1288,86562MAK6=
2016-10-17,100.0171,100.4471,86562MAK6=
2016-10-18,100.2489,100.68,86562MAK6=
2016-10-19,100.197,100.6275,86562MAK6=
2016-10-20,100.1197,100.5497,86562MAK6=
2016-10-21,100.4634,100.895,86562MAK6=
2016-10-24,100.1881,100.6183,86562MAK6=
2016-10-25,100.2739,100.7044,86562MAK6=
2016-10-26,99.9824,100.4113,86562MAK6=
2016-10-27,99.4875,99.9138,86562MAK6=
2016-10-28,99.6663,100.0934,86562MAK6=
2016-10-31,99.7857,100.2133,86562MAK6=
2016-11-01,99.4112,99.8368,86562MAK6=
2016-11-02,99.8027,100.23,86562MAK6=
2016-11-03,99.7431,100.17,86562MAK6=
2016-11-04,100.016,100.4441,86562MAK6=
2016-11-07,99.59,100.0159,86562MAK6=
2016-11-08,99.2513,99.6751,86562MAK6=
2016-11-09,98.8298,99.2515,86562MAK6=
2016-11-10,96.8349,97.2467,86562MAK6=
2016-11-11,98.2167,98.6353,86562MAK6=
2016-11-14,95.9693,96.3768,86562MAK6=
2016-11-15,96.902,97.3139,86562MAK6=
2016-11-16,97.0355,97.4478,86562MAK6=
2016-11-17,96.1934,96.6015,86562MAK6=
2016-11-18,95.6992,96.1048,86562MAK6=
2016-11-21,95.4104,95.8144,86562MAK6=
2016-11-22,95.8172,96.2229,86562MAK6=
2016-11-23,95.0851,95.4871,86562MAK6=
2016-11-25,95.4558,95.8595,86562MAK6=
2016-11-28,95.9172,96.3231,86562MAK6=
2016-11-29,95.6675,96.072,86562MAK6=
2016-11-30,95.5334,95.937,86562MAK6=
2016-12-01,95.173,95.5748,86562MAK6=
2016-12-02,95.118,95.5194,86562MAK6=
2016-12-05,95.3677,95.7702,86562MAK6=
2016-12-06,95.6019,96.0054,86562MAK6=
2016-12-07,95.8305,96.2349,86562MAK6=
2016-12-08,95.2287,95.63,86562MAK6=
2016-12-09,94.7747,95.1737,86562MAK6=
2016-12-12,94.8476,95.2469,86562MAK6=
2016-12-13,94.801,95.2,86562MAK6=
2016-12-14,93.824,94.218,86562MAK6=
2016-12-15,94.3853,94.7819,86562MAK6=
2016-12-16,94.126,94.5212,86562MAK6=
2016-12-19,94.4037,94.8002,86562MAK6=
2016-12-20,94.6744,95.0721,86562MAK6=
2016-12-21,94.7031,95.1005,86562MAK6=
2016-12-22,94.8948,95.2931,86562MAK6=
2016-12-23,94.7373,95.1347,86562MAK6=
2016-12-27,94.6751,95.0721,86562MAK6=
2016-12-28,94.9087,95.3066,86562MAK6=
2016-12-29,95.5233,95.924,86562MAK6=
2016-12-30,95.4059,95.806,86562MAK6=
2017-01-03,95.1983,95.5973,86562MAK6=
2017-01-04,95.3211,95.7204,86562MAK6=
2017-01-05,95.9217,96.3238,86562MAK6=
2017-01-06,95.7384,96.1395,86562MAK6=
2017-01-09,95.6675,96.0681,86562MAK6=
2017-01-10,95.6605,96.061,86562MAK6=
2017-01-11,95.8165,96.2174,86562MAK6=
2017-01-12,95.7295,96.1299,86562MAK6=
2017-01-13,95.2766,95.6747,86562MAK6=
2017-01-17,95.7795,96.1799,86562MAK6=
2017-01-18,95.0434,95.44,86562MAK6=
2017-01-19,94.477,94.8708,86562MAK6=
2017-01-20,94.6591,95.0536,86562MAK6=
2017-01-23,95.0232,95.4194,86562MAK6=
2017-01-24,94.6774,95.0718,86562MAK6=
2017-01-25,94.6813,95.0754,86562MAK6=
2017-01-26,94.2259,94.6179,86562MAK6=
2017-01-27,94.5961,94.9897,86562MAK6=
2017-01-30,94.7231,95.1173,86562MAK6=
2017-01-31,94.6772,95.071,86562MAK6=
2017-02-01,94.9091,95.3038,86562MAK6=
2017-02-02,94.7766,95.1705,86562MAK6=
2017-02-03,94.5973,94.9903,86562MAK6=
2017-02-06,95.3072,95.7035,86562MAK6=
2017-02-07,95.2293,95.6251,86562MAK6=
2017-02-08,95.6045,96.0018,86562MAK6=
2017-02-09,95.4868,95.8834,86562MAK6=
2017-02-10,95.2194,95.6147,86562MAK6=
2017-02-13,95.3231,95.7188,86562MAK6=
2017-02-14,95.1981,95.5931,86562MAK6=
2017-02-15,94.6926,95.0848,86562MAK6=
2017-02-16,94.8427,95.2355,86562MAK6=
2017-02-17,95.2996,95.6945,86562MAK6=
2017-02-21,95.1355,95.5295,86562MAK6=
2017-02-22,95.5802,95.976,86562MAK6=
2017-02-23,95.5923,95.9878,86562MAK6=
2017-02-24,95.8212,96.2177,86562MAK6=
2017-02-27,95.9287,96.3257,86562MAK6=
2017-02-28,95.496,95.891,86562MAK6=
2017-03-01,95.391,95.785,86562MAK6=
2017-03-02,95.227,95.62,86562MAK6=
2017-03-03,95.38,95.774,86562MAK6=
2017-03-06,95.444,95.838,86562MAK6=
2017-03-07,94.866,95.257,86562MAK6=
2017-03-08,94.387,94.776,86562MAK6=
2017-03-09,93.933,94.319,86562MAK6=
2017-03-10,93.88,94.266,86562MAK6=
2017-03-13,93.728,94.113,86562MAK6=
2017-03-14,93.684,94.068,86562MAK6=
2017-03-15,94.475,94.863,86562MAK6=
2017-03-16,94.422,94.81,86562MAK6=
2017-03-17,94.633,95.021,86562MAK6=
2017-03-20,94.758,95.147,86562MAK6=
2017-03-21,95.681,96.075,86562MAK6=
2017-03-22,95.473,95.865,86562MAK6=
2017-03-23,95.513,95.905,86562MAK6=
2017-03-24,95.358,95.749,86562MAK6=
2017-03-27,95.777,96.17,86562MAK6=
2017-03-28,95.805,96.198,86562MAK6=
2017-03-29,95.766,96.159,86562MAK6=
2017-03-30,95.68,96.072,86562MAK6=
2017-03-31,95.907,96.301,86562MAK6=
2017-04-03,96.197,96.592,86562MAK6=
2017-04-04,96.498,96.894,86562MAK6=
2017-04-05,96.461,96.857,86562MAK6=
2017-04-06,96.604,97.0,86562MAK6=
2017-04-07,96.597,96.993,86562MAK6=
2017-04-10,96.251,96.646,86562MAK6=
2017-04-11,96.791,97.188,86562MAK6=
2017-04-12,97.372,97.771,86562MAK6=
2017-04-13,97.664,98.064,86562MAK6=
2017-04-17,97.429,97.828,86562MAK6=
2017-04-18,97.716,98.117,86562MAK6=
2017-04-19,97.543,97.942,86562MAK6=
2017-04-20,97.527,97.926,86562MAK6=
2017-04-21,96.735,97.131,86562MAK6=
2017-04-24,97.155,97.552,86562MAK6=
2017-04-25,96.973,97.37,86562MAK6=
2017-04-26,97.15,97.546,86562MAK6=
2017-04-27,97.42,97.818,86562MAK6=
2017-04-28,97.431,97.829,86562MAK6=
2017-05-01,97.149,97.545,86562MAK6=
2017-05-02,97.475,97.873,86562MAK6=
2017-05-03,97.007,97.402,86562MAK6=
2017-05-04,96.711,97.105,86562MAK6=
2017-05-05,96.864,97.258,86562MAK6=
2017-05-08,96.412,96.804,86562MAK6=
2017-05-09,96.555,96.948,86562MAK6=
2017-05-10,96.86,97.254,86562MAK6=
2017-05-11,96.578,96.971,86562MAK6=
2017-05-12,97.141,97.536,86562MAK6=
2017-05-15,97.375,97.771,86562MAK6=
2017-05-16,97.681,98.078,86562MAK6=
2017-05-17,98.122,98.521,86562MAK6=
2017-05-18,98.242,98.642,86562MAK6=
2017-05-19,97.94,98.338,86562MAK6=
2017-05-22,97.972,98.37,86562MAK6=
2017-05-23,97.655,98.052,86562MAK6=
2017-05-24,98.038,98.436,86562MAK6=
2017-05-25,98.101,98.5,86562MAK6=
2017-05-26,98.257,98.656,86562MAK6=
2017-05-30,98.485,98.885,86562MAK6=
2017-05-31,98.422,98.821,86562MAK6=
2017-06-01,98.526,98.926,86562MAK6=
2017-06-02,98.798,99.199,86562MAK6=
2017-06-05,98.766,99.167,86562MAK6=
2017-06-06,98.91,99.312,86562MAK6=
2017-06-07,98.831,99.232,86562MAK6=
2017-06-08,98.775,99.176,86562MAK6=
2017-06-09,98.537,98.936,86562MAK6=
2017-06-12,98.283,98.68,86562MAK6=
2017-06-13,98.45,98.848,86562MAK6=
2017-06-14,99.008,99.409,86562MAK6=
2017-06-15,99.001,99.401,86562MAK6=
2017-06-16,98.85,99.249,86562MAK6=
2017-06-19,98.794,99.193,86562MAK6=
2017-06-20,98.429,98.826,86562MAK6=
2017-06-21,98.803,99.202,86562MAK6=
2017-06-22,99.032,99.432,86562MAK6=
2017-06-23,99.197,99.598,86562MAK6=
2017-06-26,99.085,99.485,86562MAK6=
2017-06-27,98.351,98.748,86562MAK6=
2017-06-28,98.351,98.747,86562MAK6=
2017-06-29,98.367,98.763,86562MAK6=
2017-06-30,97.757,98.15,86562MAK6=
2017-07-03,97.475,97.867,86562MAK6=
2017-07-04,97.461,97.852,86562MAK6=
2017-07-05,97.641,98.033,86562MAK6=
2017-07-06,97.4,97.791,86562MAK6=
2017-07-07,97.494,97.885,86562MAK6=
2017-07-10,97.518,97.909,86562MAK6=
2017-07-11,97.456,97.847,86562MAK6=
2017-07-12,97.906,98.299,86562MAK6=
2017-07-13,97.795,98.187,86562MAK6=
2017-07-14,97.764,98.156,86562MAK6=
2017-07-17,97.968,98.361,86562MAK6=
2017-07-18,98.164,98.558,86562MAK6=
2017-07-19,98.323,98.717,86562MAK6=
2017-07-20,98.512,98.907,86562MAK6=
2017-07-21,98.418,98.812,86562MAK6=
2017-07-24,98.592,98.986,86562MAK6=
2017-07-25,98.238,98.631,86562MAK6=
2017-07-26,98.145,98.537,86562MAK6=
2017-07-27,98.028,98.42,86562MAK6=
2017-07-28,98.013,98.405,86562MAK6=
2017-07-31,98.209,98.602,86562MAK6=
2017-08-01,98.312,98.704,86562MAK6=
2017-08-02,98.407,98.8,86562MAK6=
2017-08-03,98.816,99.211,86562MAK6=
2017-08-04,98.777,99.171,86562MAK6=
2017-08-07,98.518,98.911,86562MAK6=
2017-08-08,98.652,99.045,86562MAK6=
2017-08-09,98.661,99.054,86562MAK6=
2017-08-10,98.803,99.196,86562MAK6=
2017-08-11,98.724,99.118,86562MAK6=
2017-08-14,98.375,98.767,86562MAK6=
2017-08-15,98.0,98.39,86562MAK6=
2017-08-16,98.375,98.766,86562MAK6=
2017-08-17,98.79,99.183,86562MAK6=
2017-08-18,98.837,99.23,86562MAK6=
2017-08-21,99.025,99.419,86562MAK6=
2017-08-22,98.994,99.388,86562MAK6=
2017-08-23,98.979,99.373,86562MAK6=
2017-08-24,98.612,99.003,86562MAK6=
2017-08-25,98.98,99.373,86562MAK6=
2017-08-28,99.129,99.522,86562MAK6=
2017-08-29,99.531,99.926,86562MAK6=
2017-08-30,99.319,99.713,86562MAK6=
2017-08-31,99.366,99.761,86562MAK6=
2017-09-01,99.241,99.634,86562MAK6=
2017-09-05,99.658,100.053,86562MAK6=
2017-09-06,99.564,99.958,86562MAK6=
2017-09-07,99.903,100.299,86562MAK6=
2017-09-08,99.967,100.363,86562MAK6=
2017-09-11,99.415,99.809,86562MAK6=
2017-09-12,98.922,99.313,86562MAK6=
2017-09-13,98.789,99.18,86562MAK6=
2017-09-14,98.853,99.243,86562MAK6=
2017-09-15,98.581,98.97,86562MAK6=
2017-09-18,98.636,99.025,86562MAK6=
2017-09-19,98.473,98.862,86562MAK6=
2017-09-20,98.179,98.567,86562MAK6=
2017-09-21,98.22,98.607,86562MAK6=
2017-09-22,98.182,98.568,86562MAK6=
2017-09-25,98.499,98.887,86562MAK6=
2017-09-26,98.468,98.856,86562MAK6=
2017-09-27,98.052,98.438,86562MAK6=
2017-09-28,97.747,98.131,86562MAK6=
2017-09-29,97.678,98.062,86562MAK6=
2017-10-02,97.74,98.124,86562MAK6=
2017-10-03,97.71,98.094,86562MAK6=
2017-10-04,97.956,98.341,86562MAK6=
2017-10-05,97.92,98.304,86562MAK6=
2017-10-06,98.044,98.428,86562MAK6=
2017-10-10,97.639,98.021,86562MAK6=
2017-10-11,97.953,98.337,86562MAK6=
2017-10-12,97.901,98.284,86562MAK6=
2017-10-13,98.177,98.562,86562MAK6=
