Date,BID,ASK,RIC
2018-07-17,100.0,100.75,86562MBC3=
2018-07-18,100.0,100.75,86562MBC3=
2018-07-19,100.0,100.75,86562MBC3=
2018-07-20,100.0,100.75,86562MBC3=
2018-07-23,99.625,100.375,86562MBC3=
2018-07-24,99.625,100.375,86562MBC3=
2018-07-25,99.625,100.375,86562MBC3=
2018-07-26,99.625,100.375,86562MBC3=
2018-07-27,99.375,100.125,86562MBC3=
2018-07-30,99.25,100.0,86562MBC3=
2018-07-31,99.375,100.125,86562MBC3=
2018-08-01,99.125,99.875,86562MBC3=
2018-08-02,99.5,100.25,86562MBC3=
2018-08-03,99.75,100.5,86562MBC3=
2018-08-06,99.625,100.375,86562MBC3=
2018-08-07,99.5,100.25,86562MBC3=
2018-08-08,99.375,100.125,86562MBC3=
2018-08-09,99.875,100.625,86562MBC3=
2018-08-10,99.625,100.375,86562MBC3=
2018-08-13,99.75,100.5,86562MBC3=
2018-08-14,99.625,100.375,86562MBC3=
2018-08-15,99.875,100.625,86562MBC3=
2018-08-16,100.25,101.0,86562MBC3=
2018-08-17,99.875,100.625,86562MBC3=
2018-08-20,100.0,100.75,86562MBC3=
2018-08-21,100.125,100.875,86562MBC3=
2018-08-22,100.125,100.875,86562MBC3=
2018-08-23,100.25,101.0,86562MBC3=
2018-08-24,100.125,100.875,86562MBC3=
2018-08-27,100.25,101.0,86562MBC3=
2018-08-28,100.0,100.75,86562MBC3=
2018-08-29,99.5,100.25,86562MBC3=
2018-08-30,99.75,100.5,86562MBC3=
2018-08-31,100.0,100.75,86562MBC3=
2018-09-03,100.0,100.75,86562MBC3=
2018-09-04,99.875,100.625,86562MBC3=
2018-09-05,99.625,100.375,86562MBC3=
2018-09-06,99.5,100.25,86562MBC3=
2018-09-07,99.25,100.0,86562MBC3=
2018-09-10,99.0,99.75,86562MBC3=
2018-09-11,98.875,99.625,86562MBC3=
2018-09-12,99.0,99.75,86562MBC3=
2018-09-13,98.875,99.625,86562MBC3=
2018-09-14,99.0,99.75,86562MBC3=
2018-09-17,98.625,99.375,86562MBC3=
2018-09-18,98.75,99.5,86562MBC3=
2018-09-19,98.375,99.125,86562MBC3=
2018-09-20,98.125,98.875,86562MBC3=
2018-09-21,98.25,99.0,86562MBC3=
2018-09-24,98.0,98.75,86562MBC3=
2018-09-25,97.875,98.625,86562MBC3=
2018-09-26,98.0,98.75,86562MBC3=
2018-09-27,98.25,99.0,86562MBC3=
2018-09-28,98.5,99.25,86562MBC3=
2018-10-01,98.125,98.875,86562MBC3=
2018-10-02,98.25,99.0,86562MBC3=
2018-10-03,98.0,98.75,86562MBC3=
2018-10-04,97.25,98.0,86562MBC3=
2018-10-05,97.0,97.75,86562MBC3=
2018-10-08,96.375,97.125,86562MBC3=
2018-10-09,96.875,97.625,86562MBC3=
2018-10-10,96.625,97.375,86562MBC3=
2018-10-11,97.0,97.75,86562MBC3=
2018-10-12,97.375,98.125,86562MBC3=
2018-10-15,97.375,98.125,86562MBC3=
2018-10-16,96.875,97.625,86562MBC3=
2018-10-17,97.125,97.875,86562MBC3=
2018-10-18,96.875,97.625,86562MBC3=
2018-10-19,97.0,97.75,86562MBC3=
2018-10-22,97.125,97.875,86562MBC3=
2018-10-23,97.625,98.375,86562MBC3=
2018-10-24,97.5,98.25,86562MBC3=
2018-10-25,97.5,98.25,86562MBC3=
2018-10-26,97.75,98.5,86562MBC3=
2018-10-29,97.875,98.625,86562MBC3=
2018-10-30,97.625,98.375,86562MBC3=
2018-10-31,97.5,98.25,86562MBC3=
2018-11-01,97.375,98.125,86562MBC3=
2018-11-02,97.25,98.0,86562MBC3=
2018-11-05,97.25,98.0,86562MBC3=
2018-11-06,97.0,97.75,86562MBC3=
2018-11-07,97.125,97.875,86562MBC3=
2018-11-08,96.25,97.0,86562MBC3=
2018-11-09,96.5,97.25,86562MBC3=
2018-11-12,96.375,97.125,86562MBC3=
2018-11-13,97.5,98.25,86562MBC3=
2018-11-14,97.25,98.0,86562MBC3=
2018-11-15,97.75,98.5,86562MBC3=
2018-11-16,96.875,97.625,86562MBC3=
2018-11-19,96.875,97.625,86562MBC3=
2018-11-20,98.375,99.125,86562MBC3=
2018-11-21,98.25,99.0,86562MBC3=
2018-11-22,98.0,98.75,86562MBC3=
