Date,BID,ASK,RIC
2019-07-12,99.198,99.624,86562MBP4=
2019-07-15,99.402,99.829,86562MBP4=
2019-07-16,99.267,99.692,86562MBP4=
2019-07-17,99.718,100.145,86562MBP4=
2019-07-18,99.948,100.377,86562MBP4=
2019-07-19,100.008,100.437,86562MBP4=
2019-07-22,99.743,100.171,86562MBP4=
2019-07-23,99.59,100.017,86562MBP4=
2019-07-24,99.999,100.428,86562MBP4=
2019-07-25,99.709,100.136,86562MBP4=
2019-07-26,99.88,100.307,86562MBP4=
2019-07-29,99.88,100.307,86562MBP4=
2019-07-30,99.829,100.256,86562MBP4=
2019-07-31,100.281,100.71,86562MBP4=
2019-08-01,101.098,101.53,86562MBP4=
2019-08-02,101.175,101.608,86562MBP4=
2019-08-05,102.524,102.964,86562MBP4=
2019-08-06,102.016,102.453,86562MBP4=
2019-08-07,101.537,101.972,86562MBP4=
2019-08-08,101.884,102.32,86562MBP4=
2019-08-09,101.319,101.753,86562MBP4=
2019-08-12,102.152,102.59,86562MBP4=
2019-08-13,101.44,101.873,86562MBP4=
2019-08-14,102.474,102.913,86562MBP4=
2019-08-15,102.92,103.36,86562MBP4=
2019-08-16,102.393,102.831,86562MBP4=
2019-08-19,102.079,102.515,86562MBP4=
2019-08-20,102.567,103.005,86562MBP4=
2019-08-21,102.113,102.549,86562MBP4=
2019-08-22,102.555,102.993,86562MBP4=
2019-08-23,103.432,103.875,86562MBP4=
2019-08-26,103.123,103.564,86562MBP4=
2019-08-27,103.687,104.13,86562MBP4=
2019-08-28,103.65,104.093,86562MBP4=
2019-08-29,103.225,103.665,86562MBP4=
2019-08-30,103.462,103.903,86562MBP4=
2019-09-02,103.443,103.884,86562MBP4=
2019-09-03,103.443,103.884,86562MBP4=
2019-09-04,103.53,103.972,86562MBP4=
2019-09-05,102.713,103.15,86562MBP4=
2019-09-06,102.834,103.272,86562MBP4=
2019-09-09,101.912,102.346,86562MBP4=
2019-09-10,100.984,101.412,86562MBP4=
2019-09-11,101.317,101.747,86562MBP4=
2019-09-12,101.205,101.634,86562MBP4=
2019-09-13,99.989,100.412,86562MBP4=
2019-09-16,100.65,101.076,86562MBP4=
2019-09-17,100.845,101.273,86562MBP4=
2019-09-18,100.845,101.272,86562MBP4=
2019-09-19,101.126,101.554,86562MBP4=
2019-09-20,101.949,102.381,86562MBP4=
2019-09-23,101.416,101.845,86562MBP4=
2019-09-24,102.026,102.458,86562MBP4=
2019-09-25,101.364,101.793,86562MBP4=
2019-09-26,101.723,102.153,86562MBP4=
2019-09-27,101.98,102.412,86562MBP4=
2019-09-30,102.057,102.489,86562MBP4=
2019-10-01,102.687,103.122,86562MBP4=
2019-10-02,102.565,102.999,86562MBP4=
2019-10-03,102.867,103.302,86562MBP4=
2019-10-04,103.083,103.519,86562MBP4=
2019-10-07,102.874,103.309,86562MBP4=
2019-10-08,102.709,103.143,86562MBP4=
2019-10-09,102.406,102.838,86562MBP4=
2019-10-10,101.691,102.119,86562MBP4=
2019-10-11,101.742,102.17,86562MBP4=
2019-10-14,101.606,102.034,86562MBP4=
2019-10-15,101.511,101.938,86562MBP4=
2019-10-16,101.732,102.161,86562MBP4=
2019-10-17,101.603,102.03,86562MBP4=
2019-10-18,101.398,101.824,86562MBP4=
2019-10-21,101.321,101.747,86562MBP4=
2019-10-22,101.704,102.132,86562MBP4=
2019-10-23,101.024,101.448,86562MBP4=
2019-10-24,101.422,101.847,86562MBP4=
2019-10-25,101.6,102.026,86562MBP4=
2019-10-28,100.955,101.378,86562MBP4=
2019-10-29,101.523,101.949,86562MBP4=
2019-10-30,101.812,102.239,86562MBP4=
2019-10-31,102.392,102.822,86562MBP4=
2019-11-01,102.589,103.019,86562MBP4=
2019-11-04,102.006,102.434,86562MBP4=
2019-11-05,101.198,101.622,86562MBP4=
2019-11-06,101.681,102.107,86562MBP4=
2019-11-07,100.843,101.264,86562MBP4=
2019-11-08,100.708,101.129,86562MBP4=
2019-11-11,101.022,101.444,86562MBP4=
2019-11-12,101.188,101.611,86562MBP4=
2019-11-13,101.416,101.84,86562MBP4=
2019-11-14,101.83,102.256,86562MBP4=
2019-11-15,101.541,101.965,86562MBP4=
2019-11-18,101.719,102.144,86562MBP4=
2019-11-19,102.237,102.664,86562MBP4=
2019-11-20,102.381,102.809,86562MBP4=
2019-11-21,102.388,102.816,86562MBP4=
2019-11-22,102.005,102.43,86562MBP4=
2019-11-25,102.166,102.592,86562MBP4=
2019-11-26,102.258,102.685,86562MBP4=
2019-11-27,102.461,102.888,86562MBP4=
2019-11-28,102.357,102.784,86562MBP4=
2019-11-29,102.23,102.656,86562MBP4=
2019-12-02,101.992,102.417,86562MBP4=
2019-12-03,102.954,103.384,86562MBP4=
2019-12-04,102.102,102.527,86562MBP4=
2019-12-05,102.185,102.61,86562MBP4=
2019-12-06,101.643,102.066,86562MBP4=
2019-12-09,101.913,102.337,86562MBP4=
2019-12-10,101.82,102.243,86562MBP4=
2019-12-11,102.318,102.744,86562MBP4=
2019-12-12,101.364,101.784,86562MBP4=
2019-12-13,102.223,102.648,86562MBP4=
2019-12-16,101.91,102.333,86562MBP4=
2019-12-17,102.044,102.468,86562MBP4=
2019-12-18,101.816,102.238,86562MBP4=
