Date,BID,ASK,RIC
2020-01-14,100.226,100.663,86562MBW9=
2020-01-15,100.47,100.908,86562MBW9=
2020-01-16,100.269,100.705,86562MBW9=
2020-01-17,100.13,100.565,86562MBW9=
2020-01-20,100.13,100.566,86562MBW9=
2020-01-21,99.974,100.408,86562MBW9=
2020-01-22,100.618,101.055,86562MBW9=
2020-01-23,100.486,100.923,86562MBW9=
2020-01-24,100.905,101.344,86562MBW9=
2020-01-27,101.546,101.988,86562MBW9=
2020-01-28,101.124,101.563,86562MBW9=
2020-01-29,101.829,102.272,86562MBW9=
2020-01-30,101.738,102.181,86562MBW9=
2020-01-31,102.482,102.928,86562MBW9=
2020-02-03,102.321,102.766,86562MBW9=
2020-02-04,101.534,101.975,86562MBW9=
2020-02-05,101.227,101.666,86562MBW9=
2020-02-06,101.621,102.062,86562MBW9=
2020-02-07,102.167,102.611,86562MBW9=
2020-02-10,102.335,102.779,86562MBW9=
2020-02-11,101.989,102.432,86562MBW9=
2020-02-12,101.68,102.121,86562MBW9=
2020-02-13,101.855,102.296,86562MBW9=
2020-02-14,102.11,102.552,86562MBW9=
2020-02-17,102.107,102.55,86562MBW9=
2020-02-18,102.365,102.809,86562MBW9=
2020-02-19,102.109,102.551,86562MBW9=
2020-02-20,102.558,103.002,86562MBW9=
2020-02-21,102.859,103.304,86562MBW9=
2020-02-24,103.778,104.228,86562MBW9=
2020-02-25,103.912,104.362,86562MBW9=
2020-02-26,104.091,104.542,86562MBW9=
2020-02-27,104.637,105.09,86562MBW9=
2020-02-28,103.476,103.924,86562MBW9=
2020-03-02,102.242,102.684,86562MBW9=
2020-03-03,104.047,104.498,86562MBW9=
2020-03-04,103.634,104.082,86562MBW9=
2020-03-05,104.873,105.326,86562MBW9=
2020-03-06,104.366,104.817,86562MBW9=
2020-03-09,105.761,106.219,86562MBW9=
2020-03-10,102.696,103.139,86562MBW9=
2020-03-11,102.009,102.448,86562MBW9=
2020-03-12,95.234,95.64,86562MBW9=
2020-03-13,94.903,95.308,86562MBW9=
2020-03-16,96.887,97.301,86562MBW9=
2020-03-17,92.163,92.71,86562MBW9=
2020-03-18,90.361,90.897,86562MBW9=
2020-03-19,88.376,88.897,86562MBW9=
2020-03-20,90.431,90.966,86562MBW9=
2020-03-23,91.368,91.91,86562MBW9=
2020-03-24,90.641,91.178,86562MBW9=
2020-03-25,92.1,92.646,86562MBW9=
2020-03-26,94.63,95.193,86562MBW9=
2020-03-27,96.02,96.593,86562MBW9=
2020-03-30,95.623,96.192,86562MBW9=
2020-03-31,99.326,99.921,86562MBW9=
2020-04-01,99.895,100.494,86562MBW9=
2020-04-02,99.819,100.416,86562MBW9=
2020-04-03,99.921,100.519,86562MBW9=
2020-04-06,98.411,98.998,86562MBW9=
2020-04-07,99.862,100.459,86562MBW9=
2020-04-08,99.48,100.074,86562MBW9=
2020-04-09,99.759,100.355,86562MBW9=
2020-04-10,99.894,100.49,86562MBW9=
2020-04-13,99.489,100.083,86562MBW9=
2020-04-14,99.658,100.253,86562MBW9=
2020-04-15,100.637,101.239,86562MBW9=
2020-04-16,104.286,104.911,86562MBW9=
2020-04-17,104.062,104.686,86562MBW9=
2020-04-20,104.292,104.918,86562MBW9=
2020-04-21,104.737,105.366,86562MBW9=
2020-04-22,102.519,103.132,86562MBW9=
2020-04-23,102.639,103.252,86562MBW9=
2020-04-24,102.612,103.225,86562MBW9=
2020-04-27,102.107,102.716,86562MBW9=
2020-04-28,102.524,103.136,86562MBW9=
2020-04-29,102.401,103.012,86562MBW9=
2020-04-30,103.748,104.368,86562MBW9=
2020-05-01,103.995,104.616,86562MBW9=
2020-05-04,103.888,104.508,86562MBW9=
2020-05-05,102.72,103.332,86562MBW9=
2020-05-06,102.319,102.928,86562MBW9=
2020-05-07,102.926,103.539,86562MBW9=
2020-05-08,102.525,103.135,86562MBW9=
2020-05-11,102.333,102.942,86562MBW9=
2020-05-12,102.697,103.309,86562MBW9=
2020-05-13,102.793,103.404,86562MBW9=
2020-05-14,103.113,103.638,86562MBW9=
2020-05-15,102.877,103.401,86562MBW9=
2020-05-18,102.165,102.685,86562MBW9=
2020-05-19,102.467,102.989,86562MBW9=
2020-05-20,102.475,102.997,86562MBW9=
2020-05-21,102.559,103.081,86562MBW9=
2020-05-22,102.758,103.28,86562MBW9=
2020-05-25,102.769,103.291,86562MBW9=
2020-05-26,102.428,102.949,86562MBW9=
2020-05-27,102.428,102.948,86562MBW9=
2020-05-28,102.409,102.929,86562MBW9=
2020-05-29,102.789,103.311,86562MBW9=
2020-06-01,102.667,103.188,86562MBW9=
2020-06-02,104.15,104.679,86562MBW9=
2020-06-03,103.632,104.158,86562MBW9=
2020-06-04,102.941,103.463,86562MBW9=
2020-06-05,103.567,104.092,86562MBW9=
2020-06-08,105.355,105.89,86562MBW9=
2020-06-09,105.853,106.391,86562MBW9=
2020-06-10,106.642,107.184,86562MBW9=
2020-06-11,107.26,107.806,86562MBW9=
2020-06-12,105.97,106.509,86562MBW9=
2020-06-15,105.88,106.417,86562MBW9=
2020-06-16,105.691,106.227,86562MBW9=
2020-06-17,105.761,106.297,86562MBW9=
2020-06-18,105.988,106.525,86562MBW9=
2020-06-19,106.103,106.641,86562MBW9=
2020-06-22,105.94,106.477,86562MBW9=
2020-06-23,105.912,106.449,86562MBW9=
2020-06-24,106.232,106.77,86562MBW9=
2020-06-25,106.2,106.738,86562MBW9=
2020-06-26,106.575,107.114,86562MBW9=
2020-06-29,106.69,107.23,86562MBW9=
2020-06-30,106.41,106.949,86562MBW9=
2020-07-01,106.234,106.771,86562MBW9=
2020-07-02,106.36,106.897,86562MBW9=
2020-07-03,106.389,106.927,86562MBW9=
2020-07-06,106.222,106.758,86562MBW9=
2020-07-07,106.559,107.098,86562MBW9=
2020-07-08,106.325,106.862,86562MBW9=
2020-07-09,106.776,107.315,86562MBW9=
2020-07-10,106.524,107.061,86562MBW9=
2020-07-13,106.746,107.284,86562MBW9=
2020-07-14,106.681,107.219,86562MBW9=
2020-07-15,106.617,107.155,86562MBW9=
2020-07-16,106.746,107.283,86562MBW9=
