Date,BID,ASK,RIC
2021-01-06,100.003,100.301,86562MCC2=
2021-01-07,100.0,100.298,86562MCC2=
2021-01-08,99.765,100.063,86562MCC2=
2021-01-11,99.976,100.274,86562MCC2=
2021-01-12,100.0,100.297,86562MCC2=
2021-01-13,99.95,100.247,86562MCC2=
2021-01-14,99.923,100.219,86562MCC2=
2021-01-15,100.018,100.165,86562MCC2=
2021-01-18,100.009,100.157,86562MCC2=
2021-01-19,100.032,100.18,86562MCC2=
2021-01-20,100.05,100.198,86562MCC2=
2021-01-21,100.032,100.179,86562MCC2=
2021-01-22,100.073,100.22,86562MCC2=
2021-01-25,100.029,100.176,86562MCC2=
2021-01-26,100.029,100.176,86562MCC2=
2021-01-27,100.067,100.214,86562MCC2=
2021-01-28,100.006,100.152,86562MCC2=
2021-01-29,100.009,100.155,86562MCC2=
2021-02-01,100.015,100.161,86562MCC2=
2021-02-02,100.0,100.146,86562MCC2=
2021-02-03,100.259,100.406,86562MCC2=
2021-02-04,100.267,100.413,86562MCC2=
2021-02-05,100.136,100.282,86562MCC2=
2021-02-08,100.113,100.258,86562MCC2=
2021-02-09,100.119,100.264,86562MCC2=
2021-02-10,100.124,100.269,86562MCC2=
2021-02-11,100.115,100.26,86562MCC2=
2021-02-12,100.236,100.381,86562MCC2=
2021-02-15,100.2,100.344,86562MCC2=
2021-02-16,100.138,100.282,86562MCC2=
2021-02-17,100.198,100.343,86562MCC2=
2021-02-18,100.149,100.293,86562MCC2=
2021-02-19,100.132,100.275,86562MCC2=
2021-02-22,100.086,100.229,86562MCC2=
2021-02-23,100.123,100.266,86562MCC2=
2021-02-24,100.057,100.2,86562MCC2=
2021-02-25,99.725,99.867,86562MCC2=
2021-02-26,99.935,100.077,86562MCC2=
2021-03-01,100.017,100.159,86562MCC2=
2021-03-02,100.023,100.164,86562MCC2=
2021-03-03,99.91,100.051,86562MCC2=
2021-03-04,99.865,100.006,86562MCC2=
2021-03-05,99.736,99.876,86562MCC2=
2021-03-08,99.646,99.786,86562MCC2=
2021-03-09,99.714,99.854,86562MCC2=
2021-03-10,99.557,99.697,86562MCC2=
2021-03-11,99.581,99.72,86562MCC2=
2021-03-12,99.523,99.662,86562MCC2=
2021-03-15,99.529,99.668,86562MCC2=
2021-03-16,99.496,99.635,86562MCC2=
2021-03-17,99.48,99.619,86562MCC2=
2021-03-18,99.645,99.783,86562MCC2=
2021-03-19,99.485,99.623,86562MCC2=
2021-03-22,99.521,99.659,86562MCC2=
2021-03-23,99.566,99.704,86562MCC2=
2021-03-24,99.566,99.704,86562MCC2=
2021-03-25,99.622,99.76,86562MCC2=
2021-03-26,99.587,99.724,86562MCC2=
2021-03-29,99.555,99.693,86562MCC2=
2021-03-30,99.535,99.672,86562MCC2=
2021-03-31,99.48,99.616,86562MCC2=
2021-04-01,99.507,99.644,86562MCC2=
2021-04-02,99.39,99.527,86562MCC2=
2021-04-05,99.456,99.593,86562MCC2=
2021-04-06,99.514,99.65,86562MCC2=
2021-04-07,99.523,99.659,86562MCC2=
2021-04-08,99.559,99.695,86562MCC2=
2021-04-09,99.516,99.652,86562MCC2=
2021-04-12,99.474,99.609,86562MCC2=
2021-04-13,99.747,99.883,86562MCC2=
2021-04-14,99.731,99.867,86562MCC2=
2021-04-15,99.775,99.911,86562MCC2=
2021-04-16,99.681,99.816,86562MCC2=
