Date,BID,ASK,RIC
2021-01-06,98.556,99.461,86562MCE8=
2021-01-07,98.809,99.717,86562MCE8=
2021-01-08,98.125,99.026,86562MCE8=
2021-01-11,97.883,98.782,86562MCE8=
2021-01-12,98.359,99.262,86562MCE8=
2021-01-13,98.26,99.162,86562MCE8=
2021-01-14,98.289,99.19,86562MCE8=
2021-01-15,98.307,98.757,86562MCE8=
2021-01-18,98.263,98.712,86562MCE8=
2021-01-19,98.712,99.163,86562MCE8=
2021-01-20,98.938,99.39,86562MCE8=
2021-01-21,98.381,98.83,86562MCE8=
2021-01-22,98.588,99.038,86562MCE8=
2021-01-25,98.795,99.246,86562MCE8=
2021-01-26,98.975,99.427,86562MCE8=
2021-01-27,98.885,99.337,86562MCE8=
2021-01-28,98.625,99.075,86562MCE8=
2021-01-29,98.455,98.904,86562MCE8=
2021-02-01,98.384,98.832,86562MCE8=
2021-02-02,98.331,98.779,86562MCE8=
2021-02-03,97.939,98.385,86562MCE8=
2021-02-04,97.967,98.413,86562MCE8=
2021-02-05,97.675,98.119,86562MCE8=
2021-02-08,97.613,98.057,86562MCE8=
2021-02-09,97.765,98.209,86562MCE8=
2021-02-10,98.593,99.042,86562MCE8=
2021-02-11,98.247,98.693,86562MCE8=
2021-02-12,98.114,98.559,86562MCE8=
2021-02-15,97.788,98.232,86562MCE8=
2021-02-16,97.222,97.662,86562MCE8=
2021-02-17,97.478,97.92,86562MCE8=
2021-02-18,96.996,97.435,86562MCE8=
2021-02-19,96.621,97.058,86562MCE8=
2021-02-22,96.387,96.823,86562MCE8=
2021-02-23,96.579,97.016,86562MCE8=
2021-02-24,96.345,96.781,86562MCE8=
2021-02-25,95.418,95.848,86562MCE8=
2021-02-26,95.866,96.299,86562MCE8=
2021-03-01,95.712,96.144,86562MCE8=
2021-03-02,95.955,96.387,86562MCE8=
2021-03-03,95.217,95.645,86562MCE8=
2021-03-04,94.598,95.024,86562MCE8=
2021-03-05,94.43,94.855,86562MCE8=
2021-03-08,93.455,93.875,86562MCE8=
2021-03-09,94.087,94.509,86562MCE8=
2021-03-10,94.231,94.655,86562MCE8=
2021-03-11,94.118,94.54,86562MCE8=
2021-03-12,93.365,93.783,86562MCE8=
2021-03-15,93.1,93.517,86562MCE8=
2021-03-16,92.968,93.385,86562MCE8=
2021-03-17,92.779,93.195,86562MCE8=
2021-03-18,92.29,92.702,86562MCE8=
2021-03-19,92.094,92.506,86562MCE8=
2021-03-22,93.128,93.545,86562MCE8=
2021-03-23,93.738,94.158,86562MCE8=
2021-03-24,93.807,94.226,86562MCE8=
2021-03-25,93.653,94.071,86562MCE8=
2021-03-26,93.296,93.713,86562MCE8=
2021-03-29,92.952,93.366,86562MCE8=
2021-03-30,92.619,93.033,86562MCE8=
2021-03-31,92.331,92.742,86562MCE8=
2021-04-01,93.248,93.664,86562MCE8=
2021-04-02,92.909,93.323,86562MCE8=
2021-04-05,92.969,93.383,86562MCE8=
2021-04-06,93.376,93.792,86562MCE8=
2021-04-07,93.204,93.619,86562MCE8=
2021-04-08,94.066,94.485,86562MCE8=
2021-04-09,93.767,94.184,86562MCE8=
2021-04-12,93.71,94.127,86562MCE8=
2021-04-13,93.953,94.371,86562MCE8=
2021-04-14,93.838,94.256,86562MCE8=
2021-04-15,94.344,94.763,86562MCE8=
2021-04-16,94.211,94.63,86562MCE8=
2021-04-19,94.046,94.464,86562MCE8=
2021-04-20,94.415,94.835,86562MCE8=
2021-04-21,94.475,94.895,86562MCE8=
2021-04-22,94.705,95.126,86562MCE8=
2021-04-23,94.556,94.976,86562MCE8=
2021-04-26,94.49,94.91,86562MCE8=
2021-04-27,94.016,94.433,86562MCE8=
2021-04-28,94.134,94.552,86562MCE8=
2021-04-29,93.89,94.305,86562MCE8=
2021-04-30,94.265,94.683,86562MCE8=
2021-05-03,94.492,94.91,86562MCE8=
2021-05-04,94.56,94.979,86562MCE8=
2021-05-05,94.729,95.148,86562MCE8=
2021-05-06,94.741,95.16,86562MCE8=
2021-05-07,94.667,95.086,86562MCE8=
2021-05-10,94.46,94.878,86562MCE8=
2021-05-11,94.312,94.728,86562MCE8=
2021-05-12,93.725,94.139,86562MCE8=
2021-05-13,94.011,94.426,86562MCE8=
2021-05-14,94.211,94.627,86562MCE8=
2021-05-17,94.072,94.487,86562MCE8=
2021-05-18,94.671,95.089,86562MCE8=
2021-05-19,94.456,94.873,86562MCE8=
2021-05-20,94.944,95.362,86562MCE8=
2021-05-21,94.987,95.406,86562MCE8=
2021-05-24,95.139,95.558,86562MCE8=
2021-05-25,95.517,95.938,86562MCE8=
2021-05-26,95.342,95.762,86562MCE8=
2021-05-27,95.137,95.556,86562MCE8=
2021-05-28,95.165,95.583,86562MCE8=
2021-05-31,95.165,95.583,86562MCE8=
2021-06-01,95.139,95.558,86562MCE8=
2021-06-02,95.618,96.039,86562MCE8=
2021-06-03,95.32,95.739,86562MCE8=
2021-06-04,95.891,96.313,86562MCE8=
2021-06-07,96.128,96.551,86562MCE8=
2021-06-08,96.577,97.002,86562MCE8=
2021-06-09,96.952,97.378,86562MCE8=
2021-06-10,97.423,97.852,86562MCE8=
2021-06-11,97.279,97.706,86562MCE8=
2021-06-14,96.388,96.812,86562MCE8=
2021-06-15,96.728,97.152,86562MCE8=
2021-06-16,96.542,96.966,86562MCE8=
2021-06-17,97.053,97.479,86562MCE8=
2021-06-18,97.361,97.788,86562MCE8=
2021-06-21,97.089,97.515,86562MCE8=
2021-06-22,96.835,97.26,86562MCE8=
2021-06-23,96.921,97.346,86562MCE8=
2021-06-24,96.822,97.246,86562MCE8=
2021-06-25,96.612,97.034,86562MCE8=
2021-06-28,96.646,97.069,86562MCE8=
2021-06-29,97.197,97.623,86562MCE8=
2021-06-30,96.918,97.342,86562MCE8=
2021-07-01,96.913,97.337,86562MCE8=
2021-07-02,97.066,97.49,86562MCE8=
2021-07-05,97.013,97.437,86562MCE8=
2021-07-06,98.003,98.431,86562MCE8=
2021-07-07,97.901,98.329,86562MCE8=
2021-07-08,98.236,98.665,86562MCE8=
2021-07-09,97.835,98.262,86562MCE8=
2021-07-12,97.5375,97.9631,86562MCE8=
2021-07-13,96.7605,97.1823,86562MCE8=
2021-07-14,97.2591,97.6831,86562MCE8=
2021-07-15,97.6679,98.0936,86562MCE8=
2021-07-16,97.4226,97.847,86562MCE8=
2021-07-19,97.8561,98.2825,86562MCE8=
2021-07-20,97.9162,98.3427,86562MCE8=
2021-07-21,97.0616,97.4839,86562MCE8=
2021-07-22,97.283,97.706,86562MCE8=
2021-07-23,97.5965,98.0209,86562MCE8=
2021-07-26,97.4702,97.8939,86562MCE8=
2021-07-27,97.6062,98.0304,86562MCE8=
2021-07-28,97.7,98.1246,86562MCE8=
2021-07-29,97.6334,98.0574,86562MCE8=
2021-07-30,97.5495,97.973,86562MCE8=
2021-08-02,98.016,98.4416,86562MCE8=
2021-08-03,97.9911,98.4165,86562MCE8=
2021-08-04,98.1104,98.5363,86562MCE8=
2021-08-05,97.5618,97.9847,86562MCE8=
2021-08-06,97.3939,97.8159,86562MCE8=
2021-08-09,96.7238,97.1424,86562MCE8=
2021-08-10,96.4828,96.9002,86562MCE8=
2021-08-11,96.5587,96.9763,86562MCE8=
2021-08-12,96.5947,97.0121,86562MCE8=
2021-08-13,97.0799,97.4995,86562MCE8=
2021-08-16,97.3741,97.795,86562MCE8=
2021-08-17,97.2993,97.7198,86562MCE8=
2021-08-18,97.2581,97.6783,86562MCE8=
2021-08-19,97.2519,97.6717,86562MCE8=
2021-08-20,97.3196,97.7396,86562MCE8=
2021-08-23,97.2533,97.6729,86562MCE8=
2021-08-24,96.97,97.3881,86562MCE8=
2021-08-25,96.7043,97.121,86562MCE8=
2021-08-26,96.4995,96.9149,86562MCE8=
2021-08-27,97.0268,97.4447,86562MCE8=
2021-08-30,97.1992,97.6178,86562MCE8=
2021-08-31,97.1415,97.5597,86562MCE8=
2021-09-01,96.9589,97.3761,86562MCE8=
2021-09-02,97.162,97.5798,86562MCE8=
2021-09-03,96.9879,97.4047,86562MCE8=
2021-09-06,96.9609,97.3776,86562MCE8=
2021-09-07,96.5657,96.9804,86562MCE8=
2021-09-08,96.7405,97.1559,86562MCE8=
2021-09-09,97.0667,97.4833,86562MCE8=
2021-09-10,96.9346,97.3505,86562MCE8=
2021-09-13,96.8277,97.2429,86562MCE8=
