Date,BID,ASK,RIC
2021-09-15,99.726,100.052,86562MCG3=
2021-09-16,99.519,99.844,86562MCG3=
2021-09-17,99.539,99.863,86562MCG3=
2021-09-20,99.87,100.196,86562MCG3=
2021-09-21,99.766,100.091,86562MCG3=
2021-09-22,99.922,100.248,86562MCG3=
2021-09-23,99.081,99.404,86562MCG3=
2021-09-24,98.96,99.281,86562MCG3=
2021-09-27,98.973,99.295,86562MCG3=
2021-09-28,98.621,98.941,86562MCG3=
2021-09-29,98.762,99.083,86562MCG3=
2021-09-30,98.968,99.289,86562MCG3=
2021-10-01,99.155,99.476,86562MCG3=
2021-10-04,99.033,99.354,86562MCG3=
2021-10-05,98.745,99.065,86562MCG3=
2021-10-06,98.74,99.059,86562MCG3=
2021-10-07,98.436,98.754,86562MCG3=
2021-10-08,98.208,98.525,86562MCG3=
2021-10-11,98.076,98.393,86562MCG3=
2021-10-12,98.209,98.526,86562MCG3=
2021-10-13,98.4,98.717,86562MCG3=
2021-10-14,98.553,98.871,86562MCG3=
2021-10-15,98.199,98.516,86562MCG3=
2021-10-18,98.093,98.409,86562MCG3=
2021-10-19,97.779,98.093,86562MCG3=
2021-10-20,97.66,97.974,86562MCG3=
2021-10-21,97.438,97.751,86562MCG3=
2021-10-22,97.802,98.116,86562MCG3=
2021-10-25,97.533,97.846,86562MCG3=
2021-10-26,97.665,97.979,86562MCG3=
2021-10-27,98.042,98.357,86562MCG3=
2021-10-28,97.868,98.182,86562MCG3=
2021-10-29,97.976,98.29,86562MCG3=
2021-11-01,97.601,97.914,86562MCG3=
2021-11-02,97.689,98.002,86562MCG3=
2021-11-03,97.341,97.653,86562MCG3=
2021-11-04,97.799,98.112,86562MCG3=
2021-11-05,98.269,98.583,86562MCG3=
2021-11-08,98.483,98.798,86562MCG3=
2021-11-09,98.812,99.128,86562MCG3=
2021-11-10,97.991,98.304,86562MCG3=
2021-11-11,97.832,98.144,86562MCG3=
2021-11-12,97.992,98.305,86562MCG3=
2021-11-15,97.582,97.893,86562MCG3=
2021-11-16,97.434,97.745,86562MCG3=
2021-11-17,97.777,98.088,86562MCG3=
2021-11-18,97.767,98.078,86562MCG3=
2021-11-19,98.01,98.322,86562MCG3=
2021-11-22,97.49,97.799,86562MCG3=
2021-11-23,97.22,97.528,86562MCG3=
2021-11-24,97.426,97.735,86562MCG3=
2021-11-25,97.471,97.78,86562MCG3=
2021-11-26,97.681,97.99,86562MCG3=
2021-11-29,97.558,97.867,86562MCG3=
2021-11-30,97.843,98.153,86562MCG3=
2021-12-01,98.166,98.477,86562MCG3=
2021-12-02,97.921,98.23,86562MCG3=
2021-12-03,98.281,98.592,86562MCG3=
2021-12-06,97.805,98.114,86562MCG3=
2021-12-07,97.504,97.812,86562MCG3=
2021-12-08,97.222,97.529,86562MCG3=
2021-12-09,97.415,97.723,86562MCG3=
2021-12-10,97.508,97.816,86562MCG3=
2021-12-13,97.928,98.237,86562MCG3=
2021-12-14,97.762,98.07,86562MCG3=
2021-12-15,97.659,97.966,86562MCG3=
2021-12-16,98.302,98.611,86562MCG3=
2021-12-17,98.407,98.717,86562MCG3=
2021-12-20,98.278,98.588,86562MCG3=
2021-12-21,98.039,98.347,86562MCG3=
2021-12-22,98.128,98.436,86562MCG3=
2021-12-23,97.877,98.184,86562MCG3=
2021-12-24,97.885,98.192,86562MCG3=
2021-12-27,97.982,98.289,86562MCG3=
2021-12-28,97.939,98.247,86562MCG3=
2021-12-29,97.496,97.801,86562MCG3=
2021-12-30,97.802,98.108,86562MCG3=
2021-12-31,97.759,98.065,86562MCG3=
2022-01-03,97.194,97.498,86562MCG3=
2022-01-04,97.122,97.426,86562MCG3=
2022-01-05,96.815,97.117,86562MCG3=
2022-01-06,96.65,96.951,86562MCG3=
2022-01-07,96.423,96.724,86562MCG3=
2022-01-10,96.49,96.791,86562MCG3=
2022-01-11,96.546,96.846,86562MCG3=
2022-01-12,96.511,96.812,86562MCG3=
2022-01-13,96.822,97.124,86562MCG3=
2022-01-14,96.285,96.584,86562MCG3=
2022-01-17,96.124,96.423,86562MCG3=
2022-01-18,95.254,95.549,86562MCG3=
2022-01-19,95.379,95.675,86562MCG3=
2022-01-20,95.639,95.935,86562MCG3=
2022-01-21,95.925,96.222,86562MCG3=
2022-01-24,95.849,96.146,86562MCG3=
2022-01-25,95.851,96.147,86562MCG3=
2022-01-26,95.28,95.575,86562MCG3=
2022-01-27,95.691,95.987,86562MCG3=
2022-01-28,95.256,95.55,86562MCG3=
2022-01-31,95.223,95.517,86562MCG3=
2022-02-01,95.154,95.448,86562MCG3=
2022-02-02,95.297,95.591,86562MCG3=
2022-02-03,94.928,95.22,86562MCG3=
2022-02-07,94.455,94.746,86562MCG3=
2022-02-08,94.185,94.475,86562MCG3=
2022-02-09,94.292,94.581,86562MCG3=
2022-02-10,93.745,94.033,86562MCG3=
2022-02-11,94.468,94.758,86562MCG3=
2022-02-14,94.078,94.366,86562MCG3=
2022-02-15,93.467,93.753,86562MCG3=
2022-02-16,93.486,93.772,86562MCG3=
2022-02-17,93.679,93.965,86562MCG3=
2022-02-18,93.356,93.642,86562MCG3=
2022-02-21,93.474,93.76,86562MCG3=
2022-02-22,93.251,93.536,86562MCG3=
2022-02-23,92.947,93.231,86562MCG3=
2022-02-24,93.114,93.398,86562MCG3=
2022-02-25,93.122,93.405,86562MCG3=
2022-02-28,93.966,94.252,86562MCG3=
2022-03-01,94.576,94.864,86562MCG3=
2022-03-02,93.652,93.936,86562MCG3=
2022-03-03,93.875,94.16,86562MCG3=
2022-03-04,93.661,93.946,86562MCG3=
