Date,BID,ASK,RIC
2021-09-15,99.9134,100.1541,86562MCH1=
2021-09-16,99.7217,99.9615,86562MCH1=
2021-09-17,99.8081,100.048,86562MCH1=
2021-09-20,99.9807,100.221,86562MCH1=
2021-09-21,99.9424,100.1824,86562MCH1=
2021-09-22,99.8466,100.0862,86562MCH1=
2021-09-23,99.3893,99.6273,86562MCH1=
2021-09-24,99.3943,99.6322,86562MCH1=
2021-09-27,99.2096,99.4469,86562MCH1=
2021-09-28,99.0397,99.2764,86562MCH1=
2021-09-29,99.1773,99.4142,86562MCH1=
2021-09-30,99.2921,99.529,86562MCH1=
2021-10-01,99.4865,99.7238,86562MCH1=
2021-10-04,99.4063,99.6432,86562MCH1=
2021-10-05,99.2696,99.506,86562MCH1=
2021-10-06,99.2133,99.4494,86562MCH1=
2021-10-07,99.0316,99.2667,86562MCH1=
2021-10-08,98.8961,99.1307,86562MCH1=
2021-10-11,98.7119,98.9461,86562MCH1=
2021-10-12,98.4995,98.733,86562MCH1=
2021-10-13,98.4863,98.7196,86562MCH1=
2021-10-14,98.5865,98.8197,86562MCH1=
2021-10-15,98.2573,98.4895,86562MCH1=
2021-10-18,98.0684,98.3,86562MCH1=
2021-10-19,98.0695,98.3009,86562MCH1=
2021-10-20,98.0613,98.2926,86562MCH1=
2021-10-21,97.7513,97.9814,86562MCH1=
2021-10-22,97.9088,98.1392,86562MCH1=
2021-10-25,98.048,98.2786,86562MCH1=
2021-10-26,98.0261,98.2565,86562MCH1=
2021-10-27,98.1468,98.3774,86562MCH1=
2021-10-28,97.9971,98.2271,86562MCH1=
2021-10-29,97.989,98.2188,86562MCH1=
2021-11-01,98.013,98.2428,86562MCH1=
2021-11-02,98.184,98.4141,86562MCH1=
2021-11-03,97.9693,98.1987,86562MCH1=
2021-11-04,98.3302,98.5602,86562MCH1=
2021-11-05,98.5885,98.819,86562MCH1=
2021-11-08,98.4697,98.6998,86562MCH1=
2021-11-09,98.6598,98.8901,86562MCH1=
2021-11-10,97.9986,98.2268,86562MCH1=
2021-11-11,97.8063,98.034,86562MCH1=
2021-11-12,97.9906,98.2187,86562MCH1=
2021-11-15,97.8688,98.0964,86562MCH1=
2021-11-16,97.8019,98.0292,86562MCH1=
2021-11-17,97.9893,98.217,86562MCH1=
2021-11-18,98.0335,98.2609,86562MCH1=
2021-11-19,98.0209,98.2481,86562MCH1=
2021-11-22,97.5695,97.7954,86562MCH1=
2021-11-23,97.4776,97.7031,86562MCH1=
2021-11-24,97.4728,97.6979,86562MCH1=
2021-11-25,97.4525,97.6775,86562MCH1=
2021-11-26,98.0919,98.3184,86562MCH1=
2021-11-29,98.1427,98.3692,86562MCH1=
2021-11-30,98.0985,98.3248,86562MCH1=
2021-12-01,98.2624,98.489,86562MCH1=
2021-12-02,97.954,98.1794,86562MCH1=
2021-12-03,98.2301,98.4561,86562MCH1=
2021-12-06,97.9383,98.1634,86562MCH1=
2021-12-07,97.6926,97.917,86562MCH1=
2021-12-08,97.5999,97.8239,86562MCH1=
2021-12-09,97.662,97.8858,86562MCH1=
2021-12-10,97.7571,97.981,86562MCH1=
2021-12-13,97.9553,98.1796,86562MCH1=
2021-12-14,97.8177,98.0415,86562MCH1=
2021-12-15,97.7698,97.9934,86562MCH1=
2021-12-16,98.0862,98.3102,86562MCH1=
2021-12-17,98.0783,98.3021,86562MCH1=
2021-12-20,98.1107,98.3345,86562MCH1=
