Date,BID,ASK,RIC
2022-01-07,99.671,99.906,86562MCM0=
2022-01-10,99.619,99.854,86562MCM0=
2022-01-11,99.657,99.892,86562MCM0=
2022-01-12,99.591,99.826,86562MCM0=
2022-01-13,99.826,100.061,86562MCM0=
2022-01-14,99.405,99.639,86562MCM0=
2022-01-17,99.195,99.428,86562MCM0=
2022-01-18,98.94,99.172,86562MCM0=
2022-01-19,99.038,99.27,86562MCM0=
2022-01-20,99.262,99.495,86562MCM0=
2022-01-21,99.402,99.635,86562MCM0=
2022-01-24,99.453,99.686,86562MCM0=
2022-01-25,99.393,99.626,86562MCM0=
2022-01-26,98.815,99.046,86562MCM0=
2022-01-27,98.93,99.161,86562MCM0=
2022-01-28,99.13,99.362,86562MCM0=
2022-01-31,99.163,99.395,86562MCM0=
2022-02-01,99.117,99.349,86562MCM0=
2022-02-02,99.215,99.446,86562MCM0=
2022-02-03,98.889,99.119,86562MCM0=
2022-02-07,98.464,98.693,86562MCM0=
2022-02-08,98.236,98.465,86562MCM0=
2022-02-09,98.215,98.443,86562MCM0=
2022-02-10,97.565,97.791,86562MCM0=
2022-02-11,98.168,98.396,86562MCM0=
2022-02-14,97.92,98.147,86562MCM0=
2022-02-15,97.79,98.016,86562MCM0=
2022-02-16,97.859,98.085,86562MCM0=
2022-02-17,97.526,97.751,86562MCM0=
2022-02-18,97.662,97.887,86562MCM0=
2022-02-21,97.744,97.969,86562MCM0=
2022-02-22,97.43,97.654,86562MCM0=
2022-02-23,97.248,97.472,86562MCM0=
2022-02-24,97.468,97.692,86562MCM0=
2022-02-25,97.444,97.667,86562MCM0=
2022-02-28,98.139,98.365,86562MCM0=
2022-03-01,98.786,99.013,86562MCM0=
2022-03-02,97.944,98.168,86562MCM0=
2022-03-03,98.064,98.288,86562MCM0=
2022-03-04,97.68,97.904,86562MCM0=
2022-03-07,97.215,97.437,86562MCM0=
2022-03-08,96.933,97.154,86562MCM0=
2022-03-09,95.865,96.083,86562MCM0=
2022-03-10,96.024,96.242,86562MCM0=
2022-03-11,95.917,96.135,86562MCM0=
2022-03-14,94.723,94.938,86562MCM0=
2022-03-15,94.812,95.026,86562MCM0=
2022-03-16,94.553,94.767,86562MCM0=
2022-03-17,94.758,94.972,86562MCM0=
2022-03-18,94.744,94.958,86562MCM0=
2022-03-21,94.202,94.414,86562MCM0=
2022-03-22,93.968,94.179,86562MCM0=
2022-03-23,94.288,94.501,86562MCM0=
2022-03-24,93.989,94.2,86562MCM0=
2022-03-25,93.098,93.307,86562MCM0=
2022-03-28,93.348,93.558,86562MCM0=
2022-03-29,93.602,93.812,86562MCM0=
2022-03-30,94.192,94.404,86562MCM0=
2022-03-31,94.063,94.273,86562MCM0=
2022-04-01,93.646,93.856,86562MCM0=
2022-04-04,93.901,94.111,86562MCM0=
2022-04-05,93.156,93.365,86562MCM0=
2022-04-06,93.139,93.347,86562MCM0=
2022-04-07,93.163,93.37,86562MCM0=
2022-04-08,93.132,93.339,86562MCM0=
2022-04-11,92.711,92.917,86562MCM0=
2022-04-12,93.164,93.372,86562MCM0=
2022-04-13,93.122,93.329,86562MCM0=
2022-04-14,92.883,93.089,86562MCM0=
2022-04-15,92.963,93.17,86562MCM0=
2022-04-18,92.649,92.854,86562MCM0=
2022-04-19,92.174,92.378,86562MCM0=
2022-04-20,92.3,92.504,86562MCM0=
2022-04-21,91.876,92.079,86562MCM0=
2022-04-22,91.851,92.053,86562MCM0=
2022-04-25,91.885,92.088,86562MCM0=
2022-04-26,92.437,92.641,86562MCM0=
2022-04-27,92.042,92.245,86562MCM0=
2022-04-28,91.844,92.046,86562MCM0=
2022-04-29,91.433,91.634,86562MCM0=
2022-05-02,91.423,91.623,86562MCM0=
2022-05-03,91.208,91.408,86562MCM0=
2022-05-04,91.644,91.845,86562MCM0=
2022-05-05,91.138,91.338,86562MCM0=
2022-05-06,90.756,90.954,86562MCM0=
2022-05-09,91.269,91.468,86562MCM0=
2022-05-10,91.553,91.754,86562MCM0=
2022-05-11,91.614,91.814,86562MCM0=
2022-05-12,91.894,92.094,86562MCM0=
2022-05-13,91.625,91.825,86562MCM0=
2022-05-16,91.829,92.029,86562MCM0=
2022-05-17,91.051,91.249,86562MCM0=
2022-05-18,91.399,91.598,86562MCM0=
2022-05-19,91.729,91.928,86562MCM0=
2022-05-20,91.891,92.091,86562MCM0=
2022-05-23,91.45,91.648,86562MCM0=
2022-05-24,91.874,92.073,86562MCM0=
2022-05-25,92.409,92.61,86562MCM0=
2022-05-26,92.3,92.5,86562MCM0=
2022-05-27,92.251,92.451,86562MCM0=
2022-05-30,91.904,92.103,86562MCM0=
2022-05-31,91.91,92.109,86562MCM0=
2022-06-01,91.426,91.624,86562MCM0=
2022-06-02,91.667,91.865,86562MCM0=
2022-06-03,91.438,91.635,86562MCM0=
2022-06-06,91.252,91.449,86562MCM0=
2022-06-07,91.442,91.639,86562MCM0=
2022-06-08,91.239,91.436,86562MCM0=
2022-06-09,91.16,91.356,86562MCM0=
2022-06-10,90.425,90.618,86562MCM0=
2022-06-13,89.145,89.335,86562MCM0=
2022-06-14,88.714,88.903,86562MCM0=
2022-06-15,89.511,89.702,86562MCM0=
2022-06-16,89.995,90.186,86562MCM0=
2022-06-17,89.603,89.794,86562MCM0=
2022-06-20,89.45,89.64,86562MCM0=
2022-06-21,89.641,89.832,86562MCM0=
2022-06-22,89.949,90.141,86562MCM0=
2022-06-23,90.274,90.466,86562MCM0=
