Date,BID,ASK,RIC
2022-01-07,99.465,99.783,86562MCN8=
2022-01-10,99.535,99.853,86562MCN8=
2022-01-11,99.592,99.911,86562MCN8=
2022-01-12,99.554,99.872,86562MCN8=
2022-01-13,99.879,100.198,86562MCN8=
2022-01-14,99.307,99.624,86562MCN8=
2022-01-17,99.137,99.453,86562MCN8=
2022-01-18,98.777,99.092,86562MCN8=
2022-01-19,99.036,99.352,86562MCN8=
2022-01-20,99.308,99.625,86562MCN8=
2022-01-21,99.612,99.93,86562MCN8=
2022-01-24,99.53,99.847,86562MCN8=
2022-01-25,99.53,99.847,86562MCN8=
2022-01-26,98.919,99.233,86562MCN8=
2022-01-27,99.353,99.669,86562MCN8=
2022-01-28,98.513,98.826,86562MCN8=
2022-01-31,98.476,98.788,86562MCN8=
2022-02-01,99.027,99.342,86562MCN8=
2022-02-02,99.178,99.493,86562MCN8=
2022-02-03,98.778,99.091,86562MCN8=
2022-02-07,97.773,98.082,86562MCN8=
2022-02-08,97.484,97.792,86562MCN8=
2022-02-09,97.595,97.904,86562MCN8=
2022-02-10,97.009,97.315,86562MCN8=
2022-02-11,97.777,98.086,86562MCN8=
2022-02-14,97.36,97.667,86562MCN8=
2022-02-15,97.013,97.318,86562MCN8=
2022-02-16,96.485,96.788,86562MCN8=
2022-02-17,96.683,96.987,86562MCN8=
2022-02-18,96.946,97.251,86562MCN8=
2022-02-21,97.072,97.377,86562MCN8=
2022-02-22,96.831,97.136,86562MCN8=
2022-02-23,96.505,96.808,86562MCN8=
2022-02-24,95.852,96.152,86562MCN8=
2022-02-25,95.839,96.139,86562MCN8=
2022-02-28,96.732,97.035,86562MCN8=
2022-03-01,97.376,97.681,86562MCN8=
2022-03-02,96.396,96.698,86562MCN8=
2022-03-03,96.629,96.931,86562MCN8=
2022-03-04,96.884,97.186,86562MCN8=
2022-03-07,96.336,96.637,86562MCN8=
2022-03-08,95.733,96.032,86562MCN8=
2022-03-09,95.076,95.372,86562MCN8=
2022-03-10,94.834,95.129,86562MCN8=
2022-03-11,94.824,95.119,86562MCN8=
2022-03-14,93.096,93.385,86562MCN8=
