Date,BID,ASK,RIC
2020-09-11,100.4228,100.6667,86563VAT6=
2020-09-14,100.5154,100.7595,86563VAT6=
2020-09-15,100.4761,100.72,86563VAT6=
2020-09-16,100.3251,100.5684,86563VAT6=
2020-09-17,100.3391,100.5821,86563VAT6=
2020-09-18,100.3453,100.5882,86563VAT6=
2020-09-21,100.392,100.6349,86563VAT6=
2020-09-22,100.4064,100.6492,86563VAT6=
2020-09-23,100.1641,100.4061,86563VAT6=
2020-09-24,100.1687,100.4103,86563VAT6=
2020-09-25,100.2072,100.4488,86563VAT6=
2020-09-28,100.2264,100.4679,86563VAT6=
2020-09-29,100.2744,100.5159,86563VAT6=
2020-09-30,100.1538,100.3948,86563VAT6=
2020-10-01,100.168,100.4087,86563VAT6=
2020-10-02,100.1055,100.3459,86563VAT6=
2020-10-05,99.8945,100.1342,86563VAT6=
2020-10-06,99.9999,100.2397,86563VAT6=
2020-10-07,99.8611,100.1004,86563VAT6=
2020-10-08,99.8853,100.1242,86563VAT6=
2020-10-09,99.852,100.0907,86563VAT6=
2020-10-12,99.9073,100.1461,86563VAT6=
2020-10-13,100.0142,100.2532,86563VAT6=
2020-10-14,100.0285,100.2674,86563VAT6=
2020-10-15,99.9665,100.2048,86563VAT6=
2020-10-16,99.9285,100.1666,86563VAT6=
2020-10-19,99.8762,100.114,86563VAT6=
2020-10-20,99.8763,100.114,86563VAT6=
2020-10-21,99.7863,100.0236,86563VAT6=
2020-10-22,99.6637,99.9003,86563VAT6=
2020-10-23,99.7016,99.9381,86563VAT6=
2020-10-26,99.8057,100.0424,86563VAT6=
2020-10-27,99.8957,100.1325,86563VAT6=
2020-10-28,99.8957,100.1324,86563VAT6=
2020-10-29,99.693,99.9289,86563VAT6=
2020-10-30,99.6414,99.877,86563VAT6=
2020-11-02,99.6698,99.9053,86563VAT6=
2020-11-03,99.6042,99.8394,86563VAT6=
2020-11-04,99.896,100.1319,86563VAT6=
2020-11-05,99.9103,100.1458,86563VAT6=
2020-11-06,99.948,100.1835,86563VAT6=
2020-11-09,99.5215,99.7556,86563VAT6=
2020-11-10,99.7464,99.981,86563VAT6=
2020-11-12,100.0326,100.2675,86563VAT6=
2020-11-13,99.9482,100.1828,86563VAT6=
2020-11-16,99.9622,100.1967,86563VAT6=
2020-11-17,100.0887,100.3234,86563VAT6=
2020-11-18,100.0231,100.2575,86563VAT6=
2020-11-19,100.0885,100.3226,86563VAT6=
2020-11-20,100.1259,100.36,86563VAT6=
2020-11-23,100.0557,100.2895,86563VAT6=
2020-11-24,99.9997,100.2331,86563VAT6=
2020-11-25,100.0369,100.27,86563VAT6=
2020-11-26,100.072,100.3052,86563VAT6=
2020-11-27,100.144,100.3772,86563VAT6=
2020-11-30,100.1672,100.4004,86563VAT6=
2020-12-01,99.9115,100.1439,86563VAT6=
2020-12-02,99.9254,100.1577,86563VAT6=
2020-12-03,100.0182,100.2503,86563VAT6=
2020-12-04,99.8932,100.1248,86563VAT6=
2020-12-07,100.0414,100.2733,86563VAT6=
2020-12-08,100.0367,100.2685,86563VAT6=
2020-12-09,99.9673,100.1987,86563VAT6=
2020-12-10,100.069,100.3003,86563VAT6=
2020-12-11,100.1659,100.3973,86563VAT6=
2020-12-14,100.2213,100.4527,86563VAT6=
2020-12-15,100.1981,100.4294,86563VAT6=
2020-12-16,100.1887,100.4198,86563VAT6=
2020-12-17,100.147,100.3776,86563VAT6=
2020-12-18,100.1331,100.3635,86563VAT6=
2020-12-21,100.133,100.3633,86563VAT6=
2020-12-22,100.2065,100.4368,86563VAT6=
2020-12-23,100.1739,100.4036,86563VAT6=
2020-12-24,100.2059,100.4356,86563VAT6=
2020-12-28,100.2425,100.4721,86563VAT6=
2020-12-29,100.1295,100.3589,86563VAT6=
2020-12-30,100.1824,100.4114,86563VAT6=
2020-12-31,100.2235,100.4524,86563VAT6=
2021-01-04,100.2599,100.4888,86563VAT6=
2021-01-05,100.1593,100.3878,86563VAT6=
2021-01-06,100.1045,100.3327,86563VAT6=
2021-01-07,99.9634,100.1909,86563VAT6=
2021-01-08,100.0133,100.2408,86563VAT6=
2021-01-11,99.9271,100.1542,86563VAT6=
2021-01-12,99.9634,100.1905,86563VAT6=
2021-01-13,100.0678,100.295,86563VAT6=
2021-01-14,100.0269,100.2535,86563VAT6=
2021-01-15,100.3985,100.6259,86563VAT6=
2021-01-18,100.3852,100.6126,86563VAT6=
2021-01-19,100.421,100.6483,86563VAT6=
2021-01-20,100.448,100.6752,86563VAT6=
2021-01-21,100.42,100.6468,86563VAT6=
2021-01-22,100.4832,100.71,86563VAT6=
2021-01-25,100.6098,100.8368,86563VAT6=
2021-01-26,100.5913,100.8181,86563VAT6=
2021-01-27,100.5819,100.8086,86563VAT6=
2021-01-28,100.4863,100.7124,86563VAT6=
2021-01-29,100.5131,100.7392,86563VAT6=
2021-02-01,100.5128,100.7387,86563VAT6=
2021-02-02,100.4584,100.6841,86563VAT6=
2021-02-03,100.3411,100.5663,86563VAT6=
2021-02-04,100.3719,100.5968,86563VAT6=
2021-02-05,100.3313,100.556,86563VAT6=
2021-02-08,100.2594,100.4838,86563VAT6=
2021-02-09,100.2906,100.5149,86563VAT6=
2021-02-10,100.398,100.6225,86563VAT6=
2021-02-11,100.3389,100.5627,86563VAT6=
2021-02-12,100.2093,100.4326,86563VAT6=
2021-02-15,100.1224,100.3455,86563VAT6=
2021-02-16,99.8576,100.0799,86563VAT6=
2021-02-17,99.9376,100.16,86563VAT6=
2021-02-18,99.9333,100.1553,86563VAT6=
2021-02-19,99.8802,100.1019,86563VAT6=
2021-02-22,99.7786,99.9999,86563VAT6=
2021-02-23,99.9113,100.1328,86563VAT6=
2021-02-24,99.7788,99.9998,86563VAT6=
2021-02-25,99.4237,99.6432,86563VAT6=
2021-02-26,99.8237,100.0441,86563VAT6=
2021-03-01,99.9735,100.1941,86563VAT6=
2021-03-02,100.119,100.3398,86563VAT6=
2021-03-03,99.3333,99.5521,86563VAT6=
2021-03-04,99.1167,99.3345,86563VAT6=
2021-03-05,99.0259,99.2434,86563VAT6=
2021-03-08,98.7794,98.9961,86563VAT6=
2021-03-09,98.8321,99.0488,86563VAT6=
2021-03-10,98.915,99.1318,86563VAT6=
2021-03-11,98.9299,99.1463,86563VAT6=
2021-03-12,98.6975,98.9132,86563VAT6=
2021-03-15,98.7457,98.9614,86563VAT6=
2021-03-16,98.7465,98.9621,86563VAT6=
2021-03-17,98.8635,99.0793,86563VAT6=
2021-03-18,98.6163,98.8311,86563VAT6=
2021-03-19,98.5015,98.7158,86563VAT6=
2021-03-22,98.6051,98.8196,86563VAT6=
2021-03-23,98.8074,99.0222,86563VAT6=
2021-03-24,98.8167,99.0314,86563VAT6=
2021-03-25,98.729,98.9431,86563VAT6=
2021-03-26,98.6059,98.8196,86563VAT6=
2021-03-29,98.4835,98.6969,86563VAT6=
2021-03-30,98.4575,98.6707,86563VAT6=
2021-03-31,98.2957,98.508,86563VAT6=
2021-04-01,98.4324,98.6449,86563VAT6=
2021-04-02,98.157,98.3688,86563VAT6=
2021-04-05,98.3316,98.5437,86563VAT6=
2021-04-06,98.5871,98.7997,86563VAT6=
2021-04-07,98.571,98.7834,86563VAT6=
2021-04-08,98.7262,98.9386,86563VAT6=
2021-04-09,98.6083,98.8203,86563VAT6=
2021-04-12,98.5287,98.7404,86563VAT6=
2021-04-13,98.7327,98.9447,86563VAT6=
2021-04-14,98.6362,98.8479,86563VAT6=
2021-04-15,98.8246,99.0363,86563VAT6=
2021-04-16,98.7366,98.948,86563VAT6=
2021-04-19,98.75,98.9613,86563VAT6=
2021-04-20,98.9027,99.1142,86563VAT6=
2021-04-21,98.8865,99.0979,86563VAT6=
2021-04-22,98.9223,99.1334,86563VAT6=
2021-04-23,98.8303,99.041,86563VAT6=
2021-04-26,98.7595,98.9699,86563VAT6=
2021-04-27,98.5589,98.7687,86563VAT6=
2021-04-28,98.6813,98.8913,86563VAT6=
2021-04-29,98.621,98.8304,86563VAT6=
2021-04-30,98.6971,98.9066,86563VAT6=
2021-05-03,98.7565,98.966,86563VAT6=
2021-05-04,98.7823,98.9917,86563VAT6=
2021-05-05,98.8919,99.1014,86563VAT6=
2021-05-06,98.8521,99.0612,86563VAT6=
2021-05-07,98.974,99.1832,86563VAT6=
2021-05-10,98.9203,99.1293,86563VAT6=
2021-05-11,98.8543,99.063,86563VAT6=
2021-05-12,98.6012,98.8091,86563VAT6=
2021-05-13,98.7491,98.957,86563VAT6=
2021-05-14,98.7955,99.0034,86563VAT6=
2021-05-17,98.7216,98.9292,86563VAT6=
2021-05-18,98.7929,99.0005,86563VAT6=
2021-05-19,98.6321,98.8392,86563VAT6=
2021-05-20,98.8124,99.0195,86563VAT6=
2021-05-21,98.7801,98.987,86563VAT6=
2021-05-24,98.8635,99.0705,86563VAT6=
2021-05-25,98.9842,99.1913,86563VAT6=
2021-05-26,98.9517,99.1586,86563VAT6=
2021-05-27,98.8218,99.028,86563VAT6=
2021-05-28,98.8755,99.0817,86563VAT6=
2021-05-31,98.8623,99.0685,86563VAT6=
2021-06-01,98.8685,99.0746,86563VAT6=
2021-06-02,98.9104,99.1164,86563VAT6=
2021-06-03,98.7196,98.9248,86563VAT6=
2021-06-04,98.9665,99.1722,86563VAT6=
2021-06-07,98.9138,99.1192,86563VAT6=
2021-06-08,98.9925,99.198,86563VAT6=
2021-06-09,99.0916,99.2972,86563VAT6=
2021-06-10,99.2328,99.4383,86563VAT6=
2021-06-11,99.1185,99.3236,86563VAT6=
2021-06-14,98.9432,99.1477,86563VAT6=
2021-06-15,98.9765,99.181,86563VAT6=
2021-06-16,98.6593,98.8629,86563VAT6=
2021-06-17,98.7187,98.9221,86563VAT6=
2021-06-18,98.748,98.9513,86563VAT6=
2021-06-21,98.7001,98.9032,86563VAT6=
2021-06-22,98.8348,99.038,86563VAT6=
2021-06-23,99.059,99.2626,86563VAT6=
2021-06-24,98.9188,99.1217,86563VAT6=
2021-06-25,98.879,99.0817,86563VAT6=
2021-06-28,98.985,99.1878,86563VAT6=
2021-06-29,99.0181,99.2209,86563VAT6=
2021-06-30,99.0187,99.2213,86563VAT6=
2021-07-01,99.0132,99.2153,86563VAT6=
2021-07-02,99.143,99.3453,86563VAT6=
2021-07-05,99.1643,99.3666,86563VAT6=
2021-07-06,99.4064,99.6091,86563VAT6=
2021-07-07,99.4513,99.654,86563VAT6=
2021-07-08,99.6264,99.8291,86563VAT6=
2021-07-09,99.4447,99.6469,86563VAT6=
2021-07-12,99.4087,99.6106,86563VAT6=
2021-07-13,99.2078,99.4091,86563VAT6=
2021-07-14,99.4135,99.6152,86563VAT6=
2021-07-15,99.475,99.6764,86563VAT6=
2021-07-16,99.4714,99.6727,86563VAT6=
2021-07-19,99.7656,99.9674,86563VAT6=
2021-07-20,99.8584,100.0603,86563VAT6=
2021-07-21,99.7216,99.9231,86563VAT6=
2021-07-22,99.7985,99.9997,86563VAT6=
2021-07-23,99.8308,100.032,86563VAT6=
2021-07-26,99.7667,99.9676,86563VAT6=
2021-07-27,99.8792,100.0802,86563VAT6=
2021-07-28,99.8231,100.0239,86563VAT6=
2021-07-29,99.7513,99.9516,86563VAT6=
2021-07-30,99.9036,100.1042,86563VAT6=
2021-08-02,100.0599,100.2607,86563VAT6=
2021-08-03,100.092,100.2927,86563VAT6=
2021-08-04,99.9838,100.1841,86563VAT6=
2021-08-05,99.7764,99.9759,86563VAT6=
2021-08-06,99.5856,99.7845,86563VAT6=
2021-08-09,99.4906,99.6892,86563VAT6=
2021-08-10,99.3682,99.5663,86563VAT6=
2021-08-11,99.4557,99.6539,86563VAT6=
2021-08-12,99.3738,99.5714,86563VAT6=
2021-08-13,99.5401,99.738,86563VAT6=
2021-08-16,99.5918,99.7897,86563VAT6=
2021-08-17,99.6039,99.8016,86563VAT6=
2021-08-18,99.6042,99.8018,86563VAT6=
2021-08-19,99.605,99.8022,86563VAT6=
2021-08-20,99.5541,99.7511,86563VAT6=
2021-08-23,99.6055,99.8025,86563VAT6=
2021-08-24,99.4879,99.6845,86563VAT6=
2021-08-25,99.3981,99.5943,86563VAT6=
2021-08-26,99.2898,99.4854,86563VAT6=
2021-08-27,99.4825,99.6785,86563VAT6=
2021-08-30,99.615,99.8112,86563VAT6=
2021-08-31,99.5839,99.7799,86563VAT6=
2021-09-01,99.592,99.7879,86563VAT6=
2021-09-02,99.6127,99.8081,86563VAT6=
2021-09-03,99.5506,99.7457,86563VAT6=
2021-09-06,99.5496,99.7447,86563VAT6=
2021-09-07,99.4769,99.6717,86563VAT6=
2021-09-08,99.5473,99.7421,86563VAT6=
2021-09-09,99.6143,99.8089,86563VAT6=
2021-09-10,99.5097,99.7039,86563VAT6=
2021-09-13,99.5488,99.743,86563VAT6=
2021-09-14,99.6306,99.8248,86563VAT6=
2021-09-15,99.5727,99.7667,86563VAT6=
2021-09-16,99.419,99.6122,86563VAT6=
2021-09-17,99.5275,99.7208,86563VAT6=
2021-09-20,99.6668,99.8603,86563VAT6=
2021-09-21,99.6361,99.8294,86563VAT6=
2021-09-22,99.5592,99.7522,86563VAT6=
2021-09-23,99.1915,99.3833,86563VAT6=
2021-09-24,99.1959,99.3876,86563VAT6=
2021-09-27,99.0473,99.2385,86563VAT6=
2021-09-28,98.9106,99.1014,86563VAT6=
2021-09-29,99.0219,99.2128,86563VAT6=
