Date,BID,ASK,RIC
2021-09-10,99.9823,100.1303,86563VAW9=
2021-09-13,99.997,100.145,86563VAW9=
2021-09-14,100.0207,100.1688,86563VAW9=
2021-09-15,100.0059,100.1538,86563VAW9=
2021-09-16,99.944,100.0914,86563VAW9=
2021-09-17,99.9117,100.0589,86563VAW9=
2021-09-20,99.95,100.0972,86563VAW9=
2021-09-21,99.95,100.097,86563VAW9=
2021-09-22,99.8562,100.0029,86563VAW9=
2021-09-23,99.7163,99.8624,86563VAW9=
2021-09-24,99.702,99.8479,86563VAW9=
2021-09-27,99.6615,99.8072,86563VAW9=
2021-09-28,99.6618,99.8074,86563VAW9=
2021-09-29,99.7465,99.8921,86563VAW9=
2021-09-30,99.7849,99.9301,86563VAW9=
2021-10-01,99.8692,100.0145,86563VAW9=
2021-10-04,99.8229,99.9679,86563VAW9=
2021-10-05,99.7768,99.9216,86563VAW9=
2021-10-06,99.7221,99.8667,86563VAW9=
2021-10-07,99.6454,99.7893,86563VAW9=
2021-10-08,99.5969,99.7406,86563VAW9=
2021-10-11,99.4726,99.6161,86563VAW9=
2021-10-12,99.5256,99.6691,86563VAW9=
2021-10-13,99.3858,99.5289,86563VAW9=
2021-10-14,99.4246,99.5673,86563VAW9=
2021-10-15,99.2742,99.4166,86563VAW9=
2021-10-18,99.1698,99.3118,86563VAW9=
2021-10-19,99.2018,99.3438,86563VAW9=
2021-10-20,99.2082,99.35,86563VAW9=
2021-10-21,99.0015,99.1426,86563VAW9=
2021-10-22,99.0532,99.1942,86563VAW9=
2021-10-25,99.0991,99.2401,86563VAW9=
2021-10-26,99.0634,99.2042,86563VAW9=
2021-10-27,99.0334,99.174,86563VAW9=
2021-10-28,99.0576,99.198,86563VAW9=
2021-10-29,99.081,99.2213,86563VAW9=
2021-11-01,99.0594,99.1995,86563VAW9=
2021-11-02,99.2003,99.3405,86563VAW9=
2021-11-03,99.0808,99.2207,86563VAW9=
2021-11-04,99.2732,99.413,86563VAW9=
2021-11-05,99.3632,99.503,86563VAW9=
2021-11-08,98.9045,99.0434,86563VAW9=
2021-11-09,98.8872,99.0258,86563VAW9=
2021-11-10,99.1366,99.2752,86563VAW9=
2021-11-11,99.0327,99.1712,86563VAW9=
2021-11-12,99.1374,99.2759,86563VAW9=
2021-11-15,98.5075,98.6448,86563VAW9=
2021-11-16,98.9074,99.0452,86563VAW9=
2021-11-17,98.9883,99.1261,86563VAW9=
2021-11-18,98.9967,99.1342,86563VAW9=
2021-11-19,98.8305,98.9676,86563VAW9=
2021-11-22,98.5966,98.7331,86563VAW9=
2021-11-23,98.6048,98.7411,86563VAW9=
2021-11-24,98.5573,98.6931,86563VAW9=
2021-11-25,98.5509,98.6867,86563VAW9=
2021-11-26,98.871,99.0072,86563VAW9=
2021-11-29,98.9238,99.0599,86563VAW9=
2021-11-30,98.7864,98.9222,86563VAW9=
2021-12-01,98.8608,98.9966,86563VAW9=
2021-12-02,98.6669,98.8019,86563VAW9=
2021-12-03,98.7545,98.8895,86563VAW9=
2021-12-06,98.6318,98.7665,86563VAW9=
2021-12-07,98.4719,98.6062,86563VAW9=
2021-12-08,98.3555,98.4895,86563VAW9=
2021-12-09,98.347,98.4806,86563VAW9=
2021-12-10,98.4341,98.5677,86563VAW9=
2021-12-13,98.5263,98.6599,86563VAW9=
2021-12-14,98.4505,98.5839,86563VAW9=
2021-12-15,98.452,98.5852,86563VAW9=
2021-12-16,98.6533,98.7864,86563VAW9=
2021-12-17,98.5988,98.7317,86563VAW9=
2021-12-20,98.6214,98.7542,86563VAW9=
2021-12-21,98.538,98.6706,86563VAW9=
2021-12-22,98.5386,98.6706,86563VAW9=
2021-12-23,98.4768,98.6086,86563VAW9=
2021-12-24,98.4763,98.6081,86563VAW9=
2021-12-27,98.4573,98.5889,86563VAW9=
2021-12-28,98.4641,98.5956,86563VAW9=
2021-12-29,98.4478,98.5789,86563VAW9=
2021-12-30,98.5279,98.659,86563VAW9=
2021-12-31,98.5148,98.6458,86563VAW9=
2022-01-03,98.3542,98.4849,86563VAW9=
2022-01-04,98.3846,98.5152,86563VAW9=
2022-01-05,98.2014,98.3316,86563VAW9=
2022-01-06,98.0669,98.1964,86563VAW9=
2022-01-07,98.012,98.1413,86563VAW9=
2022-01-10,97.9237,98.0527,86563VAW9=
2022-01-11,97.9464,98.0753,86563VAW9=
2022-01-12,97.8019,97.9305,86563VAW9=
2022-01-13,97.9133,98.0415,86563VAW9=
2022-01-14,97.7313,97.8591,86563VAW9=
2022-01-17,97.6003,97.7279,86563VAW9=
2022-01-18,97.4992,97.6265,86563VAW9=
2022-01-19,97.5145,97.6417,86563VAW9=
2022-01-20,97.6185,97.7455,86563VAW9=
2022-01-21,97.6869,97.8138,86563VAW9=
2022-01-24,97.7577,97.8846,86563VAW9=
2022-01-25,97.7322,97.859,86563VAW9=
2022-01-26,97.3987,97.5248,86563VAW9=
2022-01-27,97.3691,97.4949,86563VAW9=
2022-01-28,97.467,97.5928,86563VAW9=
2022-01-31,97.4621,97.5878,86563VAW9=
2022-02-01,97.4698,97.5953,86563VAW9=
2022-02-02,97.52,97.6455,86563VAW9=
2022-02-03,97.1411,97.2656,86563VAW9=
2022-02-07,96.8991,97.023,86563VAW9=
2022-02-08,96.7837,96.9073,86563VAW9=
2022-02-09,96.6589,96.7821,86563VAW9=
2022-02-10,96.1505,96.2726,86563VAW9=
2022-02-11,96.4622,96.5846,86563VAW9=
2022-02-14,96.2681,96.3901,86563VAW9=
2022-02-15,96.2526,96.3744,86563VAW9=
2022-02-16,96.3612,96.4831,86563VAW9=
2022-02-17,96.5197,96.6413,86563VAW9=
2022-02-18,96.5816,96.7032,86563VAW9=
2022-02-21,96.6341,96.7557,86563VAW9=
2022-02-22,96.3937,96.5148,86563VAW9=
2022-02-23,96.325,96.4459,86563VAW9=
2022-02-24,96.4211,96.5415,86563VAW9=
2022-02-25,96.4108,96.531,86563VAW9=
2022-02-28,96.749,96.8696,86563VAW9=
2022-03-01,97.0806,97.2016,86563VAW9=
2022-03-02,96.0971,96.2165,86563VAW9=
2022-03-03,96.1096,96.2286,86563VAW9=
2022-03-04,95.988,96.1067,86563VAW9=
2022-03-07,95.997,96.1156,86563VAW9=
2022-03-08,95.8051,95.9233,86563VAW9=
2022-03-09,95.5387,95.6563,86563VAW9=
2022-03-10,95.2817,95.3986,86563VAW9=
2022-03-11,95.1842,95.3008,86563VAW9=
2022-03-14,94.9129,95.029,86563VAW9=
2022-03-15,94.8581,94.9739,86563VAW9=
2022-03-16,94.778,94.8936,86563VAW9=
2022-03-17,94.8455,94.9608,86563VAW9=
2022-03-18,94.8372,94.9524,86563VAW9=
2022-03-21,94.4643,94.5788,86563VAW9=
2022-03-22,94.4725,94.5869,86563VAW9=
2022-03-23,94.6568,94.7713,86563VAW9=
2022-03-24,94.5897,94.7037,86563VAW9=
2022-03-25,94.257,94.3704,86563VAW9=
2022-03-28,94.3947,94.5082,86563VAW9=
2022-03-29,94.0597,94.1727,86563VAW9=
2022-03-30,94.3192,94.4325,86563VAW9=
2022-03-31,94.1957,94.3084,86563VAW9=
2022-04-01,93.9212,94.0334,86563VAW9=
2022-04-04,94.1117,94.224,86563VAW9=
2022-04-05,93.9702,94.0822,86563VAW9=
2022-04-06,94.0663,94.1783,86563VAW9=
2022-04-07,93.9653,94.0768,86563VAW9=
2022-04-08,93.8429,93.9541,86563VAW9=
2022-04-11,93.8408,93.9518,86563VAW9=
2022-04-12,94.1919,94.3033,86563VAW9=
2022-04-13,94.2397,94.3507,86563VAW9=
2022-04-14,94.2438,94.3547,86563VAW9=
2022-04-15,94.2622,94.3731,86563VAW9=
2022-04-18,94.2723,94.3831,86563VAW9=
2022-04-19,93.7673,93.8772,86563VAW9=
2022-04-20,93.8906,94.0006,86563VAW9=
2022-04-21,93.6944,93.8037,86563VAW9=
2022-04-22,93.6926,93.8018,86563VAW9=
2022-04-25,93.6779,93.7869,86563VAW9=
2022-04-26,94.0055,94.1149,86563VAW9=
2022-04-27,93.9031,94.0122,86563VAW9=
2022-04-28,93.7976,93.9062,86563VAW9=
2022-04-29,93.4975,93.6055,86563VAW9=
2022-05-02,93.397,93.5047,86563VAW9=
2022-05-03,93.3335,93.441,86563VAW9=
2022-05-04,93.6421,93.7499,86563VAW9=
2022-05-05,93.5176,93.6249,86563VAW9=
2022-05-06,93.3047,93.4115,86563VAW9=
2022-05-09,93.7765,93.8839,86563VAW9=
2022-05-10,93.7236,93.8308,86563VAW9=
2022-05-11,93.6644,93.7714,86563VAW9=
2022-05-12,93.8502,93.957,86563VAW9=
2022-05-13,93.8402,93.9469,86563VAW9=
2022-05-16,93.6642,93.7705,86563VAW9=
2022-05-17,93.5082,93.6142,86563VAW9=
2022-05-18,93.5241,93.63,86563VAW9=
2022-05-19,93.6645,93.7702,86563VAW9=
2022-05-20,93.8281,93.9339,86563VAW9=
2022-05-23,93.7044,93.8099,86563VAW9=
2022-05-24,94.0028,94.1086,86563VAW9=
2022-05-25,94.1133,94.2191,86563VAW9=
2022-05-26,94.0978,94.2032,86563VAW9=
2022-05-27,94.1574,94.2627,86563VAW9=
2022-05-30,93.9711,94.0762,86563VAW9=
2022-05-31,93.9983,94.1033,86563VAW9=
2022-06-01,93.911,94.0158,86563VAW9=
2022-06-02,93.9239,94.0283,86563VAW9=
2022-06-03,93.8581,93.9623,86563VAW9=
2022-06-06,93.6888,93.7926,86563VAW9=
2022-06-07,93.6899,93.7936,86563VAW9=
2022-06-08,93.5464,93.6498,86563VAW9=
2022-06-09,93.4971,93.6,86563VAW9=
2022-06-10,93.005,93.1071,86563VAW9=
2022-06-13,92.5255,92.6269,86563VAW9=
2022-06-14,92.3887,92.4897,86563VAW9=
2022-06-15,93.0847,93.1866,86563VAW9=
2022-06-16,92.814,92.915,86563VAW9=
2022-06-17,92.6815,92.7822,86563VAW9=
2022-06-20,92.5499,92.6504,86563VAW9=
2022-06-21,92.642,92.7425,86563VAW9=
2022-06-22,92.916,93.0167,86563VAW9=
2022-06-23,93.1423,93.243,86563VAW9=
2022-06-24,92.8877,92.9879,86563VAW9=
2022-06-27,92.7583,92.8582,86563VAW9=
2022-06-28,93.1268,93.2271,86563VAW9=
2022-06-29,93.2733,93.3736,86563VAW9=
2022-06-30,93.3017,93.4016,86563VAW9=
2022-07-01,93.5414,93.6414,86563VAW9=
2022-07-04,93.448,93.5479,86563VAW9=
2022-07-05,93.5632,93.6631,86563VAW9=
2022-07-06,93.1849,93.2842,86563VAW9=
2022-07-07,93.1346,93.2335,86563VAW9=
2022-07-08,92.9833,93.0819,86563VAW9=
2022-07-11,93.0607,93.1592,86563VAW9=
2022-07-12,93.1105,93.209,86563VAW9=
2022-07-13,92.9227,93.0208,86563VAW9=
2022-07-14,92.7555,92.853,86563VAW9=
2022-07-15,92.7605,92.8579,86563VAW9=
2022-07-18,92.6917,92.7889,86563VAW9=
2022-07-19,92.6774,92.7744,86563VAW9=
2022-07-20,92.7174,92.8143,86563VAW9=
2022-07-21,93.0171,93.114,86563VAW9=
2022-07-22,93.0858,93.1827,86563VAW9=
2022-07-25,93.1834,93.2803,86563VAW9=
2022-07-26,93.1126,93.2093,86563VAW9=
2022-07-27,93.3242,93.421,86563VAW9=
2022-07-28,93.6233,93.7203,86563VAW9=
2022-07-29,93.5094,93.6061,86563VAW9=
2022-08-01,93.5272,93.6238,86563VAW9=
2022-08-02,93.1949,93.2909,86563VAW9=
2022-08-03,93.2303,93.3262,86563VAW9=
2022-08-04,93.2941,93.3897,86563VAW9=
2022-08-05,93.0719,93.1671,86563VAW9=
2022-08-08,93.0255,93.1206,86563VAW9=
2022-08-09,92.9604,93.0552,86563VAW9=
2022-08-10,93.0792,93.1741,86563VAW9=
2022-08-11,93.0923,93.1868,86563VAW9=
2022-08-12,92.9824,93.0766,86563VAW9=
2022-08-15,93.0949,93.1891,86563VAW9=
2022-08-16,93.0229,93.1169,86563VAW9=
2022-08-17,93.0187,93.1126,86563VAW9=
2022-08-18,93.1709,93.2646,86563VAW9=
2022-08-19,93.1236,93.2171,86563VAW9=
2022-08-22,92.9907,93.0839,86563VAW9=
2022-08-23,93.3019,93.3954,86563VAW9=
2022-08-24,93.1223,93.2154,86563VAW9=
2022-08-25,93.2028,93.2957,86563VAW9=
2022-08-26,93.1969,93.2896,86563VAW9=
2022-08-29,93.1039,93.1965,86563VAW9=
2022-08-30,92.8807,92.9729,86563VAW9=
2022-08-31,92.8219,92.9139,86563VAW9=
2022-09-01,92.8172,92.9087,86563VAW9=
2022-09-02,92.9766,93.0682,86563VAW9=
2022-09-05,92.8532,92.9446,86563VAW9=
2022-09-06,92.7832,92.8744,86563VAW9=
2022-09-07,92.9166,93.0078,86563VAW9=
2022-09-08,92.794,92.8847,86563VAW9=
2022-09-09,92.7112,92.8017,86563VAW9=
2022-09-12,92.6974,92.7877,86563VAW9=
2022-09-13,92.6548,92.7449,86563VAW9=
2022-09-14,92.4077,92.4974,86563VAW9=
2022-09-15,92.2148,92.3039,86563VAW9=
2022-09-16,92.2464,92.3354,86563VAW9=
2022-09-19,92.1768,92.2656,86563VAW9=
2022-09-20,92.1074,92.196,86563VAW9=
2022-09-21,92.0684,92.1568,86563VAW9=
2022-09-22,91.9963,92.0843,86563VAW9=
2022-09-23,91.8579,91.9456,86563VAW9=
2022-09-26,91.6207,91.708,86563VAW9=
2022-09-27,91.5587,91.6458,86563VAW9=
2022-09-28,91.7789,91.8661,86563VAW9=
2022-09-29,91.6992,91.7859,86563VAW9=
2022-09-30,91.6049,91.6914,86563VAW9=
2022-10-03,91.8584,91.9451,86563VAW9=
2022-10-04,91.9455,92.0322,86563VAW9=
2022-10-05,92.0136,92.1002,86563VAW9=
2022-10-06,91.8334,91.9193,86563VAW9=
2022-10-07,91.6425,91.728,86563VAW9=
2022-10-10,91.6245,91.71,86563VAW9=
2022-10-11,91.6164,91.7018,86563VAW9=
2022-10-12,91.6466,91.7319,86563VAW9=
2022-10-13,91.5774,91.6622,86563VAW9=
2022-10-14,91.4367,91.5213,86563VAW9=
2022-10-17,91.4755,91.56,86563VAW9=
2022-10-18,91.5193,91.6037,86563VAW9=
2022-10-19,91.2116,91.2955,86563VAW9=
2022-10-20,91.5544,91.6383,86563VAW9=
2022-10-21,91.3704,91.454,86563VAW9=
2022-10-24,91.3924,91.4759,86563VAW9=
2022-10-25,91.381,91.4644,86563VAW9=
2022-10-26,91.468,91.5513,86563VAW9=
2022-10-27,91.7159,91.7993,86563VAW9=
2022-10-28,91.5436,91.6267,86563VAW9=
2022-10-31,91.4345,91.5173,86563VAW9=
2022-11-01,91.4598,91.5425,86563VAW9=
2022-11-02,91.6503,91.7331,86563VAW9=
2022-11-03,91.0996,91.1814,86563VAW9=
2022-11-04,91.2429,91.3247,86563VAW9=
2022-11-07,91.19,91.2717,86563VAW9=
2022-11-08,91.2857,91.3673,86563VAW9=
2022-11-09,91.4246,91.5059,86563VAW9=
2022-11-10,91.8469,91.9286,86563VAW9=
2022-11-11,91.8161,91.8977,86563VAW9=
2022-11-14,91.8929,91.9745,86563VAW9=
2022-11-15,91.9437,92.0252,86563VAW9=
2022-11-16,91.9227,92.0041,86563VAW9=
2022-11-17,92.193,92.2743,86563VAW9=
2022-11-18,91.7176,91.7982,86563VAW9=
2022-11-21,91.6942,91.7747,86563VAW9=
2022-11-22,92.1044,92.1851,86563VAW9=
2022-11-23,91.8825,91.9626,86563VAW9=
