Date,BID,ASK,RIC
2023-03-03,100.202,100.339,86563VBG3=
2023-03-06,100.179,100.316,86563VBG3=
2023-03-07,99.991,100.127,86563VBG3=
2023-03-08,99.65,99.786,86563VBG3=
2023-03-09,100.235,100.371,86563VBG3=
2023-03-10,100.3,100.436,86563VBG3=
2023-03-13,101.505,101.643,86563VBG3=
2023-03-14,100.916,101.053,86563VBG3=
2023-03-15,100.656,100.792,86563VBG3=
2023-03-16,100.08,100.215,86563VBG3=
2023-03-17,100.826,100.962,86563VBG3=
2023-03-20,100.613,100.749,86563VBG3=
2023-03-21,101.122,101.259,86563VBG3=
2023-03-22,101.637,101.774,86563VBG3=
2023-03-23,102.002,102.139,86563VBG3=
2023-03-24,102.109,102.246,86563VBG3=
2023-03-27,101.519,101.655,86563VBG3=
2023-03-28,101.18,101.316,86563VBG3=
2023-03-29,101.339,101.476,86563VBG3=
2023-03-30,101.412,101.548,86563VBG3=
2023-03-31,101.657,101.794,86563VBG3=
2023-04-03,101.925,102.062,86563VBG3=
2023-04-04,102.285,102.422,86563VBG3=
2023-04-05,102.034,102.171,86563VBG3=
2023-04-06,101.972,102.107,86563VBG3=
2023-04-07,101.535,101.671,86563VBG3=
2023-04-10,101.69,101.826,86563VBG3=
2023-04-11,101.699,101.834,86563VBG3=
2023-04-12,101.897,102.033,86563VBG3=
2023-04-13,101.852,101.987,86563VBG3=
2023-04-14,101.516,101.65,86563VBG3=
2023-04-17,101.25,101.384,86563VBG3=
2023-04-18,101.276,101.409,86563VBG3=
2023-04-19,101.176,101.309,86563VBG3=
2023-04-20,101.415,101.548,86563VBG3=
2023-04-21,101.357,101.49,86563VBG3=
2023-04-24,101.57,101.703,86563VBG3=
2023-04-25,101.964,102.098,86563VBG3=
2023-04-26,101.827,101.961,86563VBG3=
2023-04-27,101.496,101.628,86563VBG3=
2023-04-28,101.72,101.853,86563VBG3=
2023-05-01,101.365,101.498,86563VBG3=
2023-05-02,101.785,101.918,86563VBG3=
2023-05-03,102.142,102.275,86563VBG3=
2023-05-04,102.279,102.412,86563VBG3=
2023-05-05,101.953,102.085,86563VBG3=
2023-05-08,101.741,101.873,86563VBG3=
2023-05-09,101.718,101.85,86563VBG3=
2023-05-10,102.05,102.182,86563VBG3=
2023-05-11,102.065,102.197,86563VBG3=
2023-05-12,101.998,102.13,86563VBG3=
2023-05-15,101.957,102.088,86563VBG3=
2023-05-16,101.758,101.89,86563VBG3=
2023-05-17,101.571,101.701,86563VBG3=
2023-05-18,101.287,101.416,86563VBG3=
2023-05-19,101.202,101.332,86563VBG3=
2023-05-22,101.127,101.256,86563VBG3=
2023-05-23,101.373,101.502,86563VBG3=
2023-05-24,101.14,101.27,86563VBG3=
2023-05-25,100.736,100.864,86563VBG3=
2023-05-26,100.649,100.777,86563VBG3=
2023-05-29,100.597,100.725,86563VBG3=
2023-05-30,100.982,101.11,86563VBG3=
2023-05-31,101.24,101.369,86563VBG3=
2023-06-01,101.399,101.527,86563VBG3=
2023-06-02,101.092,101.22,86563VBG3=
2023-06-05,101.188,101.316,86563VBG3=
2023-06-06,101.124,101.252,86563VBG3=
2023-06-07,100.757,100.884,86563VBG3=
2023-06-08,100.978,101.105,86563VBG3=
2023-06-09,100.857,100.984,86563VBG3=
2023-06-12,100.884,101.011,86563VBG3=
2023-06-13,100.648,100.774,86563VBG3=
2023-06-14,100.579,100.705,86563VBG3=
2023-06-15,100.705,100.83,86563VBG3=
2023-06-16,100.537,100.662,86563VBG3=
2023-06-19,100.427,100.552,86563VBG3=
2023-06-20,100.898,101.023,86563VBG3=
2023-06-21,100.832,100.957,86563VBG3=
2023-06-22,100.631,100.756,86563VBG3=
2023-06-23,100.751,100.876,86563VBG3=
2023-06-26,100.72,100.845,86563VBG3=
2023-06-27,100.393,100.517,86563VBG3=
2023-06-28,100.544,100.668,86563VBG3=
2023-06-29,100.438,100.562,86563VBG3=
2023-06-30,100.164,100.287,86563VBG3=
2023-07-03,100.065,100.188,86563VBG3=
2023-07-04,100.126,100.249,86563VBG3=
2023-07-05,100.003,100.125,86563VBG3=
2023-07-07,99.901,100.023,86563VBG3=
2023-07-10,100.175,100.297,86563VBG3=
2023-07-11,100.132,100.254,86563VBG3=
2023-07-12,100.488,100.611,86563VBG3=
2023-07-13,100.799,100.921,86563VBG3=
2023-07-14,100.478,100.6,86563VBG3=
2023-07-17,100.614,100.736,86563VBG3=
2023-07-18,100.582,100.704,86563VBG3=
2023-07-19,100.588,100.71,86563VBG3=
2023-07-20,100.337,100.458,86563VBG3=
2023-07-21,100.355,100.476,86563VBG3=
