Date,BID,ASK,RIC
2022-08-22,99.5416,99.8418,87166FAE3=
2022-08-23,99.6858,99.9864,87166FAE3=
2022-08-24,99.566,99.866,87166FAE3=
2022-08-25,99.7598,100.0601,87166FAE3=
2022-08-26,101.4801,101.7864,87166FAE3=
2022-08-29,99.5643,99.8638,87166FAE3=
2022-08-30,99.5741,99.8734,87166FAE3=
2022-08-31,99.3158,99.614,87166FAE3=
2022-09-01,98.8364,99.1324,87166FAE3=
2022-09-02,99.0423,99.3389,87166FAE3=
2022-09-05,98.8317,99.1275,87166FAE3=
2022-09-06,98.6344,98.9294,87166FAE3=
2022-09-07,98.8787,99.1744,87166FAE3=
2022-09-08,98.5079,98.8018,87166FAE3=
2022-09-09,98.5635,98.8575,87166FAE3=
2022-09-12,98.6816,98.9759,87166FAE3=
2022-09-13,97.6679,97.9584,87166FAE3=
2022-09-14,97.9046,98.1958,87166FAE3=
2022-09-15,97.7311,98.0213,87166FAE3=
2022-09-16,97.8413,98.1318,87166FAE3=
2022-09-19,97.6635,97.9532,87166FAE3=
2022-09-20,97.4018,97.6904,87166FAE3=
2022-09-21,97.3304,97.6186,87166FAE3=
2022-09-22,96.4393,96.724,87166FAE3=
2022-09-23,96.2467,96.5306,87166FAE3=
2022-09-26,95.3563,95.6369,87166FAE3=
2022-09-27,95.3762,95.6567,87166FAE3=
2022-09-28,96.2456,96.529,87166FAE3=
2022-09-29,95.9831,96.2652,87166FAE3=
2022-09-30,95.7058,95.9868,87166FAE3=
2022-10-03,96.3644,96.6476,87166FAE3=
2022-10-04,96.5565,96.8402,87166FAE3=
2022-10-05,96.1278,96.4099,87166FAE3=
2022-10-06,95.6992,95.9792,87166FAE3=
2022-10-07,95.3979,95.6767,87166FAE3=
2022-10-10,95.2846,95.563,87166FAE3=
2022-10-11,95.3094,95.5878,87166FAE3=
2022-10-12,95.5096,95.7885,87166FAE3=
2022-10-13,94.6097,94.8851,87166FAE3=
2022-10-14,94.374,94.6484,87166FAE3=
2022-10-17,94.3343,94.6085,87166FAE3=
2022-10-18,94.5293,94.804,87166FAE3=
2022-10-19,94.0004,94.2731,87166FAE3=
2022-10-20,94.0052,94.2775,87166FAE3=
2022-10-21,94.0625,94.3349,87166FAE3=
2022-10-24,93.9967,94.2687,87166FAE3=
2022-10-25,94.175,94.4475,87166FAE3=
