Date,BID,ASK,RIC
2020-06-15,99.942,100.1838,89114QCH9=
2020-06-16,100.6982,100.9419,89114QCH9=
2020-06-17,100.7075,100.9511,89114QCH9=
2020-06-18,100.6141,100.8571,89114QCH9=
2020-06-19,100.6525,100.8954,89114QCH9=
2020-06-22,100.5843,100.8269,89114QCH9=
2020-06-23,100.6227,100.8653,89114QCH9=
2020-06-24,100.6902,100.9328,89114QCH9=
2020-06-25,100.4716,100.7132,89114QCH9=
2020-06-26,100.6162,100.8581,89114QCH9=
2020-06-29,100.7995,101.0418,89114QCH9=
2020-06-30,100.8765,101.1188,89114QCH9=
2020-07-01,101.189,101.4317,89114QCH9=
2020-07-02,101.3099,101.5527,89114QCH9=
2020-07-03,101.3099,101.5527,89114QCH9=
2020-07-06,101.2458,101.4883,89114QCH9=
2020-07-07,101.2209,101.4632,89114QCH9=
2020-07-08,101.4721,101.715,89114QCH9=
2020-07-09,101.4745,101.717,89114QCH9=
2020-07-10,101.3721,101.6142,89114QCH9=
2020-07-13,101.4584,101.7006,89114QCH9=
2020-07-14,101.2403,101.4818,89114QCH9=
2020-07-15,101.254,101.4954,89114QCH9=
2020-07-16,101.2953,101.5364,89114QCH9=
2020-07-17,101.2897,101.5306,89114QCH9=
2020-07-20,101.2794,101.5202,89114QCH9=
2020-07-21,101.3412,101.582,89114QCH9=
2020-07-22,101.4511,101.6921,89114QCH9=
2020-07-23,101.4823,101.7229,89114QCH9=
2020-07-24,101.4478,101.6882,89114QCH9=
2020-07-27,101.3894,101.6295,89114QCH9=
2020-07-28,101.4894,101.7297,89114QCH9=
2020-07-29,101.8806,102.1219,89114QCH9=
2020-07-30,102.1456,102.3872,89114QCH9=
2020-07-31,102.0528,102.294,89114QCH9=
2020-08-03,101.9987,102.2396,89114QCH9=
2020-08-04,102.1323,102.3735,89114QCH9=
2020-08-05,101.982,102.2226,89114QCH9=
2020-08-06,102.0171,102.2574,89114QCH9=
2020-08-07,101.9392,102.1792,89114QCH9=
2020-08-10,101.9141,102.1539,89114QCH9=
2020-08-11,101.717,101.9561,89114QCH9=
2020-08-12,102.2331,102.4735,89114QCH9=
2020-08-13,102.1287,102.3684,89114QCH9=
2020-08-14,102.2472,102.4871,89114QCH9=
2020-08-17,102.0737,102.313,89114QCH9=
2020-08-18,102.1394,102.3787,89114QCH9=
2020-08-19,102.0761,102.3151,89114QCH9=
2020-08-20,102.1584,102.3972,89114QCH9=
2020-08-21,102.1762,102.4149,89114QCH9=
2020-08-24,102.1083,102.3467,89114QCH9=
2020-08-25,102.0405,102.2786,89114QCH9=
2020-08-26,102.0821,102.3202,89114QCH9=
2020-08-27,101.9531,102.1906,89114QCH9=
2020-08-28,102.1593,102.3972,89114QCH9=
2020-08-31,102.2578,102.4958,89114QCH9=
2020-09-01,102.3801,102.6183,89114QCH9=
2020-09-02,102.3312,102.5691,89114QCH9=
2020-09-03,102.3496,102.587,89114QCH9=
2020-09-04,102.1068,102.3435,89114QCH9=
2020-09-07,102.1441,102.3809,89114QCH9=
2020-09-08,102.238,102.4749,89114QCH9=
2020-09-09,102.0619,102.2982,89114QCH9=
2020-09-10,102.1102,102.3462,89114QCH9=
2020-09-11,102.175,102.411,89114QCH9=
2020-09-14,102.1125,102.3482,89114QCH9=
2020-09-15,102.083,102.3185,89114QCH9=
2020-09-16,102.0301,102.2654,89114QCH9=
2020-09-17,102.0407,102.2756,89114QCH9=
2020-09-18,102.0161,102.2508,89114QCH9=
2020-09-21,101.6689,101.9026,89114QCH9=
2020-09-22,101.6819,101.9155,89114QCH9=
2020-09-23,101.6436,101.8769,89114QCH9=
2020-09-24,101.6361,101.869,89114QCH9=
2020-09-25,101.4865,101.7189,89114QCH9=
2020-09-28,101.5042,101.7365,89114QCH9=
2020-09-29,101.5498,101.7821,89114QCH9=
2020-09-30,101.433,101.6649,89114QCH9=
2020-10-01,101.4444,101.6759,89114QCH9=
2020-10-02,101.3835,101.6147,89114QCH9=
2020-10-05,101.1799,101.4104,89114QCH9=
2020-10-06,101.2805,101.5112,89114QCH9=
2020-10-07,101.1463,101.3765,89114QCH9=
2020-10-08,101.1666,101.3963,89114QCH9=
2020-10-09,101.1338,101.3633,89114QCH9=
2020-10-12,101.187,101.4166,89114QCH9=
2020-10-13,101.7491,101.98,89114QCH9=
2020-10-14,101.7619,101.9927,89114QCH9=
2020-10-15,101.7911,102.0216,89114QCH9=
2020-10-16,101.7532,101.9835,89114QCH9=
2020-10-19,101.7016,101.9316,89114QCH9=
2020-10-20,101.7006,101.9305,89114QCH9=
2020-10-21,101.6125,101.842,89114QCH9=
2020-10-22,101.4908,101.7196,89114QCH9=
2020-10-23,101.5264,101.7551,89114QCH9=
2020-10-26,101.7175,101.9466,89114QCH9=
2020-10-27,101.8034,102.0326,89114QCH9=
2020-10-28,101.8024,102.0314,89114QCH9=
2020-10-29,101.604,101.8323,89114QCH9=
2020-10-30,101.4619,101.6897,89114QCH9=
2020-11-02,101.4883,101.716,89114QCH9=
2020-11-03,101.4238,101.6512,89114QCH9=
2020-11-04,101.7049,101.9329,89114QCH9=
2020-11-05,101.7155,101.9431,89114QCH9=
2020-11-06,101.5692,101.7963,89114QCH9=
2020-11-09,101.2643,101.4904,89114QCH9=
2020-11-10,101.1463,101.3719,89114QCH9=
2020-11-12,101.4191,101.645,89114QCH9=
2020-11-13,101.3822,101.6079,89114QCH9=
2020-11-16,101.3949,101.6205,89114QCH9=
2020-11-17,101.5157,101.7415,89114QCH9=
2020-11-18,101.3167,101.5418,89114QCH9=
2020-11-19,101.3773,101.6022,89114QCH9=
2020-11-20,101.6372,101.8626,89114QCH9=
2020-11-23,101.5688,101.7939,89114QCH9=
2020-11-24,101.513,101.7377,89114QCH9=
2020-11-25,101.5462,101.7706,89114QCH9=
2020-11-26,101.5799,101.8044,89114QCH9=
2020-11-27,101.6483,101.8728,89114QCH9=
2020-11-30,101.6697,101.8941,89114QCH9=
2020-12-01,101.4227,101.6464,89114QCH9=
2020-12-02,101.4352,101.6588,89114QCH9=
2020-12-03,101.5218,101.7452,89114QCH9=
2020-12-04,101.4006,101.6235,89114QCH9=
2020-12-07,101.7208,101.9444,89114QCH9=
2020-12-08,101.7153,101.9387,89114QCH9=
2020-12-09,101.6473,101.8704,89114QCH9=
2020-12-10,101.7423,101.9653,89114QCH9=
2020-12-11,101.8347,102.0578,89114QCH9=
2020-12-14,101.8425,102.0655,89114QCH9=
2020-12-15,101.8191,102.0419,89114QCH9=
2020-12-16,101.8091,102.0317,89114QCH9=
2020-12-17,101.7659,101.988,89114QCH9=
2020-12-18,101.7515,101.9734,89114QCH9=
2020-12-21,101.7504,101.9722,89114QCH9=
2020-12-22,101.8202,102.042,89114QCH9=
2020-12-23,101.7848,102.006,89114QCH9=
2020-12-24,101.8146,102.0357,89114QCH9=
2020-12-28,101.8488,102.0699,89114QCH9=
2020-12-29,101.7397,101.9605,89114QCH9=
2020-12-30,101.787,102.0074,89114QCH9=
2020-12-31,101.8255,102.0459,89114QCH9=
2021-01-04,101.9477,102.1682,89114QCH9=
2021-01-05,101.8496,102.0698,89114QCH9=
2021-01-06,101.6202,101.8397,89114QCH9=
2021-01-07,101.4817,101.7004,89114QCH9=
2021-01-08,101.3542,101.5725,89114QCH9=
2021-01-11,101.2706,101.4885,89114QCH9=
2021-01-12,101.3047,101.5226,89114QCH9=
2021-01-13,101.4475,101.6656,89114QCH9=
2021-01-14,101.4048,101.6223,89114QCH9=
2021-01-15,101.543,101.7607,89114QCH9=
2021-01-18,101.5302,101.7478,89114QCH9=
2021-01-19,101.7378,101.9558,89114QCH9=
2021-01-20,101.8499,102.068,89114QCH9=
2021-01-21,101.8203,102.038,89114QCH9=
2021-01-22,101.8801,102.0978,89114QCH9=
2021-01-25,101.8267,102.0441,89114QCH9=
2021-01-26,101.8082,102.0254,89114QCH9=
2021-01-27,101.7551,101.9721,89114QCH9=
2021-01-28,101.662,101.8785,89114QCH9=
2021-01-29,101.6869,101.9033,89114QCH9=
2021-02-01,101.6858,101.9021,89114QCH9=
2021-02-02,101.633,101.849,89114QCH9=
2021-02-03,101.5199,101.7355,89114QCH9=
2021-02-04,101.5471,101.7624,89114QCH9=
2021-02-05,101.5935,101.8087,89114QCH9=
2021-02-08,101.5237,101.7386,89114QCH9=
2021-02-09,101.5528,101.7677,89114QCH9=
2021-02-10,101.6548,101.8698,89114QCH9=
2021-02-11,101.595,101.8093,89114QCH9=
2021-02-12,101.47,101.6839,89114QCH9=
2021-02-15,101.3868,101.6005,89114QCH9=
2021-02-16,101.1324,101.3453,89114QCH9=
2021-02-17,101.2082,101.4212,89114QCH9=
2021-02-18,101.2017,101.4143,89114QCH9=
2021-02-19,100.9805,101.1924,89114QCH9=
2021-02-22,100.756,100.9672,89114QCH9=
2021-02-23,100.8821,101.0935,89114QCH9=
2021-02-24,100.755,100.966,89114QCH9=
2021-02-25,100.2039,100.4129,89114QCH9=
2021-02-26,100.5843,100.7941,89114QCH9=
2021-03-01,100.7181,100.9281,89114QCH9=
2021-03-02,100.8644,101.0746,89114QCH9=
2021-03-03,100.5749,100.7843,89114QCH9=
2021-03-04,100.282,100.4903,89114QCH9=
2021-03-05,100.0701,100.2777,89114QCH9=
2021-03-08,99.6689,99.8755,89114QCH9=
2021-03-09,99.8424,100.0492,89114QCH9=
2021-03-10,99.921,100.1279,89114QCH9=
2021-03-11,99.9336,100.1401,89114QCH9=
2021-03-12,99.7112,99.9171,89114QCH9=
2021-03-15,99.7566,99.9624,89114QCH9=
2021-03-16,99.7568,99.9625,89114QCH9=
2021-03-17,99.9502,100.1562,89114QCH9=
2021-03-18,99.7123,99.9174,89114QCH9=
2021-03-19,99.6021,99.8068,89114QCH9=
2021-03-22,99.7004,99.9052,89114QCH9=
2021-03-23,99.893,100.0981,89114QCH9=
2021-03-24,99.9013,100.1063,89114QCH9=
2021-03-25,99.8157,100.0201,89114QCH9=
2021-03-26,99.6975,99.9015,89114QCH9=
2021-03-29,99.9882,100.1929,89114QCH9=
2021-03-30,99.8812,100.0855,89114QCH9=
2021-03-31,99.8856,100.0894,89114QCH9=
2021-04-01,100.0159,100.2198,89114QCH9=
2021-04-02,99.7515,99.9548,89114QCH9=
2021-04-05,99.9182,100.1218,89114QCH9=
2021-04-06,100.1625,100.3665,89114QCH9=
2021-04-07,100.1461,100.3499,89114QCH9=
2021-04-08,100.2922,100.496,89114QCH9=
2021-04-09,100.1782,100.3816,89114QCH9=
2021-04-12,100.101,100.3041,89114QCH9=
2021-04-13,100.2145,100.4177,89114QCH9=
2021-04-14,100.1211,100.324,89114QCH9=
2021-04-15,100.4613,100.6645,89114QCH9=
2021-04-16,100.2948,100.4975,89114QCH9=
2021-04-19,100.1046,100.3068,89114QCH9=
2021-04-20,100.3308,100.5333,89114QCH9=
2021-04-21,100.3144,100.5168,89114QCH9=
2021-04-22,100.3058,100.5077,89114QCH9=
2021-04-23,100.3378,100.5397,89114QCH9=
2021-04-26,100.5111,100.7133,89114QCH9=
2021-04-27,100.3978,100.5996,89114QCH9=
2021-04-28,100.5145,100.7164,89114QCH9=
2021-04-29,100.4531,100.6545,89114QCH9=
2021-04-30,100.5252,100.7266,89114QCH9=
2021-05-03,100.6214,100.8229,89114QCH9=
2021-05-04,100.6451,100.8465,89114QCH9=
2021-05-05,100.7493,100.9508,89114QCH9=
2021-05-06,100.7478,100.9489,89114QCH9=
2021-05-07,100.8638,101.065,89114QCH9=
2021-05-10,100.811,101.012,89114QCH9=
2021-05-11,100.7463,100.947,89114QCH9=
2021-05-12,100.5018,100.7018,89114QCH9=
2021-05-13,100.6405,100.8404,89114QCH9=
2021-05-14,100.6041,100.8038,89114QCH9=
2021-05-17,100.532,100.7314,89114QCH9=
2021-05-18,100.5993,100.7987,89114QCH9=
2021-05-19,100.4438,100.6427,89114QCH9=
2021-05-20,100.6136,100.8125,89114QCH9=
2021-05-21,100.6212,100.82,89114QCH9=
2021-05-24,100.7002,100.899,89114QCH9=
2021-05-25,100.6164,100.8149,89114QCH9=
2021-05-26,100.7032,100.9018,89114QCH9=
2021-05-27,100.5752,100.7731,89114QCH9=
2021-05-28,100.6257,100.8236,89114QCH9=
2021-05-31,100.613,100.8108,89114QCH9=
2021-06-01,101.0535,101.2522,89114QCH9=
2021-06-02,101.0924,101.291,89114QCH9=
2021-06-03,100.9043,101.1021,89114QCH9=
2021-06-04,101.141,101.3392,89114QCH9=
2021-06-07,100.9702,101.1679,89114QCH9=
2021-06-08,101.0051,101.2027,89114QCH9=
2021-06-09,101.0991,101.2968,89114QCH9=
2021-06-10,101.231,101.4286,89114QCH9=
2021-06-11,101.1198,101.317,89114QCH9=
2021-06-14,100.9498,101.1465,89114QCH9=
2021-06-15,100.9806,101.1773,89114QCH9=
2021-06-16,100.5179,100.7134,89114QCH9=
2021-06-17,100.5714,100.7666,89114QCH9=
2021-06-18,100.5982,100.7933,89114QCH9=
2021-06-21,100.5511,100.746,89114QCH9=
2021-06-22,100.5624,100.7572,89114QCH9=
2021-06-23,100.4648,100.6592,89114QCH9=
2021-06-24,100.4832,100.6773,89114QCH9=
2021-06-25,100.3667,100.5604,89114QCH9=
2021-06-28,100.4671,100.6609,89114QCH9=
2021-06-29,100.4977,100.6914,89114QCH9=
2021-06-30,100.4973,100.6909,89114QCH9=
2021-07-01,100.6426,100.836,89114QCH9=
2021-07-02,100.7658,100.9593,89114QCH9=
2021-07-05,100.7861,100.9797,89114QCH9=
2021-07-06,101.0167,101.2106,89114QCH9=
2021-07-07,101.0586,101.2525,89114QCH9=
2021-07-08,101.2228,101.4166,89114QCH9=
2021-07-09,101.0479,101.2412,89114QCH9=
2021-07-12,100.8968,101.0897,89114QCH9=
2021-07-13,100.7039,100.8962,89114QCH9=
2021-07-14,100.8994,101.092,89114QCH9=
2021-07-15,100.9551,101.1474,89114QCH9=
2021-07-16,100.9506,101.1428,89114QCH9=
2021-07-19,101.0766,101.2689,89114QCH9=
2021-07-20,101.1642,101.3566,89114QCH9=
2021-07-21,100.9562,101.148,89114QCH9=
2021-07-22,101.0269,101.2184,89114QCH9=
2021-07-23,101.0568,101.2483,89114QCH9=
2021-07-26,100.9949,101.1861,89114QCH9=
2021-07-27,101.2158,101.4073,89114QCH9=
2021-07-28,101.1615,101.3528,89114QCH9=
2021-07-29,101.0911,101.282,89114QCH9=
2021-07-30,101.2353,101.4264,89114QCH9=
2021-08-02,101.4215,101.6128,89114QCH9=
2021-08-03,101.4511,101.6424,89114QCH9=
2021-08-04,101.347,101.5379,89114QCH9=
2021-08-05,100.9947,101.1844,89114QCH9=
2021-08-06,100.888,101.0774,89114QCH9=
2021-08-09,100.7967,100.9857,89114QCH9=
2021-08-10,100.6792,100.8679,89114QCH9=
2021-08-11,100.7993,100.9881,89114QCH9=
2021-08-12,100.7186,100.9068,89114QCH9=
2021-08-13,100.9137,101.1022,89114QCH9=
2021-08-16,100.9619,101.1504,89114QCH9=
2021-08-17,100.8597,101.0478,89114QCH9=
2021-08-18,100.8591,101.0471,89114QCH9=
2021-08-19,100.7449,100.9322,89114QCH9=
2021-08-20,100.7706,100.9578,89114QCH9=
2021-08-23,100.8186,101.0058,89114QCH9=
2021-08-24,100.706,100.8928,89114QCH9=
2021-08-25,100.6943,100.881,89114QCH9=
2021-08-26,100.5886,100.7747,89114QCH9=
2021-08-27,100.7715,100.9579,89114QCH9=
2021-08-30,100.897,101.0836,89114QCH9=
2021-08-31,100.8666,101.053,89114QCH9=
2021-09-01,100.6876,100.8735,89114QCH9=
2021-09-02,100.8894,101.0752,89114QCH9=
2021-09-03,100.8295,101.015,89114QCH9=
2021-09-06,100.8286,101.0141,89114QCH9=
2021-09-07,100.6476,100.8326,89114QCH9=
2021-09-08,100.529,100.7136,89114QCH9=
2021-09-09,100.5905,100.7748,89114QCH9=
2021-09-10,100.4907,100.6747,89114QCH9=
2021-09-13,100.5271,100.711,89114QCH9=
2021-09-14,100.6039,100.7878,89114QCH9=
2021-09-15,100.6585,100.8424,89114QCH9=
2021-09-16,100.5106,100.6938,89114QCH9=
2021-09-17,100.5395,100.7226,89114QCH9=
2021-09-20,100.5976,100.7807,89114QCH9=
2021-09-21,100.5679,100.7508,89114QCH9=
2021-09-22,100.531,100.7137,89114QCH9=
2021-09-23,100.1808,100.3624,89114QCH9=
2021-09-24,100.1843,100.3658,89114QCH9=
2021-09-27,100.043,100.224,89114QCH9=
2021-09-28,99.9129,100.0935,89114QCH9=
2021-09-29,100.1984,100.3795,89114QCH9=
2021-09-30,100.2846,100.4655,89114QCH9=
2021-10-01,100.4326,100.6136,89114QCH9=
2021-10-04,100.3709,100.5517,89114QCH9=
2021-10-05,100.266,100.4464,89114QCH9=
2021-10-06,100.2226,100.4028,89114QCH9=
2021-10-07,99.9746,100.1538,89114QCH9=
2021-10-08,99.8709,100.0497,89114QCH9=
2021-10-11,99.7304,99.9089,89114QCH9=
2021-10-12,99.8175,99.9961,89114QCH9=
2021-10-13,99.8069,99.9853,89114QCH9=
2021-10-14,99.8821,100.0603,89114QCH9=
2021-10-15,99.63,99.8075,89114QCH9=
2021-10-18,99.4851,99.6622,89114QCH9=
2021-10-19,99.4855,99.6625,89114QCH9=
2021-10-20,99.4788,99.6556,89114QCH9=
2021-10-21,99.2406,99.4165,89114QCH9=
2021-10-22,99.3607,99.5367,89114QCH9=
2021-10-25,99.4667,99.6428,89114QCH9=
2021-10-26,99.4495,99.6255,89114QCH9=
2021-10-27,99.5413,99.7173,89114QCH9=
