Date,BID,ASK,RIC
2020-09-11,100.23,100.4753,89114QCK2=
2020-09-14,99.7755,100.0195,89114QCK2=
2020-09-15,99.7513,99.9951,89114QCK2=
2020-09-16,99.844,100.0879,89114QCK2=
2020-09-17,99.8539,100.0974,89114QCK2=
2020-09-18,99.8394,100.0827,89114QCK2=
2020-09-21,99.6163,99.8589,89114QCK2=
2020-09-22,99.6311,99.8736,89114QCK2=
2020-09-23,99.3027,99.5442,89114QCK2=
2020-09-24,99.299,99.5401,89114QCK2=
2020-09-25,99.3379,99.579,89114QCK2=
2020-09-28,99.502,99.7434,89114QCK2=
2020-09-29,99.5505,99.7919,89114QCK2=
2020-09-30,99.623,99.8644,89114QCK2=
2020-10-01,99.6862,99.9274,89114QCK2=
2020-10-02,99.6238,99.8647,89114QCK2=
2020-10-05,99.4127,99.6529,89114QCK2=
2020-10-06,99.8071,100.0482,89114QCK2=
2020-10-07,99.6677,99.9083,89114QCK2=
2020-10-08,99.6924,99.9325,89114QCK2=
2020-10-09,99.4197,99.659,89114QCK2=
2020-10-12,99.4752,99.7146,89114QCK2=
2020-10-13,99.8702,100.1106,89114QCK2=
2020-10-14,99.8846,100.1249,89114QCK2=
2020-10-15,99.8226,100.0623,89114QCK2=
2020-10-16,99.7844,100.0239,89114QCK2=
2020-10-19,99.8275,100.0669,89114QCK2=
2020-10-20,99.8276,100.0669,89114QCK2=
2020-10-21,99.737,99.9759,89114QCK2=
2020-10-22,99.5661,99.8042,89114QCK2=
2020-10-23,99.6995,99.9378,89114QCK2=
2020-10-26,99.8044,100.0428,89114QCK2=
2020-10-27,99.895,100.1336,89114QCK2=
2020-10-28,99.7523,99.9903,89114QCK2=
2020-10-29,99.5486,99.7858,89114QCK2=
2020-10-30,99.4967,99.7337,89114QCK2=
2020-11-02,99.5254,99.7623,89114QCK2=
2020-11-03,99.4595,99.6961,89114QCK2=
2020-11-04,99.7531,99.9903,89114QCK2=
2020-11-05,99.7677,100.0046,89114QCK2=
2020-11-06,99.6167,99.853,89114QCK2=
2020-11-09,99.3017,99.5369,89114QCK2=
2020-11-10,99.3209,99.5561,89114QCK2=
2020-11-12,99.4206,99.6556,89114QCK2=
2020-11-13,99.3834,99.6182,89114QCK2=
2020-11-16,99.3978,99.6325,89114QCK2=
2020-11-17,99.6186,99.8538,89114QCK2=
2020-11-18,99.4125,99.647,89114QCK2=
2020-11-19,99.479,99.7132,89114QCK2=
2020-11-20,99.5167,99.7509,89114QCK2=
2020-11-23,99.4468,99.6807,89114QCK2=
2020-11-24,99.4848,99.7185,89114QCK2=
2020-11-25,99.523,99.7564,89114QCK2=
2020-11-26,99.5581,99.7916,89114QCK2=
2020-11-27,99.6305,99.8641,89114QCK2=
2020-11-30,99.654,99.8875,89114QCK2=
2020-12-01,99.3982,99.6309,89114QCK2=
2020-12-02,99.785,100.0186,89114QCK2=
2020-12-03,99.8785,100.1119,89114QCK2=
