Date,BID,ASK,RIC
2021-01-06,99.3321,99.5753,89114QCP1=
2021-01-07,99.3769,99.6198,89114QCP1=
2021-01-08,99.3336,99.5762,89114QCP1=
2021-01-11,99.4357,99.6785,89114QCP1=
2021-01-12,99.136,99.3778,89114QCP1=
2021-01-13,99.4896,99.7323,89114QCP1=
2021-01-14,99.4955,99.7376,89114QCP1=
2021-01-15,99.6506,99.893,89114QCP1=
2021-01-18,99.6364,99.8788,89114QCP1=
2021-01-19,99.4816,99.7234,89114QCP1=
2021-01-20,99.5592,99.8011,89114QCP1=
2021-01-21,99.6274,99.8691,89114QCP1=
2021-01-22,99.5023,99.7435,89114QCP1=
2021-01-25,99.6857,99.9273,89114QCP1=
2021-01-26,99.6666,99.908,89114QCP1=
2021-01-27,99.5127,99.7536,89114QCP1=
2021-01-28,99.5084,99.749,89114QCP1=
2021-01-29,99.5375,99.778,89114QCP1=
2021-02-01,99.5378,99.7782,89114QCP1=
2021-02-02,99.5764,99.8168,89114QCP1=
2021-02-03,99.452,99.6919,89114QCP1=
2021-02-04,99.5342,99.7739,89114QCP1=
2021-02-05,99.4914,99.7309,89114QCP1=
2021-02-08,99.7023,99.9422,89114QCP1=
2021-02-09,99.736,99.9759,89114QCP1=
2021-02-10,99.8511,100.0911,89114QCP1=
2021-02-11,99.7893,100.0286,89114QCP1=
2021-02-12,99.651,99.8898,89114QCP1=
2021-02-15,99.5581,99.7967,89114QCP1=
2021-02-16,99.2753,99.513,89114QCP1=
2021-02-17,99.3611,99.5989,89114QCP1=
2021-02-18,99.3575,99.5949,89114QCP1=
2021-02-19,99.2536,99.4906,89114QCP1=
2021-02-22,99.1453,99.3819,89114QCP1=
2021-02-23,99.0986,99.3349,89114QCP1=
2021-02-24,98.8635,99.099,89114QCP1=
2021-02-25,97.8359,98.0681,89114QCP1=
2021-02-26,98.2598,98.493,89114QCP1=
2021-03-01,98.2701,98.5031,89114QCP1=
2021-03-02,98.2943,98.5273,89114QCP1=
2021-03-03,98.0213,98.2534,89114QCP1=
2021-03-04,97.7935,98.0246,89114QCP1=
2021-03-05,97.4677,97.6978,89114QCP1=
2021-03-08,97.5289,97.7591,89114QCP1=
2021-03-09,97.6314,97.8617,89114QCP1=
2021-03-10,97.7201,97.9505,89114QCP1=
2021-03-11,97.8297,98.06,89114QCP1=
2021-03-12,97.583,97.8125,89114QCP1=
2021-03-15,97.6348,97.8643,89114QCP1=
2021-03-16,97.6361,97.8655,89114QCP1=
2021-03-17,97.6695,97.8989,89114QCP1=
2021-03-18,97.2718,97.4997,89114QCP1=
2021-03-19,97.2415,97.4692,89114QCP1=
2021-03-22,97.2158,97.4433,89114QCP1=
2021-03-23,97.8419,98.0709,89114QCP1=
2021-03-24,97.898,98.127,89114QCP1=
2021-03-25,97.8057,98.0341,89114QCP1=
2021-03-26,97.6748,97.9027,89114QCP1=
2021-03-29,97.5453,97.7729,89114QCP1=
2021-03-30,97.3808,97.6078,89114QCP1=
2021-03-31,97.3008,97.5271,89114QCP1=
2021-04-01,97.447,97.6736,89114QCP1=
2021-04-02,97.1534,97.3792,89114QCP1=
2021-04-05,97.34,97.5662,89114QCP1=
2021-04-06,97.6581,97.885,89114QCP1=
2021-04-07,97.6413,97.868,89114QCP1=
2021-04-08,98.1712,98.3989,89114QCP1=
2021-04-09,98.0451,98.2723,89114QCP1=
2021-04-12,98.0054,98.2324,89114QCP1=
2021-04-13,98.1789,98.4062,89114QCP1=
2021-04-14,97.8042,98.0304,89114QCP1=
2021-04-15,98.4144,98.6418,89114QCP1=
2021-04-16,98.4108,98.638,89114QCP1=
2021-04-19,98.4253,98.6524,89114QCP1=
2021-04-20,98.5442,98.7715,89114QCP1=
2021-04-21,98.3909,98.6177,89114QCP1=
2021-04-22,98.4298,98.6563,89114QCP1=
2021-04-23,98.3313,98.5574,89114QCP1=
2021-04-26,98.1204,98.3458,89114QCP1=
2021-04-27,97.7712,97.9956,89114QCP1=
2021-04-28,97.9025,98.1271,89114QCP1=
2021-04-29,97.9285,98.1528,89114QCP1=
2021-04-30,98.1898,98.4146,89114QCP1=
2021-05-03,98.2986,98.5236,89114QCP1=
2021-05-04,98.3265,98.5514,89114QCP1=
2021-05-05,98.3095,98.5342,89114QCP1=
2021-05-06,98.4919,98.7167,89114QCP1=
2021-05-07,98.668,98.8931,89114QCP1=
2021-05-10,98.6103,98.8351,89114QCP1=
