Date,BID,ASK,RIC
2021-03-08,99.693,99.841,89114QCQ9=
2021-03-09,99.764,99.911,89114QCQ9=
2021-03-10,99.747,99.894,89114QCQ9=
2021-03-11,99.771,99.918,89114QCQ9=
2021-03-12,99.622,99.768,89114QCQ9=
2021-03-15,99.628,99.774,89114QCQ9=
2021-03-16,99.622,99.769,89114QCQ9=
2021-03-17,99.722,99.868,89114QCQ9=
2021-03-18,99.487,99.633,89114QCQ9=
2021-03-19,99.465,99.61,89114QCQ9=
2021-03-22,99.503,99.648,89114QCQ9=
2021-03-23,99.55,99.695,89114QCQ9=
2021-03-24,99.463,99.608,89114QCQ9=
2021-03-25,99.493,99.638,89114QCQ9=
2021-03-26,99.456,99.601,89114QCQ9=
2021-03-29,99.366,99.51,89114QCQ9=
2021-03-30,99.777,99.922,89114QCQ9=
2021-03-31,99.804,99.948,89114QCQ9=
2021-04-01,99.66,99.804,89114QCQ9=
2021-04-02,99.537,99.68,89114QCQ9=
2021-04-05,99.606,99.75,89114QCQ9=
2021-04-06,99.667,99.81,89114QCQ9=
2021-04-07,99.79,99.934,89114QCQ9=
2021-04-08,99.828,99.971,89114QCQ9=
2021-04-09,99.64,99.783,89114QCQ9=
2021-04-12,99.794,99.937,89114QCQ9=
2021-04-13,99.854,99.997,89114QCQ9=
2021-04-14,99.894,100.037,89114QCQ9=
2021-04-15,99.77,99.912,89114QCQ9=
2021-04-16,99.756,99.898,89114QCQ9=
2021-04-19,99.685,99.827,89114QCQ9=
2021-04-20,99.66,99.801,89114QCQ9=
2021-04-21,99.66,99.802,89114QCQ9=
2021-04-22,99.684,99.825,89114QCQ9=
2021-04-23,99.816,99.958,89114QCQ9=
2021-04-26,99.8,99.941,89114QCQ9=
2021-04-27,99.693,99.834,89114QCQ9=
2021-04-28,99.761,99.901,89114QCQ9=
2021-04-29,99.753,99.893,89114QCQ9=
2021-04-30,99.77,99.91,89114QCQ9=
2021-05-03,99.798,99.938,89114QCQ9=
2021-05-04,99.807,99.947,89114QCQ9=
2021-05-05,99.838,99.978,89114QCQ9=
2021-05-06,99.83,99.969,89114QCQ9=
2021-05-07,99.883,100.022,89114QCQ9=
2021-05-10,99.869,100.008,89114QCQ9=
2021-05-11,99.853,99.992,89114QCQ9=
2021-05-12,99.709,99.847,89114QCQ9=
2021-05-13,99.762,99.9,89114QCQ9=
2021-05-14,100.141,100.28,89114QCQ9=
2021-05-17,99.981,100.119,89114QCQ9=
2021-05-18,100.011,100.149,89114QCQ9=
2021-05-19,100.083,100.221,89114QCQ9=
2021-05-20,100.149,100.287,89114QCQ9=
2021-05-21,100.146,100.284,89114QCQ9=
2021-05-24,100.162,100.3,89114QCQ9=
2021-05-25,100.212,100.349,89114QCQ9=
2021-05-26,100.231,100.368,89114QCQ9=
2021-05-27,100.23,100.367,89114QCQ9=
2021-05-28,100.265,100.402,89114QCQ9=
2021-05-31,100.252,100.389,89114QCQ9=
2021-06-01,100.21,100.347,89114QCQ9=
2021-06-02,100.21,100.347,89114QCQ9=
2021-06-03,100.15,100.286,89114QCQ9=
2021-06-04,100.209,100.345,89114QCQ9=
2021-06-07,100.193,100.329,89114QCQ9=
2021-06-08,100.206,100.342,89114QCQ9=
2021-06-09,100.176,100.312,89114QCQ9=
2021-06-10,100.232,100.368,89114QCQ9=
2021-06-11,100.189,100.324,89114QCQ9=
2021-06-14,100.124,100.259,89114QCQ9=
2021-06-15,100.116,100.251,89114QCQ9=
2021-06-16,99.903,100.038,89114QCQ9=
2021-06-17,99.855,99.989,89114QCQ9=
2021-06-18,99.762,99.896,89114QCQ9=
2021-06-21,99.754,99.888,89114QCQ9=
2021-06-22,99.84,99.973,89114QCQ9=
2021-06-23,99.835,99.968,89114QCQ9=
2021-06-24,99.854,99.987,89114QCQ9=
2021-06-25,99.851,99.984,89114QCQ9=
2021-06-28,99.886,100.019,89114QCQ9=
2021-06-29,99.894,100.026,89114QCQ9=
2021-06-30,99.886,100.019,89114QCQ9=
2021-07-01,99.879,100.01,89114QCQ9=
2021-07-02,99.947,100.079,89114QCQ9=
2021-07-05,99.955,100.086,89114QCQ9=
2021-07-06,100.045,100.177,89114QCQ9=
2021-07-07,100.053,100.184,89114QCQ9=
2021-07-08,100.15,100.281,89114QCQ9=
2021-07-09,100.065,100.197,89114QCQ9=
2021-07-12,100.0366,100.1676,89114QCQ9=
2021-07-13,99.8772,100.0078,89114QCQ9=
2021-07-14,99.966,100.0966,89114QCQ9=
2021-07-15,99.9609,100.0911,89114QCQ9=
2021-07-16,99.8882,100.0181,89114QCQ9=
2021-07-19,99.9013,100.0311,89114QCQ9=
2021-07-20,99.9636,100.0934,89114QCQ9=
2021-07-21,99.8937,100.0232,89114QCQ9=
2021-07-22,99.9354,100.0646,89114QCQ9=
2021-07-23,99.9612,100.0903,89114QCQ9=
2021-07-26,99.9484,100.0773,89114QCQ9=
2021-07-27,99.9819,100.1107,89114QCQ9=
2021-07-28,99.9819,100.1106,89114QCQ9=
2021-07-29,99.9691,100.0975,89114QCQ9=
2021-07-30,100.0436,100.172,89114QCQ9=
2021-08-02,100.0973,100.2256,89114QCQ9=
2021-08-03,100.1177,100.2459,89114QCQ9=
2021-08-04,100.0434,100.1714,89114QCQ9=
2021-08-05,99.949,100.0764,89114QCQ9=
2021-08-06,99.8652,99.9924,89114QCQ9=
2021-08-09,99.8323,99.9593,89114QCQ9=
2021-08-10,99.7641,99.8908,89114QCQ9=
2021-08-11,99.7821,99.9087,89114QCQ9=
2021-08-12,99.75,99.8762,89114QCQ9=
2021-08-13,99.8233,99.9494,89114QCQ9=
2021-08-16,99.8361,99.9621,89114QCQ9=
2021-08-17,99.8363,99.9622,89114QCQ9=
2021-08-18,99.8289,99.9546,89114QCQ9=
2021-08-19,99.8095,99.9348,89114QCQ9=
2021-08-20,99.7897,99.9148,89114QCQ9=
2021-08-23,99.8099,99.9349,89114QCQ9=
2021-08-24,99.7777,99.9025,89114QCQ9=
2021-08-25,99.7953,99.92,89114QCQ9=
2021-08-26,99.7836,99.9079,89114QCQ9=
2021-08-27,99.874,99.9984,89114QCQ9=
2021-08-30,99.9851,100.1096,89114QCQ9=
2021-08-31,99.9578,100.0821,89114QCQ9=
2021-09-01,99.9504,100.0745,89114QCQ9=
2021-09-02,99.9901,100.1137,89114QCQ9=
2021-09-03,99.9827,100.1062,89114QCQ9=
2021-09-07,99.9285,100.0518,89114QCQ9=
2021-09-08,99.8941,100.0172,89114QCQ9=
2021-09-09,99.9067,100.0294,89114QCQ9=
2021-09-10,99.8873,100.0098,89114QCQ9=
2021-09-13,99.973,100.0955,89114QCQ9=
