Date,BID,ASK,RIC
2021-09-09,99.976,100.124,89114TZE5=
2021-09-10,99.923,100.071,89114TZE5=
2021-09-13,99.879,100.027,89114TZE5=
2021-09-14,99.903,100.05,89114TZE5=
2021-09-15,99.888,100.035,89114TZE5=
2021-09-16,99.827,99.974,89114TZE5=
2021-09-17,99.707,99.853,89114TZE5=
2021-09-20,99.862,100.009,89114TZE5=
2021-09-21,99.833,99.98,89114TZE5=
2021-09-22,99.682,99.828,89114TZE5=
2021-09-23,99.456,99.601,89114TZE5=
2021-09-24,99.442,99.587,89114TZE5=
2021-09-27,99.402,99.547,89114TZE5=
2021-09-28,99.403,99.547,89114TZE5=
2021-09-29,99.487,99.632,89114TZE5=
2021-09-30,99.555,99.699,89114TZE5=
2021-10-01,99.639,99.783,89114TZE5=
2021-10-04,99.593,99.737,89114TZE5=
2021-10-05,99.662,99.807,89114TZE5=
2021-10-06,99.608,99.752,89114TZE5=
2021-10-07,99.447,99.59,89114TZE5=
2021-10-08,99.656,99.799,89114TZE5=
2021-10-11,99.532,99.675,89114TZE5=
2021-10-12,99.585,99.728,89114TZE5=
2021-10-13,99.445,99.588,89114TZE5=
2021-10-14,99.484,99.626,89114TZE5=
2021-10-15,99.334,99.476,89114TZE5=
2021-10-18,99.23,99.371,89114TZE5=
2021-10-19,99.262,99.403,89114TZE5=
2021-10-20,99.268,99.409,89114TZE5=
2021-10-21,99.062,99.202,89114TZE5=
2021-10-22,99.113,99.254,89114TZE5=
2021-10-25,99.187,99.328,89114TZE5=
2021-10-26,99.151,99.292,89114TZE5=
2021-10-27,99.121,99.262,89114TZE5=
2021-10-28,99.145,99.285,89114TZE5=
2021-10-29,99.169,99.308,89114TZE5=
2021-11-01,99.147,99.287,89114TZE5=
2021-11-02,99.287,99.427,89114TZE5=
2021-11-03,99.168,99.308,89114TZE5=
2021-11-04,99.415,99.555,89114TZE5=
2021-11-05,99.505,99.645,89114TZE5=
2021-11-08,99.325,99.464,89114TZE5=
2021-11-09,99.224,99.362,89114TZE5=
2021-11-10,98.892,99.03,89114TZE5=
2021-11-11,98.789,98.927,89114TZE5=
2021-11-12,98.893,99.031,89114TZE5=
2021-11-15,98.842,98.98,89114TZE5=
2021-11-16,98.83,98.967,89114TZE5=
