Date,BID,ASK,RIC
2021-09-09,100.027,100.479,89114TZJ4=
2021-09-10,99.883,100.334,89114TZJ4=
2021-09-13,99.856,100.307,89114TZJ4=
2021-09-14,100.234,100.687,89114TZJ4=
2021-09-15,99.964,100.415,89114TZJ4=
2021-09-16,99.676,100.126,89114TZJ4=
2021-09-17,99.435,99.883,89114TZJ4=
2021-09-20,99.892,100.342,89114TZJ4=
2021-09-21,99.569,100.018,89114TZJ4=
2021-09-22,99.964,100.414,89114TZJ4=
2021-09-23,98.804,99.248,89114TZJ4=
2021-09-24,98.459,98.902,89114TZJ4=
2021-09-27,98.125,98.565,89114TZJ4=
2021-09-28,97.468,97.906,89114TZJ4=
2021-09-29,97.661,98.099,89114TZJ4=
2021-09-30,98.206,98.647,89114TZJ4=
2021-10-01,98.462,98.903,89114TZJ4=
2021-10-04,98.383,98.824,89114TZJ4=
2021-10-05,97.9,98.339,89114TZJ4=
2021-10-06,97.892,98.331,89114TZJ4=
2021-10-07,97.65,98.087,89114TZJ4=
2021-10-08,97.337,97.772,89114TZJ4=
2021-10-11,97.156,97.59,89114TZJ4=
2021-10-12,97.686,98.123,89114TZJ4=
2021-10-13,97.948,98.386,89114TZJ4=
2021-10-14,98.159,98.598,89114TZJ4=
2021-10-15,97.845,98.283,89114TZJ4=
2021-10-18,97.698,98.134,89114TZJ4=
2021-10-19,97.264,97.698,89114TZJ4=
2021-10-20,97.101,97.534,89114TZJ4=
2021-10-21,96.793,97.224,89114TZJ4=
2021-10-22,97.294,97.727,89114TZJ4=
2021-10-25,97.355,97.789,89114TZJ4=
2021-10-26,97.537,97.972,89114TZJ4=
2021-10-27,98.497,98.936,89114TZJ4=
2021-10-28,98.253,98.69,89114TZJ4=
2021-10-29,97.878,98.314,89114TZJ4=
2021-11-01,97.879,98.315,89114TZJ4=
2021-11-02,98.001,98.437,89114TZJ4=
2021-11-03,97.516,97.949,89114TZJ4=
2021-11-04,98.151,98.588,89114TZJ4=
2021-11-05,98.807,99.247,89114TZJ4=
2021-11-08,98.492,98.93,89114TZJ4=
2021-11-09,98.948,99.388,89114TZJ4=
2021-11-10,97.807,98.241,89114TZJ4=
2021-11-11,97.586,98.019,89114TZJ4=
2021-11-12,97.808,98.242,89114TZJ4=
2021-11-15,97.411,97.843,89114TZJ4=
2021-11-16,97.205,97.636,89114TZJ4=
2021-11-17,97.68,98.113,89114TZJ4=
2021-11-18,97.837,98.27,89114TZJ4=
2021-11-19,98.349,98.785,89114TZJ4=
2021-11-22,97.622,98.054,89114TZJ4=
2021-11-23,97.245,97.675,89114TZJ4=
2021-11-24,97.531,97.962,89114TZJ4=
2021-11-25,97.592,98.024,89114TZJ4=
2021-11-26,98.927,99.364,89114TZJ4=
2021-11-29,98.752,99.189,89114TZJ4=
