Date,BID,ASK,RIC
2022-01-07,99.723,99.869,89114TZL9=
2022-01-10,99.636,99.781,89114TZL9=
2022-01-11,99.659,99.805,89114TZL9=
2022-01-12,99.639,99.785,89114TZL9=
2022-01-13,99.516,99.661,89114TZL9=
2022-01-14,99.309,99.453,89114TZL9=
2022-01-17,99.17,99.314,89114TZL9=
2022-01-18,99.457,99.601,89114TZL9=
2022-01-19,98.995,99.138,89114TZL9=
2022-01-20,99.038,99.181,89114TZL9=
2022-01-21,99.113,99.256,89114TZL9=
2022-01-24,99.105,99.248,89114TZL9=
2022-01-25,99.234,99.377,89114TZL9=
2022-01-26,98.953,99.095,89114TZL9=
2022-01-27,98.75,98.891,89114TZL9=
2022-01-28,98.877,99.018,89114TZL9=
2022-01-31,98.804,98.946,89114TZL9=
2022-02-01,98.757,98.898,89114TZL9=
2022-02-02,98.933,99.075,89114TZL9=
2022-02-03,98.77,98.911,89114TZL9=
2022-02-07,98.512,98.652,89114TZL9=
2022-02-08,98.304,98.443,89114TZL9=
2022-02-09,98.141,98.28,89114TZL9=
2022-02-10,97.511,97.648,89114TZL9=
2022-02-11,97.788,97.926,89114TZL9=
2022-02-14,97.887,98.025,89114TZL9=
2022-02-15,97.748,97.886,89114TZL9=
2022-02-16,97.775,97.913,89114TZL9=
2022-02-17,97.781,97.918,89114TZL9=
2022-02-18,97.821,97.958,89114TZL9=
2022-02-21,97.872,98.009,89114TZL9=
2022-02-22,97.673,97.81,89114TZL9=
2022-02-23,97.514,97.65,89114TZL9=
2022-02-24,97.287,97.423,89114TZL9=
2022-02-25,97.477,97.612,89114TZL9=
2022-02-28,97.712,97.848,89114TZL9=
2022-03-01,98.037,98.173,89114TZL9=
2022-03-02,97.797,97.933,89114TZL9=
2022-03-03,97.669,97.804,89114TZL9=
2022-03-04,97.679,97.814,89114TZL9=
2022-03-07,97.107,97.241,89114TZL9=
2022-03-08,96.925,97.059,89114TZL9=
2022-03-09,96.623,96.755,89114TZL9=
2022-03-10,96.611,96.743,89114TZL9=
2022-03-11,96.443,96.575,89114TZL9=
2022-03-14,96.23,96.362,89114TZL9=
2022-03-15,95.932,96.063,89114TZL9=
2022-03-16,95.941,96.072,89114TZL9=
2022-03-17,96.128,96.258,89114TZL9=
2022-03-18,96.142,96.272,89114TZL9=
2022-03-21,95.465,95.595,89114TZL9=
2022-03-22,96.097,96.227,89114TZL9=
2022-03-23,96.137,96.267,89114TZL9=
2022-03-24,95.871,96.001,89114TZL9=
2022-03-25,95.579,95.707,89114TZL9=
2022-03-28,95.431,95.56,89114TZL9=
2022-03-29,95.443,95.571,89114TZL9=
2022-03-30,95.893,96.022,89114TZL9=
2022-03-31,95.9,96.029,89114TZL9=
2022-04-01,95.724,95.853,89114TZL9=
2022-04-04,95.711,95.839,89114TZL9=
2022-04-05,95.574,95.702,89114TZL9=
2022-04-06,95.586,95.714,89114TZL9=
2022-04-07,95.601,95.729,89114TZL9=
2022-04-08,95.385,95.512,89114TZL9=
2022-04-11,95.121,95.248,89114TZL9=
2022-04-12,95.197,95.323,89114TZL9=
2022-04-13,95.555,95.682,89114TZL9=
2022-04-14,95.668,95.795,89114TZL9=
2022-04-15,95.697,95.823,89114TZL9=
2022-04-18,95.774,95.9,89114TZL9=
2022-04-19,95.204,95.33,89114TZL9=
2022-04-20,95.111,95.237,89114TZL9=
2022-04-21,95.006,95.131,89114TZL9=
2022-04-22,94.857,94.981,89114TZL9=
2022-04-25,95.004,95.128,89114TZL9=
2022-04-26,95.287,95.412,89114TZL9=
2022-04-27,95.095,95.219,89114TZL9=
2022-04-28,95.053,95.177,89114TZL9=
2022-04-29,94.796,94.919,89114TZL9=
2022-05-02,94.728,94.851,89114TZL9=
2022-05-03,94.603,94.725,89114TZL9=
2022-05-04,94.971,95.095,89114TZL9=
2022-05-05,94.893,95.016,89114TZL9=
2022-05-06,94.551,94.673,89114TZL9=
2022-05-09,94.987,95.109,89114TZL9=
2022-05-10,94.989,95.112,89114TZL9=
2022-05-11,95.046,95.168,89114TZL9=
2022-05-12,95.175,95.297,89114TZL9=
2022-05-13,95.138,95.26,89114TZL9=
2022-05-16,95.156,95.277,89114TZL9=
2022-05-17,94.818,94.939,89114TZL9=
2022-05-18,94.835,94.956,89114TZL9=
2022-05-19,94.885,95.006,89114TZL9=
2022-05-20,95.066,95.187,89114TZL9=
2022-05-23,95.151,95.272,89114TZL9=
2022-05-24,95.391,95.512,89114TZL9=
2022-05-25,95.463,95.584,89114TZL9=
2022-05-26,95.744,95.865,89114TZL9=
2022-05-27,95.6,95.721,89114TZL9=
2022-05-30,95.428,95.549,89114TZL9=
2022-05-31,95.501,95.621,89114TZL9=
2022-06-01,95.073,95.193,89114TZL9=
2022-06-02,95.031,95.15,89114TZL9=
2022-06-03,95.003,95.122,89114TZL9=
2022-06-06,94.958,95.077,89114TZL9=
2022-06-07,94.968,95.087,89114TZL9=
2022-06-08,94.835,94.954,89114TZL9=
2022-06-09,94.66,94.778,89114TZL9=
2022-06-10,94.219,94.337,89114TZL9=
2022-06-13,93.466,93.582,89114TZL9=
2022-06-14,93.154,93.27,89114TZL9=
2022-06-15,93.681,93.797,89114TZL9=
2022-06-16,93.767,93.883,89114TZL9=
2022-06-17,93.753,93.869,89114TZL9=
2022-06-20,93.675,93.791,89114TZL9=
2022-06-21,93.658,93.773,89114TZL9=
2022-06-22,94.006,94.122,89114TZL9=
2022-06-23,94.163,94.279,89114TZL9=
2022-06-24,94.352,94.467,89114TZL9=
2022-06-27,94.053,94.168,89114TZL9=
2022-06-28,94.2,94.315,89114TZL9=
2022-06-29,94.326,94.441,89114TZL9=
2022-06-30,94.575,94.69,89114TZL9=
2022-07-01,94.757,94.873,89114TZL9=
2022-07-04,94.958,95.074,89114TZL9=
2022-07-05,94.94,95.055,89114TZL9=
2022-07-06,94.635,94.75,89114TZL9=
2022-07-07,94.623,94.737,89114TZL9=
2022-07-08,94.278,94.391,89114TZL9=
2022-07-11,94.436,94.55,89114TZL9=
2022-07-12,94.565,94.678,89114TZL9=
2022-07-13,94.284,94.398,89114TZL9=
2022-07-14,94.461,94.574,89114TZL9=
2022-07-15,94.505,94.618,89114TZL9=
2022-07-18,94.421,94.534,89114TZL9=
2022-07-19,94.278,94.39,89114TZL9=
2022-07-20,94.372,94.484,89114TZL9=
2022-07-21,94.79,94.903,89114TZL9=
2022-07-22,95.279,95.393,89114TZL9=
2022-07-25,95.02,95.133,89114TZL9=
