Date,BID,ASK,RIC
2022-01-10,99.253,99.692,89114TZQ8=
2022-01-11,99.245,99.683,89114TZQ8=
2022-01-12,99.018,99.455,89114TZQ8=
2022-01-13,99.552,99.991,89114TZQ8=
2022-01-14,98.767,99.202,89114TZQ8=
2022-01-17,98.533,98.967,89114TZQ8=
2022-01-18,98.041,98.472,89114TZQ8=
2022-01-19,98.222,98.654,89114TZQ8=
2022-01-20,98.335,98.768,89114TZQ8=
2022-01-21,98.751,99.186,89114TZQ8=
2022-01-24,98.035,98.466,89114TZQ8=
2022-01-25,98.293,98.726,89114TZQ8=
2022-01-26,97.633,98.061,89114TZQ8=
2022-01-27,97.884,98.314,89114TZQ8=
2022-01-28,98.106,98.536,89114TZQ8=
2022-01-31,97.883,98.313,89114TZQ8=
2022-02-01,97.952,98.382,89114TZQ8=
2022-02-02,97.987,98.417,89114TZQ8=
2022-02-03,97.527,97.954,89114TZQ8=
2022-02-07,96.243,96.663,89114TZQ8=
2022-02-08,96.101,96.521,89114TZQ8=
2022-02-09,96.421,96.842,89114TZQ8=
2022-02-10,95.123,95.538,89114TZQ8=
2022-02-11,96.248,96.668,89114TZQ8=
2022-02-14,96.015,96.433,89114TZQ8=
2022-02-15,95.375,95.79,89114TZQ8=
2022-02-16,94.905,95.318,89114TZQ8=
2022-02-17,95.422,95.837,89114TZQ8=
2022-02-18,95.696,96.113,89114TZQ8=
2022-02-21,95.868,96.286,89114TZQ8=
2022-02-22,95.044,95.457,89114TZQ8=
2022-02-23,94.847,95.259,89114TZQ8=
2022-02-24,94.441,94.851,89114TZQ8=
2022-02-25,94.92,95.332,89114TZQ8=
2022-02-28,95.98,96.397,89114TZQ8=
2022-03-01,96.615,97.035,89114TZQ8=
2022-03-02,95.435,95.849,89114TZQ8=
2022-03-03,95.504,95.918,89114TZQ8=
2022-03-04,96.435,96.854,89114TZQ8=
2022-03-07,95.514,95.928,89114TZQ8=
2022-03-08,94.196,94.604,89114TZQ8=
2022-03-09,92.884,93.285,89114TZQ8=
2022-03-10,92.49,92.889,89114TZQ8=
2022-03-11,92.159,92.556,89114TZQ8=
2022-03-14,90.849,91.24,89114TZQ8=
2022-03-15,90.953,91.343,89114TZQ8=
2022-03-16,90.62,91.009,89114TZQ8=
2022-03-17,91.055,91.446,89114TZQ8=
2022-03-18,91.714,92.108,89114TZQ8=
2022-03-21,91.215,91.606,89114TZQ8=
2022-03-22,90.874,91.264,89114TZQ8=
2022-03-23,91.43,91.823,89114TZQ8=
2022-03-24,90.968,91.358,89114TZQ8=
2022-03-25,90.366,90.753,89114TZQ8=
2022-03-28,90.23,90.616,89114TZQ8=
2022-03-29,90.593,90.981,89114TZQ8=
2022-03-30,91.929,92.323,89114TZQ8=
2022-03-31,92.115,92.51,89114TZQ8=
2022-04-01,91.842,92.235,89114TZQ8=
2022-04-04,91.82,92.214,89114TZQ8=
2022-04-05,90.879,91.267,89114TZQ8=
2022-04-06,90.464,90.85,89114TZQ8=
2022-04-07,89.346,89.727,89114TZQ8=
2022-04-08,89.204,89.584,89114TZQ8=
2022-04-11,88.228,88.603,89114TZQ8=
2022-04-12,88.433,88.809,89114TZQ8=
2022-04-13,88.324,88.699,89114TZQ8=
2022-04-14,88.372,88.747,89114TZQ8=
2022-04-15,88.512,88.888,89114TZQ8=
2022-04-18,87.26,87.63,89114TZQ8=
2022-04-19,86.873,87.241,89114TZQ8=
2022-04-20,87.082,87.45,89114TZQ8=
2022-04-21,86.973,87.341,89114TZQ8=
2022-04-22,86.275,86.639,89114TZQ8=
2022-04-25,86.613,86.979,89114TZQ8=
2022-04-26,87.276,87.645,89114TZQ8=
2022-04-27,86.27,86.634,89114TZQ8=
2022-04-28,86.236,86.6,89114TZQ8=
2022-04-29,85.41,85.769,89114TZQ8=
2022-05-02,84.841,85.198,89114TZQ8=
2022-05-03,85.187,85.546,89114TZQ8=
