Date,BID,ASK,RIC
2022-03-09,98.964,99.193,89114TZT2=
2022-03-10,98.883,99.112,89114TZT2=
2022-03-11,98.596,98.824,89114TZT2=
2022-03-14,98.049,98.275,89114TZT2=
2022-03-15,97.856,98.081,89114TZT2=
2022-03-16,97.861,98.087,89114TZT2=
2022-03-17,98.053,98.279,89114TZT2=
2022-03-18,98.068,98.293,89114TZT2=
2022-03-21,98.163,98.389,89114TZT2=
2022-03-22,97.858,98.083,89114TZT2=
2022-03-23,98.269,98.494,89114TZT2=
2022-03-24,97.912,98.136,89114TZT2=
2022-03-25,97.181,97.404,89114TZT2=
2022-03-28,97.365,97.588,89114TZT2=
2022-03-29,97.942,98.166,89114TZT2=
2022-03-30,98.445,98.67,89114TZT2=
2022-03-31,98.335,98.56,89114TZT2=
2022-04-01,97.723,97.946,89114TZT2=
2022-04-04,97.719,97.942,89114TZT2=
2022-04-05,97.06,97.281,89114TZT2=
2022-04-06,97.181,97.402,89114TZT2=
2022-04-07,97.229,97.45,89114TZT2=
2022-04-08,96.737,96.957,89114TZT2=
2022-04-11,96.341,96.559,89114TZT2=
2022-04-12,96.679,96.899,89114TZT2=
2022-04-13,96.638,96.857,89114TZT2=
2022-04-14,96.161,96.378,89114TZT2=
2022-04-15,96.258,96.476,89114TZT2=
2022-04-18,96.163,96.38,89114TZT2=
2022-04-19,95.027,95.241,89114TZT2=
2022-04-20,95.484,95.699,89114TZT2=
2022-04-21,95.551,95.766,89114TZT2=
2022-04-22,94.971,95.185,89114TZT2=
2022-04-25,95.367,95.581,89114TZT2=
2022-04-26,95.993,96.209,89114TZT2=
2022-04-27,95.637,95.852,89114TZT2=
2022-04-28,95.264,95.477,89114TZT2=
2022-04-29,94.955,95.168,89114TZT2=
2022-05-02,94.847,95.06,89114TZT2=
2022-05-03,94.55,94.761,89114TZT2=
2022-05-04,95.158,95.371,89114TZT2=
2022-05-05,95.026,95.238,89114TZT2=
2022-05-06,94.421,94.631,89114TZT2=
2022-05-09,94.735,94.946,89114TZT2=
2022-05-10,95.156,95.369,89114TZT2=
2022-05-11,95.29,95.503,89114TZT2=
