Date,BID,ASK,RIC
2022-03-09,98.459,98.877,89114TZV7=
2022-03-10,98.068,98.485,89114TZV7=
2022-03-11,97.944,98.36,89114TZV7=
2022-03-14,96.36,96.768,89114TZV7=
2022-03-15,96.76,97.17,89114TZV7=
2022-03-16,96.876,97.285,89114TZV7=
2022-03-17,97.839,98.254,89114TZV7=
2022-03-18,98.08,98.495,89114TZV7=
2022-03-21,97.453,97.865,89114TZV7=
2022-03-22,97.182,97.593,89114TZV7=
2022-03-23,97.742,98.155,89114TZV7=
2022-03-24,96.801,97.209,89114TZV7=
2022-03-25,95.942,96.346,89114TZV7=
2022-03-28,96.161,96.566,89114TZV7=
2022-03-29,97.604,98.016,89114TZV7=
2022-03-30,97.877,98.29,89114TZV7=
2022-03-31,98.159,98.574,89114TZV7=
2022-04-01,97.878,98.292,89114TZV7=
2022-04-04,97.813,98.226,89114TZV7=
2022-04-05,96.587,96.994,89114TZV7=
2022-04-06,95.869,96.272,89114TZV7=
2022-04-07,95.543,95.944,89114TZV7=
2022-04-08,94.258,94.652,89114TZV7=
2022-04-11,93.803,94.196,89114TZV7=
2022-04-12,94.016,94.41,89114TZV7=
2022-04-13,94.194,94.588,89114TZV7=
2022-04-14,92.994,93.382,89114TZV7=
2022-04-15,93.139,93.528,89114TZV7=
2022-04-18,92.532,92.918,89114TZV7=
2022-04-19,91.913,92.296,89114TZV7=
2022-04-20,92.482,92.867,89114TZV7=
2022-04-21,91.959,92.341,89114TZV7=
2022-04-22,91.542,91.922,89114TZV7=
2022-04-25,92.092,92.475,89114TZV7=
2022-04-26,92.8,93.186,89114TZV7=
2022-04-27,91.578,91.958,89114TZV7=
2022-04-28,91.75,92.131,89114TZV7=
2022-04-29,90.996,91.373,89114TZV7=
2022-05-02,90.57,90.945,89114TZV7=
2022-05-03,90.797,91.173,89114TZV7=
2022-05-04,90.897,91.273,89114TZV7=
2022-05-05,90.305,90.678,89114TZV7=
2022-05-06,89.344,89.713,89114TZV7=
2022-05-09,89.406,89.775,89114TZV7=
2022-05-10,89.784,90.155,89114TZV7=
2022-05-11,90.604,90.978,89114TZV7=
2022-05-12,90.7,91.075,89114TZV7=
2022-05-13,90.448,90.822,89114TZV7=
2022-05-16,90.25,90.622,89114TZV7=
2022-05-17,89.763,90.133,89114TZV7=
2022-05-18,89.81,90.18,89114TZV7=
2022-05-19,90.625,90.999,89114TZV7=
2022-05-20,90.732,91.106,89114TZV7=
2022-05-23,90.436,90.808,89114TZV7=
2022-05-24,91.222,91.598,89114TZV7=
2022-05-25,91.292,91.668,89114TZV7=
2022-05-26,92.096,92.476,89114TZV7=
2022-05-27,92.023,92.403,89114TZV7=
2022-05-30,91.848,92.227,89114TZV7=
2022-05-31,91.55,91.927,89114TZV7=
2022-06-01,90.989,91.364,89114TZV7=
2022-06-02,90.846,91.22,89114TZV7=
2022-06-03,90.766,91.139,89114TZV7=
2022-06-06,90.227,90.597,89114TZV7=
2022-06-07,90.681,91.054,89114TZV7=
2022-06-08,90.232,90.602,89114TZV7=
2022-06-09,89.929,90.297,89114TZV7=
2022-06-10,88.938,89.301,89114TZV7=
2022-06-13,87.46,87.817,89114TZV7=
2022-06-14,86.769,87.122,89114TZV7=
2022-06-15,86.779,87.132,89114TZV7=
2022-06-16,88.062,88.421,89114TZV7=
2022-06-17,87.893,88.251,89114TZV7=
2022-06-20,87.648,88.005,89114TZV7=
2022-06-21,87.782,88.139,89114TZV7=
2022-06-22,87.906,88.264,89114TZV7=
2022-06-23,88.207,88.566,89114TZV7=
2022-06-24,88.432,88.792,89114TZV7=
2022-06-27,88.191,88.55,89114TZV7=
2022-06-28,88.229,88.588,89114TZV7=
2022-06-29,87.804,88.161,89114TZV7=
2022-06-30,89.049,89.411,89114TZV7=
2022-07-01,89.239,89.602,89114TZV7=
2022-07-04,89.663,90.029,89114TZV7=
2022-07-05,89.977,90.344,89114TZV7=
2022-07-06,89.658,90.023,89114TZV7=
2022-07-07,89.317,89.68,89114TZV7=
2022-07-08,89.175,89.537,89114TZV7=
2022-07-11,89.736,90.101,89114TZV7=
2022-07-12,89.607,89.971,89114TZV7=
2022-07-13,89.726,90.091,89114TZV7=
2022-07-14,89.276,89.639,89114TZV7=
2022-07-15,89.634,89.998,89114TZV7=
2022-07-18,89.404,89.767,89114TZV7=
2022-07-19,88.852,89.212,89114TZV7=
2022-07-20,88.646,89.005,89114TZV7=
2022-07-21,90.355,90.722,89114TZV7=
2022-07-22,91.314,91.686,89114TZV7=
2022-07-25,90.984,91.353,89114TZV7=
2022-07-26,89.41,89.772,89114TZV7=
2022-07-27,90.269,90.635,89114TZV7=
2022-07-28,90.522,90.889,89114TZV7=
2022-07-29,92.399,92.775,89114TZV7=
2022-08-01,92.251,92.626,89114TZV7=
2022-08-02,92.253,92.628,89114TZV7=
2022-08-03,92.345,92.72,89114TZV7=
2022-08-04,92.231,92.605,89114TZV7=
2022-08-05,90.79,91.157,89114TZV7=
2022-08-08,92.026,92.399,89114TZV7=
2022-08-09,92.11,92.483,89114TZV7=
2022-08-10,91.918,92.291,89114TZV7=
2022-08-11,90.423,90.788,89114TZV7=
2022-08-12,92.545,92.92,89114TZV7=
2022-08-15,92.614,92.989,89114TZV7=
2022-08-16,92.429,92.803,89114TZV7=
2022-08-17,91.569,91.939,89114TZV7=
2022-08-18,91.634,92.005,89114TZV7=
2022-08-19,90.245,90.609,89114TZV7=
2022-08-22,90.422,90.786,89114TZV7=
2022-08-23,89.234,89.593,89114TZV7=
2022-08-24,89.151,89.509,89114TZV7=
2022-08-25,90.296,90.659,89114TZV7=
2022-08-26,89.297,89.656,89114TZV7=
2022-08-29,89.474,89.834,89114TZV7=
2022-08-30,89.285,89.644,89114TZV7=
2022-08-31,88.76,89.116,89114TZV7=
2022-09-01,88.044,88.396,89114TZV7=
2022-09-02,87.794,88.145,89114TZV7=
2022-09-05,87.543,87.892,89114TZV7=
2022-09-06,87.197,87.545,89114TZV7=
2022-09-07,87.228,87.576,89114TZV7=
2022-09-08,87.265,87.613,89114TZV7=
2022-09-09,87.115,87.462,89114TZV7=
2022-09-12,87.374,87.723,89114TZV7=
2022-09-13,85.741,86.082,89114TZV7=
2022-09-14,86.647,86.992,89114TZV7=
2022-09-15,86.457,86.801,89114TZV7=
2022-09-16,86.254,86.597,89114TZV7=
2022-09-19,85.841,86.182,89114TZV7=
2022-09-20,84.731,85.067,89114TZV7=
2022-09-21,85.712,86.052,89114TZV7=
2022-09-22,84.271,84.604,89114TZV7=
