Date,BID,ASK,RIC
2022-06-13,97.018,97.18,89114VA31=
2022-06-14,96.696,96.858,89114VA31=
2022-06-15,97.396,97.558,89114VA31=
2022-06-16,97.602,97.764,89114VA31=
2022-06-17,97.398,97.56,89114VA31=
2022-06-20,97.327,97.489,89114VA31=
2022-06-21,97.455,97.617,89114VA31=
2022-06-22,97.904,98.067,89114VA31=
2022-06-23,98.143,98.305,89114VA31=
2022-06-24,98.062,98.224,89114VA31=
2022-06-27,97.885,98.047,89114VA31=
2022-06-28,97.911,98.073,89114VA31=
2022-06-29,98.177,98.339,89114VA31=
2022-06-30,98.438,98.6,89114VA31=
2022-07-01,98.866,99.029,89114VA31=
2022-07-04,98.832,98.995,89114VA31=
2022-07-05,98.988,99.151,89114VA31=
2022-07-06,98.537,98.699,89114VA31=
2022-07-07,98.425,98.586,89114VA31=
2022-07-08,98.16,98.321,89114VA31=
2022-07-11,98.27,98.431,89114VA31=
2022-07-12,98.319,98.48,89114VA31=
2022-07-13,98.139,98.3,89114VA31=
2022-07-14,98.112,98.272,89114VA31=
2022-07-15,98.194,98.354,89114VA31=
2022-07-18,98.079,98.239,89114VA31=
2022-07-19,97.894,98.054,89114VA31=
2022-07-20,97.919,98.079,89114VA31=
2022-07-21,98.377,98.536,89114VA31=
2022-07-22,98.734,98.894,89114VA31=
2022-07-25,98.617,98.777,89114VA31=
2022-07-26,98.543,98.703,89114VA31=
2022-07-27,98.7,98.86,89114VA31=
2022-07-28,99.02,99.18,89114VA31=
2022-07-29,99.001,99.161,89114VA31=
2022-08-01,99.007,99.167,89114VA31=
2022-08-02,98.533,98.692,89114VA31=
2022-08-03,98.541,98.7,89114VA31=
2022-08-04,98.614,98.772,89114VA31=
2022-08-05,98.15,98.307,89114VA31=
2022-08-08,98.244,98.402,89114VA31=
2022-08-09,98.079,98.237,89114VA31=
2022-08-10,98.187,98.344,89114VA31=
2022-08-11,98.127,98.284,89114VA31=
2022-08-12,98.114,98.27,89114VA31=
2022-08-15,98.273,98.43,89114VA31=
2022-08-16,98.059,98.215,89114VA31=
2022-08-17,97.875,98.031,89114VA31=
2022-08-18,97.992,98.147,89114VA31=
2022-08-19,97.888,98.044,89114VA31=
2022-08-22,97.657,97.812,89114VA31=
2022-08-23,97.677,97.832,89114VA31=
2022-08-24,97.531,97.685,89114VA31=
2022-08-25,97.636,97.79,89114VA31=
2022-08-26,97.595,97.749,89114VA31=
2022-08-29,97.421,97.574,89114VA31=
2022-08-30,97.365,97.518,89114VA31=
2022-08-31,97.211,97.364,89114VA31=
2022-09-01,97.251,97.404,89114VA31=
2022-09-02,97.434,97.587,89114VA31=
2022-09-05,97.314,97.467,89114VA31=
2022-09-06,97.046,97.198,89114VA31=
2022-09-07,97.271,97.423,89114VA31=
2022-09-08,97.061,97.213,89114VA31=
2022-09-09,96.989,97.141,89114VA31=
2022-09-12,96.956,97.107,89114VA31=
2022-09-13,96.566,96.716,89114VA31=
2022-09-14,96.473,96.623,89114VA31=
2022-09-15,96.316,96.465,89114VA31=
2022-09-16,96.377,96.527,89114VA31=
2022-09-19,96.188,96.337,89114VA31=
2022-09-20,96.076,96.225,89114VA31=
2022-09-21,95.906,96.054,89114VA31=
2022-09-22,95.542,95.689,89114VA31=
2022-09-23,95.302,95.449,89114VA31=
2022-09-26,94.736,94.881,89114VA31=
2022-09-27,94.846,94.992,89114VA31=
2022-09-28,95.499,95.646,89114VA31=
2022-09-29,95.346,95.493,89114VA31=
2022-09-30,95.16,95.305,89114VA31=
2022-10-03,95.666,95.812,89114VA31=
2022-10-04,95.705,95.852,89114VA31=
2022-10-05,95.49,95.636,89114VA31=
2022-10-06,95.126,95.271,89114VA31=
2022-10-07,94.992,95.137,89114VA31=
2022-10-10,94.963,95.108,89114VA31=
2022-10-11,94.982,95.126,89114VA31=
2022-10-12,95.09,95.235,89114VA31=
2022-10-13,94.733,94.877,89114VA31=
2022-10-14,94.586,94.729,89114VA31=
2022-10-17,94.757,94.9,89114VA31=
2022-10-18,94.789,94.932,89114VA31=
2022-10-19,94.402,94.544,89114VA31=
2022-10-21,94.539,94.681,89114VA31=
2022-10-24,94.513,94.656,89114VA31=
2022-10-25,94.741,94.883,89114VA31=
2022-10-26,94.947,95.089,89114VA31=
2022-10-27,95.336,95.478,89114VA31=
2022-10-28,95.024,95.166,89114VA31=
2022-10-31,94.823,94.965,89114VA31=
2022-11-01,94.662,94.803,89114VA31=
2022-11-02,94.52,94.661,89114VA31=
2022-11-03,94.297,94.438,89114VA31=
2022-11-04,94.453,94.594,89114VA31=
2022-11-07,94.296,94.436,89114VA31=
2022-11-08,94.54,94.681,89114VA31=
2022-11-09,94.736,94.876,89114VA31=
2022-11-10,95.589,95.731,89114VA31=
2022-11-11,95.494,95.635,89114VA31=
2022-11-14,95.439,95.58,89114VA31=
2022-11-15,95.689,95.831,89114VA31=
2022-11-16,95.692,95.833,89114VA31=
2022-11-17,95.493,95.634,89114VA31=
2022-11-18,95.302,95.442,89114VA31=
2022-11-21,95.237,95.377,89114VA31=
2022-11-22,95.339,95.479,89114VA31=
2022-11-23,95.532,95.672,89114VA31=
2022-11-24,95.651,95.791,89114VA31=
2022-11-25,95.547,95.687,89114VA31=
2022-11-28,95.573,95.712,89114VA31=
2022-11-29,95.469,95.608,89114VA31=
2022-11-30,95.935,96.075,89114VA31=
2022-12-01,96.199,96.339,89114VA31=
2022-12-02,96.13,96.27,89114VA31=
2022-12-05,95.801,95.94,89114VA31=
2022-12-06,95.867,96.006,89114VA31=
2022-12-07,96.146,96.285,89114VA31=
2022-12-08,96.005,96.144,89114VA31=
2022-12-09,95.899,96.038,89114VA31=
2022-12-12,95.804,95.943,89114VA31=
2022-12-13,96.259,96.398,89114VA31=
2022-12-14,96.322,96.461,89114VA31=
2022-12-15,96.252,96.39,89114VA31=
2022-12-16,96.36,96.498,89114VA31=
2022-12-19,96.12,96.258,89114VA31=
2022-12-20,96.064,96.202,89114VA31=
2022-12-21,96.141,96.279,89114VA31=
2022-12-22,96.045,96.182,89114VA31=
2022-12-23,95.922,96.059,89114VA31=
2022-12-27,95.727,95.863,89114VA31=
2022-12-28,95.701,95.838,89114VA31=
2022-12-29,95.759,95.895,89114VA31=
2022-12-30,95.616,95.751,89114VA31=
2023-01-02,95.707,95.842,89114VA31=
2023-01-03,95.805,95.941,89114VA31=
2023-01-04,95.926,96.062,89114VA31=
