Date,BID,ASK,RIC
2023-03-01,99.134,99.348,89114X6D0=
2023-03-02,99.076,99.29,89114X6D0=
2023-03-03,99.158,99.372,89114X6D0=
2023-03-06,99.893,100.047,89114X6D0=
2023-03-07,99.694,99.909,89114X6D0=
2023-03-08,99.635,99.85,89114X6D0=
2023-03-09,99.856,100.039,89114X6D0=
2023-03-10,99.911,100.05,89114X6D0=
2023-03-13,100.536,100.583,89114X6D0=
2023-03-14,99.869,100.041,89114X6D0=
2023-03-15,100.275,100.321,89114X6D0=
2023-03-16,99.93,100.054,89114X6D0=
2023-03-17,99.933,100.054,89114X6D0=
2023-03-20,99.499,99.712,89114X6D0=
2023-03-21,99.488,99.702,89114X6D0=
2023-03-22,99.681,99.894,89114X6D0=
2023-03-23,100.147,100.191,89114X6D0=
2023-03-24,100.221,100.266,89114X6D0=
2023-03-27,100.23,100.275,89114X6D0=
2023-03-28,100.103,100.147,89114X6D0=
2023-03-29,100.106,100.15,89114X6D0=
2023-03-30,100.115,100.158,89114X6D0=
2023-03-31,100.137,100.181,89114X6D0=
2023-04-03,100.155,100.199,89114X6D0=
2023-04-04,100.13,100.173,89114X6D0=
2023-04-05,100.135,100.178,89114X6D0=
2023-04-06,100.106,100.149,89114X6D0=
2023-04-07,99.981,100.062,89114X6D0=
2023-04-10,100.119,100.162,89114X6D0=
2023-04-11,100.151,100.193,89114X6D0=
2023-04-12,100.145,100.187,89114X6D0=
2023-04-13,100.136,100.178,89114X6D0=
2023-04-14,100.153,100.194,89114X6D0=
2023-04-17,100.124,100.165,89114X6D0=
2023-04-18,100.132,100.174,89114X6D0=
2023-04-19,100.141,100.182,89114X6D0=
2023-04-20,100.136,100.177,89114X6D0=
2023-04-21,100.119,100.16,89114X6D0=
2023-04-24,100.127,100.168,89114X6D0=
2023-04-25,100.142,100.183,89114X6D0=
2023-04-26,100.096,100.136,89114X6D0=
2023-04-27,100.13,100.17,89114X6D0=
2023-04-28,100.151,100.191,89114X6D0=
2023-05-01,100.248,100.287,89114X6D0=
2023-05-02,100.133,100.173,89114X6D0=
2023-05-03,100.158,100.197,89114X6D0=
2023-05-04,100.109,100.148,89114X6D0=
2023-05-05,100.033,100.072,89114X6D0=
2023-05-08,100.277,100.316,89114X6D0=
2023-05-09,100.269,100.308,89114X6D0=
2023-05-10,100.286,100.324,89114X6D0=
2023-05-11,100.367,100.405,89114X6D0=
2023-05-12,100.358,100.396,89114X6D0=
2023-05-15,100.327,100.365,89114X6D0=
2023-05-16,100.287,100.325,89114X6D0=
2023-05-17,100.23,100.268,89114X6D0=
2023-05-18,100.128,100.165,89114X6D0=
2023-05-19,100.136,100.173,89114X6D0=
2023-05-22,100.104,100.141,89114X6D0=
2023-05-23,100.154,100.191,89114X6D0=
2023-05-24,100.082,100.118,89114X6D0=
2023-05-25,99.992,100.028,89114X6D0=
2023-05-26,99.953,99.989,89114X6D0=
2023-05-29,99.944,99.98,89114X6D0=
2023-05-30,100.099,100.135,89114X6D0=
2023-05-31,100.117,100.153,89114X6D0=
2023-06-01,100.129,100.165,89114X6D0=
2023-06-02,100.098,100.134,89114X6D0=
2023-06-05,100.03,100.065,89114X6D0=
2023-06-06,100.084,100.119,89114X6D0=
2023-06-07,99.989,100.024,89114X6D0=
2023-06-08,100.055,100.089,89114X6D0=
2023-06-09,99.985,100.02,89114X6D0=
2023-06-12,100.001,100.035,89114X6D0=
2023-06-13,99.907,99.941,89114X6D0=
2023-06-14,99.933,99.967,89114X6D0=
2023-06-15,100.002,100.035,89114X6D0=
2023-06-16,99.922,99.956,89114X6D0=
2023-06-20,99.983,100.017,89114X6D0=
2023-06-21,99.983,100.016,89114X6D0=
2023-06-22,99.931,99.964,89114X6D0=
2023-06-23,100.084,100.116,89114X6D0=
2023-06-26,99.862,99.895,89114X6D0=
2023-06-27,99.833,99.865,89114X6D0=
2023-06-28,99.867,99.899,89114X6D0=
2023-06-29,98.683,98.884,89114X6D0=
2023-06-30,98.621,98.822,89114X6D0=
2023-07-03,98.703,98.903,89114X6D0=
2023-07-04,98.784,98.985,89114X6D0=
2023-07-05,98.516,98.716,89114X6D0=
2023-07-07,98.034,98.233,89114X6D0=
2023-07-10,98.35,98.549,89114X6D0=
2023-07-11,98.219,98.418,89114X6D0=
2023-07-12,98.513,98.712,89114X6D0=
2023-07-13,99.311,99.511,89114X6D0=
2023-07-14,98.964,99.164,89114X6D0=
2023-07-17,99.092,99.292,89114X6D0=
2023-07-18,99.401,99.602,89114X6D0=
2023-07-19,99.397,99.597,89114X6D0=
2023-07-20,98.925,99.124,89114X6D0=
2023-07-21,98.916,99.115,89114X6D0=
