Date,BID,ASK,RIC
2022-06-03,100.2002,100.602,89115A2E1=
2022-06-06,99.5692,99.968,89115A2E1=
2022-06-07,100.0559,100.457,89115A2E1=
2022-06-08,99.6726,100.0717,89115A2E1=
2022-06-09,99.5134,99.9115,89115A2E1=
2022-06-10,98.5815,98.9751,89115A2E1=
2022-06-13,95.6742,96.0538,89115A2E1=
2022-06-14,94.7938,95.1692,89115A2E1=
2022-06-15,96.9041,97.2894,89115A2E1=
2022-06-16,96.3398,96.7221,89115A2E1=
2022-06-17,96.0664,96.4473,89115A2E1=
2022-06-20,95.8057,96.1854,89115A2E1=
2022-06-21,97.0919,97.4776,89115A2E1=
2022-06-22,97.9977,98.3877,89115A2E1=
2022-06-23,97.8511,98.2401,89115A2E1=
2022-06-24,97.4721,97.8592,89115A2E1=
2022-06-27,96.9798,97.3645,89115A2E1=
2022-06-28,97.1724,97.5579,89115A2E1=
2022-06-29,98.5691,98.9612,89115A2E1=
2022-06-30,99.1346,99.529,89115A2E1=
2022-07-01,99.9729,100.3712,89115A2E1=
2022-07-04,99.0118,99.4055,89115A2E1=
2022-07-05,99.1899,99.5844,89115A2E1=
2022-07-06,98.2977,98.6879,89115A2E1=
2022-07-07,97.7712,98.1586,89115A2E1=
2022-07-08,98.6261,99.0175,89115A2E1=
2022-07-11,98.9941,99.3872,89115A2E1=
2022-07-12,98.4628,98.8533,89115A2E1=
2022-07-13,98.2763,98.6658,89115A2E1=
2022-07-14,98.8774,99.2695,89115A2E1=
2022-07-15,99.191,99.5845,89115A2E1=
2022-07-18,99.0892,99.4821,89115A2E1=
2022-07-19,98.1773,98.5658,89115A2E1=
2022-07-20,98.0073,98.3949,89115A2E1=
2022-07-21,99.9478,100.3443,89115A2E1=
2022-07-22,101.223,101.6255,89115A2E1=
2022-07-25,100.0664,100.4633,89115A2E1=
2022-07-26,99.3881,99.7817,89115A2E1=
2022-07-27,99.766,100.1613,89115A2E1=
2022-07-28,101.2293,101.6314,89115A2E1=
2022-07-29,101.0927,101.494,89115A2E1=
2022-08-01,102.6273,103.0358,89115A2E1=
2022-08-02,102.5452,102.9532,89115A2E1=
2022-08-03,102.0737,102.4794,89115A2E1=
2022-08-04,101.6204,102.0237,89115A2E1=
2022-08-05,101.8213,102.2254,89115A2E1=
2022-08-08,102.2816,102.6878,89115A2E1=
2022-08-09,101.8043,102.2082,89115A2E1=
2022-08-10,101.8361,102.24,89115A2E1=
2022-08-11,99.3427,99.7346,89115A2E1=
2022-08-12,102.1004,102.5052,89115A2E1=
2022-08-15,102.3344,102.7402,89115A2E1=
2022-08-16,101.5681,101.9702,89115A2E1=
2022-08-17,101.2795,101.6802,89115A2E1=
2022-08-18,100.8641,101.2625,89115A2E1=
2022-08-19,101.1026,101.5021,89115A2E1=
2022-08-22,100.183,100.5781,89115A2E1=
2022-08-23,99.6722,100.0648,89115A2E1=
2022-08-24,98.3361,98.7223,89115A2E1=
2022-08-25,98.4759,98.8625,89115A2E1=
2022-08-26,99.181,99.5708,89115A2E1=
2022-08-29,98.9046,99.2932,89115A2E1=
2022-08-30,97.8544,98.2379,89115A2E1=
2022-08-31,97.8242,98.2075,89115A2E1=
2022-09-01,96.9672,97.3461,89115A2E1=
2022-09-02,97.2253,97.6054,89115A2E1=
2022-09-05,96.9531,97.3319,89115A2E1=
2022-09-06,96.4262,96.8024,89115A2E1=
2022-09-07,96.6074,96.9844,89115A2E1=
2022-09-08,96.6397,97.0166,89115A2E1=
2022-09-09,96.0338,96.4078,89115A2E1=
2022-09-12,96.9048,97.2828,89115A2E1=
2022-09-13,94.8656,95.234,89115A2E1=
2022-09-14,95.0728,95.442,89115A2E1=
2022-09-15,95.6303,96.0019,89115A2E1=
2022-09-16,95.4536,95.8243,89115A2E1=
2022-09-19,95.0784,95.4473,89115A2E1=
2022-09-20,93.7298,94.0923,89115A2E1=
2022-09-21,95.007,95.3754,89115A2E1=
2022-09-22,92.5092,92.8657,89115A2E1=
2022-09-23,93.1035,93.4627,89115A2E1=
2022-09-26,92.172,92.5268,89115A2E1=
2022-09-27,91.6728,92.0252,89115A2E1=
2022-09-28,92.31,92.6653,89115A2E1=
2022-09-29,91.0295,91.3786,89115A2E1=
2022-09-30,90.0145,90.3589,89115A2E1=
2022-10-03,92.574,92.9301,89115A2E1=
2022-10-04,92.9174,93.275,89115A2E1=
2022-10-05,92.4213,92.7765,89115A2E1=
2022-10-06,91.7021,92.0537,89115A2E1=
2022-10-07,90.7283,91.0753,89115A2E1=
2022-10-10,90.2241,90.5688,89115A2E1=
2022-10-11,89.9247,90.2679,89115A2E1=
2022-10-12,90.2357,90.5803,89115A2E1=
2022-10-13,89.4221,89.7627,89115A2E1=
2022-10-14,89.4109,89.7514,89115A2E1=
2022-10-17,89.3454,89.6855,89115A2E1=
2022-10-18,89.6537,89.9951,89115A2E1=
2022-10-19,88.5002,88.8363,89115A2E1=
2022-10-21,88.1028,88.4368,89115A2E1=
2022-10-24,88.1854,88.5197,89115A2E1=
2022-10-25,89.5815,89.9221,89115A2E1=
2022-10-26,89.8221,90.1637,89115A2E1=
2022-10-27,90.6777,91.0231,89115A2E1=
2022-10-28,89.9995,90.3417,89115A2E1=
2022-10-31,89.7972,90.1383,89115A2E1=
2022-11-01,90.0177,90.3598,89115A2E1=
2022-11-02,89.761,90.1018,89115A2E1=
2022-11-03,89.1386,89.4763,89115A2E1=
2022-11-04,89.3705,89.7092,89115A2E1=
2022-11-07,89.5556,89.8951,89115A2E1=
2022-11-08,89.8294,90.1701,89115A2E1=
2022-11-09,90.3089,90.6514,89115A2E1=
2022-11-10,93.0807,93.4358,89115A2E1=
2022-11-11,92.8056,93.1594,89115A2E1=
2022-11-14,92.9974,93.352,89115A2E1=
2022-11-15,93.7526,94.1106,89115A2E1=
2022-11-16,94.7388,95.1012,89115A2E1=
2022-11-17,94.2528,94.6127,89115A2E1=
2022-11-18,93.746,94.1035,89115A2E1=
2022-11-21,93.4556,93.8117,89115A2E1=
2022-11-22,94.1151,94.4741,89115A2E1=
2022-11-23,94.976,95.3386,89115A2E1=
2022-11-24,95.1631,95.5266,89115A2E1=
2022-11-25,95.398,95.7625,89115A2E1=
2022-11-28,95.2684,95.6322,89115A2E1=
2022-11-29,94.9726,95.335,89115A2E1=
2022-11-30,95.6928,96.0584,89115A2E1=
2022-12-01,96.5831,96.9525,89115A2E1=
2022-12-02,97.3838,97.7567,89115A2E1=
2022-12-05,96.932,97.3028,89115A2E1=
2022-12-06,96.7998,97.1699,89115A2E1=
2022-12-07,97.923,98.2981,89115A2E1=
