Date,BID,ASK,RIC
2023-01-06,100.969,101.189,89115A2M3=
2023-01-09,101.136,101.357,89115A2M3=
2023-01-10,100.884,101.104,89115A2M3=
2023-01-11,101.165,101.386,89115A2M3=
2023-01-12,101.706,101.927,89115A2M3=
2023-01-13,101.439,101.66,89115A2M3=
2023-01-16,101.333,101.554,89115A2M3=
2023-01-17,101.341,101.562,89115A2M3=
2023-01-18,102.182,102.405,89115A2M3=
2023-01-19,102.191,102.414,89115A2M3=
2023-01-20,101.752,101.973,89115A2M3=
2023-01-23,101.596,101.817,89115A2M3=
2023-01-24,101.803,102.024,89115A2M3=
2023-01-25,101.744,101.965,89115A2M3=
2023-01-26,101.636,101.856,89115A2M3=
2023-01-27,101.7,101.921,89115A2M3=
2023-01-30,101.727,101.947,89115A2M3=
2023-01-31,101.726,101.946,89115A2M3=
2023-02-01,102.285,102.507,89115A2M3=
2023-02-02,102.552,102.774,89115A2M3=
2023-02-03,101.708,101.928,89115A2M3=
2023-02-06,101.147,101.365,89115A2M3=
2023-02-07,101.238,101.456,89115A2M3=
2023-02-08,101.364,101.582,89115A2M3=
2023-02-09,101.231,101.449,89115A2M3=
2023-02-10,100.71,100.926,89115A2M3=
2023-02-13,100.787,101.004,89115A2M3=
2023-02-14,100.301,100.516,89115A2M3=
2023-02-15,100.301,100.517,89115A2M3=
2023-02-16,99.951,100.165,89115A2M3=
2023-02-17,100.167,100.381,89115A2M3=
2023-02-20,99.982,100.196,89115A2M3=
2023-02-21,99.585,99.798,89115A2M3=
2023-02-22,99.542,99.755,89115A2M3=
2023-02-23,99.694,99.906,89115A2M3=
2023-02-24,99.188,99.398,89115A2M3=
2023-02-27,99.492,99.703,89115A2M3=
2023-02-28,99.282,99.493,89115A2M3=
2023-03-01,99.182,99.392,89115A2M3=
2023-03-02,99.01,99.22,89115A2M3=
2023-03-03,99.159,99.369,89115A2M3=
2023-03-06,99.381,99.591,89115A2M3=
2023-03-07,98.867,99.076,89115A2M3=
2023-03-08,98.868,99.077,89115A2M3=
2023-03-09,99.068,99.277,89115A2M3=
2023-03-10,99.867,100.078,89115A2M3=
2023-03-13,100.667,100.88,89115A2M3=
2023-03-14,99.402,99.612,89115A2M3=
2023-03-15,100.441,100.653,89115A2M3=
2023-03-16,99.675,99.885,89115A2M3=
2023-03-17,100.003,100.214,89115A2M3=
2023-03-20,100.016,100.226,89115A2M3=
2023-03-21,99.972,100.183,89115A2M3=
2023-03-22,101.054,101.267,89115A2M3=
2023-03-23,101.264,101.477,89115A2M3=
2023-03-24,101.53,101.744,89115A2M3=
2023-03-27,100.97,101.182,89115A2M3=
2023-03-28,100.439,100.65,89115A2M3=
2023-03-29,100.557,100.768,89115A2M3=
2023-03-30,100.289,100.499,89115A2M3=
2023-03-31,100.871,101.083,89115A2M3=
2023-04-03,101.525,101.738,89115A2M3=
2023-04-04,101.999,102.213,89115A2M3=
2023-04-05,101.832,102.045,89115A2M3=
2023-04-06,101.748,101.961,89115A2M3=
2023-04-07,101.137,101.349,89115A2M3=
2023-04-10,100.909,101.12,89115A2M3=
2023-04-11,100.883,101.094,89115A2M3=
2023-04-12,101.13,101.341,89115A2M3=
2023-04-13,101.043,101.253,89115A2M3=
2023-04-14,100.767,100.976,89115A2M3=
2023-04-17,100.418,100.626,89115A2M3=
2023-04-18,100.502,100.71,89115A2M3=
2023-04-19,100.307,100.515,89115A2M3=
2023-04-20,100.492,100.701,89115A2M3=
2023-04-21,100.196,100.404,89115A2M3=
2023-04-24,100.839,101.048,89115A2M3=
2023-04-25,100.976,101.185,89115A2M3=
2023-04-26,101.193,101.403,89115A2M3=
2023-04-27,100.635,100.843,89115A2M3=
2023-04-28,101.15,101.359,89115A2M3=
2023-05-01,100.809,101.017,89115A2M3=
2023-05-02,100.743,100.951,89115A2M3=
2023-05-03,101.459,101.669,89115A2M3=
