Date,BID,ASK,RIC
2020-06-05,98.8953,99.4324,89788MAB8=
2020-06-08,100.2713,100.8166,89788MAB8=
2020-06-09,100.1445,100.6889,89788MAB8=
2020-06-10,100.9438,101.4929,89788MAB8=
2020-06-11,100.0268,100.57,89788MAB8=
2020-06-12,100.1803,100.7243,89788MAB8=
2020-06-15,100.0899,100.6332,89788MAB8=
2020-06-16,100.7148,101.2617,89788MAB8=
2020-06-17,100.3974,100.9423,89788MAB8=
2020-06-18,100.6271,101.1729,89788MAB8=
2020-06-19,100.788,101.3347,89788MAB8=
2020-06-22,100.6249,101.1705,89788MAB8=
2020-06-23,100.5968,101.142,89788MAB8=
2020-06-24,101.1064,101.6546,89788MAB8=
2020-06-25,101.2265,101.775,89788MAB8=
2020-06-26,101.7726,102.3243,89788MAB8=
2020-06-29,101.7256,102.2768,89788MAB8=
2020-06-30,101.524,102.0739,89788MAB8=
2020-07-01,102.0026,102.5548,89788MAB8=
2020-07-02,102.497,103.052,89788MAB8=
2020-07-03,102.5275,103.0827,89788MAB8=
2020-07-06,103.3179,103.8777,89788MAB8=
2020-07-07,103.3552,103.9151,89788MAB8=
2020-07-08,102.9276,103.4848,89788MAB8=
2020-07-09,103.5883,104.1491,89788MAB8=
2020-07-10,103.3898,103.9492,89788MAB8=
2020-07-13,103.2775,103.8361,89788MAB8=
2020-07-14,103.4904,104.0501,89788MAB8=
2020-07-15,103.3868,103.9458,89788MAB8=
2020-07-16,103.8521,104.4134,89788MAB8=
2020-07-17,104.0631,104.6256,89788MAB8=
2020-07-20,105.2944,105.8641,89788MAB8=
2020-07-21,105.2645,105.8339,89788MAB8=
2020-07-22,105.3201,105.8897,89788MAB8=
2020-07-23,105.2443,105.813,89788MAB8=
2020-07-24,105.0901,105.6577,89788MAB8=
2020-07-27,104.7028,105.268,89788MAB8=
2020-07-28,105.0311,105.5981,89788MAB8=
2020-07-29,105.4675,106.0371,89788MAB8=
2020-07-30,105.7554,106.3263,89788MAB8=
2020-07-31,105.09,105.6568,89788MAB8=
2020-08-03,105.456,106.0248,89788MAB8=
2020-08-04,106.0329,106.605,89788MAB8=
2020-08-05,105.9745,106.5461,89788MAB8=
2020-08-06,105.887,106.3623,89788MAB8=
2020-08-07,105.6179,106.0917,89788MAB8=
2020-08-10,105.7674,106.2419,89788MAB8=
2020-08-11,104.9831,105.4535,89788MAB8=
2020-08-12,104.7847,105.254,89788MAB8=
2020-08-13,104.2299,104.6961,89788MAB8=
2020-08-14,103.7556,104.2193,89788MAB8=
2020-08-17,103.8361,104.3001,89788MAB8=
2020-08-18,103.4425,103.9044,89788MAB8=
2020-08-19,103.1766,103.6371,89788MAB8=
2020-08-20,103.5226,103.9845,89788MAB8=
2020-08-21,103.4972,103.9588,89788MAB8=
2020-08-24,103.6916,104.1541,89788MAB8=
2020-08-25,103.263,103.7232,89788MAB8=
2020-08-26,103.3851,103.8458,89788MAB8=
2020-08-27,102.785,103.2425,89788MAB8=
2020-08-28,102.8924,103.3503,89788MAB8=
2020-08-31,102.9868,103.445,89788MAB8=
2020-09-01,103.7976,104.2597,89788MAB8=
2020-09-02,103.7838,104.2458,89788MAB8=
2020-09-03,103.8218,104.2835,89788MAB8=
2020-09-04,103.5038,103.9638,89788MAB8=
2020-09-07,103.4746,103.9344,89788MAB8=
2020-09-08,103.5555,104.0156,89788MAB8=
2020-09-09,103.9359,104.3978,89788MAB8=
2020-09-10,103.8224,104.2833,89788MAB8=
2020-09-11,103.9227,104.384,89788MAB8=
2020-09-14,103.8377,104.2985,89788MAB8=
2020-09-15,104.2715,104.7343,89788MAB8=
2020-09-16,103.7561,104.2162,89788MAB8=
2020-09-17,103.8469,104.3071,89788MAB8=
2020-09-18,103.767,104.2267,89788MAB8=
2020-09-21,103.4518,103.9098,89788MAB8=
2020-09-22,103.4357,103.8935,89788MAB8=
2020-09-23,103.0145,103.4701,89788MAB8=
2020-09-24,102.5091,102.9619,89788MAB8=
2020-09-25,102.472,102.9245,89788MAB8=
2020-09-28,102.4572,102.9095,89788MAB8=
2020-09-29,103.154,103.6096,89788MAB8=
2020-09-30,102.9132,103.3675,89788MAB8=
2020-10-01,103.1745,103.6297,89788MAB8=
2020-10-02,103.1037,103.5585,89788MAB8=
2020-10-05,102.7554,103.2083,89788MAB8=
2020-10-06,102.5795,103.0315,89788MAB8=
2020-10-07,103.5972,104.054,89788MAB8=
2020-10-08,103.6398,104.0964,89788MAB8=
2020-10-09,103.3751,103.8302,89788MAB8=
2020-10-12,103.5412,103.9972,89788MAB8=
2020-10-13,104.1716,104.6305,89788MAB8=
2020-10-14,103.9328,104.3904,89788MAB8=
2020-10-15,103.804,104.2606,89788MAB8=
2020-10-16,103.5465,104.0018,89788MAB8=
2020-10-19,103.3557,103.8099,89788MAB8=
2020-10-20,103.5594,104.0145,89788MAB8=
2020-10-21,103.3441,103.798,89788MAB8=
2020-10-22,103.3966,103.8504,89788MAB8=
2020-10-23,103.5134,103.9677,89788MAB8=
2020-10-26,103.49,103.944,89788MAB8=
2020-10-27,103.8476,104.3033,89788MAB8=
