Date,BID,ASK,RIC
2021-02-01,99.5,100.5,90014TAG6=
2021-02-02,99.5,100.5,90014TAG6=
2021-02-03,99.5,100.5,90014TAG6=
2021-02-04,99.5,100.5,90014TAG6=
2021-02-05,99.5,100.5,90014TAG6=
2021-02-08,99.5,100.5,90014TAG6=
2021-02-09,99.5,100.5,90014TAG6=
2021-02-10,99.5,100.5,90014TAG6=
2021-02-11,99.5,100.5,90014TAG6=
2021-02-12,99.5,100.5,90014TAG6=
2021-02-15,99.5,100.5,90014TAG6=
2021-02-16,99.5,100.5,90014TAG6=
2021-02-17,99.5,100.5,90014TAG6=
2021-02-18,99.5,100.5,90014TAG6=
2021-02-19,99.5,100.5,90014TAG6=
2021-02-22,99.5,100.5,90014TAG6=
2021-02-23,99.5,100.5,90014TAG6=
2021-02-24,99.5,100.5,90014TAG6=
2021-02-25,99.5,100.5,90014TAG6=
2021-02-26,99.5,100.5,90014TAG6=
2021-03-01,99.5,100.5,90014TAG6=
2021-03-02,99.5,100.5,90014TAG6=
2021-03-03,99.5,100.5,90014TAG6=
2021-03-04,99.5,100.5,90014TAG6=
2021-03-05,99.5,100.5,90014TAG6=
2021-03-08,99.5,100.5,90014TAG6=
2021-03-09,99.5,100.5,90014TAG6=
2021-03-10,99.5,100.5,90014TAG6=
2021-03-11,99.5,100.5,90014TAG6=
2021-03-12,99.5,100.5,90014TAG6=
2021-03-15,99.5,100.5,90014TAG6=
2021-03-16,99.5,100.5,90014TAG6=
2021-03-17,99.5,100.5,90014TAG6=
2021-03-18,99.5,100.5,90014TAG6=
2021-03-19,99.5,100.5,90014TAG6=
2021-03-22,99.5,100.5,90014TAG6=
2021-03-23,92.5,93.5,90014TAG6=
2021-03-24,92.5,93.5,90014TAG6=
2021-03-25,92.5,93.5,90014TAG6=
2021-03-26,92.5,93.5,90014TAG6=
2021-03-29,92.5,93.5,90014TAG6=
2021-03-30,92.5,93.5,90014TAG6=
2021-03-31,92.375,93.375,90014TAG6=
2021-04-01,92.75,93.75,90014TAG6=
2021-04-02,92.75,93.75,90014TAG6=
2021-04-05,93.5,94.5,90014TAG6=
2021-04-06,93.625,94.625,90014TAG6=
2021-04-07,94.0,95.0,90014TAG6=
2021-04-08,94.25,95.25,90014TAG6=
2021-04-09,94.5,95.5,90014TAG6=
2021-04-12,94.5,95.5,90014TAG6=
2021-04-13,94.625,95.625,90014TAG6=
2021-04-14,94.75,95.75,90014TAG6=
2021-04-15,95.125,96.125,90014TAG6=
2021-04-16,96.0,97.0,90014TAG6=
2021-04-19,96.25,97.25,90014TAG6=
2021-04-20,96.25,97.25,90014TAG6=
2021-04-21,96.5,97.5,90014TAG6=
2021-04-22,96.5,97.5,90014TAG6=
2021-04-23,96.5,97.5,90014TAG6=
2021-04-26,96.125,97.125,90014TAG6=
2021-04-27,96.125,97.125,90014TAG6=
2021-04-28,96.375,97.375,90014TAG6=
2021-04-29,96.25,97.25,90014TAG6=
2021-04-30,96.375,97.375,90014TAG6=
2021-05-03,96.375,97.375,90014TAG6=
2021-05-04,96.5,97.5,90014TAG6=
2021-05-05,96.5,97.5,90014TAG6=
2021-05-06,96.875,97.875,90014TAG6=
2021-05-07,97.125,98.125,90014TAG6=
2021-05-10,97.375,98.375,90014TAG6=
2021-05-11,97.5,98.5,90014TAG6=
2021-05-12,97.5,98.5,90014TAG6=
2021-05-13,97.125,98.125,90014TAG6=
2021-05-14,97.125,98.125,90014TAG6=
2021-05-17,97.25,98.25,90014TAG6=
2021-05-18,97.25,98.25,90014TAG6=
2021-05-19,97.25,98.25,90014TAG6=
2021-05-20,97.125,98.125,90014TAG6=
2021-05-21,97.25,98.25,90014TAG6=
2021-05-24,97.375,98.375,90014TAG6=
2021-05-25,97.375,98.375,90014TAG6=
2021-05-26,97.375,98.375,90014TAG6=
2021-05-27,97.5,98.5,90014TAG6=
2021-05-28,97.5,98.5,90014TAG6=
2021-05-31,97.25,98.25,90014TAG6=
2021-06-01,97.5,98.5,90014TAG6=
2021-06-02,97.5,98.5,90014TAG6=
2021-06-03,97.5,98.5,90014TAG6=
2021-06-04,97.625,98.625,90014TAG6=
2021-06-07,97.5,98.5,90014TAG6=
2021-06-08,97.625,98.625,90014TAG6=
2021-06-09,98.0,99.0,90014TAG6=
2021-06-10,98.125,99.125,90014TAG6=
2021-06-11,98.5,99.5,90014TAG6=
2021-06-14,98.625,99.625,90014TAG6=
2021-06-15,98.625,99.625,90014TAG6=
2021-06-16,98.5,99.5,90014TAG6=
2021-06-17,98.375,99.375,90014TAG6=
2021-06-18,98.375,99.375,90014TAG6=
2021-06-21,98.5,99.5,90014TAG6=
2021-06-22,98.25,99.25,90014TAG6=
2021-06-23,98.375,99.375,90014TAG6=
2021-06-24,98.375,99.375,90014TAG6=
2021-06-25,98.5,99.5,90014TAG6=
2021-06-28,98.375,99.375,90014TAG6=
2021-06-29,98.375,99.375,90014TAG6=
2021-06-30,98.25,99.25,90014TAG6=
2021-07-01,98.25,99.25,90014TAG6=
2021-07-02,98.375,99.375,90014TAG6=
2021-07-05,98.25,99.25,90014TAG6=
2021-07-06,98.375,99.375,90014TAG6=
2021-07-07,98.25,99.25,90014TAG6=
2021-07-08,98.25,99.25,90014TAG6=
2021-07-09,98.25,99.25,90014TAG6=
2021-07-12,98.25,99.25,90014TAG6=
2021-07-13,98.25,99.25,90014TAG6=
2021-07-14,98.25,99.25,90014TAG6=
2021-07-15,98.375,99.375,90014TAG6=
2021-07-16,98.5,99.5,90014TAG6=
2021-07-19,98.625,99.625,90014TAG6=
2021-07-20,98.5,99.5,90014TAG6=
2021-07-21,98.5,99.5,90014TAG6=
2021-07-22,98.5,99.5,90014TAG6=
2021-07-23,98.5,99.5,90014TAG6=
2021-07-26,98.5,99.5,90014TAG6=
2021-07-27,98.5,99.5,90014TAG6=
2021-07-28,98.5,99.5,90014TAG6=
2021-07-29,98.75,99.75,90014TAG6=
2021-07-30,98.875,99.875,90014TAG6=
2021-08-02,98.875,99.875,90014TAG6=
2021-08-03,99.0,100.0,90014TAG6=
2021-08-04,98.875,99.875,90014TAG6=
2021-08-05,98.875,99.875,90014TAG6=
2021-08-06,98.875,99.875,90014TAG6=
2021-08-09,98.75,99.75,90014TAG6=
2021-08-10,98.875,99.875,90014TAG6=
2021-08-11,98.875,99.875,90014TAG6=
2021-08-12,98.75,99.75,90014TAG6=
2021-08-13,98.75,99.75,90014TAG6=
2021-08-16,98.75,99.75,90014TAG6=
2021-08-17,98.75,99.75,90014TAG6=
