Date,BID,ASK,RIC
2018-04-27,99.6191,100.1142,90015LAD9=
2018-04-30,99.624,100.1191,90015LAD9=
2018-05-01,99.2055,99.6981,90015LAD9=
2018-05-02,99.2645,99.7572,90015LAD9=
2018-05-03,96.6186,97.095,90015LAD9=
2018-05-04,95.6051,96.0754,90015LAD9=
2018-05-07,95.6065,96.0766,90015LAD9=
2018-05-08,94.7968,95.2619,90015LAD9=
2018-05-09,93.9272,94.387,90015LAD9=
2018-05-10,93.9789,94.4385,90015LAD9=
2018-05-11,93.9488,94.408,90015LAD9=
2018-05-14,93.8273,94.2856,90015LAD9=
2018-05-15,92.9075,93.3603,90015LAD9=
2018-05-16,92.7881,93.24,90015LAD9=
2018-05-17,92.8223,93.2739,90015LAD9=
2018-05-18,93.0501,93.5028,90015LAD9=
2018-05-21,93.0118,93.4641,90015LAD9=
2018-05-22,92.6005,93.0503,90015LAD9=
2018-05-23,92.7106,93.1608,90015LAD9=
2018-05-24,93.5362,93.9906,90015LAD9=
2018-05-25,94.056,94.5133,90015LAD9=
2018-05-28,94.2864,94.745,90015LAD9=
2018-05-29,95.183,95.647,90015LAD9=
2018-05-30,96.0291,96.4978,90015LAD9=
2018-05-31,94.3839,94.8424,90015LAD9=
2018-06-01,94.5322,94.9914,90015LAD9=
2018-06-04,93.7644,94.2189,90015LAD9=
2018-06-05,93.6217,94.0752,90015LAD9=
2018-06-06,93.4884,93.9409,90015LAD9=
2018-06-07,93.4907,93.9427,90015LAD9=
2018-06-08,92.9765,93.4254,90015LAD9=
2018-06-11,92.169,92.613,90015LAD9=
2018-06-12,92.0567,92.4999,90015LAD9=
2018-06-13,91.12,91.5576,90015LAD9=
2018-06-14,90.7772,91.2123,90015LAD9=
2018-06-15,90.5596,90.9932,90015LAD9=
2018-06-18,90.0761,90.5068,90015LAD9=
2018-06-19,90.1741,90.6052,90015LAD9=
2018-06-20,89.5869,90.0144,90015LAD9=
2018-06-21,91.9381,92.3787,90015LAD9=
2018-06-22,92.9133,93.3594,90015LAD9=
2018-06-25,92.0053,92.4459,90015LAD9=
2018-06-26,91.374,91.8108,90015LAD9=
2018-06-27,92.0374,92.4779,90015LAD9=
2018-06-28,91.1736,91.6086,90015LAD9=
2018-06-29,92.7407,93.1846,90015LAD9=
2018-07-02,92.5339,92.9762,90015LAD9=
2018-07-03,92.5543,92.9966,90015LAD9=
2018-07-04,92.5002,92.9421,90015LAD9=
2018-07-05,92.9334,93.3773,90015LAD9=
2018-07-06,93.2109,93.6562,90015LAD9=
2018-07-09,94.4573,94.9097,90015LAD9=
2018-07-10,91.7392,92.1757,90015LAD9=
2018-07-11,90.7308,91.1614,90015LAD9=
2018-07-12,90.6939,91.1237,90015LAD9=
2018-07-13,89.305,89.7267,90015LAD9=
2018-07-16,88.9525,89.3721,90015LAD9=
2018-07-17,89.2079,89.6287,90015LAD9=
2018-07-18,90.0599,90.4854,90015LAD9=
2018-07-19,91.078,91.5088,90015LAD9=
2018-07-20,91.206,91.6374,90015LAD9=
2018-07-23,90.9732,91.4031,90015LAD9=
2018-07-24,90.2007,90.626,90015LAD9=
2018-07-25,89.9631,90.3869,90015LAD9=
2018-07-26,91.1015,91.5313,90015LAD9=
2018-07-27,90.5677,90.9945,90015LAD9=
2018-07-30,90.1894,90.6138,90015LAD9=
2018-07-31,89.4858,89.906,90015LAD9=
2018-08-01,89.0429,89.4605,90015LAD9=
2018-08-02,88.1458,88.5578,90015LAD9=
2018-08-03,87.9903,88.4012,90015LAD9=
2018-08-06,87.2814,87.6882,90015LAD9=
2018-08-07,86.2556,86.6564,90015LAD9=
2018-08-08,85.7829,86.1809,90015LAD9=
2018-08-09,84.5257,84.9161,90015LAD9=
2018-08-10,84.3798,84.7693,90015LAD9=
2018-08-13,80.2138,80.5798,90015LAD9=
2018-08-14,74.0,75.0,90015LAD9=
2018-08-15,76.0,77.0,90015LAD9=
2018-08-16,78.0,79.0,90015LAD9=
2018-08-17,79.75,80.75,90015LAD9=
2018-08-20,79.375,80.375,90015LAD9=
2018-08-21,80.0,81.0,90015LAD9=
2018-08-22,81.125,82.125,90015LAD9=
2018-08-23,80.875,81.875,90015LAD9=
2018-08-24,80.0,81.0,90015LAD9=
2018-08-27,80.25,81.25,90015LAD9=
2018-08-28,80.125,81.125,90015LAD9=
2018-08-29,79.625,80.625,90015LAD9=
2018-08-30,76.75,77.75,90015LAD9=
2018-08-31,76.97,78.471,90015LAD9=
2018-09-03,76.683,79.685,90015LAD9=
2018-09-04,76.445,77.446,90015LAD9=
2018-09-05,76.324,77.325,90015LAD9=
2018-09-06,76.04,77.54,90015LAD9=
2018-09-07,75.75,76.75,90015LAD9=
2018-09-10,78.75,79.75,90015LAD9=
2018-09-11,79.63,82.632,90015LAD9=
2018-09-12,81.016,84.018,90015LAD9=
2018-09-13,81.921,84.923,90015LAD9=
2018-09-14,83.0,84.0,90015LAD9=
2018-09-17,85.484,86.984,90015LAD9=
2018-09-18,86.862,88.363,90015LAD9=
2018-09-19,86.85,88.35,90015LAD9=
2018-09-20,88.656,91.658,90015LAD9=
2018-09-21,89.056,90.057,90015LAD9=
2018-09-24,89.807,91.307,90015LAD9=
2018-09-25,89.777,91.527,90015LAD9=
2018-09-26,89.615,90.616,90015LAD9=
2018-09-27,89.626,90.626,90015LAD9=
2018-09-28,89.5,90.5,90015LAD9=
2018-10-01,90.051,91.052,90015LAD9=
2018-10-02,88.98,89.981,90015LAD9=
2018-10-03,87.972,89.223,90015LAD9=
2018-10-04,86.868,88.369,90015LAD9=
2018-10-05,86.181,87.682,90015LAD9=
2018-10-08,86.345,87.346,90015LAD9=
2018-10-09,86.141,87.141,90015LAD9=
2018-10-10,86.779,87.779,90015LAD9=
2018-10-11,86.648,87.648,90015LAD9=
2018-10-12,87.812,88.813,90015LAD9=
2018-10-15,87.511,88.512,90015LAD9=
2018-10-16,88.036,89.036,90015LAD9=
2018-10-17,87.972,88.973,90015LAD9=
2018-10-18,88.24,89.241,90015LAD9=
2018-10-19,88.158,89.159,90015LAD9=
2018-10-22,88.247,89.247,90015LAD9=
2018-10-23,88.035,89.035,90015LAD9=
2018-10-24,87.777,88.778,90015LAD9=
2018-10-25,87.851,88.852,90015LAD9=
2018-10-26,88.25,89.25,90015LAD9=
2018-10-29,88.568,89.569,90015LAD9=
2018-10-30,88.858,89.858,90015LAD9=
2018-10-31,89.381,90.382,90015LAD9=
2018-11-01,89.124,90.125,90015LAD9=
2018-11-02,90.4,91.401,90015LAD9=
2018-11-05,90.592,91.593,90015LAD9=
2018-11-06,90.806,91.807,90015LAD9=
2018-11-07,91.057,92.058,90015LAD9=
2018-11-08,90.87,91.87,90015LAD9=
2018-11-09,90.658,91.658,90015LAD9=
2018-11-12,90.645,92.145,90015LAD9=
2018-11-13,90.337,91.338,90015LAD9=
2018-11-14,90.813,91.813,90015LAD9=
2018-11-15,90.449,91.199,90015LAD9=
2018-11-16,90.854,91.604,90015LAD9=
2018-11-19,90.636,91.386,90015LAD9=
2018-11-20,89.137,89.888,90015LAD9=
2018-11-21,88.527,89.277,90015LAD9=
2018-11-22,88.576,89.327,90015LAD9=
2018-11-23,88.634,89.384,90015LAD9=
2018-11-26,88.8,89.551,90015LAD9=
2018-11-27,88.244,88.995,90015LAD9=
2018-11-28,88.14,88.891,90015LAD9=
2018-11-29,88.736,89.486,90015LAD9=
2018-11-30,88.914,89.664,90015LAD9=
2018-12-03,89.201,89.952,90015LAD9=
2018-12-04,89.095,89.845,90015LAD9=
2018-12-05,89.022,89.772,90015LAD9=
2018-12-06,88.88,89.631,90015LAD9=
2018-12-07,89.526,90.396,90015LAD9=
2018-12-10,89.602,90.442,90015LAD9=
2018-12-11,89.862,90.775,90015LAD9=
2018-12-12,89.81,90.674,90015LAD9=
2018-12-13,89.729,91.595,90015LAD9=
2018-12-14,89.724,91.561,90015LAD9=
2018-12-17,89.809,91.484,90015LAD9=
2018-12-18,89.883,91.597,90015LAD9=
2018-12-19,89.949,91.629,90015LAD9=
2018-12-20,90.121,91.935,90015LAD9=
2018-12-21,91.334,93.048,90015LAD9=
2018-12-24,91.331,93.086,90015LAD9=
2018-12-26,91.08,92.719,90015LAD9=
2018-12-27,91.147,92.902,90015LAD9=
2018-12-28,91.208,92.848,90015LAD9=
2018-12-31,91.16,92.96,90015LAD9=
2019-01-02,91.405,92.62,90015LAD9=
2019-01-03,91.315,92.549,90015LAD9=
2019-01-04,91.516,92.772,90015LAD9=
2019-01-07,91.918,93.123,90015LAD9=
2019-01-08,91.148,92.248,90015LAD9=
2019-01-09,91.328,92.488,90015LAD9=
2019-01-10,91.203,92.333,90015LAD9=
2019-01-11,90.999,92.291,90015LAD9=
2019-01-14,90.65,91.831,90015LAD9=
2019-01-15,90.516,91.656,90015LAD9=
2019-01-16,91.11,92.212,90015LAD9=
2019-01-17,91.74,92.935,90015LAD9=
2019-01-18,92.146,93.321,90015LAD9=
2019-01-21,92.75,93.75,90015LAD9=
2019-01-22,92.125,93.125,90015LAD9=
2019-01-23,92.153,93.348,90015LAD9=
2019-01-24,93.625,94.625,90015LAD9=
2019-01-25,93.388,94.531,90015LAD9=
2019-01-28,93.25,94.25,90015LAD9=
2019-01-29,92.615,93.806,90015LAD9=
2019-01-30,92.867,94.087,90015LAD9=
2019-01-31,92.921,94.038,90015LAD9=
2019-02-01,93.798,94.937,90015LAD9=
2019-02-04,94.625,95.625,90015LAD9=
2019-02-05,94.632,95.882,90015LAD9=
2019-02-06,95.481,96.575,90015LAD9=
2019-02-07,95.625,96.625,90015LAD9=
2019-02-08,95.125,96.125,90015LAD9=
2019-02-11,94.625,95.625,90015LAD9=
2019-02-12,94.625,95.625,90015LAD9=
2019-02-13,94.625,95.625,90015LAD9=
2019-02-14,94.875,95.875,90015LAD9=
2019-02-15,95.0,96.0,90015LAD9=
2019-02-18,95.0,96.0,90015LAD9=
2019-02-19,95.0,96.0,90015LAD9=
2019-02-20,95.0,96.0,90015LAD9=
2019-02-21,95.25,96.25,90015LAD9=
2019-02-22,95.0,96.0,90015LAD9=
2019-02-25,95.0,96.0,90015LAD9=
2019-02-26,95.0,96.0,90015LAD9=
2019-02-27,95.0,96.0,90015LAD9=
2019-02-28,95.5,96.5,90015LAD9=
2019-03-01,95.0,96.0,90015LAD9=
2019-03-04,94.875,95.875,90015LAD9=
2019-03-05,94.625,95.625,90015LAD9=
2019-03-06,94.5,95.5,90015LAD9=
2019-03-07,94.125,95.125,90015LAD9=
2019-03-08,93.625,94.625,90015LAD9=
2019-03-11,93.164,94.289,90015LAD9=
2019-03-12,93.421,94.607,90015LAD9=
2019-03-13,93.263,94.471,90015LAD9=
2019-03-14,93.375,94.495,90015LAD9=
2019-03-15,93.58,94.771,90015LAD9=
2019-03-18,93.967,95.158,90015LAD9=
2019-03-19,94.212,95.436,90015LAD9=
2019-03-20,94.447,95.747,90015LAD9=
2019-03-21,94.78,95.86,90015LAD9=
2019-03-22,94.378,95.595,90015LAD9=
2019-03-25,93.627,94.767,90015LAD9=
2019-03-26,90.694,91.911,90015LAD9=
2019-03-27,89.69,90.94,90015LAD9=
2019-03-28,88.0,89.0,90015LAD9=
