Date,BID,ASK,RIC
2023-01-27,100.25,101.25,90015LAG2=
2023-01-30,100.25,101.25,90015LAG2=
2023-01-31,100.25,101.25,90015LAG2=
2023-02-01,100.25,101.25,90015LAG2=
2023-02-02,100.25,101.25,90015LAG2=
2023-02-03,100.25,101.25,90015LAG2=
2023-02-06,100.25,101.25,90015LAG2=
2023-02-07,100.25,101.25,90015LAG2=
2023-02-08,100.25,101.25,90015LAG2=
2023-02-09,100.25,101.25,90015LAG2=
2023-02-10,100.25,101.25,90015LAG2=
2023-02-13,100.25,101.25,90015LAG2=
2023-02-14,99.125,99.625,90015LAG2=
2023-02-15,99.125,99.625,90015LAG2=
2023-02-16,98.75,99.25,90015LAG2=
2023-02-17,98.875,99.375,90015LAG2=
2023-02-20,98.875,99.375,90015LAG2=
2023-02-21,98.5,99.0,90015LAG2=
2023-02-22,98.25,98.75,90015LAG2=
2023-02-23,98.5,99.0,90015LAG2=
2023-02-24,98.5,99.0,90015LAG2=
2023-02-27,98.5,99.0,90015LAG2=
2023-02-28,98.75,99.25,90015LAG2=
2023-03-01,98.75,99.25,90015LAG2=
2023-03-02,98.75,99.25,90015LAG2=
2023-03-03,98.875,99.375,90015LAG2=
2023-03-06,99.375,99.875,90015LAG2=
2023-03-07,99.875,100.375,90015LAG2=
2023-03-08,100.0,100.5,90015LAG2=
2023-03-09,99.5,100.0,90015LAG2=
2023-03-10,99.5,100.0,90015LAG2=
2023-03-13,100.0,100.5,90015LAG2=
2023-03-14,100.0,100.5,90015LAG2=
2023-03-15,99.875,100.375,90015LAG2=
2023-03-16,100.375,100.875,90015LAG2=
2023-03-17,100.625,101.125,90015LAG2=
2023-03-20,100.25,100.75,90015LAG2=
2023-03-21,100.625,101.125,90015LAG2=
2023-03-22,100.625,101.125,90015LAG2=
2023-03-23,100.875,101.375,90015LAG2=
2023-03-24,101.0,101.5,90015LAG2=
2023-03-27,100.875,101.375,90015LAG2=
2023-03-28,101.0,101.5,90015LAG2=
2023-03-29,101.0,101.5,90015LAG2=
2023-03-30,101.125,101.625,90015LAG2=
2023-03-31,101.0,101.5,90015LAG2=
2023-04-03,101.0,101.5,90015LAG2=
2023-04-04,101.0,101.5,90015LAG2=
2023-04-05,101.0,101.5,90015LAG2=
2023-04-06,101.0,101.5,90015LAG2=
2023-04-07,101.0,101.5,90015LAG2=
2023-04-10,101.0,101.5,90015LAG2=
2023-04-11,100.875,101.375,90015LAG2=
2023-04-12,101.0,101.5,90015LAG2=
2023-04-13,101.0,101.5,90015LAG2=
2023-04-14,101.0,101.5,90015LAG2=
2023-04-17,101.0,101.5,90015LAG2=
2023-04-18,101.0,101.5,90015LAG2=
2023-04-19,100.75,101.25,90015LAG2=
2023-04-20,100.375,100.875,90015LAG2=
2023-04-21,100.25,100.75,90015LAG2=
2023-04-24,100.125,100.625,90015LAG2=
2023-04-25,100.0,100.5,90015LAG2=
2023-04-26,99.875,100.375,90015LAG2=
2023-04-27,99.75,100.25,90015LAG2=
2023-04-28,99.75,100.25,90015LAG2=
