Date,BID,ASK,RIC
2019-03-29,94.0,95.0,90015WAH6=
2019-04-02,96.5,97.5,90015WAH6=
2019-04-03,96.125,97.125,90015WAH6=
2019-04-04,97.5,98.5,90015WAH6=
2019-04-05,97.5,98.5,90015WAH6=
2019-04-08,97.5,98.5,90015WAH6=
2019-04-09,97.5,98.5,90015WAH6=
2019-04-10,97.5,98.5,90015WAH6=
2019-04-11,97.5,98.5,90015WAH6=
2019-04-12,97.5,98.5,90015WAH6=
2019-04-16,95.5,96.5,90015WAH6=
2019-04-17,95.25,96.25,90015WAH6=
2019-04-18,95.25,96.25,90015WAH6=
2019-04-19,95.25,96.25,90015WAH6=
2019-04-22,95.25,96.25,90015WAH6=
2019-04-23,95.25,96.25,90015WAH6=
2019-04-24,95.25,96.25,90015WAH6=
2019-04-25,95.25,96.25,90015WAH6=
2019-05-14,91.0,92.0,90015WAH6=
2019-05-15,91.0,92.0,90015WAH6=
2019-05-16,91.0,92.0,90015WAH6=
2019-05-17,91.25,92.25,90015WAH6=
2019-05-20,91.375,92.375,90015WAH6=
2019-05-21,91.375,92.375,90015WAH6=
2019-05-22,91.125,92.125,90015WAH6=
2019-05-23,91.125,92.125,90015WAH6=
2019-05-24,91.125,92.125,90015WAH6=
2019-05-28,91.125,92.125,90015WAH6=
2019-05-30,91.125,92.125,90015WAH6=
2019-05-31,91.125,92.125,90015WAH6=
2019-06-03,91.125,92.125,90015WAH6=
2019-06-04,91.125,92.125,90015WAH6=
2019-06-06,93.25,94.25,90015WAH6=
2019-06-07,93.375,94.375,90015WAH6=
2019-06-10,93.625,94.625,90015WAH6=
2019-06-11,93.75,94.75,90015WAH6=
2019-06-12,93.875,94.875,90015WAH6=
2019-06-13,93.75,94.75,90015WAH6=
2019-06-14,93.25,94.25,90015WAH6=
2019-06-17,93.375,94.375,90015WAH6=
2019-06-18,93.5,94.5,90015WAH6=
2019-06-19,93.625,94.625,90015WAH6=
2019-06-20,94.125,95.125,90015WAH6=
2019-06-21,93.875,94.875,90015WAH6=
2019-06-24,95.25,96.25,90015WAH6=
2019-06-25,95.875,96.875,90015WAH6=
2019-06-26,96.5,97.5,90015WAH6=
2019-06-27,97.25,98.25,90015WAH6=
2019-06-28,97.5,98.5,90015WAH6=
2019-07-01,98.375,99.375,90015WAH6=
2019-07-02,98.25,99.25,90015WAH6=
2019-07-03,98.5,99.5,90015WAH6=
2019-07-04,98.5,99.5,90015WAH6=
2019-07-05,98.375,99.375,90015WAH6=
2019-07-08,97.75,98.75,90015WAH6=
2019-07-09,97.75,98.75,90015WAH6=
2019-07-10,97.0,98.0,90015WAH6=
2019-07-11,97.25,98.25,90015WAH6=
2019-07-12,96.875,97.875,90015WAH6=
2019-07-15,97.125,98.125,90015WAH6=
2019-07-16,97.125,98.125,90015WAH6=
2019-07-17,96.5,97.5,90015WAH6=
2019-07-18,96.5,97.5,90015WAH6=
2019-07-19,97.0,98.0,90015WAH6=
2019-07-22,97.375,98.375,90015WAH6=
2019-07-23,97.375,98.375,90015WAH6=
2019-07-24,97.25,98.25,90015WAH6=
2019-07-25,97.375,98.375,90015WAH6=
2019-07-26,97.5,98.5,90015WAH6=
2019-07-29,97.875,98.875,90015WAH6=
2019-07-30,98.25,99.25,90015WAH6=
2019-07-31,98.5,99.5,90015WAH6=
2019-08-01,98.375,99.375,90015WAH6=
2019-08-02,98.5,99.5,90015WAH6=
2019-08-05,98.75,99.75,90015WAH6=
2019-08-06,98.5,99.5,90015WAH6=
2019-08-07,98.5,99.5,90015WAH6=
2019-08-08,98.5,99.5,90015WAH6=
2019-08-09,98.875,99.875,90015WAH6=
2019-08-12,98.625,99.625,90015WAH6=
2019-08-13,98.625,99.625,90015WAH6=
2019-08-14,98.125,99.125,90015WAH6=
2019-08-15,97.875,98.875,90015WAH6=
2019-08-16,98.0,99.0,90015WAH6=
2019-08-19,98.0,99.0,90015WAH6=
2019-08-20,98.0,99.0,90015WAH6=
2019-08-21,98.0,99.0,90015WAH6=
2019-08-22,97.75,98.75,90015WAH6=
2019-08-23,97.875,98.875,90015WAH6=
2019-08-26,98.0,99.0,90015WAH6=
2019-08-27,97.375,98.375,90015WAH6=
2019-08-28,98.0,99.0,90015WAH6=
2019-08-29,97.5,98.5,90015WAH6=
2019-08-30,97.75,98.75,90015WAH6=
2019-09-02,98.0,99.0,90015WAH6=
2019-09-03,98.5,99.5,90015WAH6=
2019-09-04,98.625,99.625,90015WAH6=
2019-09-05,99.0,100.0,90015WAH6=
2019-09-06,99.125,100.125,90015WAH6=
2019-09-09,98.375,99.375,90015WAH6=
2019-09-10,98.875,99.875,90015WAH6=
2019-09-11,98.625,99.625,90015WAH6=
2019-09-12,99.25,100.25,90015WAH6=
2019-09-13,99.375,100.375,90015WAH6=
2019-09-16,99.375,100.375,90015WAH6=
2019-09-17,99.5,100.5,90015WAH6=
2019-09-18,99.625,100.625,90015WAH6=
2019-09-19,99.625,100.625,90015WAH6=
2019-09-20,100.625,101.625,90015WAH6=
2019-09-23,100.25,101.25,90015WAH6=
2019-09-24,100.5,101.5,90015WAH6=
2019-09-25,100.625,101.625,90015WAH6=
2019-09-26,101.125,102.125,90015WAH6=
2019-09-27,102.0,103.0,90015WAH6=
2019-09-30,102.0,103.0,90015WAH6=
2019-10-01,102.0,103.0,90015WAH6=
2019-10-02,102.0,103.0,90015WAH6=
2019-10-03,102.25,103.25,90015WAH6=
2019-10-04,102.25,103.25,90015WAH6=
2019-10-07,102.5,103.5,90015WAH6=
2019-10-08,101.875,102.875,90015WAH6=
2019-10-09,101.625,102.625,90015WAH6=
2019-10-10,100.75,101.75,90015WAH6=
2019-10-11,100.75,101.75,90015WAH6=
2019-10-15,99.125,100.125,90015WAH6=
2019-10-16,98.125,99.125,90015WAH6=
2019-10-17,98.125,99.125,90015WAH6=
2019-10-18,99.75,100.75,90015WAH6=
2019-10-21,99.625,100.625,90015WAH6=
2019-10-22,99.875,100.875,90015WAH6=
2019-10-23,101.125,102.125,90015WAH6=
2019-10-24,101.875,102.875,90015WAH6=
2019-10-25,102.5,103.5,90015WAH6=
2019-10-28,102.75,103.75,90015WAH6=
2019-10-29,103.0,104.0,90015WAH6=
2019-10-30,103.25,104.25,90015WAH6=
2019-10-31,103.125,104.125,90015WAH6=
2019-11-01,102.875,103.875,90015WAH6=
2019-11-04,103.75,104.75,90015WAH6=
2019-11-05,103.5,104.5,90015WAH6=
2019-11-06,103.625,104.625,90015WAH6=
2019-11-07,103.5,104.5,90015WAH6=
2019-11-08,104.375,105.375,90015WAH6=
2019-11-11,104.375,105.375,90015WAH6=
2019-11-12,104.5,105.5,90015WAH6=
2019-11-13,104.0,105.0,90015WAH6=
2019-11-14,104.5,105.5,90015WAH6=
2019-11-15,104.625,105.625,90015WAH6=
2019-11-18,104.75,105.75,90015WAH6=
2019-11-19,104.75,105.75,90015WAH6=
2019-11-20,104.75,105.75,90015WAH6=
2019-11-21,104.75,105.75,90015WAH6=
2019-11-22,104.875,105.875,90015WAH6=
2019-11-25,105.0,106.0,90015WAH6=
2019-11-26,104.875,105.875,90015WAH6=
2019-11-27,104.5,105.5,90015WAH6=
2019-11-28,104.5,105.5,90015WAH6=
2019-11-29,104.5,105.5,90015WAH6=
2019-12-02,104.5,105.5,90015WAH6=
2019-12-03,104.5,105.5,90015WAH6=
2019-12-04,104.5,105.5,90015WAH6=
2019-12-05,104.75,105.75,90015WAH6=
2019-12-06,105.0,106.0,90015WAH6=
2019-12-09,105.0,106.0,90015WAH6=
2019-12-10,105.125,106.125,90015WAH6=
2019-12-11,105.125,106.125,90015WAH6=
2019-12-12,105.25,106.25,90015WAH6=
2019-12-13,105.625,106.625,90015WAH6=
2019-12-16,105.5,106.5,90015WAH6=
2019-12-17,106.125,106.508,90015WAH6=
2019-12-18,106.0,106.382,90015WAH6=
2019-12-19,106.0,106.381,90015WAH6=
2019-12-20,106.125,106.507,90015WAH6=
2019-12-23,106.125,106.506,90015WAH6=
2019-12-24,106.125,106.506,90015WAH6=
2019-12-25,106.125,106.506,90015WAH6=
2019-12-26,106.125,106.505,90015WAH6=
2019-12-27,106.125,106.505,90015WAH6=
2019-12-30,106.0,106.379,90015WAH6=
2019-12-31,106.0,106.379,90015WAH6=
2020-01-01,106.0,106.379,90015WAH6=
2020-01-02,106.0,106.379,90015WAH6=
2020-01-03,107.125,107.508,90015WAH6=
2020-01-06,106.75,107.131,90015WAH6=
2020-01-07,107.25,107.633,90015WAH6=
2020-01-08,107.25,107.633,90015WAH6=
2020-01-09,107.0,107.381,90015WAH6=
2020-01-10,108.5,108.888,90015WAH6=
2020-01-13,109.0,109.39,90015WAH6=
2020-01-14,109.0,109.389,90015WAH6=
2020-01-15,109.0,109.389,90015WAH6=
2020-01-16,109.0,109.388,90015WAH6=
2020-01-17,109.25,109.639,90015WAH6=
2020-01-20,109.25,109.639,90015WAH6=
2020-01-21,109.5,109.89,90015WAH6=
2020-01-22,109.5,109.89,90015WAH6=
2020-01-23,109.5,109.889,90015WAH6=
2020-01-24,109.5,109.889,90015WAH6=
2020-01-27,110.5,110.893,90015WAH6=
2020-01-28,110.875,111.27,90015WAH6=
2020-01-29,111.0,111.395,90015WAH6=
2020-01-30,111.0,111.394,90015WAH6=
2020-01-31,111.25,111.645,90015WAH6=
2020-02-03,111.0,111.394,90015WAH6=
2020-02-04,111.25,111.645,90015WAH6=
2020-02-05,111.625,112.021,90015WAH6=
2020-02-06,111.625,112.021,90015WAH6=
2020-02-07,111.125,111.518,90015WAH6=
2020-02-10,110.0,110.388,90015WAH6=
2020-02-11,110.0,110.388,90015WAH6=
2020-02-12,110.125,110.513,90015WAH6=
2020-02-13,110.125,110.512,90015WAH6=
2020-02-14,110.25,110.638,90015WAH6=
2020-02-17,110.25,110.638,90015WAH6=
2020-02-18,110.375,110.763,90015WAH6=
2020-02-19,110.375,110.763,90015WAH6=
2020-02-20,110.375,110.762,90015WAH6=
2020-02-21,110.375,110.762,90015WAH6=
2020-02-24,109.0,109.381,90015WAH6=
2020-02-25,108.875,109.255,90015WAH6=
2020-02-26,108.5,108.878,90015WAH6=
2020-02-27,107.125,107.496,90015WAH6=
2020-02-28,105.75,106.115,90015WAH6=
2020-03-02,105.875,106.241,90015WAH6=
2020-03-03,107.5,107.872,90015WAH6=
2020-03-04,108.375,108.751,90015WAH6=
2020-03-05,108.5,108.876,90015WAH6=
2020-03-13,102.75,103.1,90015WAH6=
2020-03-16,102.75,103.099,90015WAH6=
2020-03-18,99.0,99.501,90015WAH6=
2020-03-19,99.0,99.5,90015WAH6=
2020-03-20,99.0,99.5,90015WAH6=
2020-03-24,94.25,94.72,90015WAH6=
2020-03-25,92.0,92.456,90015WAH6=
2020-03-26,95.75,96.228,90015WAH6=
2020-03-27,95.75,96.228,90015WAH6=
2020-03-30,95.75,96.228,90015WAH6=
2020-03-31,95.75,96.227,90015WAH6=
2020-04-01,95.375,95.85,90015WAH6=
2020-04-02,95.375,95.849,90015WAH6=
2020-04-03,95.375,95.849,90015WAH6=
2020-04-06,95.375,95.848,90015WAH6=
2020-04-07,92.75,93.207,90015WAH6=
2020-04-08,92.875,93.332,90015WAH6=
2020-04-09,92.875,93.332,90015WAH6=
2020-04-10,92.875,93.332,90015WAH6=
2020-04-13,95.25,95.721,90015WAH6=
2020-04-14,96.125,96.601,90015WAH6=
2020-04-15,96.125,96.601,90015WAH6=
2020-04-16,96.125,96.6,90015WAH6=
2020-04-17,96.125,96.599,90015WAH6=
2020-04-20,96.125,96.599,90015WAH6=
2020-04-21,96.125,96.599,90015WAH6=
2020-04-22,97.0,97.479,90015WAH6=
2020-04-23,97.0,97.478,90015WAH6=
2020-04-24,97.0,97.478,90015WAH6=
2020-04-27,97.0,97.477,90015WAH6=
2020-04-28,100.0,100.495,90015WAH6=
2020-04-29,101.0,101.501,90015WAH6=
2020-04-30,101.0,101.5,90015WAH6=
2020-05-01,100.5,100.997,90015WAH6=
2020-05-04,100.5,100.997,90015WAH6=
2020-05-05,100.75,101.248,90015WAH6=
2020-05-06,100.75,101.248,90015WAH6=
2020-05-07,100.75,101.247,90015WAH6=
2020-05-08,100.75,101.246,90015WAH6=
2020-05-11,99.25,99.737,90015WAH6=
2020-05-12,99.25,99.737,90015WAH6=
2020-05-13,99.25,99.736,90015WAH6=
2020-05-14,99.25,99.736,90015WAH6=
2020-05-15,99.875,100.364,90015WAH6=
2020-05-18,99.875,100.364,90015WAH6=
2020-05-19,99.875,100.363,90015WAH6=
2020-05-20,101.125,101.621,90015WAH6=
2020-05-21,101.5,101.997,90015WAH6=
2020-05-22,102.125,102.625,90015WAH6=
2020-05-25,102.125,102.625,90015WAH6=
2020-05-26,103.125,103.631,90015WAH6=
2020-05-27,103.125,103.631,90015WAH6=
2020-05-28,102.0,102.498,90015WAH6=
2020-05-29,102.0,102.498,90015WAH6=
2020-06-01,102.5,103.001,90015WAH6=
2020-06-02,103.125,103.629,90015WAH6=
2020-06-03,103.625,104.132,90015WAH6=
2020-06-04,104.0,104.508,90015WAH6=
2020-06-05,104.0,104.508,90015WAH6=
2020-06-08,104.0,104.507,90015WAH6=
2020-06-09,104.0,104.507,90015WAH6=
2020-06-10,104.0,104.507,90015WAH6=
2020-06-11,104.0,104.506,90015WAH6=
2020-06-12,103.75,104.254,90015WAH6=
2020-06-15,103.75,104.254,90015WAH6=
2020-06-16,103.375,103.876,90015WAH6=
2020-06-17,103.375,103.876,90015WAH6=
2020-06-18,103.375,103.875,90015WAH6=
2020-06-19,103.375,103.875,90015WAH6=
2020-06-22,103.25,103.748,90015WAH6=
2020-06-23,103.25,103.748,90015WAH6=
2020-06-24,103.25,103.748,90015WAH6=
2020-06-25,102.875,103.37,90015WAH6=
2020-06-26,102.875,103.369,90015WAH6=
2020-06-29,102.875,103.369,90015WAH6=
2020-06-30,102.75,103.243,90015WAH6=
2020-07-01,102.625,103.116,90015WAH6=
2020-07-02,102.875,103.367,90015WAH6=
2020-07-03,102.875,103.367,90015WAH6=
2020-07-06,102.875,103.367,90015WAH6=
2020-07-07,102.875,103.367,90015WAH6=
2020-07-08,102.5,102.989,90015WAH6=
2020-07-09,103.0,103.491,90015WAH6=
2020-07-10,102.25,102.736,90015WAH6=
2020-07-13,102.25,102.736,90015WAH6=
2020-07-14,102.25,102.736,90015WAH6=
2020-07-15,102.25,102.735,90015WAH6=
2020-07-16,102.25,102.734,90015WAH6=
2020-07-17,102.25,102.734,90015WAH6=
2020-07-20,102.25,102.734,90015WAH6=
