Date,BID,ASK,RIC
2021-09-14,99.8745,100.3102,90015WAL7=
2021-09-15,99.6871,100.1216,90015WAL7=
2021-09-16,99.4228,99.8553,90015WAL7=
2021-09-17,99.1555,99.5864,90015WAL7=
2021-09-20,98.2603,98.6864,90015WAL7=
2021-09-21,98.2391,98.6649,90015WAL7=
2021-09-22,98.0701,98.4948,90015WAL7=
2021-09-23,97.6664,98.0885,90015WAL7=
2021-09-24,97.6662,98.0881,90015WAL7=
2021-09-27,96.7623,97.1793,90015WAL7=
2021-09-28,96.8571,97.2744,90015WAL7=
2021-09-29,96.4867,96.9019,90015WAL7=
2021-09-30,97.9691,98.3913,90015WAL7=
2021-10-01,98.1375,98.5604,90015WAL7=
2021-10-04,98.0666,98.4889,90015WAL7=
2021-10-05,97.9454,98.3669,90015WAL7=
2021-10-06,97.8958,98.3168,90015WAL7=
2021-10-07,97.7438,98.1633,90015WAL7=
2021-10-08,97.6158,98.0344,90015WAL7=
2021-10-11,97.4516,97.8694,90015WAL7=
2021-10-12,97.1175,97.5334,90015WAL7=
2021-10-13,97.1063,97.5219,90015WAL7=
2021-10-14,97.2018,97.6173,90015WAL7=
2021-10-15,96.9047,97.3185,90015WAL7=
2021-10-18,96.7371,97.1498,90015WAL7=
2021-10-19,96.7386,97.1511,90015WAL7=
2021-10-20,96.7318,97.1441,90015WAL7=
2021-10-21,96.4625,96.8728,90015WAL7=
2021-10-22,96.2506,96.6597,90015WAL7=
2021-10-25,95.3116,95.7157,90015WAL7=
2021-10-26,95.0121,95.4145,90015WAL7=
2021-10-27,95.1187,95.5215,90015WAL7=
2021-10-28,95.8954,96.3017,90015WAL7=
2021-10-29,96.2664,96.6744,90015WAL7=
2021-11-01,96.3717,96.78,90015WAL7=
2021-11-02,96.5835,96.9927,90015WAL7=
2021-11-03,96.745,97.1548,90015WAL7=
2021-11-04,97.3875,97.7999,90015WAL7=
2021-11-05,98.2102,98.6265,90015WAL7=
2021-11-08,98.3982,98.8153,90015WAL7=
2021-11-09,98.5534,98.9709,90015WAL7=
2021-11-10,98.0566,98.4709,90015WAL7=
2021-11-11,97.8378,98.251,90015WAL7=
2021-11-12,98.2979,98.7132,90015WAL7=
2021-11-15,98.1884,98.603,90015WAL7=
2021-11-16,98.1291,98.5432,90015WAL7=
2021-11-17,98.2972,98.7119,90015WAL7=
2021-11-18,98.3398,98.7541,90015WAL7=
2021-11-19,98.3204,98.7344,90015WAL7=
2021-11-22,96.6041,97.0093,90015WAL7=
2021-11-23,94.5576,94.9522,90015WAL7=
2021-11-24,94.0489,94.4404,90015WAL7=
2021-11-25,94.032,94.4234,90015WAL7=
2021-11-26,93.6065,93.9956,90015WAL7=
2021-11-29,93.6565,94.0457,90015WAL7=
2021-11-30,92.6021,92.9859,90015WAL7=
2021-12-01,92.7407,93.125,90015WAL7=
2021-12-02,91.923,92.3026,90015WAL7=
2021-12-03,91.6541,92.0322,90015WAL7=
2021-12-06,91.517,91.8943,90015WAL7=
2021-12-07,92.0896,92.4695,90015WAL7=
2021-12-08,92.0097,92.389,90015WAL7=
2021-12-09,92.0674,92.4464,90015WAL7=
2021-12-10,92.1519,92.5311,90015WAL7=
2021-12-13,91.7077,92.0846,90015WAL7=
2021-12-14,91.596,91.9721,90015WAL7=
2021-12-15,91.5624,91.9382,90015WAL7=
2021-12-16,91.8413,92.2179,90015WAL7=
2021-12-17,91.6788,92.0544,90015WAL7=
2021-12-20,85.3557,85.7003,90015WAL7=
2021-12-21,86.9281,87.2802,90015WAL7=
2021-12-22,87.3943,87.7479,90015WAL7=
2021-12-23,88.6884,89.0481,90015WAL7=
2021-12-24,88.687,89.0467,90015WAL7=
2021-12-27,88.6684,89.0278,90015WAL7=
2021-12-28,88.6843,89.0436,90015WAL7=
2021-12-29,88.5654,88.9236,90015WAL7=
2021-12-30,88.6946,89.0532,90015WAL7=
2021-12-31,88.6924,89.051,90015WAL7=
2022-01-03,88.981,89.3408,90015WAL7=
2022-01-04,88.9944,89.3541,90015WAL7=
2022-01-05,88.7581,89.1165,90015WAL7=
2022-01-06,89.2479,89.6081,90015WAL7=
2022-01-07,89.1458,89.5053,90015WAL7=
2022-01-10,89.479,89.8399,90015WAL7=
2022-01-11,89.4734,89.8341,90015WAL7=
2022-01-12,90.2012,90.5652,90015WAL7=
2022-01-13,91.4371,91.8063,90015WAL7=
2022-01-14,91.1157,91.4831,90015WAL7=
2022-01-17,90.9482,91.3148,90015WAL7=
2022-01-18,91.124,91.4913,90015WAL7=
2022-01-19,91.1979,91.5654,90015WAL7=
2022-01-20,91.8232,92.1931,90015WAL7=
2022-01-21,91.9333,92.3035,90015WAL7=
2022-01-24,92.419,92.7913,90015WAL7=
2022-01-25,92.4016,92.7737,90015WAL7=
2022-01-26,91.9786,92.3484,90015WAL7=
2022-01-27,92.0602,92.43,90015WAL7=
2022-01-28,92.2139,92.5843,90015WAL7=
2022-01-31,92.4597,92.8311,90015WAL7=
2022-02-01,92.7566,93.1292,90015WAL7=
2022-02-02,93.1614,93.5357,90015WAL7=
2022-02-03,92.862,93.2343,90015WAL7=
2022-02-07,93.0522,93.425,90015WAL7=
2022-02-08,93.4372,93.8116,90015WAL7=
2022-02-09,92.8736,93.2452,90015WAL7=
2022-02-10,92.6106,92.9803,90015WAL7=
2022-02-11,93.8239,94.1992,90015WAL7=
2022-02-14,93.2827,93.6552,90015WAL7=
2022-02-15,93.4783,93.8515,90015WAL7=
2022-02-16,93.2062,93.5779,90015WAL7=
2022-02-17,93.0465,93.4167,90015WAL7=
2022-02-18,93.155,93.5255,90015WAL7=
2022-02-21,93.4877,93.8598,90015WAL7=
2022-02-22,93.2117,93.5823,90015WAL7=
2022-02-23,93.3703,93.7414,90015WAL7=
2022-02-24,92.5127,92.8791,90015WAL7=
2022-02-25,92.5144,92.8802,90015WAL7=
2022-02-28,92.088,92.4516,90015WAL7=
2022-03-01,90.9462,91.3043,90015WAL7=
2022-03-02,90.2834,90.6381,90015WAL7=
2022-03-03,91.1546,91.5129,90015WAL7=
2022-03-04,90.336,90.6902,90015WAL7=
2022-03-07,90.1413,90.4944,90015WAL7=
2022-03-08,86.9039,87.2417,90015WAL7=
2022-03-09,86.8972,87.2348,90015WAL7=
2022-03-10,87.2131,87.5516,90015WAL7=
2022-03-11,87.1258,87.4637,90015WAL7=
2022-03-14,86.6497,86.9852,90015WAL7=
2022-03-15,87.3398,87.6783,90015WAL7=
2022-03-16,89.449,89.7971,90015WAL7=
2022-03-17,91.0456,91.4006,90015WAL7=
2022-03-18,90.0091,90.359,90015WAL7=
2022-03-21,89.6053,89.9532,90015WAL7=
2022-03-22,89.3567,89.7032,90015WAL7=
2022-03-23,89.7549,90.1031,90015WAL7=
2022-03-24,89.501,89.8474,90015WAL7=
2022-03-25,89.6425,89.9894,90015WAL7=
2022-03-28,89.7113,90.0583,90015WAL7=
2022-03-29,91.1626,91.5163,90015WAL7=
2022-03-30,90.5909,90.9418,90015WAL7=
2022-03-31,90.8475,91.199,90015WAL7=
2022-04-01,90.4351,90.7845,90015WAL7=
2022-04-04,90.6696,91.0199,90015WAL7=
2022-04-05,90.365,90.7137,90015WAL7=
2022-04-06,90.5528,90.9022,90015WAL7=
2022-04-07,90.113,90.4598,90015WAL7=
2022-04-08,90.1653,90.5121,90015WAL7=
2022-04-11,89.8969,90.2423,90015WAL7=
2022-04-12,89.3562,89.699,90015WAL7=
2022-04-13,89.5746,89.9176,90015WAL7=
2022-04-14,89.5263,89.8689,90015WAL7=
2022-04-15,89.5885,89.9314,90015WAL7=
2022-04-18,89.5229,89.8653,90015WAL7=
2022-04-19,89.4397,89.7815,90015WAL7=
2022-04-20,89.8995,90.2433,90015WAL7=
2022-04-21,89.8308,90.1737,90015WAL7=
2022-04-22,90.1269,90.4709,90015WAL7=
2022-04-25,89.3302,89.6704,90015WAL7=
2022-04-26,89.7401,90.082,90015WAL7=
2022-04-27,89.2871,89.6267,90015WAL7=
2022-04-28,89.4439,89.7837,90015WAL7=
2022-04-29,89.1025,89.4406,90015WAL7=
2022-05-02,88.9766,89.3139,90015WAL7=
2022-05-03,89.2546,89.593,90015WAL7=
2022-05-04,89.3594,89.6981,90015WAL7=
2022-05-05,89.1084,89.4454,90015WAL7=
2022-05-06,88.4712,88.8051,90015WAL7=
2022-05-09,88.7396,89.0745,90015WAL7=
2022-05-10,88.5404,88.8742,90015WAL7=
2022-05-11,86.8548,87.1809,90015WAL7=
2022-05-12,86.7776,87.1028,90015WAL7=
2022-05-13,85.8254,86.1461,90015WAL7=
2022-05-16,85.3961,85.7147,90015WAL7=
2022-05-17,85.0434,85.3603,90015WAL7=
2022-05-18,85.2605,85.5781,90015WAL7=
2022-05-19,85.092,85.4084,90015WAL7=
2022-05-20,84.9933,85.309,90015WAL7=
2022-05-23,85.3911,85.7084,90015WAL7=
2022-05-24,85.1647,85.4808,90015WAL7=
2022-05-25,85.0934,85.4091,90015WAL7=
2022-05-26,84.4982,84.8107,90015WAL7=
2022-05-27,84.0732,84.3836,90015WAL7=
2022-05-30,83.8012,84.1104,90015WAL7=
2022-05-31,83.7926,84.1016,90015WAL7=
2022-06-01,84.9641,85.2781,90015WAL7=
2022-06-02,84.9732,85.2867,90015WAL7=
2022-06-03,85.0814,85.3952,90015WAL7=
2022-06-06,84.5101,84.8212,90015WAL7=
2022-06-07,84.8886,85.2012,90015WAL7=
2022-06-08,84.7517,85.0635,90015WAL7=
2022-06-09,84.6609,84.9718,90015WAL7=
2022-06-10,84.0246,84.3325,90015WAL7=
2022-06-13,83.3291,83.6338,90015WAL7=
2022-06-14,78.5244,78.8079,90015WAL7=
2022-06-15,79.8489,80.138,90015WAL7=
2022-06-16,79.4384,79.725,90015WAL7=
2022-06-17,79.9949,80.2838,90015WAL7=
2022-06-20,79.8753,80.1637,90015WAL7=
2022-06-21,80.2847,80.5747,90015WAL7=
2022-06-22,80.6044,80.8956,90015WAL7=
2022-06-23,81.4179,81.7121,90015WAL7=
2022-06-24,81.509,81.8035,90015WAL7=
2022-06-27,83.0392,83.3401,90015WAL7=
2022-06-28,83.1093,83.4104,90015WAL7=
2022-06-29,82.4166,82.7145,90015WAL7=
2022-06-30,82.7411,83.0397,90015WAL7=
2022-07-01,81.4944,81.7874,90015WAL7=
2022-07-04,81.4339,81.7266,90015WAL7=
2022-07-05,81.5962,81.8895,90015WAL7=
2022-07-06,81.1723,81.4636,90015WAL7=
2022-07-07,81.0582,81.3485,90015WAL7=
2022-07-08,80.6782,80.9667,90015WAL7=
2022-07-11,80.3627,80.6496,90015WAL7=
2022-07-12,79.6257,79.9093,90015WAL7=
2022-07-13,79.5491,79.8322,90015WAL7=
2022-07-14,78.4256,78.7034,90015WAL7=
2022-07-15,78.6252,78.9037,90015WAL7=
2022-07-18,77.8857,78.1608,90015WAL7=
2022-07-19,77.8717,78.1466,90015WAL7=
