Date,BID,ASK,RIC
2016-07-20,98.9007,99.5585,91159HHN3=
2016-07-21,99.0934,99.5323,91159HHN3=
2016-07-22,98.9361,99.3741,91159HHN3=
2016-07-25,98.7705,99.2075,91159HHN3=
2016-07-26,98.8755,99.313,91159HHN3=
2016-07-27,99.4887,99.929,91159HHN3=
2016-07-28,99.4449,99.8849,91159HHN3=
2016-07-29,99.9555,100.3979,91159HHN3=
2016-08-01,99.6032,100.0438,91159HHN3=
2016-08-02,99.305,99.744,91159HHN3=
2016-08-03,99.3929,99.832,91159HHN3=
2016-08-04,99.6562,100.0965,91159HHN3=
2016-08-05,98.8868,99.3231,91159HHN3=
2016-08-08,98.6264,99.0613,91159HHN3=
2016-08-09,99.0005,99.4372,91159HHN3=
2016-08-10,99.3151,99.753,91159HHN3=
2016-08-11,98.803,99.2383,91159HHN3=
2016-08-12,99.2339,99.6712,91159HHN3=
2016-08-15,99.0975,99.534,91159HHN3=
2016-08-16,99.1238,99.5603,91159HHN3=
2016-08-17,99.351,99.7884,91159HHN3=
2016-08-18,99.4821,99.92,91159HHN3=
2016-08-19,99.2379,99.6745,91159HHN3=
2016-08-22,99.4823,99.92,91159HHN3=
2016-08-23,99.4562,99.8936,91159HHN3=
2016-08-24,99.3171,99.7535,91159HHN3=
2016-08-25,99.1868,99.6225,91159HHN3=
2016-08-26,98.7466,99.1801,91159HHN3=
2016-08-29,99.3348,99.7711,91159HHN3=
2016-08-30,99.1697,99.6051,91159HHN3=
2016-08-31,98.9278,99.3615,91159HHN3=
2016-09-01,98.9973,99.4313,91159HHN3=
2016-09-02,98.6692,99.1014,91159HHN3=
2016-09-06,99.4837,99.9199,91159HHN3=
2016-09-07,99.4667,99.9025,91159HHN3=
2016-09-08,98.4643,98.895,91159HHN3=
2016-09-09,97.7546,98.1817,91159HHN3=
2016-09-12,97.8318,98.2592,91159HHN3=
2016-09-13,97.28,97.7045,91159HHN3=
2016-09-14,97.5533,97.9789,91159HHN3=
2016-09-15,98.1586,98.587,91159HHN3=
2016-09-16,97.6054,98.031,91159HHN3=
2016-09-19,97.4872,97.9121,91159HHN3=
2016-09-20,97.9467,98.3738,91159HHN3=
2016-09-21,98.0333,98.4605,91159HHN3=
2016-09-22,99.0882,99.5205,91159HHN3=
2016-09-23,98.9161,99.3474,91159HHN3=
2016-09-26,98.796,99.2266,91159HHN3=
2016-09-27,99.1751,99.6075,91159HHN3=
2016-09-28,99.0723,99.5038,91159HHN3=
2016-09-29,98.9349,99.3656,91159HHN3=
2016-09-30,98.2505,98.6778,91159HHN3=
2016-10-03,98.0041,98.4301,91159HHN3=
2016-10-04,98.2343,98.6613,91159HHN3=
2016-10-05,98.1,98.5259,91159HHN3=
2016-10-06,97.8206,98.245,91159HHN3=
2016-10-07,98.2114,98.6376,91159HHN3=
2016-10-10,97.8207,98.245,91159HHN3=
2016-10-11,97.5091,97.9318,91159HHN3=
2016-10-12,97.5362,97.9587,91159HHN3=
2016-10-13,97.6802,98.1033,91159HHN3=
2016-10-14,97.1843,97.6049,91159HHN3=
2016-10-17,97.4959,97.9179,91159HHN3=
2016-10-18,97.7326,98.1556,91159HHN3=
2016-10-19,97.6752,98.0976,91159HHN3=
2016-10-20,97.6,98.0219,91159HHN3=
2016-10-21,97.9464,98.3699,91159HHN3=
2016-10-24,97.5844,98.0061,91159HHN3=
2016-10-25,97.6692,98.0912,91159HHN3=
2016-10-26,97.6385,98.0601,91159HHN3=
2016-10-27,97.1509,97.57,91159HHN3=
2016-10-28,97.16,97.579,91159HHN3=
2016-10-31,97.1106,97.5293,91159HHN3=
2016-11-01,97.0779,97.4963,91159HHN3=
2016-11-02,97.2889,97.708,91159HHN3=
2016-11-03,97.0725,97.4905,91159HHN3=
2016-11-04,97.5079,97.9279,91159HHN3=
2016-11-07,97.0907,97.5086,91159HHN3=
2016-11-08,96.8441,97.2603,91159HHN3=
2016-11-09,95.7724,96.1833,91159HHN3=
2016-11-10,95.2318,95.64,91159HHN3=
2016-11-11,94.861,95.2674,91159HHN3=
2016-11-14,93.9486,94.3505,91159HHN3=
2016-11-15,94.5394,94.944,91159HHN3=
2016-11-16,94.4306,94.8344,91159HHN3=
2016-11-17,93.4471,93.8461,91159HHN3=
2016-11-18,93.2024,93.6001,91159HHN3=
2016-11-21,93.2375,93.6351,91159HHN3=
2016-11-22,93.4807,93.8792,91159HHN3=
2016-11-23,93.1571,93.5539,91159HHN3=
2016-11-25,93.1271,93.5237,91159HHN3=
2016-11-28,93.5015,93.8998,91159HHN3=
2016-11-29,93.2572,93.6542,91159HHN3=
2016-11-30,92.498,92.8911,91159HHN3=
2016-12-01,91.9996,92.3902,91159HHN3=
2016-12-02,92.5409,92.934,91159HHN3=
2016-12-05,92.4958,92.8885,91159HHN3=
2016-12-06,92.576,92.969,91159HHN3=
2016-12-07,92.9428,93.3373,91159HHN3=
2016-12-08,92.9131,93.3073,91159HHN3=
2016-12-09,92.4679,92.8599,91159HHN3=
2016-12-12,92.2278,92.6185,91159HHN3=
2016-12-13,92.2609,92.6517,91159HHN3=
2016-12-14,91.5375,91.9245,91159HHN3=
2016-12-15,91.2391,91.6246,91159HHN3=
2016-12-16,91.2951,91.6808,91159HHN3=
2016-12-19,91.7216,92.1092,91159HHN3=
2016-12-20,91.6,91.9869,91159HHN3=
2016-12-21,91.6238,92.0104,91159HHN3=
2016-12-22,91.5103,91.8963,91159HHN3=
2016-12-23,91.5895,91.9758,91159HHN3=
2016-12-27,91.453,91.8385,91159HHN3=
2016-12-28,91.9916,92.3794,91159HHN3=
2016-12-29,92.1252,92.5135,91159HHN3=
2016-12-30,92.3225,92.7117,91159HHN3=
2017-01-03,92.3541,92.7433,91159HHN3=
2017-01-04,92.3987,92.7878,91159HHN3=
2017-01-05,93.1414,93.534,91159HHN3=
2017-01-06,92.5735,92.9632,91159HHN3=
2017-01-09,92.9728,93.3643,91159HHN3=
2017-01-10,92.8888,93.2798,91159HHN3=
2017-01-11,92.9662,93.3572,91159HHN3=
2017-01-12,93.0383,93.4295,91159HHN3=
2017-01-13,92.9855,93.3764,91159HHN3=
2017-01-17,93.48,93.8731,91159HHN3=
2017-01-18,92.6815,93.0705,91159HHN3=
2017-01-19,92.358,92.7454,91159HHN3=
2017-01-20,92.383,92.7704,91159HHN3=
2017-01-23,92.8965,93.2863,91159HHN3=
2017-01-24,92.4022,92.7895,91159HHN3=
2017-01-25,92.0225,92.4077,91159HHN3=
2017-01-26,92.039,92.4243,91159HHN3=
2017-01-27,92.2476,92.6338,91159HHN3=
2017-01-30,92.2187,92.6046,91159HHN3=
2017-01-31,92.4055,92.7922,91159HHN3=
2017-02-01,92.3263,92.7123,91159HHN3=
2017-02-02,92.1974,92.5827,91159HHN3=
2017-02-03,92.2531,92.6386,91159HHN3=
2017-02-06,92.6404,93.0276,91159HHN3=
2017-02-07,92.7968,93.1847,91159HHN3=
2017-02-08,93.2441,93.6338,91159HHN3=
2017-02-09,92.398,92.7836,91159HHN3=
2017-02-10,92.2977,92.6827,91159HHN3=
2017-02-13,93.0784,93.467,91159HHN3=
2017-02-14,92.7835,93.1706,91159HHN3=
2017-02-15,92.7392,93.1257,91159HHN3=
2017-02-16,92.9649,93.3523,91159HHN3=
2017-02-17,93.1833,93.5717,91159HHN3=
2017-02-21,93.0998,93.4877,91159HHN3=
2017-02-22,93.2288,93.617,91159HHN3=
2017-02-23,93.3942,93.7828,91159HHN3=
2017-02-24,93.8569,94.2476,91159HHN3=
2017-02-27,93.4696,93.8584,91159HHN3=
2017-02-28,93.2234,93.6109,91159HHN3=
2017-03-01,92.7585,93.1436,91159HHN3=
2017-03-02,92.891,93.2766,91159HHN3=
2017-03-03,92.8851,93.2705,91159HHN3=
2017-03-06,92.6412,93.0254,91159HHN3=
2017-03-07,92.689,93.0733,91159HHN3=
2017-03-08,92.3733,92.7558,91159HHN3=
2017-03-09,91.9262,92.3065,91159HHN3=
2017-03-10,91.951,92.3314,91159HHN3=
2017-03-13,91.5745,91.953,91159HHN3=
2017-03-14,91.6824,92.0613,91159HHN3=
2017-03-15,92.4629,92.8452,91159HHN3=
2017-03-16,92.1831,92.5639,91159HHN3=
2017-03-17,92.4667,92.8488,91159HHN3=
2017-03-20,92.7434,93.1267,91159HHN3=
2017-03-21,93.113,93.4979,91159HHN3=
2017-03-22,93.2181,93.6032,91159HHN3=
2017-03-23,93.028,93.4121,91159HHN3=
2017-03-24,93.4137,93.7995,91159HHN3=
2017-03-27,93.7498,94.137,91159HHN3=
2017-03-28,93.3934,93.779,91159HHN3=
2017-03-29,93.4051,93.7904,91159HHN3=
2017-03-30,93.0769,93.4606,91159HHN3=
2017-03-31,93.3393,93.7241,91159HHN3=
2017-04-03,93.8492,94.2363,91159HHN3=
2017-04-04,93.5348,93.9203,91159HHN3=
2017-04-05,93.7321,94.1182,91159HHN3=
2017-04-06,93.7184,94.1044,91159HHN3=
2017-04-07,93.4049,93.7893,91159HHN3=
2017-04-10,93.5294,93.9143,91159HHN3=
2017-04-11,94.0594,94.4463,91159HHN3=
2017-04-12,94.471,94.8597,91159HHN3=
2017-04-13,94.6005,94.9897,91159HHN3=
2017-04-17,94.4506,94.839,91159HHN3=
2017-04-18,94.5761,94.965,91159HHN3=
2017-04-19,94.5648,94.9533,91159HHN3=
2017-04-20,94.6283,95.017,91159HHN3=
2017-04-21,94.4747,94.8626,91159HHN3=
2017-04-24,94.422,94.8096,91159HHN3=
2017-04-25,93.7842,94.1687,91159HHN3=
2017-04-26,94.0348,94.4202,91159HHN3=
2017-04-27,94.144,94.5298,91159HHN3=
2017-04-28,94.1532,94.5389,91159HHN3=
2017-05-01,94.1317,94.5172,91159HHN3=
2017-05-02,94.1717,94.5573,91159HHN3=
2017-05-03,94.1378,94.5229,91159HHN3=
2017-05-04,93.8327,94.2163,91159HHN3=
2017-05-05,93.7654,94.1486,91159HHN3=
2017-05-08,93.5457,93.9278,91159HHN3=
2017-05-09,93.7152,94.0979,91159HHN3=
2017-05-10,93.3243,93.7049,91159HHN3=
2017-05-11,93.6983,94.0805,91159HHN3=
2017-05-12,93.6536,94.0355,91159HHN3=
2017-05-15,94.0001,94.3835,91159HHN3=
2017-05-16,93.9711,94.3543,91159HHN3=
2017-05-17,94.6895,95.0757,91159HHN3=
2017-05-18,94.6524,95.0383,91159HHN3=
2017-05-19,94.9082,95.2952,91159HHN3=
2017-05-22,94.3173,94.7015,91159HHN3=
2017-05-23,94.0892,94.4722,91159HHN3=
2017-05-24,94.3095,94.6931,91159HHN3=
2017-05-25,94.4485,94.8328,91159HHN3=
2017-05-26,94.5218,94.9063,91159HHN3=
2017-05-30,94.7421,95.1275,91159HHN3=
2017-05-31,94.7617,95.1468,91159HHN3=
2017-06-01,94.94,95.3259,91159HHN3=
2017-06-02,94.9721,95.358,91159HHN3=
2017-06-05,95.0197,95.4057,91159HHN3=
2017-06-06,95.3142,95.7015,91159HHN3=
2017-06-07,94.7792,95.1637,91159HHN3=
2017-06-08,95.0341,95.4196,91159HHN3=
2017-06-09,95.0355,95.4209,91159HHN3=
2017-06-12,94.8678,95.2524,91159HHN3=
2017-06-13,94.647,95.0305,91159HHN3=
2017-06-14,94.9347,95.3192,91159HHN3=
2017-06-15,95.0282,95.413,91159HHN3=
2017-06-16,95.114,95.4991,91159HHN3=
2017-06-19,95.0539,95.4386,91159HHN3=
2017-06-20,95.0937,95.4785,91159HHN3=
2017-06-21,95.3358,95.7213,91159HHN3=
2017-06-22,95.2295,95.6144,91159HHN3=
2017-06-23,95.5771,95.9635,91159HHN3=
2017-06-26,95.1861,95.5706,91159HHN3=
2017-06-27,94.82,95.2028,91159HHN3=
2017-06-28,94.8013,95.1837,91159HHN3=
2017-06-29,94.4845,94.8652,91159HHN3=
2017-06-30,94.2888,94.6685,91159HHN3=
2017-07-03,93.9577,94.3358,91159HHN3=
2017-07-04,93.9437,94.3217,91159HHN3=
2017-07-05,94.1212,94.4997,91159HHN3=
2017-07-06,93.9643,94.342,91159HHN3=
2017-07-07,93.9057,94.283,91159HHN3=
2017-07-10,94.0807,94.4587,91159HHN3=
2017-07-11,94.022,94.3997,91159HHN3=
2017-07-12,94.3287,94.7074,91159HHN3=
2017-07-13,94.1265,94.5042,91159HHN3=
2017-07-14,94.2488,94.627,91159HHN3=
2017-07-17,94.4467,94.8256,91159HHN3=
2017-07-18,94.8651,95.2458,91159HHN3=
2017-07-19,94.7933,95.1734,91159HHN3=
2017-07-20,95.0529,95.4341,91159HHN3=
2017-07-21,95.0466,95.4276,91159HHN3=
2017-07-24,94.8277,95.2076,91159HHN3=
2017-07-25,94.5642,94.9428,91159HHN3=
2017-07-26,94.8554,95.2352,91159HHN3=
2017-07-27,94.5156,94.8937,91159HHN3=
2017-07-28,94.8041,95.1834,91159HHN3=
2017-07-31,94.9191,95.2988,91159HHN3=
2017-08-01,95.2468,95.6279,91159HHN3=
2017-08-02,95.3417,95.7229,91159HHN3=
2017-08-03,95.7394,96.1223,91159HHN3=
2017-08-04,95.3974,95.7786,91159HHN3=
2017-08-07,95.4519,95.8333,91159HHN3=
2017-08-08,95.4303,95.8115,91159HHN3=
2017-08-09,95.0623,95.4415,91159HHN3=
2017-08-10,95.4281,95.8088,91159HHN3=
2017-08-11,95.4287,95.8093,91159HHN3=
2017-08-14,95.1866,95.5661,91159HHN3=
2017-08-15,94.7205,95.0977,91159HHN3=
2017-08-16,95.6398,96.0209,91159HHN3=
2017-08-17,95.9227,96.3049,91159HHN3=
2017-08-18,95.8552,96.237,91159HHN3=
2017-08-21,95.499,95.8791,91159HHN3=
2017-08-22,95.3941,95.7736,91159HHN3=
2017-08-23,95.7618,96.1427,91159HHN3=
2017-08-24,95.5581,95.938,91159HHN3=
2017-08-25,95.6882,96.0685,91159HHN3=
2017-08-28,96.0619,96.4439,91159HHN3=
2017-08-29,96.2985,96.6815,91159HHN3=
2017-08-30,96.0966,96.4782,91159HHN3=
2017-08-31,96.1433,96.525,91159HHN3=
2017-09-01,95.7948,96.1749,91159HHN3=
2017-09-05,96.5796,96.9632,91159HHN3=
2017-09-06,96.2597,96.6417,91159HHN3=
2017-09-07,96.744,97.1279,91159HHN3=
2017-09-08,96.653,97.0364,91159HHN3=
2017-09-11,96.0442,96.4247,91159HHN3=
2017-09-12,95.7951,96.1744,91159HHN3=
2017-09-13,95.5922,95.9705,91159HHN3=
2017-09-14,95.6637,96.042,91159HHN3=
2017-09-15,95.3861,95.7631,91159HHN3=
2017-09-18,95.147,95.5228,91159HHN3=
2017-09-19,95.0659,95.4412,91159HHN3=
2017-09-20,95.0074,95.3824,91159HHN3=
2017-09-21,94.8994,95.2736,91159HHN3=
2017-09-22,95.4625,95.8391,91159HHN3=
2017-09-25,95.6969,96.0744,91159HHN3=
2017-09-26,95.2175,95.5928,91159HHN3=
2017-09-27,94.6666,95.0393,91159HHN3=
2017-09-28,95.0433,95.4174,91159HHN3=
2017-09-29,94.8286,95.2016,91159HHN3=
2017-10-02,94.8151,95.1879,91159HHN3=
2017-10-03,94.9356,95.3089,91159HHN3=
2017-10-04,94.9519,95.3251,91159HHN3=
2017-10-05,94.7716,95.1436,91159HHN3=
2017-10-06,94.6692,95.0406,91159HHN3=
2017-10-10,94.7226,95.0942,91159HHN3=
2017-10-11,95.1029,95.476,91159HHN3=
2017-10-12,95.3529,95.7268,91159HHN3=
2017-10-13,95.698,96.0734,91159HHN3=
2017-10-16,95.4749,95.8492,91159HHN3=
2017-10-17,95.5733,95.9479,91159HHN3=
2017-10-18,95.2537,95.6268,91159HHN3=
2017-10-19,95.5334,95.9074,91159HHN3=
2017-10-20,95.051,95.4227,91159HHN3=
2017-10-23,94.8524,95.2232,91159HHN3=
2017-10-24,94.2568,94.6248,91159HHN3=
2017-10-25,94.1557,94.5232,91159HHN3=
2017-10-26,93.9556,94.3219,91159HHN3=
2017-10-27,94.2933,94.6611,91159HHN3=
2017-10-30,94.6397,95.0089,91159HHN3=
2017-10-31,94.9437,95.3141,91159HHN3=
2017-11-01,94.9969,95.3675,91159HHN3=
2017-11-02,95.186,95.5571,91159HHN3=
2017-11-03,95.2985,95.6699,91159HHN3=
2017-11-06,95.2553,95.6265,91159HHN3=
2017-11-07,95.0496,95.4197,91159HHN3=
2017-11-08,94.9919,95.3617,91159HHN3=
2017-11-09,94.8767,95.2457,91159HHN3=
2017-11-10,94.2616,94.6278,91159HHN3=
2017-11-13,94.5239,94.8911,91159HHN3=
2017-11-14,94.595,94.9624,91159HHN3=
2017-11-15,94.7664,95.1344,91159HHN3=
2017-11-16,94.412,94.7782,91159HHN3=
2017-11-17,94.9413,95.3097,91159HHN3=
2017-11-20,94.6126,94.9794,91159HHN3=
2017-11-21,94.7548,95.122,91159HHN3=
2017-11-22,95.038,95.4062,91159HHN3=
2017-11-23,95.0676,95.4359,91159HHN3=
2017-11-24,94.7534,95.1202,91159HHN3=
2017-11-27,94.8208,95.1878,91159HHN3=
2017-11-28,94.7857,95.1524,91159HHN3=
2017-11-29,94.3347,94.6994,91159HHN3=
2017-11-30,94.1435,94.507,91159HHN3=
2017-12-01,94.5231,94.8882,91159HHN3=
2017-12-04,94.6048,94.9701,91159HHN3=
2017-12-05,94.672,95.0375,91159HHN3=
2017-12-06,94.7684,95.1342,91159HHN3=
2017-12-07,94.6854,95.0505,91159HHN3=
2017-12-08,94.4832,94.8473,91159HHN3=
2017-12-11,94.4848,94.8488,91159HHN3=
2017-12-12,94.45,94.8138,91159HHN3=
2017-12-13,94.7206,95.0855,91159HHN3=
2017-12-14,94.4999,94.8635,91159HHN3=
2017-12-15,94.8504,95.2154,91159HHN3=
2017-12-18,94.6846,95.0488,91159HHN3=
2017-12-19,93.7828,94.1429,91159HHN3=
2017-12-20,93.6554,94.0149,91159HHN3=
2017-12-21,93.7415,94.1009,91159HHN3=
2017-12-22,94.1027,94.4636,91159HHN3=
2017-12-26,93.903,94.2629,91159HHN3=
2017-12-27,94.3512,94.713,91159HHN3=
2017-12-28,93.7667,94.1256,91159HHN3=
2017-12-29,93.9086,94.268,91159HHN3=
2018-01-02,93.5701,93.928,91159HHN3=
2018-01-03,93.6934,94.0517,91159HHN3=
2018-01-04,93.9923,94.3515,91159HHN3=
2018-01-05,93.8365,94.195,91159HHN3=
2018-01-08,93.7954,94.1536,91159HHN3=
2018-01-09,93.3766,93.7329,91159HHN3=
2018-01-10,93.3146,93.6705,91159HHN3=
2018-01-11,93.5568,93.9133,91159HHN3=
2018-01-12,93.5374,93.8937,91159HHN3=
2018-01-16,94.0599,94.4184,91159HHN3=
2018-01-17,93.3495,93.7048,91159HHN3=
2018-01-18,93.0935,93.4474,91159HHN3=
2018-01-19,92.8346,93.1873,91159HHN3=
2018-01-22,92.8718,93.2245,91159HHN3=
2018-01-23,93.1487,93.5025,91159HHN3=
2018-01-24,92.8616,93.2141,91159HHN3=
2018-01-25,93.0364,93.3893,91159HHN3=
2018-01-26,92.7852,93.1369,91159HHN3=
2018-01-29,92.4354,92.7857,91159HHN3=
2018-01-30,92.2695,92.6189,91159HHN3=
2018-01-31,92.3484,92.6981,91159HHN3=
2018-02-01,91.9444,92.292,91159HHN3=
2018-02-02,91.5384,91.8842,91159HHN3=
2018-02-05,92.4566,92.8062,91159HHN3=
2018-02-06,91.7987,92.1454,91159HHN3=
2018-02-07,91.5937,91.9394,91159HHN3=
2018-02-08,91.5339,91.8791,91159HHN3=
2018-02-09,90.3305,90.6704,91159HHN3=
2018-02-12,90.7712,91.1129,91159HHN3=
2018-02-13,91.0926,91.4356,91159HHN3=
2018-02-14,90.0453,90.3837,91159HHN3=
2018-02-15,90.8388,91.1802,91159HHN3=
2018-02-16,91.0118,91.3538,91159HHN3=
2018-02-20,90.8235,91.1646,91159HHN3=
2018-02-21,90.209,90.5474,91159HHN3=
2018-02-22,90.9153,91.2564,91159HHN3=
2018-02-23,90.9247,91.2658,91159HHN3=
2018-02-26,90.9591,91.2999,91159HHN3=
2018-02-27,90.5076,90.8465,91159HHN3=
2018-02-28,90.9102,91.2507,91159HHN3=
2018-03-01,91.2648,91.6065,91159HHN3=
2018-03-02,91.0154,91.3559,91159HHN3=
2018-03-05,90.9093,91.2493,91159HHN3=
2018-03-06,90.4924,90.8305,91159HHN3=
2018-03-07,90.5288,90.867,91159HHN3=
2018-03-08,90.6988,91.0374,91159HHN3=
2018-03-09,90.2366,90.5731,91159HHN3=
2018-03-12,90.5758,90.9137,91159HHN3=
2018-03-13,90.7269,91.0653,91159HHN3=
2018-03-14,90.8985,91.2375,91159HHN3=
2018-03-15,90.7914,91.1297,91159HHN3=
2018-03-16,90.6726,91.0103,91159HHN3=
2018-03-19,90.5877,90.9249,91159HHN3=
2018-03-20,89.9003,90.2345,91159HHN3=
2018-03-21,89.7236,90.057,91159HHN3=
2018-03-22,90.0251,90.3594,91159HHN3=
2018-03-23,90.0212,90.3554,91159HHN3=
2018-03-26,89.771,90.1041,91159HHN3=
2018-03-27,90.3007,90.6359,91159HHN3=
2018-03-28,90.2421,90.5767,91159HHN3=
2018-03-29,90.4426,90.778,91159HHN3=
2018-04-02,90.6492,90.9853,91159HHN3=
2018-04-03,90.3305,90.6652,91159HHN3=
2018-04-04,90.1532,90.4871,91159HHN3=
2018-04-05,90.4551,90.7899,91159HHN3=
2018-04-06,90.8529,91.1893,91159HHN3=
2018-04-09,90.8153,91.1514,91159HHN3=
2018-04-10,90.6839,91.0194,91159HHN3=
2018-04-11,90.9011,91.2374,91159HHN3=
2018-04-12,90.6144,90.9492,91159HHN3=
2018-04-13,90.6572,90.992,91159HHN3=
2018-04-16,90.6398,90.9745,91159HHN3=
2018-04-17,90.6959,91.0307,91159HHN3=
2018-04-18,90.0797,90.4118,91159HHN3=
2018-04-19,89.8304,90.1612,91159HHN3=
2018-04-20,89.5302,89.8596,91159HHN3=
2018-04-23,89.4216,89.7505,91159HHN3=
2018-04-24,89.3393,89.6677,91159HHN3=
2018-04-25,89.0154,89.3424,91159HHN3=
2018-04-26,89.3188,89.6468,91159HHN3=
2018-04-27,89.4922,89.8208,91159HHN3=
2018-04-30,89.5215,89.8501,91159HHN3=
2018-05-01,89.7675,90.097,91159HHN3=
2018-05-02,89.6522,89.9811,91159HHN3=
2018-05-03,89.7267,90.0556,91159HHN3=
2018-05-04,89.8348,90.1641,91159HHN3=
2018-05-07,89.8246,90.1538,91159HHN3=
2018-05-08,89.6963,90.0248,91159HHN3=
2018-05-09,89.3461,89.6731,91159HHN3=
2018-05-10,89.5793,89.9069,91159HHN3=
2018-05-11,89.5237,89.851,91159HHN3=
2018-05-14,89.307,89.6333,91159HHN3=
2018-05-15,89.2604,89.5864,91159HHN3=
2018-05-16,89.1206,89.4459,91159HHN3=
2018-05-17,89.0587,89.3835,91159HHN3=
2018-05-18,89.4191,89.7453,91159HHN3=
2018-05-21,89.6307,89.9576,91159HHN3=
2018-05-22,89.6011,89.9278,91159HHN3=
2018-05-23,89.9832,90.3114,91159HHN3=
2018-05-24,90.1128,90.4411,91159HHN3=
2018-05-25,90.4754,90.8051,91159HHN3=
2018-05-28,90.7273,91.058,91159HHN3=
2018-05-29,91.3436,91.6769,91159HHN3=
2018-05-30,90.9216,91.253,91159HHN3=
2018-05-31,90.8966,91.2276,91159HHN3=
2018-06-01,90.6224,90.9522,91159HHN3=
2018-06-04,90.3493,90.6779,91159HHN3=
2018-06-05,90.4702,90.7992,91159HHN3=
2018-06-06,90.152,90.4795,91159HHN3=
2018-06-07,90.4684,90.7969,91159HHN3=
2018-06-08,90.3271,90.655,91159HHN3=
2018-06-11,90.3823,90.7103,91159HHN3=
2018-06-12,90.3132,90.6408,91159HHN3=
