Date,BID,ASK,RIC
2017-04-26,99.5412,99.9657,91159HHR4=
2017-04-27,99.6599,100.0848,91159HHR4=
2017-04-28,99.6684,100.0933,91159HHR4=
2017-05-01,99.3892,99.8126,91159HHR4=
2017-05-02,99.6854,100.1102,91159HHR4=
2017-05-03,99.2209,99.6431,91159HHR4=
2017-05-04,98.9687,99.3895,91159HHR4=
2017-05-05,99.1454,99.567,91159HHR4=
2017-05-08,98.902,99.3223,91159HHR4=
2017-05-09,99.3393,99.7617,91159HHR4=
2017-05-10,99.2386,99.6602,91159HHR4=
2017-05-11,99.0616,99.4822,91159HHR4=
2017-05-12,99.7792,100.2032,91159HHR4=
2017-05-15,99.8039,100.2279,91159HHR4=
2017-05-16,99.5253,99.9479,91159HHR4=
2017-05-17,100.6533,101.0811,91159HHR4=
2017-05-18,100.1002,100.5252,91159HHR4=
2017-05-19,100.2953,100.7211,91159HHR4=
2017-05-22,100.1509,100.5759,91159HHR4=
2017-05-23,99.8968,100.3205,91159HHR4=
2017-05-24,99.6269,100.0489,91159HHR4=
2017-05-25,99.8627,100.2859,91159HHR4=
2017-05-26,100.1124,100.5366,91159HHR4=
2017-05-30,100.015,100.4387,91159HHR4=
2017-05-31,100.3703,100.7954,91159HHR4=
2017-06-01,100.2262,100.6505,91159HHR4=
2017-06-02,100.5993,101.0253,91159HHR4=
2017-06-05,100.9055,101.3329,91159HHR4=
2017-06-06,101.1443,101.5728,91159HHR4=
2017-06-07,100.8023,101.2288,91159HHR4=
2017-06-08,100.4879,100.9128,91159HHR4=
2017-06-09,100.7424,101.1684,91159HHR4=
2017-06-12,100.1325,100.5554,91159HHR4=
2017-06-13,100.2253,100.6486,91159HHR4=
2017-06-14,100.7923,101.218,91159HHR4=
2017-06-15,100.809,101.2347,91159HHR4=
2017-06-16,100.7324,101.1576,91159HHR4=
2017-06-19,100.4105,100.8341,91159HHR4=
2017-06-20,100.6219,101.0464,91159HHR4=
2017-06-21,100.5452,100.969,91159HHR4=
2017-06-22,100.7651,101.1899,91159HHR4=
2017-06-23,101.3174,101.7448,91159HHR4=
