Date,BID,ASK,RIC
2018-11-15,100.4465,100.7484,91159HHU7=
2018-11-16,100.7722,101.0751,91159HHU7=
2018-11-19,100.8384,101.1415,91159HHU7=
2018-11-20,100.753,101.0555,91159HHU7=
2018-11-21,100.6976,100.9996,91159HHU7=
2018-11-22,100.7106,101.0127,91159HHU7=
2018-11-23,100.824,101.1264,91159HHU7=
2018-11-26,100.7331,101.0351,91159HHU7=
2018-11-27,100.7207,101.0225,91159HHU7=
2018-11-28,100.859,101.1612,91159HHU7=
2018-11-29,100.9604,101.2626,91159HHU7=
2018-11-30,100.8214,101.123,91159HHU7=
2018-12-03,100.8631,101.1648,91159HHU7=
2018-12-04,100.7244,101.0255,91159HHU7=
2018-12-05,100.6544,100.9551,91159HHU7=
2018-12-06,100.9394,101.2408,91159HHU7=
2018-12-07,101.2524,101.5548,91159HHU7=
2018-12-10,101.1493,101.4512,91159HHU7=
2018-12-11,100.9983,101.2996,91159HHU7=
2018-12-12,101.1966,101.4985,91159HHU7=
2018-12-13,101.2794,101.5812,91159HHU7=
2018-12-14,101.4115,101.7137,91159HHU7=
2018-12-17,101.6646,101.9676,91159HHU7=
2018-12-18,101.894,102.1977,91159HHU7=
2018-12-19,102.0571,102.3612,91159HHU7=
2018-12-20,101.7882,102.0911,91159HHU7=
2018-12-21,101.9925,102.2958,91159HHU7=
2018-12-24,102.3801,102.6847,91159HHU7=
2018-12-26,101.9123,102.2152,91159HHU7=
2018-12-27,102.0813,102.3846,91159HHU7=
2018-12-28,102.4849,102.7893,91159HHU7=
2018-12-31,102.7638,103.0691,91159HHU7=
2019-01-02,103.0129,103.3189,91159HHU7=
2019-01-03,103.7018,104.0098,91159HHU7=
2019-01-04,102.5034,102.8072,91159HHU7=
2019-01-07,102.2784,102.5813,91159HHU7=
2019-01-08,102.018,102.3199,91159HHU7=
2019-01-09,102.2102,102.5127,91159HHU7=
2019-01-10,102.0871,102.3888,91159HHU7=
2019-01-11,102.3396,102.6421,91159HHU7=
2019-01-14,102.3388,102.6412,91159HHU7=
2019-01-15,102.2956,102.5977,91159HHU7=
2019-01-16,102.2465,102.5483,91159HHU7=
2019-01-17,102.8167,103.1201,91159HHU7=
2019-01-18,102.5255,102.8278,91159HHU7=
2019-01-21,102.6496,102.9523,91159HHU7=
2019-01-22,102.7904,103.0935,91159HHU7=
2019-01-23,102.7712,103.0741,91159HHU7=
2019-01-24,102.9737,103.2769,91159HHU7=
2019-01-25,102.6826,102.9847,91159HHU7=
2019-01-28,102.7781,103.0805,91159HHU7=
2019-01-29,102.9787,103.2818,91159HHU7=
2019-01-30,103.3643,103.6685,91159HHU7=
2019-01-31,103.634,103.9388,91159HHU7=
2019-02-01,103.2502,103.5536,91159HHU7=
2019-02-04,103.0433,103.3459,91159HHU7=
2019-02-05,103.1631,103.466,91159HHU7=
2019-02-06,103.2163,103.5193,91159HHU7=
2019-02-07,104.081,104.3866,91159HHU7=
2019-02-08,104.2137,104.5196,91159HHU7=
2019-02-11,104.0414,104.3466,91159HHU7=
2019-02-12,103.9059,104.2106,91159HHU7=
2019-02-13,103.698,104.0018,91159HHU7=
2019-02-14,104.081,104.3857,91159HHU7=
2019-02-15,103.9369,104.241,91159HHU7=
2019-02-18,103.9164,104.2204,91159HHU7=
2019-02-19,104.1631,104.4678,91159HHU7=
2019-02-20,104.0886,104.393,91159HHU7=
2019-02-21,103.8294,104.1326,91159HHU7=
2019-02-22,104.0825,104.3864,91159HHU7=
2019-02-25,104.0203,104.3239,91159HHU7=
2019-02-26,104.2439,104.5478,91159HHU7=
2019-02-27,104.0083,104.3114,91159HHU7=
2019-02-28,103.7985,104.1006,91159HHU7=
2019-03-01,103.5262,103.8272,91159HHU7=
2019-03-04,103.7174,104.019,91159HHU7=
2019-03-05,103.716,104.0175,91159HHU7=
2019-03-06,103.8772,104.1791,91159HHU7=
2019-03-07,104.2228,104.5255,91159HHU7=
2019-03-08,104.2938,104.5966,91159HHU7=
2019-03-11,104.2197,104.5222,91159HHU7=
2019-03-12,104.575,104.8786,91159HHU7=
2019-03-13,104.3977,104.7005,91159HHU7=
