Date,BID,ASK,RIC
2020-05-12,99.8704,100.5924,91159HHZ6=
2020-05-13,100.4763,101.2029,91159HHZ6=
2020-05-14,100.4321,101.1572,91159HHZ6=
2020-05-15,100.7645,101.0547,91159HHZ6=
2020-05-18,100.4701,100.7592,91159HHZ6=
2020-05-19,101.1795,101.4708,91159HHZ6=
2020-05-20,101.1401,101.4311,91159HHZ6=
2020-05-21,101.7582,102.0506,91159HHZ6=
2020-05-22,101.8156,102.108,91159HHZ6=
2020-05-25,101.8291,102.1215,91159HHZ6=
2020-05-26,101.7416,102.0336,91159HHZ6=
2020-05-27,101.8622,102.1544,91159HHZ6=
2020-05-28,101.933,102.2251,91159HHZ6=
2020-05-29,102.3898,102.6832,91159HHZ6=
2020-06-01,102.2129,102.5056,91159HHZ6=
2020-06-02,102.2555,102.5482,91159HHZ6=
2020-06-03,102.3056,102.5983,91159HHZ6=
2020-06-04,102.1957,102.4876,91159HHZ6=
2020-06-05,102.2642,102.5561,91159HHZ6=
2020-06-08,102.033,102.324,91159HHZ6=
2020-06-09,102.5486,102.8411,91159HHZ6=
2020-06-10,102.9003,103.1938,91159HHZ6=
2020-06-11,102.261,102.552,91159HHZ6=
2020-06-12,102.1981,102.4887,91159HHZ6=
2020-06-15,102.1542,102.4445,91159HHZ6=
2020-06-16,102.9572,103.2499,91159HHZ6=
2020-06-17,102.9178,103.2102,91159HHZ6=
2020-06-18,102.9623,103.2544,91159HHZ6=
2020-06-19,102.721,103.0122,91159HHZ6=
2020-06-22,102.2278,102.5172,91159HHZ6=
2020-06-23,102.8157,103.1069,91159HHZ6=
2020-06-24,102.8713,103.1625,91159HHZ6=
2020-06-25,102.6045,102.8943,91159HHZ6=
2020-06-26,102.7459,103.036,91159HHZ6=
2020-06-29,102.9112,103.2017,91159HHZ6=
2020-06-30,102.9934,103.284,91159HHZ6=
2020-07-01,103.1127,103.403,91159HHZ6=
2020-07-02,103.227,103.5175,91159HHZ6=
2020-07-03,103.227,103.5175,91159HHZ6=
2020-07-06,103.2498,103.5403,91159HHZ6=
2020-07-07,103.3511,103.6417,91159HHZ6=
2020-07-08,103.1941,103.4841,91159HHZ6=
2020-07-09,102.8547,103.1431,91159HHZ6=
2020-07-10,103.1006,103.3896,91159HHZ6=
2020-07-13,103.4133,103.7031,91159HHZ6=
2020-07-14,103.3388,103.6283,91159HHZ6=
2020-07-15,103.3531,103.6424,91159HHZ6=
2020-07-16,103.3437,103.6325,91159HHZ6=
2020-07-17,103.1861,103.4743,91159HHZ6=
2020-07-20,103.1737,103.4617,91159HHZ6=
2020-07-21,103.3743,103.6627,91159HHZ6=
2020-07-22,103.4287,103.7171,91159HHZ6=
2020-07-23,103.5087,103.7969,91159HHZ6=
2020-07-24,103.4849,103.7729,91159HHZ6=
2020-07-27,103.4111,103.6987,91159HHZ6=
2020-07-28,103.4206,103.7081,91159HHZ6=
2020-07-29,103.4941,103.7818,91159HHZ6=
2020-07-30,103.6818,103.9696,91159HHZ6=
2020-07-31,103.7573,104.0452,91159HHZ6=
2020-08-03,103.8972,104.1853,91159HHZ6=
2020-08-04,104.0189,104.3073,91159HHZ6=
2020-08-05,103.88,104.1678,91159HHZ6=
2020-08-06,104.148,104.388,91159HHZ6=
2020-08-07,103.8357,104.0748,91159HHZ6=
2020-08-10,103.8021,104.041,91159HHZ6=
2020-08-11,103.6108,103.849,91159HHZ6=
2020-08-12,103.6038,103.8419,91159HHZ6=
2020-08-13,103.3585,103.5955,91159HHZ6=
2020-08-14,103.4731,103.7103,91159HHZ6=
2020-08-17,103.4921,103.7292,91159HHZ6=
2020-08-18,103.5754,103.8126,91159HHZ6=
2020-08-19,103.1645,103.4005,91159HHZ6=
2020-08-20,103.4169,103.6532,91159HHZ6=
2020-08-21,103.4277,103.6639,91159HHZ6=
2020-08-24,103.6014,103.8379,91159HHZ6=
2020-08-25,103.2679,103.5034,91159HHZ6=
2020-08-26,103.4951,103.731,91159HHZ6=
2020-08-27,103.3927,103.6281,91159HHZ6=
2020-08-28,103.4039,103.6392,91159HHZ6=
2020-08-31,103.6364,103.8721,91159HHZ6=
2020-09-01,103.7711,104.0071,91159HHZ6=
2020-09-02,103.8893,104.1254,91159HHZ6=
2020-09-03,103.6927,103.9278,91159HHZ6=
2020-09-04,103.5581,103.7927,91159HHZ6=
2020-09-07,103.5953,103.83,91159HHZ6=
2020-09-08,103.6717,103.9065,91159HHZ6=
2020-09-09,103.7054,103.9401,91159HHZ6=
2020-09-10,103.6186,103.8527,91159HHZ6=
2020-09-11,103.6359,103.8699,91159HHZ6=
2020-09-14,103.8591,104.0935,91159HHZ6=
2020-09-15,103.8238,104.058,91159HHZ6=
2020-09-16,103.7333,103.9671,91159HHZ6=
2020-09-17,103.7459,103.9794,91159HHZ6=
2020-09-18,103.5824,103.8153,91159HHZ6=
2020-09-21,103.6424,103.8753,91159HHZ6=
2020-09-22,103.6528,103.8856,91159HHZ6=
2020-09-23,103.6135,103.8461,91159HHZ6=
2020-09-24,103.621,103.8532,91159HHZ6=
2020-09-25,103.2399,103.471,91159HHZ6=
2020-09-28,103.2553,103.4863,91159HHZ6=
2020-09-29,103.2914,103.5224,91159HHZ6=
2020-09-30,103.143,103.3735,91159HHZ6=
2020-10-01,103.1483,103.3784,91159HHZ6=
2020-10-02,103.2312,103.4613,91159HHZ6=
2020-10-05,103.0473,103.2768,91159HHZ6=
2020-10-06,103.9127,104.1443,91159HHZ6=
2020-10-07,103.6526,103.8834,91159HHZ6=
2020-10-08,103.3869,103.6165,91159HHZ6=
2020-10-09,103.2181,103.4471,91159HHZ6=
2020-10-12,103.2651,103.4942,91159HHZ6=
2020-10-13,103.617,103.8469,91159HHZ6=
2020-10-14,103.6031,103.8328,91159HHZ6=
2020-10-15,103.5937,103.823,91159HHZ6=
2020-10-16,103.5559,103.785,91159HHZ6=
2020-10-19,103.5081,103.7369,91159HHZ6=
2020-10-20,103.2779,103.506,91159HHZ6=
2020-10-21,103.4754,103.7039,91159HHZ6=
2020-10-22,103.2238,103.4512,91159HHZ6=
2020-10-23,103.1235,103.3505,91159HHZ6=
2020-10-26,103.4405,103.6682,91159HHZ6=
2020-10-27,103.3695,103.5969,91159HHZ6=
2020-10-28,103.4656,103.6931,91159HHZ6=
2020-10-29,104.507,104.7368,91159HHZ6=
2020-10-30,104.4605,104.6901,91159HHZ6=
2020-11-02,103.1412,103.3673,91159HHZ6=
2020-11-03,102.7339,102.9589,91159HHZ6=
2020-11-04,103.1101,103.3359,91159HHZ6=
2020-11-05,102.9785,103.2036,91159HHZ6=
2020-11-06,103.0296,103.2547,91159HHZ6=
2020-11-09,102.9421,103.1667,91159HHZ6=
2020-11-10,102.8832,103.1075,91159HHZ6=
2020-11-12,102.7527,102.9763,91159HHZ6=
2020-11-13,102.996,103.22,91159HHZ6=
2020-11-16,103.0076,103.2315,91159HHZ6=
2020-11-17,103.1531,103.3773,91159HHZ6=
2020-11-18,102.8748,103.0981,91159HHZ6=
2020-11-19,103.0747,103.2981,91159HHZ6=
2020-11-20,103.1119,103.3353,91159HHZ6=
2020-11-23,103.0484,103.2715,91159HHZ6=
2020-11-24,103.0359,103.2587,91159HHZ6=
2020-11-25,103.0686,103.2911,91159HHZ6=
2020-11-26,103.1021,103.3247,91159HHZ6=
2020-11-27,103.157,103.3796,91159HHZ6=
2020-11-30,103.2476,103.4703,91159HHZ6=
2020-12-01,102.7635,102.9848,91159HHZ6=
2020-12-02,102.7787,102.9999,91159HHZ6=
2020-12-03,102.8999,103.121,91159HHZ6=
2020-12-04,103.0142,103.2355,91159HHZ6=
2020-12-07,103.0904,103.3117,91159HHZ6=
2020-12-08,102.7229,102.9432,91159HHZ6=
2020-12-09,102.9786,103.1994,91159HHZ6=
2020-12-10,102.9645,103.1849,91159HHZ6=
2020-12-11,103.0513,103.2717,91159HHZ6=
2020-12-14,103.2524,103.4732,91159HHZ6=
2020-12-15,103.2125,103.4331,91159HHZ6=
2020-12-16,103.1445,103.3648,91159HHZ6=
2020-12-17,102.8748,103.094,91159HHZ6=
2020-12-18,103.2621,103.4821,91159HHZ6=
2020-12-21,103.2601,103.48,91159HHZ6=
2020-12-22,103.0139,103.233,91159HHZ6=
2020-12-23,102.9858,103.2043,91159HHZ6=
2020-12-24,103.0956,103.3143,91159HHZ6=
2020-12-28,103.1187,103.3373,91159HHZ6=
2020-12-29,103.4806,103.7001,91159HHZ6=
2020-12-30,103.5261,103.7451,91159HHZ6=
2020-12-31,103.546,103.7649,91159HHZ6=
2021-01-04,103.4974,103.7161,91159HHZ6=
2021-01-05,103.4141,103.6325,91159HHZ6=
2021-01-06,103.2863,103.5042,91159HHZ6=
2021-01-07,103.2362,103.4536,91159HHZ6=
2021-01-08,102.6974,102.9134,91159HHZ6=
2021-01-11,102.855,103.0712,91159HHZ6=
2021-01-12,103.1407,103.3575,91159HHZ6=
2021-01-13,103.0014,103.2177,91159HHZ6=
2021-01-14,102.8868,103.1023,91159HHZ6=
2021-01-15,102.9984,103.214,91159HHZ6=
2021-01-18,102.9857,103.2013,91159HHZ6=
2021-01-19,103.0208,103.2363,91159HHZ6=
2021-01-20,103.2257,103.4416,91159HHZ6=
2021-01-21,103.0661,103.2812,91159HHZ6=
2021-01-22,103.1058,103.3209,91159HHZ6=
2021-01-25,103.0315,103.2463,91159HHZ6=
2021-01-26,103.018,103.2326,91159HHZ6=
2021-01-27,103.1039,103.3186,91159HHZ6=
2021-01-28,103.0078,103.222,91159HHZ6=
2021-01-29,103.206,103.4205,91159HHZ6=
2021-02-01,103.1043,103.3184,91159HHZ6=
2021-02-02,102.9122,103.1257,91159HHZ6=
2021-02-03,103.014,103.2276,91159HHZ6=
2021-02-04,103.0181,103.2313,91159HHZ6=
2021-02-05,102.6094,102.8215,91159HHZ6=
2021-02-08,102.8488,103.0614,91159HHZ6=
2021-02-09,103.0263,103.2392,91159HHZ6=
2021-02-10,103.035,103.2477,91159HHZ6=
2021-02-11,102.8661,103.0779,91159HHZ6=
2021-02-12,102.7298,102.9412,91159HHZ6=
2021-02-15,102.6581,102.8693,91159HHZ6=
2021-02-16,102.7813,102.9926,91159HHZ6=
