Date,BID,ASK,RIC
2020-07-20,100.1339,100.6952,91159HJA9=
2020-07-21,100.4792,101.0425,91159HJA9=
2020-07-22,100.6296,101.1937,91159HJA9=
2020-07-23,100.7498,101.3142,91159HJA9=
2020-07-24,100.3748,100.9367,91159HJA9=
2020-07-27,99.7784,100.3365,91159HJA9=
2020-07-28,100.2168,100.7775,91159HJA9=
2020-07-29,100.2366,100.7974,91159HJA9=
2020-07-30,100.9446,101.5093,91159HJA9=
2020-07-31,100.848,101.412,91159HJA9=
2020-08-03,100.9584,101.5229,91159HJA9=
2020-08-04,101.3532,101.92,91159HJA9=
2020-08-05,101.6742,102.2428,91159HJA9=
2020-08-06,101.1682,101.6388,91159HJA9=
2020-08-07,100.9398,101.4091,91159HJA9=
2020-08-10,100.9101,101.3792,91159HJA9=
2020-08-11,100.2275,100.693,91159HJA9=
2020-08-12,99.9392,100.4031,91159HJA9=
2020-08-13,99.9266,100.3901,91159HJA9=
2020-08-14,100.0048,100.4685,91159HJA9=
2020-08-17,99.718,100.1802,91159HJA9=
2020-08-18,99.6059,100.0674,91159HJA9=
2020-08-19,99.3952,99.8555,91159HJA9=
2020-08-20,99.5996,100.0605,91159HJA9=
2020-08-21,99.8533,100.3154,91159HJA9=
2020-08-24,99.679,100.1401,91159HJA9=
2020-08-25,99.1855,99.644,91159HJA9=
2020-08-26,99.1865,99.6449,91159HJA9=
2020-08-27,98.4967,98.9514,91159HJA9=
2020-08-28,98.7808,99.2368,91159HJA9=
2020-08-31,98.925,99.3816,91159HJA9=
2020-09-01,99.261,99.7191,91159HJA9=
2020-09-02,100.0124,100.4742,91159HJA9=
2020-09-03,99.7694,100.2295,91159HJA9=
2020-09-04,99.2644,99.7218,91159HJA9=
2020-09-07,99.2328,99.6901,91159HJA9=
2020-09-08,99.1726,99.6295,91159HJA9=
2020-09-09,99.2837,99.741,91159HJA9=
2020-09-10,99.1958,99.6523,91159HJA9=
2020-09-11,99.4579,99.9156,91159HJA9=
2020-09-14,99.3117,99.7685,91159HJA9=
2020-09-15,99.714,100.1727,91159HJA9=
2020-09-16,99.4591,99.9164,91159HJA9=
2020-09-17,99.1796,99.6352,91159HJA9=
2020-09-18,99.4039,99.8605,91159HJA9=
2020-09-21,99.3666,99.8229,91159HJA9=
2020-09-22,99.4407,99.8972,91159HJA9=
2020-09-23,99.1133,99.5681,91159HJA9=
2020-09-24,98.5215,98.9729,91159HJA9=
2020-09-25,98.7598,99.2123,91159HJA9=
2020-09-28,98.7434,99.1957,91159HJA9=
2020-09-29,99.0601,99.5139,91159HJA9=
2020-09-30,99.2161,99.6705,91159HJA9=
2020-10-01,99.0112,99.4642,91159HJA9=
2020-10-02,98.7484,99.2,91159HJA9=
2020-10-05,99.0213,99.4742,91159HJA9=
2020-10-06,99.174,99.6275,91159HJA9=
2020-10-07,98.7602,99.2115,91159HJA9=
2020-10-08,99.2016,99.6546,91159HJA9=
2020-10-09,98.8432,99.2943,91159HJA9=
2020-10-12,99.1452,99.5978,91159HJA9=
2020-10-13,99.5554,100.01,91159HJA9=
2020-10-14,99.4831,99.9372,91159HJA9=
2020-10-15,99.5139,99.9678,91159HJA9=
2020-10-16,99.1767,99.6288,91159HJA9=
2020-10-19,98.988,99.439,91159HJA9=
2020-10-20,99.2242,99.6763,91159HJA9=
2020-10-21,98.9105,99.3609,91159HJA9=
2020-10-22,98.7919,99.2413,91159HJA9=
2020-10-23,98.661,99.1097,91159HJA9=
2020-10-26,98.8032,99.2524,91159HJA9=
2020-10-27,99.4947,99.9473,91159HJA9=
2020-10-28,99.0624,99.5127,91159HJA9=
2020-10-29,98.7354,99.1838,91159HJA9=
2020-10-30,98.0561,98.501,91159HJA9=
2020-11-02,98.3663,98.8126,91159HJA9=
2020-11-03,98.0325,98.4771,91159HJA9=
2020-11-04,99.3589,99.8099,91159HJA9=
2020-11-05,99.6795,100.1318,91159HJA9=
2020-11-06,99.1921,99.6418,91159HJA9=
2020-11-09,98.7148,99.1619,91159HJA9=
2020-11-10,97.9321,98.3752,91159HJA9=
2020-11-12,98.5415,98.9873,91159HJA9=
2020-11-13,98.409,98.854,91159HJA9=
2020-11-16,98.7459,99.1924,91159HJA9=
2020-11-17,99.0375,99.4854,91159HJA9=
2020-11-18,99.1851,99.6336,91159HJA9=
2020-11-19,99.2724,99.721,91159HJA9=
2020-11-20,99.5382,99.9879,91159HJA9=
2020-11-23,99.1449,99.5926,91159HJA9=
2020-11-24,99.415,99.8638,91159HJA9=
2020-11-25,99.5363,99.9853,91159HJA9=
2020-11-26,99.7698,100.22,91159HJA9=
2020-11-27,99.8864,100.337,91159HJA9=
2020-11-30,99.8835,100.334,91159HJA9=
2020-12-01,99.6557,100.1049,91159HJA9=
2020-12-02,99.6734,100.1226,91159HJA9=
2020-12-03,100.0997,100.5506,91159HJA9=
2020-12-04,99.5578,100.0059,91159HJA9=
2020-12-07,99.7788,100.2279,91159HJA9=
2020-12-08,99.4781,99.9256,91159HJA9=
2020-12-09,98.9756,99.4205,91159HJA9=
2020-12-10,99.489,99.9361,91159HJA9=
2020-12-11,99.5152,99.9623,91159HJA9=
2020-12-14,99.4252,99.8717,91159HJA9=
2020-12-15,99.3135,99.7593,91159HJA9=
2020-12-16,100.0417,100.491,91159HJA9=
2020-12-17,99.2023,99.6471,91159HJA9=
2020-12-18,99.1672,99.6117,91159HJA9=
2020-12-21,99.5269,99.9731,91159HJA9=
2020-12-22,99.36,99.8052,91159HJA9=
2020-12-23,99.1521,99.5958,91159HJA9=
2020-12-24,99.8117,100.2585,91159HJA9=
2020-12-28,99.5762,100.0218,91159HJA9=
2020-12-29,99.7378,100.1842,91159HJA9=
2020-12-30,99.8157,100.2619,91159HJA9=
2020-12-31,99.8801,100.3265,91159HJA9=
2021-01-04,100.0444,100.4915,91159HJA9=
2021-01-05,99.4625,99.9066,91159HJA9=
2021-01-06,98.656,99.0961,91159HJA9=
2021-01-07,98.7432,99.1833,91159HJA9=
2021-01-08,98.0825,98.5193,91159HJA9=
2021-01-11,97.7343,98.1693,91159HJA9=
2021-01-12,97.8632,98.2987,91159HJA9=
2021-01-13,98.3749,98.8128,91159HJA9=
2021-01-14,98.0081,98.4437,91159HJA9=
2021-01-15,98.2618,98.6985,91159HJA9=
2021-01-18,98.2208,98.6573,91159HJA9=
2021-01-19,98.3978,98.8351,91159HJA9=
2021-01-20,98.6128,99.051,91159HJA9=
2021-01-21,98.1014,98.5367,91159HJA9=
