Date,BID,ASK,RIC
2014-02-12,98.5192,98.9143,947890AH2=
2014-02-13,98.9517,99.3487,947890AH2=
2014-02-14,98.8417,99.2382,947890AH2=
2014-02-18,99.1421,99.54,947890AH2=
2014-02-19,98.9467,99.3433,947890AH2=
2014-02-20,98.8124,99.2083,947890AH2=
2014-02-21,98.9706,99.3672,947890AH2=
2014-02-24,98.8759,99.2719,947890AH2=
2014-02-25,99.225,99.6223,947890AH2=
2014-02-26,99.5025,99.901,947890AH2=
2014-02-27,99.7015,100.1009,947890AH2=
2014-02-28,99.6139,100.0127,947890AH2=
2014-03-03,99.9807,100.3812,947890AH2=
2014-03-04,99.2329,99.6298,947890AH2=
2014-03-05,99.2015,99.5979,947890AH2=
2014-03-06,98.9489,99.344,947890AH2=
2014-03-07,98.5166,98.9096,947890AH2=
2014-03-10,98.6188,99.0122,947890AH2=
2014-03-11,98.674,99.0676,947890AH2=
2014-03-12,99.0207,99.4156,947890AH2=
2014-03-13,99.6773,100.0754,947890AH2=
2014-03-14,99.59,99.9876,947890AH2=
2014-03-17,99.2735,99.6694,947890AH2=
2014-03-18,99.4633,99.8601,947890AH2=
2014-03-19,98.6683,99.061,947890AH2=
2014-03-20,98.6372,99.0297,947890AH2=
2014-03-21,98.8962,99.2898,947890AH2=
2014-03-24,99.0221,99.4162,947890AH2=
2014-03-25,98.8495,99.2427,947890AH2=
2014-03-26,99.278,99.6731,947890AH2=
2014-03-27,99.377,99.7725,947890AH2=
2014-03-28,99.0779,99.4718,947890AH2=
2014-03-31,99.078,99.4719,947890AH2=
2014-04-01,98.8271,99.2197,947890AH2=
2014-04-02,98.4295,98.8199,947890AH2=
2014-04-03,98.4843,98.8749,947890AH2=
2014-04-04,99.0397,99.4328,947890AH2=
2014-04-07,99.2362,99.6301,947890AH2=
2014-04-08,99.3779,99.7724,947890AH2=
2014-04-09,99.3074,99.7014,947890AH2=
2014-04-10,99.6698,100.0654,947890AH2=
2014-04-11,99.812,100.2082,947890AH2=
2014-04-14,99.6383,100.0336,947890AH2=
2014-04-15,99.7963,100.1919,947890AH2=
2014-04-16,99.7568,100.1522,947890AH2=
2014-04-17,99.0813,99.4734,947890AH2=
2014-04-21,99.1284,99.5206,947890AH2=
2014-04-22,99.1599,99.5522,947890AH2=
2014-04-23,99.3013,99.694,947890AH2=
2014-04-24,99.3955,99.7885,947890AH2=
2014-04-25,99.5133,99.9068,947890AH2=
2014-04-28,99.1844,99.5762,947890AH2=
2014-04-29,99.2706,99.6628,947890AH2=
2014-04-30,99.6708,100.0646,947890AH2=
2014-05-01,99.9305,100.3254,947890AH2=
2014-05-02,100.1593,100.5552,947890AH2=
2014-05-05,99.9857,100.3807,947890AH2=
2014-05-06,100.6264,101.4241,947890AH2=
2014-05-07,100.6656,101.4632,947890AH2=
2014-05-08,100.7386,101.5367,947890AH2=
