Date,BID,ASK,RIC
2019-03-25,100.683,101.086,947890AJ8=
2019-03-26,100.523,100.924,947890AJ8=
2019-03-27,100.876,101.279,947890AJ8=
2019-03-28,100.314,100.714,947890AJ8=
2019-03-29,100.17,100.57,947890AJ8=
2019-04-01,99.424,99.82,947890AJ8=
2019-04-02,99.669,100.066,947890AJ8=
2019-04-03,99.227,99.622,947890AJ8=
2019-04-04,99.345,99.74,947890AJ8=
2019-04-05,99.456,99.851,947890AJ8=
2019-04-08,99.29,99.685,947890AJ8=
2019-04-09,99.432,99.827,947890AJ8=
2019-04-10,99.724,100.121,947890AJ8=
2019-04-11,99.456,99.851,947890AJ8=
2019-04-12,98.953,99.345,947890AJ8=
2019-04-15,99.008,99.401,947890AJ8=
2019-04-16,98.726,99.118,947890AJ8=
2019-04-17,98.712,99.103,947890AJ8=
2019-04-18,98.977,99.37,947890AJ8=
2019-04-19,98.994,99.387,947890AJ8=
2019-04-22,98.767,99.158,947890AJ8=
2019-04-23,98.907,99.299,947890AJ8=
2019-04-24,99.307,99.7,947890AJ8=
2019-04-25,99.182,99.574,947890AJ8=
2019-04-26,99.433,99.827,947890AJ8=
2019-04-29,99.237,99.63,947890AJ8=
2019-04-30,99.417,99.811,947890AJ8=
2019-05-01,99.433,99.826,947890AJ8=
2019-05-02,99.097,99.488,947890AJ8=
2019-05-03,99.214,99.606,947890AJ8=
2019-05-06,99.449,99.842,947890AJ8=
2019-05-07,99.858,100.253,947890AJ8=
2019-05-08,99.551,99.944,947890AJ8=
2019-05-09,99.818,100.213,947890AJ8=
2019-05-10,99.661,100.055,947890AJ8=
2019-05-13,100.22,100.616,947890AJ8=
2019-05-14,100.125,100.521,947890AJ8=
2019-05-15,100.418,100.814,947890AJ8=
2019-05-16,101.06,101.46,947890AJ8=
2019-05-17,101.084,101.483,947890AJ8=
2019-05-20,100.877,101.275,947890AJ8=
2019-05-21,100.805,101.203,947890AJ8=
2019-05-22,101.187,101.586,947890AJ8=
2019-05-23,101.649,102.05,947890AJ8=
2019-05-24,101.705,102.106,947890AJ8=
2019-05-27,101.804,102.206,947890AJ8=
2019-05-28,102.081,102.484,947890AJ8=
2019-05-29,102.118,102.522,947890AJ8=
2019-05-30,102.491,102.895,947890AJ8=
2019-05-31,103.171,103.579,947890AJ8=
2019-06-03,103.652,104.062,947890AJ8=
2019-06-04,103.267,103.675,947890AJ8=
2019-06-05,103.185,103.593,947890AJ8=
2019-06-06,103.264,103.672,947890AJ8=
2019-06-07,103.565,103.974,947890AJ8=
2019-06-10,103.027,103.433,947890AJ8=
2019-06-11,103.067,103.473,947890AJ8=
2019-06-12,103.253,103.66,947890AJ8=
2019-06-13,103.486,103.894,947890AJ8=
2019-06-14,103.542,103.95,947890AJ8=
2019-06-17,103.501,103.909,947890AJ8=
2019-06-18,103.769,104.178,947890AJ8=
2019-06-19,104.013,104.423,947890AJ8=
2019-06-20,104.051,104.461,947890AJ8=
2019-06-21,103.756,104.164,947890AJ8=
2019-06-24,104.09,104.5,947890AJ8=
2019-06-25,104.334,104.745,947890AJ8=
2019-06-26,103.826,104.235,947890AJ8=
2019-06-27,104.117,104.527,947890AJ8=
2019-06-28,104.174,104.583,947890AJ8=
2019-07-01,103.96,104.369,947890AJ8=
2019-07-02,104.416,104.827,947890AJ8=
2019-07-03,104.61,105.021,947890AJ8=
2019-07-04,104.65,105.061,947890AJ8=
2019-07-05,103.906,104.314,947890AJ8=
2019-07-08,103.832,104.239,947890AJ8=
2019-07-09,103.636,104.042,947890AJ8=
2019-07-10,103.724,104.131,947890AJ8=
2019-07-11,103.059,103.462,947890AJ8=
2019-07-12,103.211,103.615,947890AJ8=
2019-07-15,103.485,103.89,947890AJ8=
2019-07-16,103.355,103.759,947890AJ8=
2019-07-17,103.864,104.271,947890AJ8=
2019-07-18,103.999,104.406,947890AJ8=
2019-07-19,103.73,104.136,947890AJ8=
2019-07-22,103.802,104.208,947890AJ8=
2019-07-23,103.575,103.98,947890AJ8=
2019-07-24,103.801,104.206,947890AJ8=
2019-07-25,103.523,103.927,947890AJ8=
2019-07-26,103.603,104.008,947890AJ8=
2019-07-29,103.681,104.085,947890AJ8=
2019-07-30,103.715,104.12,947890AJ8=
2019-07-31,104.143,104.55,947890AJ8=
2019-08-01,104.996,105.406,947890AJ8=
2019-08-02,105.479,105.891,947890AJ8=
2019-08-05,106.512,106.929,947890AJ8=
