Date,BID,ASK,RIC
2014-09-04,98.7988,99.2169,94974BGA2=
2014-09-05,98.5991,99.0161,94974BGA2=
2014-09-08,98.483,98.8993,94974BGA2=
2014-09-09,98.0608,98.475,94974BGA2=
2014-09-10,97.8887,98.3017,94974BGA2=
2014-09-11,97.741,98.1532,94974BGA2=
2014-09-12,97.7578,98.1701,94974BGA2=
2014-09-15,97.3318,97.7419,94974BGA2=
2014-09-16,97.7177,98.1295,94974BGA2=
2014-09-17,97.2605,97.6698,94974BGA2=
2014-09-18,97.3591,97.7688,94974BGA2=
2014-09-19,97.8514,98.2634,94974BGA2=
2014-09-22,98.041,98.4538,94974BGA2=
2014-09-23,98.1898,98.6032,94974BGA2=
2014-09-24,97.4522,97.8617,94974BGA2=
2014-09-25,97.8868,98.2984,94974BGA2=
2014-09-26,97.4369,97.8462,94974BGA2=
2014-09-29,98.1755,98.5883,94974BGA2=
2014-09-30,98.0442,98.4562,94974BGA2=
2014-10-01,98.6721,99.0869,94974BGA2=
2014-10-02,98.2843,98.6972,94974BGA2=
2014-10-03,98.9626,99.3787,94974BGA2=
2014-10-06,99.4873,99.9058,94974BGA2=
2014-10-07,99.4206,99.8387,94974BGA2=
2014-10-08,99.7633,100.1827,94974BGA2=
2014-10-09,100.023,100.4435,94974BGA2=
2014-10-10,99.6129,100.0313,94974BGA2=
2014-10-14,100.1992,100.6204,94974BGA2=
2014-10-15,100.0898,100.5102,94974BGA2=
2014-10-16,100.0646,100.4848,94974BGA2=
2014-10-17,99.9222,100.3416,94974BGA2=
2014-10-20,99.7968,100.2155,94974BGA2=
2014-10-21,99.5217,99.9389,94974BGA2=
2014-10-22,100.1648,100.5848,94974BGA2=
2014-10-23,99.3559,99.7719,94974BGA2=
2014-10-24,100.1144,100.534,94974BGA2=
2014-10-27,100.0892,100.5086,94974BGA2=
2014-10-28,99.405,99.8211,94974BGA2=
2014-10-29,99.5723,99.9888,94974BGA2=
2014-10-30,99.1083,99.5225,94974BGA2=
2014-10-31,99.4562,99.872,94974BGA2=
2014-11-03,99.2823,99.6971,94974BGA2=
2014-11-04,99.6224,100.0388,94974BGA2=
2014-11-05,99.5313,99.947,94974BGA2=
2014-11-06,99.2336,99.6476,94974BGA2=
2014-11-07,99.8221,100.2389,94974BGA2=
2014-11-10,99.2504,99.6643,94974BGA2=
2014-11-12,98.979,99.3913,94974BGA2=
2014-11-13,99.7944,100.2106,94974BGA2=
2014-11-14,99.9316,100.3483,94974BGA2=
2014-11-17,99.1779,99.5908,94974BGA2=
2014-11-18,99.1115,99.524,94974BGA2=
2014-11-19,98.7755,99.1861,94974BGA2=
2014-11-20,98.9398,99.3511,94974BGA2=
2014-11-21,99.4007,99.8142,94974BGA2=
2014-11-24,99.4587,99.8722,94974BGA2=
2014-11-25,100.005,100.4208,94974BGA2=
2014-11-26,100.6126,101.0313,94974BGA2=
2014-11-28,100.8215,101.2411,94974BGA2=
2014-12-01,100.4455,100.8631,94974BGA2=
2014-12-02,99.8641,100.2789,94974BGA2=
2014-12-03,99.732,100.1458,94974BGA2=
2014-12-04,100.0298,100.4449,94974BGA2=
2014-12-05,99.5178,99.9304,94974BGA2=
2014-12-08,99.7735,100.1872,94974BGA2=
2014-12-09,100.2037,100.6194,94974BGA2=
2014-12-10,100.2202,100.6356,94974BGA2=
