Date,BID,ASK,RIC
2015-04-28,97.5968,98.4524,94974BGK0=
2015-04-29,95.6536,96.4854,94974BGK0=
2015-04-30,96.9188,97.766,94974BGK0=
2015-05-01,95.0629,95.8875,94974BGK0=
2015-05-04,94.5394,95.3576,94974BGK0=
2015-05-05,94.583,95.4017,94974BGK0=
2015-05-06,93.1234,93.9243,94974BGK0=
2015-05-07,94.2735,95.0883,94974BGK0=
2015-05-08,95.5014,96.331,94974BGK0=
2015-05-11,92.6006,93.395,94974BGK0=
2015-05-12,92.6295,93.4242,94974BGK0=
2015-05-13,92.4875,93.2804,94974BGK0=
2015-05-14,93.1565,93.9575,94974BGK0=
2015-05-15,94.3377,95.1529,94974BGK0=
2015-05-18,93.0737,93.8736,94974BGK0=
2015-05-19,92.1267,92.9151,94974BGK0=
2015-05-20,92.2244,93.0139,94974BGK0=
2015-05-21,91.6957,92.4787,94974BGK0=
2015-05-22,92.2379,93.0275,94974BGK0=
2015-05-26,93.7458,94.5535,94974BGK0=
2015-05-27,93.776,94.584,94974BGK0=
2015-05-28,93.5051,94.3098,94974BGK0=
2015-05-29,93.2482,94.0498,94974BGK0=
2015-06-01,92.0179,92.8046,94974BGK0=
2015-06-02,91.3205,92.0987,94974BGK0=
2015-06-03,89.4916,90.2478,94974BGK0=
2015-06-04,90.3543,91.1208,94974BGK0=
2015-06-05,89.2566,90.0099,94974BGK0=
2015-06-08,89.2239,89.9767,94974BGK0=
2015-06-09,88.807,89.5548,94974BGK0=
2015-06-10,88.1721,88.9122,94974BGK0=
2015-06-11,89.9622,90.7237,94974BGK0=
2015-06-12,89.8858,90.6464,94974BGK0=
2015-06-15,89.903,90.6638,94974BGK0=
2015-06-16,90.8015,91.573,94974BGK0=
2015-06-17,90.0711,90.8338,94974BGK0=
2015-06-18,89.2897,90.0429,94974BGK0=
2015-06-19,90.1943,90.9583,94974BGK0=
2015-06-22,88.5307,89.2748,94974BGK0=
2015-06-23,87.8836,88.62,94974BGK0=
2015-06-24,89.2449,89.9974,94974BGK0=
2015-06-25,88.8596,89.6075,94974BGK0=
2015-06-26,88.1488,88.8881,94974BGK0=
2015-06-29,89.1285,89.8795,94974BGK0=
2015-06-30,90.167,90.9303,94974BGK0=
2015-07-01,88.6845,89.43,94974BGK0=
2015-07-02,89.01,89.7594,94974BGK0=
2015-07-06,90.1085,90.871,94974BGK0=
2015-07-07,90.8689,91.6405,94974BGK0=
2015-07-08,91.3832,92.1608,94974BGK0=
2015-07-09,89.4481,90.2025,94974BGK0=
2015-07-10,88.1984,88.9379,94974BGK0=
2015-07-13,88.5531,89.2968,94974BGK0=
2015-07-14,88.1571,88.896,94974BGK0=
2015-07-15,88.3777,89.1191,94974BGK0=
2015-07-16,88.5831,89.3269,94974BGK0=
2015-07-17,88.7348,89.4804,94974BGK0=
2015-07-20,88.3974,89.139,94974BGK0=
