Date,BID,ASK,RIC
2019-01-18,99.6616,99.887,95000U2C6=
2019-01-21,99.7542,99.9799,95000U2C6=
2019-01-22,100.2671,100.4941,95000U2C6=
2019-01-23,100.2533,100.4802,95000U2C6=
2019-01-24,100.4157,100.6427,95000U2C6=
2019-01-25,100.1846,100.4109,95000U2C6=
2019-01-28,100.2613,100.4876,95000U2C6=
2019-01-29,100.5452,100.7723,95000U2C6=
2019-01-30,100.8368,101.0645,95000U2C6=
2019-01-31,101.6888,101.9184,95000U2C6=
2019-02-01,101.3904,101.6191,95000U2C6=
2019-02-04,101.2345,101.4627,95000U2C6=
2019-02-05,101.334,101.5624,95000U2C6=
2019-02-06,101.4108,101.6392,95000U2C6=
2019-02-07,101.6137,101.8423,95000U2C6=
2019-02-08,101.6995,101.9282,95000U2C6=
2019-02-11,101.5754,101.8037,95000U2C6=
2019-02-12,101.4743,101.7022,95000U2C6=
2019-02-13,101.3098,101.5372,95000U2C6=
2019-02-14,101.561,101.7886,95000U2C6=
2019-02-15,101.4536,101.6808,95000U2C6=
2019-02-18,101.4383,101.6654,95000U2C6=
2019-02-19,101.6229,101.8504,95000U2C6=
2019-02-20,101.6583,101.8858,95000U2C6=
2019-02-21,101.4652,101.6918,95000U2C6=
2019-02-22,101.7363,101.9635,95000U2C6=
2019-02-25,101.699,101.926,95000U2C6=
2019-02-26,101.8665,102.0935,95000U2C6=
2019-02-27,101.7722,101.9989,95000U2C6=
2019-02-28,101.8598,102.0864,95000U2C6=
2019-03-01,101.7367,101.9629,95000U2C6=
2019-03-04,101.8803,102.1067,95000U2C6=
2019-03-05,101.8793,102.1056,95000U2C6=
2019-03-06,102.0003,102.2268,95000U2C6=
2019-03-07,102.2594,102.4862,95000U2C6=
2019-03-08,101.9147,102.1405,95000U2C6=
2019-03-11,101.8506,102.0761,95000U2C6=
2019-03-12,102.0253,102.2511,95000U2C6=
2019-03-13,101.9927,102.2183,95000U2C6=
2019-03-14,101.9894,102.2147,95000U2C6=
2019-03-15,102.1459,102.3715,95000U2C6=
2019-03-18,102.1132,102.3386,95000U2C6=
2019-03-19,102.0446,102.2697,95000U2C6=
2019-03-20,102.5075,102.7336,95000U2C6=
2019-03-21,102.4268,102.6524,95000U2C6=
2019-03-22,102.8905,103.1172,95000U2C6=
2019-03-25,102.8211,103.0475,95000U2C6=
2019-03-26,102.7157,102.9417,95000U2C6=
2019-03-27,102.8858,103.1121,95000U2C6=
2019-03-28,102.9279,103.1541,95000U2C6=
2019-03-29,102.8135,103.0392,95000U2C6=
2019-04-01,102.5869,102.8119,95000U2C6=
2019-04-02,102.7946,103.0201,95000U2C6=
2019-04-03,102.5831,102.8079,95000U2C6=
2019-04-04,102.6211,102.8456,95000U2C6=
2019-04-05,102.4674,102.6914,95000U2C6=
2019-04-08,102.412,102.6358,95000U2C6=
2019-04-09,102.4412,102.6649,95000U2C6=
2019-04-10,102.7,102.9243,95000U2C6=
2019-04-11,102.467,102.6903,95000U2C6=
2019-04-12,102.2912,102.514,95000U2C6=
2019-04-15,102.2887,102.5113,95000U2C6=
2019-04-16,102.1475,102.3697,95000U2C6=
2019-04-17,102.0835,102.305,95000U2C6=
2019-04-18,102.436,102.6583,95000U2C6=
2019-04-19,102.4406,102.6629,95000U2C6=
2019-04-22,102.3127,102.5346,95000U2C6=
2019-04-23,102.2774,102.4991,95000U2C6=
2019-04-24,102.6695,102.892,95000U2C6=
2019-04-25,102.4439,102.6655,95000U2C6=
2019-04-26,102.6316,102.8536,95000U2C6=
2019-04-29,102.6844,102.9064,95000U2C6=
2019-04-30,102.9312,103.1537,95000U2C6=
2019-05-01,102.806,103.028,95000U2C6=
2019-05-02,102.6227,102.8439,95000U2C6=
2019-05-03,102.5839,102.8049,95000U2C6=
2019-05-06,102.6237,102.8447,95000U2C6=
2019-05-07,102.9946,103.2164,95000U2C6=
2019-05-08,102.6387,102.8595,95000U2C6=
2019-05-09,102.7908,103.0116,95000U2C6=
2019-05-10,102.6543,102.8746,95000U2C6=
2019-05-13,103.0509,103.2721,95000U2C6=
2019-05-14,102.8551,103.0757,95000U2C6=
2019-05-15,103.0343,103.2552,95000U2C6=
2019-05-16,103.1791,103.4,95000U2C6=
2019-05-17,102.9693,103.1896,95000U2C6=
2019-05-20,102.9853,103.2055,95000U2C6=
2019-05-21,102.8645,103.0843,95000U2C6=
2019-05-22,103.003,103.223,95000U2C6=
2019-05-23,102.9918,103.2113,95000U2C6=
2019-05-24,103.2808,103.5009,95000U2C6=
2019-05-27,103.2808,103.5009,95000U2C6=
2019-05-28,103.3726,103.5928,95000U2C6=
2019-05-29,102.9382,103.1573,95000U2C6=
2019-05-30,103.5639,103.7842,95000U2C6=
2019-05-31,103.7694,103.9901,95000U2C6=
2019-06-03,104.1398,104.3613,95000U2C6=
2019-06-04,103.9793,104.2003,95000U2C6=
2019-06-05,104.0001,104.221,95000U2C6=
2019-06-06,103.9193,104.1396,95000U2C6=
2019-06-07,104.1662,104.387,95000U2C6=
2019-06-10,103.8429,104.0628,95000U2C6=
2019-06-11,104.086,104.3064,95000U2C6=
2019-06-12,104.0329,104.253,95000U2C6=
2019-06-13,104.3695,104.5901,95000U2C6=
2019-06-14,104.2018,104.4219,95000U2C6=
2019-06-17,104.2415,104.4615,95000U2C6=
2019-06-18,104.1737,104.3934,95000U2C6=
2019-06-19,104.6161,104.8368,95000U2C6=
2019-06-20,104.6187,104.839,95000U2C6=
2019-06-21,104.5903,104.8104,95000U2C6=
2019-06-24,104.9845,105.2055,95000U2C6=
2019-06-25,104.9457,105.1665,95000U2C6=
2019-06-26,104.742,104.9621,95000U2C6=
2019-06-27,104.9503,105.1706,95000U2C6=
2019-06-28,104.8817,105.1017,95000U2C6=
2019-07-01,104.97,105.1901,95000U2C6=
2019-07-02,105.3049,105.5256,95000U2C6=
2019-07-03,105.3931,105.6136,95000U2C6=
2019-07-04,105.3955,105.616,95000U2C6=
2019-07-05,104.9387,105.158,95000U2C6=
2019-07-08,104.8159,105.0347,95000U2C6=
2019-07-09,104.4952,104.7131,95000U2C6=
2019-07-10,104.6937,104.912,95000U2C6=
2019-07-11,104.5588,104.7764,95000U2C6=
2019-07-12,104.5053,104.7226,95000U2C6=
2019-07-15,104.7614,104.9792,95000U2C6=
2019-07-16,104.707,104.9246,95000U2C6=
2019-07-17,104.7439,104.9614,95000U2C6=
2019-07-18,105.1029,105.3209,95000U2C6=
2019-07-19,104.9039,105.1213,95000U2C6=
2019-07-22,104.986,105.2035,95000U2C6=
2019-07-23,104.7431,104.9599,95000U2C6=
2019-07-24,104.8163,105.0332,95000U2C6=
2019-07-25,104.639,104.8551,95000U2C6=
2019-07-26,104.8058,105.0221,95000U2C6=
2019-07-29,104.8245,105.0409,95000U2C6=
2019-07-30,104.7038,104.9198,95000U2C6=
2019-07-31,104.8978,105.1141,95000U2C6=
2019-08-01,105.3084,105.5253,95000U2C6=
2019-08-02,105.3831,105.6001,95000U2C6=
2019-08-05,105.7805,105.9983,95000U2C6=
2019-08-06,105.7802,105.9979,95000U2C6=
2019-08-07,105.5557,105.7727,95000U2C6=
2019-08-08,105.8825,106.1,95000U2C6=
2019-08-09,105.7408,105.9578,95000U2C6=
2019-08-12,106.1482,106.366,95000U2C6=
2019-08-13,105.6895,105.9061,95000U2C6=
2019-08-14,105.7709,105.9876,95000U2C6=
2019-08-15,106.1938,106.4111,95000U2C6=
2019-08-16,106.1652,106.3823,95000U2C6=
2019-08-19,105.866,106.0823,95000U2C6=
2019-08-20,106.2066,106.4236,95000U2C6=
2019-08-21,106.2182,106.4351,95000U2C6=
2019-08-22,106.1446,106.361,95000U2C6=
2019-08-23,106.369,106.5858,95000U2C6=
2019-08-26,106.4483,106.6651,95000U2C6=
2019-08-27,106.4663,106.683,95000U2C6=
2019-08-28,106.659,106.8761,95000U2C6=
2019-08-29,106.3357,106.5516,95000U2C6=
2019-08-30,106.2745,106.4902,95000U2C6=
2019-09-02,106.2786,106.4943,95000U2C6=
2019-09-03,106.5375,106.7537,95000U2C6=
2019-09-04,106.5435,106.7596,95000U2C6=
2019-09-05,106.2262,106.4411,95000U2C6=
2019-09-06,106.1461,106.3607,95000U2C6=
2019-09-09,105.7672,105.9808,95000U2C6=
2019-09-10,105.2988,105.5112,95000U2C6=
2019-09-11,105.284,105.4962,95000U2C6=
2019-09-12,105.2209,105.4326,95000U2C6=
2019-09-13,104.8033,105.0139,95000U2C6=
2019-09-16,105.1242,105.3354,95000U2C6=
2019-09-17,105.2675,105.4789,95000U2C6=
2019-09-18,105.2398,105.451,95000U2C6=
2019-09-19,105.223,105.4338,95000U2C6=
2019-09-20,105.6155,105.8271,95000U2C6=
2019-09-23,105.4965,105.7077,95000U2C6=
2019-09-24,105.8034,106.0152,95000U2C6=
2019-09-25,105.3976,105.6083,95000U2C6=
2019-09-26,105.4261,105.6365,95000U2C6=
2019-09-27,105.6555,105.8664,95000U2C6=
2019-09-30,105.5903,105.8009,95000U2C6=
2019-10-01,105.9098,106.121,95000U2C6=
2019-10-02,106.2004,106.4121,95000U2C6=
2019-10-03,106.375,106.5868,95000U2C6=
2019-10-04,106.5063,106.7183,95000U2C6=
2019-10-07,106.4767,106.6885,95000U2C6=
2019-10-08,106.5108,106.7225,95000U2C6=
2019-10-09,106.1331,106.3438,95000U2C6=
2019-10-10,105.9165,106.1262,95000U2C6=
2019-10-11,105.6304,105.8393,95000U2C6=
2019-10-14,105.6492,105.8582,95000U2C6=
2019-10-15,105.4054,105.6137,95000U2C6=
2019-10-16,105.5271,105.7355,95000U2C6=
2019-10-17,105.5931,105.8013,95000U2C6=
2019-10-18,105.6265,105.8347,95000U2C6=
2019-10-21,105.5522,105.7601,95000U2C6=
2019-10-22,105.2628,105.4699,95000U2C6=
2019-10-23,105.1257,105.3323,95000U2C6=
2019-10-24,105.6305,105.8379,95000U2C6=
2019-10-25,105.0244,105.2303,95000U2C6=
2019-10-28,105.2385,105.4448,95000U2C6=
2019-10-29,105.3605,105.5671,95000U2C6=
2019-10-30,105.3444,105.5508,95000U2C6=
2019-10-31,105.89,106.0973,95000U2C6=
2019-11-01,105.5909,105.7974,95000U2C6=
2019-11-04,105.3703,105.5761,95000U2C6=
2019-11-05,104.923,105.1277,95000U2C6=
2019-11-06,105.2863,105.4917,95000U2C6=
2019-11-07,105.1014,105.3059,95000U2C6=
2019-11-08,104.7259,104.9294,95000U2C6=
2019-11-11,104.7501,104.9536,95000U2C6=
2019-11-12,104.9727,105.1766,95000U2C6=
2019-11-13,104.7316,104.9349,95000U2C6=
2019-11-14,104.9878,105.1913,95000U2C6=
2019-11-15,105.3824,105.5866,95000U2C6=
2019-11-18,105.2479,105.4517,95000U2C6=
2019-11-19,105.1137,105.3171,95000U2C6=
2019-11-20,105.3571,105.5609,95000U2C6=
2019-11-21,105.4114,105.6149,95000U2C6=
2019-11-22,104.9888,105.1913,95000U2C6=
2019-11-25,105.542,105.7456,95000U2C6=
2019-11-26,105.2657,105.4684,95000U2C6=
2019-11-27,105.5046,105.7075,95000U2C6=
2019-11-28,105.4837,105.6865,95000U2C6=
2019-11-29,105.5217,105.7245,95000U2C6=
2019-12-02,105.1097,105.3114,95000U2C6=
2019-12-03,105.6975,105.9004,95000U2C6=
2019-12-04,105.2643,105.4661,95000U2C6=
2019-12-05,105.5976,105.7998,95000U2C6=
2019-12-06,105.2949,105.4963,95000U2C6=
2019-12-09,105.3868,105.5883,95000U2C6=
2019-12-10,105.4095,105.6109,95000U2C6=
2019-12-11,105.571,105.7726,95000U2C6=
2019-12-12,105.184,105.3844,95000U2C6=
2019-12-13,105.4595,105.6604,95000U2C6=
2019-12-16,105.5397,105.7406,95000U2C6=
2019-12-17,105.5224,105.7232,95000U2C6=
2019-12-18,105.2382,105.4382,95000U2C6=
2019-12-19,105.3592,105.5591,95000U2C6=
2019-12-20,105.4815,105.6815,95000U2C6=
2019-12-23,105.4208,105.6205,95000U2C6=
2019-12-24,105.5566,105.7564,95000U2C6=
2019-12-25,105.5093,105.709,95000U2C6=
2019-12-26,105.6989,105.8987,95000U2C6=
2019-12-27,105.8571,106.0572,95000U2C6=
2019-12-30,105.3565,105.5553,95000U2C6=
2019-12-31,105.3357,105.5343,95000U2C6=
2020-01-01,105.379,105.5777,95000U2C6=
2020-01-02,105.7688,105.968,95000U2C6=
2020-01-03,106.0038,106.2033,95000U2C6=
2020-01-06,105.9417,106.141,95000U2C6=
2020-01-07,105.8041,106.0029,95000U2C6=
2020-01-08,105.5003,105.6984,95000U2C6=
2020-01-09,105.3743,105.5717,95000U2C6=
2020-01-10,105.5111,105.7087,95000U2C6=
2020-01-13,105.7506,105.9486,95000U2C6=
2020-01-14,105.4221,105.6192,95000U2C6=
2020-01-15,105.8766,106.0746,95000U2C6=
2020-01-16,105.7411,105.9383,95000U2C6=
2020-01-17,105.6871,105.884,95000U2C6=
2020-01-20,105.6968,105.8938,95000U2C6=
2020-01-21,106.0048,106.2023,95000U2C6=
2020-01-22,106.0167,106.2141,95000U2C6=
2020-01-23,105.8697,106.0664,95000U2C6=
2020-01-24,105.9877,106.1845,95000U2C6=
2020-01-27,106.0804,106.2773,95000U2C6=
2020-01-28,106.3107,106.508,95000U2C6=
2020-01-29,106.1132,106.3101,95000U2C6=
2020-01-30,106.2548,106.4516,95000U2C6=
2020-01-31,106.3861,106.583,95000U2C6=
2020-02-03,106.8666,107.0645,95000U2C6=
2020-02-04,106.24,106.4364,95000U2C6=
2020-02-05,106.0869,106.2828,95000U2C6=
2020-02-06,106.063,106.2585,95000U2C6=
2020-02-07,106.2814,106.4772,95000U2C6=
