Date,BID,ASK,RIC
2020-04-06,95.749,96.334,95001D6K1=
2020-04-07,95.356,95.938,95001D6K1=
2020-04-08,94.977,95.556,95001D6K1=
2020-04-09,95.244,95.825,95001D6K1=
2020-04-10,95.378,95.96,95001D6K1=
2020-04-13,94.986,95.564,95001D6K1=
2020-04-14,95.148,95.728,95001D6K1=
2020-04-15,96.097,96.683,95001D6K1=
2020-04-16,96.248,96.835,95001D6K1=
2020-04-17,96.039,96.624,95001D6K1=
2020-04-20,96.257,96.844,95001D6K1=
2020-04-21,96.678,97.267,95001D6K1=
2020-04-22,96.249,96.836,95001D6K1=
2020-04-23,98.912,99.473,95001D6K1=
2020-04-24,98.884,99.445,95001D6K1=
2020-04-27,98.452,99.009,95001D6K1=
2020-04-28,98.817,99.377,95001D6K1=
2020-04-29,98.727,99.287,95001D6K1=
2020-04-30,98.606,99.164,95001D6K1=
2020-05-01,98.816,99.375,95001D6K1=
2020-05-04,98.732,99.291,95001D6K1=
2020-05-05,98.486,99.043,95001D6K1=
2020-05-06,98.153,98.708,95001D6K1=
2020-05-07,98.701,99.259,95001D6K1=
2020-05-08,98.348,98.904,95001D6K1=
2020-05-11,98.185,98.739,95001D6K1=
2020-05-12,98.504,99.06,95001D6K1=
2020-05-13,98.657,99.214,95001D6K1=
2020-05-14,98.929,99.408,95001D6K1=
2020-05-15,98.734,99.211,95001D6K1=
2020-05-18,98.114,98.588,95001D6K1=
2020-05-19,98.387,98.862,95001D6K1=
2020-05-20,98.386,98.861,95001D6K1=
2020-05-21,98.456,98.931,95001D6K1=
2020-05-22,98.622,99.098,95001D6K1=
2020-05-25,98.644,99.12,95001D6K1=
2020-05-26,98.357,98.831,95001D6K1=
2020-05-27,98.349,98.823,95001D6K1=
2020-05-28,98.35,98.824,95001D6K1=
2020-05-29,98.684,99.16,95001D6K1=
2020-06-01,98.587,99.062,95001D6K1=
2020-06-02,98.438,98.912,95001D6K1=
2020-06-03,97.987,98.458,95001D6K1=
