Date,BID,ASK,RIC
2022-08-15,99.2787,99.4172,95001DC57=
2022-08-16,99.1101,99.2482,95001DC57=
2022-08-17,99.0021,99.1399,95001DC57=
2022-08-18,99.1233,99.2609,95001DC57=
2022-08-19,99.0413,99.1786,95001DC57=
2022-08-22,98.8428,98.9797,95001DC57=
2022-08-23,98.8722,99.009,95001DC57=
2022-08-24,98.7219,98.8584,95001DC57=
2022-08-25,98.7976,98.9338,95001DC57=
2022-08-26,98.7699,98.906,95001DC57=
2022-08-29,98.6237,98.7595,95001DC57=
2022-08-30,98.5881,98.7237,95001DC57=
2022-08-31,98.4604,98.5957,95001DC57=
2022-09-01,98.3931,98.5278,95001DC57=
2022-09-02,98.5955,98.7304,95001DC57=
2022-09-05,98.4826,98.6173,95001DC57=
2022-09-06,98.2741,98.4084,95001DC57=
2022-09-07,98.4657,98.6002,95001DC57=
2022-09-08,98.2825,98.4163,95001DC57=
2022-09-09,98.2022,98.3358,95001DC57=
2022-09-12,98.1743,98.3077,95001DC57=
2022-09-13,97.8087,97.9414,95001DC57=
2022-09-14,97.7149,97.8473,95001DC57=
2022-09-15,97.5595,97.6913,95001DC57=
2022-09-16,97.5958,97.7275,95001DC57=
2022-09-19,97.4172,97.5485,95001DC57=
2022-09-20,97.3264,97.4575,95001DC57=
2022-09-21,97.1433,97.274,95001DC57=
2022-09-22,96.8502,96.98,95001DC57=
2022-09-23,96.6212,96.7505,95001DC57=
2022-09-26,96.1346,96.263,95001DC57=
2022-09-27,96.2611,96.3896,95001DC57=
2022-09-28,96.8098,96.9391,95001DC57=
2022-09-29,96.6609,96.7896,95001DC57=
2022-09-30,95.7192,95.8463,95001DC57=
2022-10-03,96.1652,96.2929,95001DC57=
2022-10-04,96.1982,96.3258,95001DC57=
2022-10-05,96.0446,96.1718,95001DC57=
2022-10-06,95.4392,95.565,95001DC57=
2022-10-07,95.5914,95.7173,95001DC57=
2022-10-10,95.5696,95.6955,95001DC57=
2022-10-11,95.6037,95.7295,95001DC57=
2022-10-12,95.6889,95.8148,95001DC57=
2022-10-13,95.3441,95.4691,95001DC57=
2022-10-14,95.2286,95.3533,95001DC57=
2022-10-17,95.3858,95.5106,95001DC57=
2022-10-18,95.4222,95.5469,95001DC57=
2022-10-19,95.0843,95.2084,95001DC57=
