Date,BID,ASK,RIC
2022-10-31,100.0359,100.1711,95001DCG3=
2022-11-01,99.8641,99.9989,95001DCG3=
2022-11-02,99.7199,99.8543,95001DCG3=
2022-11-03,99.4784,99.6121,95001DCG3=
2022-11-04,99.6319,99.7657,95001DCG3=
2022-11-07,99.469,99.6024,95001DCG3=
2022-11-08,99.6992,99.8329,95001DCG3=
2022-11-09,99.8803,100.0138,95001DCG3=
2022-11-10,100.7051,100.8399,95001DCG3=
2022-11-11,100.6094,100.744,95001DCG3=
2022-11-14,100.5509,100.6853,95001DCG3=
2022-11-15,100.792,100.9267,95001DCG3=
2022-11-16,100.7832,100.9178,95001DCG3=
2022-11-17,100.5659,100.6998,95001DCG3=
2022-11-18,100.3689,100.5023,95001DCG3=
2022-11-21,100.3008,100.434,95001DCG3=
2022-11-22,100.387,100.5201,95001DCG3=
2022-11-23,100.5611,100.6942,95001DCG3=
2022-11-24,100.6882,100.8215,95001DCG3=
2022-11-25,100.5749,100.7079,95001DCG3=
2022-11-28,100.6051,100.738,95001DCG3=
2022-11-29,100.494,100.6266,95001DCG3=
2022-11-30,100.9693,101.1026,95001DCG3=
2022-12-01,101.4647,101.5984,95001DCG3=
2022-12-02,101.3848,101.5183,95001DCG3=
2022-12-05,101.0424,101.1752,95001DCG3=
2022-12-06,101.1037,101.2365,95001DCG3=
2022-12-07,101.3885,101.5216,95001DCG3=
2022-12-08,101.2254,101.3579,95001DCG3=
2022-12-09,101.1143,101.2465,95001DCG3=
2022-12-12,101.0154,101.1474,95001DCG3=
2022-12-13,101.4735,101.6061,95001DCG3=
2022-12-14,101.532,101.6645,95001DCG3=
2022-12-15,101.4393,101.5713,95001DCG3=
2022-12-16,101.5514,101.6835,95001DCG3=
2022-12-19,101.304,101.4356,95001DCG3=
2022-12-20,101.2449,101.3763,95001DCG3=
2022-12-21,101.3222,101.4536,95001DCG3=
2022-12-22,101.1972,101.3279,95001DCG3=
2022-12-23,101.0693,101.1997,95001DCG3=
2022-12-27,100.8772,101.0072,95001DCG3=
2022-12-28,100.8539,100.9837,95001DCG3=
2022-12-29,100.8766,101.0061,95001DCG3=
2022-12-30,100.7232,100.8524,95001DCG3=
2023-01-02,100.8069,100.9362,95001DCG3=
2023-01-03,100.8976,101.0269,95001DCG3=
2023-01-04,101.0081,101.1375,95001DCG3=
2023-01-05,100.7407,100.8693,95001DCG3=
2023-01-06,101.3168,101.4462,95001DCG3=
2023-01-09,101.4158,101.5452,95001DCG3=
2023-01-10,101.3248,101.454,95001DCG3=
2023-01-11,101.4247,101.5539,95001DCG3=
2023-01-12,101.674,101.8031,95001DCG3=
2023-01-13,101.4707,101.5994,95001DCG3=
2023-01-16,101.4064,101.535,95001DCG3=
2023-01-17,101.5018,101.6304,95001DCG3=
2023-01-18,101.8663,101.9954,95001DCG3=
2023-01-19,101.7471,101.8756,95001DCG3=
2023-01-20,101.6008,101.729,95001DCG3=
2023-01-23,101.4404,101.5682,95001DCG3=
2023-01-24,101.5285,101.6563,95001DCG3=
2023-01-25,101.5919,101.7197,95001DCG3=
2023-01-26,101.4472,101.5744,95001DCG3=
2023-01-27,101.4216,101.5488,95001DCG3=
2023-01-30,101.3126,101.4395,95001DCG3=
2023-01-31,101.4269,101.5539,95001DCG3=
2023-02-01,101.7296,101.8569,95001DCG3=
2023-02-02,101.7258,101.8528,95001DCG3=
2023-02-03,101.2739,101.4,95001DCG3=
2023-02-06,100.7895,100.9148,95001DCG3=
2023-02-07,100.832,100.9572,95001DCG3=
2023-02-08,100.8885,101.0137,95001DCG3=
2023-02-09,100.716,100.8406,95001DCG3=
2023-02-10,100.5813,100.7056,95001DCG3=
2023-02-13,100.592,100.7162,95001DCG3=
2023-02-14,100.3058,100.4294,95001DCG3=
2023-02-15,100.2521,100.3755,95001DCG3=
2023-02-16,100.2033,100.3262,95001DCG3=
