Date,BID,ASK,RIC
2022-12-09,98.6897,98.8239,95001DCQ1=
2022-12-12,98.6142,98.7481,95001DCQ1=
2022-12-13,98.9314,99.0657,95001DCQ1=
2022-12-14,98.9499,99.0841,95001DCQ1=
2022-12-15,98.907,99.0408,95001DCQ1=
2022-12-16,98.9764,99.1102,95001DCQ1=
2022-12-19,98.844,98.9775,95001DCQ1=
2022-12-20,98.8298,98.9632,95001DCQ1=
2022-12-21,98.8979,99.0313,95001DCQ1=
2022-12-22,98.8024,98.9351,95001DCQ1=
2022-12-23,98.7192,98.8517,95001DCQ1=
2022-12-27,98.5898,98.722,95001DCQ1=
2022-12-28,98.588,98.72,95001DCQ1=
2022-12-29,97.686,97.8162,95001DCQ1=
2022-12-30,97.5529,97.6828,95001DCQ1=
2023-01-02,97.6177,97.7477,95001DCQ1=
2023-01-03,97.6955,97.8255,95001DCQ1=
2023-01-04,97.7839,97.914,95001DCQ1=
2023-01-05,97.5687,97.6981,95001DCQ1=
2023-01-06,98.0378,98.1678,95001DCQ1=
2023-01-09,98.1247,98.2547,95001DCQ1=
2023-01-10,98.0546,98.1844,95001DCQ1=
2023-01-11,98.1336,98.2634,95001DCQ1=
2023-01-12,98.3045,98.4341,95001DCQ1=
2023-01-13,98.182,98.3113,95001DCQ1=
2023-01-16,98.1254,98.2546,95001DCQ1=
2023-01-17,98.1961,98.3253,95001DCQ1=
2023-01-18,98.4297,98.5592,95001DCQ1=
2023-01-19,98.3609,98.4899,95001DCQ1=
2023-01-20,98.2775,98.4063,95001DCQ1=
2023-01-23,98.1691,98.2976,95001DCQ1=
2023-01-24,98.2298,98.3583,95001DCQ1=
2023-01-25,98.2748,98.4032,95001DCQ1=
2023-01-26,98.1926,98.3206,95001DCQ1=
2023-01-27,98.1803,98.3083,95001DCQ1=
2023-01-30,98.0881,98.2158,95001DCQ1=
2023-01-31,98.1839,98.3116,95001DCQ1=
2023-02-01,98.3682,98.4961,95001DCQ1=
2023-02-02,98.3765,98.5041,95001DCQ1=
2023-02-03,98.0532,98.1801,95001DCQ1=
2023-02-06,97.6657,97.7919,95001DCQ1=
2023-02-07,97.7062,97.8324,95001DCQ1=
2023-02-08,97.7659,97.892,95001DCQ1=
2023-02-09,97.6368,97.7624,95001DCQ1=
2023-02-10,97.5292,97.6545,95001DCQ1=
2023-02-13,97.5335,97.6587,95001DCQ1=
2023-02-14,97.2887,97.4134,95001DCQ1=
2023-02-15,97.2426,97.3671,95001DCQ1=
2023-02-16,97.2149,97.3389,95001DCQ1=
2023-02-17,97.3323,97.4564,95001DCQ1=
2023-02-20,97.2353,97.3592,95001DCQ1=
2023-02-21,97.047,97.1705,95001DCQ1=
2023-02-22,97.0679,97.1913,95001DCQ1=
2023-02-23,97.095,97.2181,95001DCQ1=
2023-02-24,96.834,96.9564,95001DCQ1=
2023-02-27,96.8706,96.9929,95001DCQ1=
2023-02-28,96.8078,96.9299,95001DCQ1=
2023-03-01,96.6479,96.7697,95001DCQ1=
2023-03-02,96.5963,96.7176,95001DCQ1=
2023-03-03,96.6723,96.7936,95001DCQ1=
2023-03-06,96.639,96.7602,95001DCQ1=
2023-03-07,96.7158,96.837,95001DCQ1=
2023-03-08,96.6203,96.7412,95001DCQ1=
2023-03-09,97.0884,97.2097,95001DCQ1=
2023-03-10,97.3107,97.4322,95001DCQ1=
2023-03-13,98.4239,98.547,95001DCQ1=
2023-03-14,97.9251,98.0473,95001DCQ1=
2023-03-15,98.3301,98.4528,95001DCQ1=
2023-03-16,97.9122,98.034,95001DCQ1=
2023-03-17,98.449,98.5715,95001DCQ1=
2023-03-20,98.251,98.373,95001DCQ1=
2023-03-21,97.8246,97.9459,95001DCQ1=
2023-03-22,98.2873,98.4092,95001DCQ1=
2023-03-23,98.5593,98.6812,95001DCQ1=
2023-03-24,98.8122,98.9344,95001DCQ1=
2023-03-27,98.4048,98.5262,95001DCQ1=
2023-03-28,98.2317,98.3528,95001DCQ1=
2023-03-29,98.2047,98.3257,95001DCQ1=
2023-03-30,98.1869,98.3075,95001DCQ1=
2023-03-31,98.3437,98.4645,95001DCQ1=
2023-04-03,98.4464,98.5672,95001DCQ1=
2023-04-04,98.6907,98.8118,95001DCQ1=
2023-04-05,98.7385,98.8592,95001DCQ1=
2023-04-06,98.6945,98.815,95001DCQ1=
2023-04-07,98.4256,98.5457,95001DCQ1=
2023-04-10,98.5471,98.6672,95001DCQ1=
2023-04-11,98.5202,98.6402,95001DCQ1=
2023-04-12,98.8294,98.9497,95001DCQ1=
2023-04-13,98.8252,98.9452,95001DCQ1=
2023-04-14,98.6438,98.7634,95001DCQ1=
2023-04-17,98.4846,98.6038,95001DCQ1=
2023-04-18,98.7553,98.8748,95001DCQ1=
2023-04-19,98.6851,98.8044,95001DCQ1=
2023-04-20,98.7524,98.8714,95001DCQ1=
2023-04-21,98.7173,98.8361,95001DCQ1=
2023-04-24,98.7863,98.9051,95001DCQ1=
2023-04-25,98.981,99.1,95001DCQ1=
2023-04-26,98.92,99.0388,95001DCQ1=
2023-04-27,98.7769,98.8951,95001DCQ1=
2023-04-28,98.8139,98.932,95001DCQ1=
2023-05-01,98.6661,98.7839,95001DCQ1=
2023-05-02,98.8483,98.9663,95001DCQ1=
2023-05-03,98.9724,99.0904,95001DCQ1=
2023-05-04,99.0493,99.1671,95001DCQ1=
2023-05-05,98.6937,98.8108,95001DCQ1=
2023-05-08,98.591,98.7079,95001DCQ1=
2023-05-09,98.5787,98.6954,95001DCQ1=
2023-05-10,98.7377,98.8545,95001DCQ1=
2023-05-11,98.7526,98.8691,95001DCQ1=
2023-05-12,98.6752,98.7915,95001DCQ1=
2023-05-15,98.6624,98.7785,95001DCQ1=
