Date,BID,ASK,RIC
2016-05-12,99.586,99.7582,961214CX9=
2016-05-13,99.9825,100.1554,961214CX9=
2016-05-16,99.5088,99.6807,961214CX9=
2016-05-17,99.3802,99.5518,961214CX9=
2016-05-18,98.6384,98.8084,961214CX9=
2016-05-19,98.6557,98.8257,961214CX9=
2016-05-20,99.0218,99.1925,961214CX9=
2016-05-23,99.0988,99.2696,961214CX9=
2016-05-24,98.9285,99.0989,961214CX9=
2016-05-25,98.9467,99.1171,961214CX9=
2016-05-26,99.3813,99.5525,961214CX9=
2016-05-27,99.7326,99.9044,961214CX9=
2016-05-31,99.3046,99.4755,961214CX9=
2016-06-01,98.9814,99.1516,961214CX9=
2016-06-02,99.6641,99.8356,961214CX9=
2016-06-03,100.4124,100.5853,961214CX9=
2016-06-06,100.188,100.3604,961214CX9=
2016-06-07,100.2913,100.4639,961214CX9=
2016-06-08,100.3255,100.498,961214CX9=
2016-06-09,100.2393,100.4116,961214CX9=
2016-06-10,100.6532,100.8263,961214CX9=
2016-06-13,100.4027,100.5753,961214CX9=
2016-06-14,100.0328,100.2046,961214CX9=
2016-06-15,100.5659,100.7386,961214CX9=
2016-06-16,100.3332,100.5054,961214CX9=
2016-06-17,100.4191,100.5914,961214CX9=
2016-06-20,100.1869,100.3587,961214CX9=
2016-06-21,100.5308,100.7033,961214CX9=
2016-06-22,100.178,100.3497,961214CX9=
2016-06-23,100.4785,100.6507,961214CX9=
2016-06-24,100.6678,100.8403,961214CX9=
2016-06-27,100.8228,100.9956,961214CX9=
2016-06-28,101.5852,101.7595,961214CX9=
2016-06-29,101.4012,101.5749,961214CX9=
2016-06-30,101.7659,101.9403,961214CX9=
2016-07-01,101.8352,102.0097,961214CX9=
2016-07-05,102.5345,102.7103,961214CX9=
2016-07-06,102.3134,102.4886,961214CX9=
2016-07-07,102.1817,102.3566,961214CX9=
2016-07-08,102.505,102.6805,961214CX9=
2016-07-11,102.0671,102.2417,961214CX9=
2016-07-12,102.0927,102.2673,961214CX9=
2016-07-13,102.3006,102.4755,961214CX9=
2016-07-14,101.5692,101.7427,961214CX9=
2016-07-15,101.6468,101.8204,961214CX9=
2016-07-18,101.4213,101.5944,961214CX9=
2016-07-19,101.2137,101.3863,961214CX9=
2016-07-20,101.8007,101.9744,961214CX9=
2016-07-21,102.6892,102.8645,961214CX9=
2016-07-22,104.4747,104.6535,961214CX9=
2016-07-25,101.8427,102.0163,961214CX9=
2016-07-26,101.7729,101.9463,961214CX9=
2016-07-27,102.5546,102.7295,961214CX9=
2016-07-28,102.336,102.5104,961214CX9=
2016-07-29,102.6669,102.8419,961214CX9=
2016-08-01,102.5789,102.7537,961214CX9=
2016-08-02,101.6751,101.8481,961214CX9=
2016-08-03,101.6738,101.8466,961214CX9=
2016-08-04,102.3666,102.5408,961214CX9=
2016-08-05,101.5178,101.6903,961214CX9=
2016-08-08,101.4313,101.6036,961214CX9=
2016-08-09,102.3214,102.4953,961214CX9=
2016-08-10,102.4586,102.6327,961214CX9=
2016-08-11,102.1283,102.3017,961214CX9=
2016-08-12,103.4448,103.6207,961214CX9=
2016-08-15,101.8852,102.058,961214CX9=
2016-08-16,101.4886,101.6606,961214CX9=
2016-08-17,102.4023,102.576,961214CX9=
2016-08-18,102.2717,102.4451,961214CX9=
2016-08-19,101.6843,101.8565,961214CX9=
2016-08-22,102.0113,102.1841,961214CX9=
2016-08-23,102.1576,102.3306,961214CX9=
2016-08-24,102.0179,102.1905,961214CX9=
2016-08-25,102.1468,102.3196,961214CX9=
2016-08-26,101.5366,101.7083,961214CX9=
2016-08-29,102.4662,102.6396,961214CX9=
2016-08-30,101.8701,102.0423,961214CX9=
2016-08-31,101.8854,102.0575,961214CX9=
2016-09-01,101.6961,101.8677,961214CX9=
2016-09-02,101.5415,101.7128,961214CX9=
2016-09-06,102.4353,102.6083,961214CX9=
2016-09-07,102.5026,102.6756,961214CX9=
2016-09-08,101.4201,101.591,961214CX9=
2016-09-09,100.7991,100.9687,961214CX9=
2016-09-12,100.5451,100.7142,961214CX9=
2016-09-13,99.9894,100.1574,961214CX9=
2016-09-14,100.4266,100.5953,961214CX9=
2016-09-15,100.0147,100.1826,961214CX9=
2016-09-16,100.0482,100.2161,961214CX9=
2016-09-19,100.107,100.275,961214CX9=
2016-09-20,100.2245,100.3926,961214CX9=
2016-09-21,100.645,100.8138,961214CX9=
2016-09-22,101.3474,101.5175,961214CX9=
2016-09-23,101.0079,101.1773,961214CX9=
2016-09-26,101.3977,101.5678,961214CX9=
2016-09-27,101.4314,101.6016,961214CX9=
2016-09-28,101.4134,101.5834,961214CX9=
2016-09-29,101.532,101.7022,961214CX9=
2016-09-30,101.3618,101.5316,961214CX9=
