Date,BID,ASK,RIC
2017-03-01,99.093,99.26,961214DK6=
2017-03-02,98.902,99.068,961214DK6=
2017-03-03,98.893,99.06,961214DK6=
2017-03-06,98.794,98.96,961214DK6=
2017-03-07,98.595,98.761,961214DK6=
2017-03-08,98.165,98.33,961214DK6=
2017-03-09,97.68,97.845,961214DK6=
2017-03-10,97.87,98.034,961214DK6=
2017-03-13,97.46,97.624,961214DK6=
2017-03-14,97.739,97.903,961214DK6=
2017-03-15,98.581,98.746,961214DK6=
2017-03-16,98.275,98.44,961214DK6=
2017-03-17,98.664,98.83,961214DK6=
2017-03-20,98.963,99.129,961214DK6=
2017-03-21,99.446,99.613,961214DK6=
2017-03-22,99.304,99.471,961214DK6=
2017-03-23,99.18,99.346,961214DK6=
2017-03-24,99.263,99.43,961214DK6=
2017-03-27,99.374,99.541,961214DK6=
2017-03-28,99.071,99.237,961214DK6=
2017-03-29,99.497,99.664,961214DK6=
2017-03-30,99.222,99.388,961214DK6=
2017-03-31,99.422,99.588,961214DK6=
2017-04-03,100.057,100.225,961214DK6=
2017-04-04,99.547,99.714,961214DK6=
2017-04-05,99.839,100.006,961214DK6=
2017-04-06,99.822,99.99,961214DK6=
2017-04-07,99.231,99.397,961214DK6=
2017-04-10,99.697,99.864,961214DK6=
2017-04-11,100.098,100.266,961214DK6=
2017-04-12,100.459,100.627,961214DK6=
2017-04-13,100.345,100.513,961214DK6=
2017-04-17,100.349,100.517,961214DK6=
2017-04-18,100.82,100.989,961214DK6=
2017-04-19,100.382,100.55,961214DK6=
2017-04-20,100.785,100.954,961214DK6=
2017-04-21,100.449,100.617,961214DK6=
2017-04-24,100.306,100.474,961214DK6=
2017-04-25,100.114,100.281,961214DK6=
2017-04-26,100.131,100.298,961214DK6=
2017-04-27,100.164,100.331,961214DK6=
2017-04-28,100.423,100.591,961214DK6=
2017-05-01,100.064,100.231,961214DK6=
2017-05-02,100.356,100.523,961214DK6=
2017-05-03,100.147,100.314,961214DK6=
2017-05-04,99.814,99.98,961214DK6=
2017-05-05,99.988,100.155,961214DK6=
2017-05-08,99.425,99.59,961214DK6=
2017-05-09,99.599,99.764,961214DK6=
2017-05-10,99.335,99.5,961214DK6=
2017-05-11,99.393,99.558,961214DK6=
2017-05-12,100.188,100.354,961214DK6=
2017-05-15,99.972,100.138,961214DK6=
2017-05-16,100.279,100.446,961214DK6=
2017-05-17,101.056,101.224,961214DK6=
2017-05-18,100.595,100.763,961214DK6=
2017-05-19,100.863,101.03,961214DK6=
2017-05-22,100.229,100.395,961214DK6=
2017-05-23,100.478,100.645,961214DK6=
2017-05-24,100.544,100.711,961214DK6=
2017-05-25,100.61,100.777,961214DK6=
2017-05-26,100.479,100.646,961214DK6=
2017-05-30,100.844,101.012,961214DK6=
2017-05-31,101.028,101.195,961214DK6=
2017-06-01,100.802,100.969,961214DK6=
2017-06-02,101.337,101.505,961214DK6=
2017-06-05,101.052,101.219,961214DK6=
2017-06-06,101.202,101.37,961214DK6=
2017-06-07,101.034,101.201,961214DK6=
2017-06-08,100.476,100.642,961214DK6=
2017-06-09,100.642,100.809,961214DK6=
2017-06-12,100.709,100.875,961214DK6=
2017-06-13,100.717,100.883,961214DK6=
2017-06-14,101.442,101.61,961214DK6=
2017-06-15,101.291,101.458,961214DK6=
2017-06-16,101.466,101.634,961214DK6=
2017-06-19,101.073,101.24,961214DK6=
2017-06-20,101.273,101.441,961214DK6=
2017-06-21,101.114,101.281,961214DK6=
2017-06-22,101.665,101.833,961214DK6=
2017-06-23,101.791,101.959,961214DK6=
2017-06-26,101.531,101.698,961214DK6=
2017-06-27,101.046,101.213,961214DK6=
2017-06-28,101.104,101.27,961214DK6=
2017-06-29,100.838,101.004,961214DK6=
2017-06-30,100.21,100.375,961214DK6=
2017-07-03,99.686,99.849,961214DK6=
2017-07-04,99.67,99.834,961214DK6=
2017-07-05,99.531,99.694,961214DK6=
2017-07-06,99.198,99.36,961214DK6=
2017-07-07,99.866,100.03,961214DK6=
