Date,BID,ASK,RIC
2018-01-19,98.573,98.738,961214DW0=
2018-01-22,98.606,98.772,961214DW0=
2018-01-23,98.938,99.104,961214DW0=
2018-01-24,98.929,99.096,961214DW0=
2018-01-25,99.13,99.296,961214DW0=
2018-01-26,98.831,98.997,961214DW0=
2018-01-29,98.747,98.912,961214DW0=
2018-01-30,98.31,98.687,961214DW0=
2018-01-31,98.261,98.634,961214DW0=
2018-02-01,97.947,98.324,961214DW0=
2018-02-02,97.347,97.719,961214DW0=
2018-02-05,97.807,98.175,961214DW0=
2018-02-06,97.678,98.049,961214DW0=
2018-02-07,97.513,97.884,961214DW0=
2018-02-08,97.404,97.776,961214DW0=
2018-02-09,97.306,97.678,961214DW0=
2018-02-12,96.887,97.343,961214DW0=
2018-02-13,97.098,97.555,961214DW0=
2018-02-14,96.383,96.839,961214DW0=
2018-02-15,96.418,96.869,961214DW0=
2018-02-16,96.661,97.112,961214DW0=
2018-02-20,96.404,96.86,961214DW0=
2018-02-21,96.42,96.916,961214DW0=
2018-02-22,96.363,96.854,961214DW0=
2018-02-23,96.759,97.249,961214DW0=
2018-02-26,97.014,97.176,961214DW0=
2018-02-27,96.715,96.875,961214DW0=
2018-02-28,97.029,97.19,961214DW0=
2018-03-01,97.443,97.605,961214DW0=
2018-03-02,96.983,97.144,961214DW0=
2018-03-05,96.618,97.108,961214DW0=
2018-03-06,96.73,97.22,961214DW0=
2018-03-07,96.71,97.206,961214DW0=
2018-03-08,96.883,97.378,961214DW0=
2018-03-09,96.552,97.042,961214DW0=
2018-03-12,96.707,97.203,961214DW0=
2018-03-13,96.876,97.366,961214DW0=
2018-03-14,96.971,97.462,961214DW0=
2018-03-15,96.929,97.38,961214DW0=
2018-03-16,96.747,97.198,961214DW0=
2018-03-19,96.755,97.206,961214DW0=
2018-03-20,96.169,96.614,961214DW0=
2018-03-21,96.027,96.472,961214DW0=
2018-03-22,96.539,96.984,961214DW0=
2018-03-23,96.42,96.865,961214DW0=
2018-03-26,96.205,96.649,961214DW0=
2018-03-27,96.584,97.029,961214DW0=
2018-03-28,96.591,97.08,961214DW0=
2018-03-29,96.664,97.159,961214DW0=
2018-04-02,96.962,97.122,961214DW0=
2018-04-03,96.644,97.129,961214DW0=
2018-04-04,96.447,96.932,961214DW0=
2018-04-05,96.284,96.764,961214DW0=
2018-04-06,96.505,96.99,961214DW0=
2018-04-09,96.373,96.857,961214DW0=
2018-04-10,96.443,96.928,961214DW0=
2018-04-11,96.716,97.16,961214DW0=
2018-04-12,96.279,96.723,961214DW0=
2018-04-13,96.431,96.876,961214DW0=
2018-04-16,96.315,96.76,961214DW0=
2018-04-17,96.263,96.707,961214DW0=
2018-04-18,96.099,96.538,961214DW0=
2018-04-19,95.647,96.086,961214DW0=
2018-04-20,95.414,95.852,961214DW0=
2018-04-23,95.3,95.738,961214DW0=
2018-04-24,95.108,95.541,961214DW0=
2018-04-25,94.971,95.404,961214DW0=
2018-04-26,95.193,95.631,961214DW0=
2018-04-27,95.473,95.912,961214DW0=
2018-04-30,95.395,95.914,961214DW0=
2018-05-01,95.293,95.449,961214DW0=
2018-05-02,95.126,95.599,961214DW0=
2018-05-03,95.293,95.77,961214DW0=
2018-05-04,95.094,95.567,961214DW0=
2018-05-07,95.335,95.808,961214DW0=
2018-05-08,94.925,95.357,961214DW0=
2018-05-09,94.834,95.271,961214DW0=
2018-05-10,94.876,95.314,961214DW0=
2018-05-11,95.059,95.214,961214DW0=
2018-05-14,94.811,95.294,961214DW0=
2018-05-15,94.445,94.922,961214DW0=
2018-05-16,94.042,94.518,961214DW0=
2018-05-17,94.228,94.624,961214DW0=
2018-05-18,94.43,94.832,961214DW0=
2018-05-21,94.392,94.545,961214DW0=
2018-05-22,94.409,94.846,961214DW0=
2018-05-23,94.727,95.204,961214DW0=
2018-05-24,95.098,95.575,961214DW0=
2018-05-25,95.425,95.828,961214DW0=
2018-05-28,95.704,96.227,961214DW0=
2018-05-29,95.959,96.442,961214DW0=
2018-05-30,95.484,95.967,961214DW0=
2018-05-31,95.419,95.901,961214DW0=
2018-06-01,95.743,96.226,961214DW0=
2018-06-04,95.658,96.141,961214DW0=
2018-06-05,95.681,96.163,961214DW0=
2018-06-06,94.944,95.421,961214DW0=
2018-06-07,95.484,95.962,961214DW0=
2018-06-08,95.12,95.597,961214DW0=
2018-06-11,95.063,95.54,961214DW0=
2018-06-12,95.056,95.533,961214DW0=
2018-06-13,94.967,95.444,961214DW0=
2018-06-14,95.209,95.686,961214DW0=
2018-06-15,95.193,95.67,961214DW0=
2018-06-18,95.303,95.78,961214DW0=
2018-06-19,95.488,95.971,961214DW0=
2018-06-20,95.221,95.698,961214DW0=
2018-06-21,95.355,95.833,961214DW0=
2018-06-22,95.275,95.752,961214DW0=
2018-06-25,95.427,95.904,961214DW0=
2018-06-26,95.182,95.648,961214DW0=
2018-06-27,95.729,96.197,961214DW0=
2018-06-28,95.494,95.961,961214DW0=
2018-06-29,95.333,95.8,961214DW0=
2018-07-02,95.29,95.757,961214DW0=
2018-07-03,95.458,95.931,961214DW0=
2018-07-04,95.412,95.879,961214DW0=
2018-07-05,95.739,96.206,961214DW0=
2018-07-06,95.445,95.917,961214DW0=
2018-07-09,95.331,95.797,961214DW0=
2018-07-10,95.492,95.964,961214DW0=
2018-07-11,95.416,95.888,961214DW0=
2018-07-12,95.47,95.936,961214DW0=
2018-07-13,95.753,96.221,961214DW0=
2018-07-16,95.256,95.723,961214DW0=
2018-07-17,95.434,95.901,961214DW0=
2018-07-18,95.404,95.831,961214DW0=
2018-07-19,95.659,96.091,961214DW0=
2018-07-20,95.538,95.965,961214DW0=
2018-07-23,94.744,95.165,961214DW0=
2018-07-24,95.203,95.63,961214DW0=
2018-07-25,95.13,95.556,961214DW0=
2018-07-26,95.249,95.676,961214DW0=
2018-07-27,95.189,95.615,961214DW0=
2018-07-30,95.084,95.51,961214DW0=
2018-07-31,95.412,95.839,961214DW0=
2018-08-01,95.267,95.419,961214DW0=
2018-08-02,95.276,95.742,961214DW0=
2018-08-03,95.505,95.971,961214DW0=
2018-08-06,95.689,96.156,961214DW0=
2018-08-07,95.425,95.891,961214DW0=
2018-08-08,95.498,95.964,961214DW0=
2018-08-09,95.748,96.215,961214DW0=
2018-08-10,96.013,96.485,961214DW0=
2018-08-13,95.975,96.446,961214DW0=
2018-08-14,95.827,96.294,961214DW0=
2018-08-15,96.104,96.575,961214DW0=
2018-08-16,95.962,96.429,961214DW0=
2018-08-17,96.197,96.664,961214DW0=
2018-08-20,96.635,97.107,961214DW0=
2018-08-21,96.721,97.193,961214DW0=
2018-08-22,96.723,97.195,961214DW0=
2018-08-23,96.969,97.441,961214DW0=
2018-08-24,96.819,97.291,961214DW0=
2018-08-27,96.352,96.505,961214DW0=
2018-08-28,96.215,96.368,961214DW0=
2018-08-29,96.17,96.637,961214DW0=
2018-08-30,96.391,96.863,961214DW0=
2018-08-31,96.423,96.895,961214DW0=
2018-09-03,96.296,96.449,961214DW0=
2018-09-04,95.718,95.87,961214DW0=
2018-09-05,95.613,95.765,961214DW0=
2018-09-06,95.958,96.11,961214DW0=
2018-09-07,95.353,95.504,961214DW0=
2018-09-10,95.914,96.066,961214DW0=
2018-09-11,95.642,95.794,961214DW0=
2018-09-12,95.757,95.908,961214DW0=
2018-09-13,95.322,95.473,961214DW0=
2018-09-14,95.579,95.73,961214DW0=
2018-09-17,95.249,95.4,961214DW0=
2018-09-18,94.778,94.928,961214DW0=
2018-09-19,94.787,94.936,961214DW0=
2018-09-20,94.567,94.716,961214DW0=
2018-09-21,95.091,95.241,961214DW0=
2018-09-24,94.79,95.21,961214DW0=
2018-09-25,94.717,95.137,961214DW0=
2018-09-26,94.812,95.227,961214DW0=
2018-09-27,94.917,95.336,961214DW0=
2018-09-28,95.158,95.578,961214DW0=
2018-10-01,94.877,95.297,961214DW0=
2018-10-02,94.915,95.335,961214DW0=
2018-10-03,94.301,94.715,961214DW0=
2018-10-04,94.373,94.788,961214DW0=
2018-10-05,93.854,94.192,961214DW0=
2018-10-08,93.923,94.371,961214DW0=
2018-10-09,94.189,94.638,961214DW0=
2018-10-10,94.141,94.691,961214DW0=
2018-10-11,94.279,94.678,961214DW0=
2018-10-12,94.332,94.736,961214DW0=
2018-10-15,94.405,94.809,961214DW0=
2018-10-16,94.239,94.677,961214DW0=
2018-10-17,94.094,94.533,961214DW0=
2018-10-18,94.338,94.777,961214DW0=
2018-10-19,94.013,94.447,961214DW0=
2018-10-22,94.105,94.539,961214DW0=
2018-10-23,94.293,94.732,961214DW0=
2018-10-24,94.595,95.034,961214DW0=
2018-10-25,94.443,94.881,961214DW0=
2018-10-26,94.76,95.199,961214DW0=
2018-10-29,94.843,95.283,961214DW0=
2018-10-30,94.5,94.954,961214DW0=
2018-10-31,94.173,94.622,961214DW0=
2018-11-01,94.275,94.723,961214DW0=
2018-11-02,93.715,94.163,961214DW0=
2018-11-05,93.853,94.301,961214DW0=
2018-11-06,93.739,94.153,961214DW0=
2018-11-07,93.838,94.251,961214DW0=
2018-11-08,93.633,94.041,961214DW0=
2018-11-09,93.903,94.316,961214DW0=
2018-11-12,94.226,94.704,961214DW0=
2018-11-13,94.15,94.599,961214DW0=
2018-11-14,94.227,94.676,961214DW0=
2018-11-15,93.996,94.624,961214DW0=
2018-11-16,94.265,94.819,961214DW0=
2018-11-19,94.304,94.752,961214DW0=
2018-11-20,94.394,94.843,961214DW0=
2018-11-21,94.161,94.719,961214DW0=
2018-11-22,94.162,94.605,961214DW0=
2018-11-23,94.319,94.762,961214DW0=
2018-11-26,94.234,94.682,961214DW0=
2018-11-27,94.238,94.686,961214DW0=
2018-11-28,94.356,94.804,961214DW0=
2018-11-29,94.439,94.882,961214DW0=
2018-11-30,94.841,95.285,961214DW0=
2018-12-03,94.864,95.313,961214DW0=
2018-12-04,95.082,95.536,961214DW0=
2018-12-05,95.145,95.593,961214DW0=
2018-12-06,95.538,95.992,961214DW0=
2018-12-07,95.52,96.042,961214DW0=
2018-12-10,94.716,95.212,961214DW0=
2018-12-11,94.953,95.433,961214DW0=
2018-12-12,94.424,94.981,961214DW0=
2018-12-13,94.362,94.868,961214DW0=
2018-12-14,94.562,95.097,961214DW0=
2018-12-17,94.704,95.28,961214DW0=
2018-12-18,94.941,95.462,961214DW0=
2018-12-19,95.307,95.811,961214DW0=
2018-12-20,95.33,95.877,961214DW0=
2018-12-21,95.326,95.894,961214DW0=
2018-12-24,95.866,96.014,961214DW0=
2018-12-26,95.388,95.535,961214DW0=
2018-12-27,95.416,95.962,961214DW0=
2018-12-28,95.694,96.223,961214DW0=
2018-12-31,96.035,96.183,961214DW0=
2019-01-02,96.711,96.86,961214DW0=
2019-01-03,96.614,97.182,961214DW0=
2019-01-04,95.944,96.586,961214DW0=
2019-01-07,95.902,96.47,961214DW0=
2019-01-08,95.51,96.078,961214DW0=
2019-01-09,95.823,96.359,961214DW0=
2019-01-10,95.842,96.398,961214DW0=
2019-01-11,96.148,96.658,961214DW0=
2019-01-14,96.137,96.651,961214DW0=
2019-01-15,96.0,96.508,961214DW0=
2019-01-16,95.821,96.389,961214DW0=
2019-01-17,96.363,96.866,961214DW0=
2019-01-18,95.442,95.588,961214DW0=
2019-01-21,95.661,96.422,961214DW0=
2019-01-22,96.352,97.107,961214DW0=
2019-01-23,96.485,97.24,961214DW0=
2019-01-24,96.633,97.356,961214DW0=
2019-01-25,96.619,97.224,961214DW0=
2019-01-28,96.57,97.252,961214DW0=
2019-01-29,96.792,97.481,961214DW0=
2019-01-30,97.204,97.958,961214DW0=
2019-01-31,97.533,98.215,961214DW0=
2019-02-01,97.041,97.749,961214DW0=
2019-02-04,96.75,97.432,961214DW0=
2019-02-05,97.644,98.383,961214DW0=
2019-02-06,98.036,98.569,961214DW0=
2019-02-07,97.95,98.481,961214DW0=
2019-02-08,98.13,98.899,961214DW0=
2019-02-11,98.073,98.849,961214DW0=
2019-02-12,97.942,98.662,961214DW0=
2019-02-13,97.763,98.548,961214DW0=
2019-02-14,97.84,98.64,961214DW0=
2019-02-15,97.728,98.539,961214DW0=
2019-02-18,97.641,98.471,961214DW0=
2019-02-19,97.976,98.84,961214DW0=
2019-02-20,97.78,98.58,961214DW0=
2019-02-21,98.363,99.153,961214DW0=
2019-02-22,99.587,99.739,961214DW0=
2019-02-25,98.325,99.265,961214DW0=
2019-02-26,98.356,99.266,961214DW0=
2019-02-27,97.84,98.835,961214DW0=
2019-02-28,98.176,99.155,961214DW0=
2019-03-01,98.233,99.202,961214DW0=
2019-03-04,99.421,99.572,961214DW0=
2019-03-05,98.142,99.09,961214DW0=
2019-03-06,98.417,99.398,961214DW0=
2019-03-07,98.559,99.603,961214DW0=
2019-03-08,99.049,99.847,961214DW0=
2019-03-11,99.106,99.838,961214DW0=
2019-03-12,99.347,100.125,961214DW0=
2019-03-13,99.362,100.092,961214DW0=
2019-03-14,99.601,100.363,961214DW0=
2019-03-15,99.656,100.378,961214DW0=
2019-03-18,99.654,100.445,961214DW0=
2019-03-19,99.28,100.078,961214DW0=
2019-03-20,99.86,100.621,961214DW0=
2019-03-21,99.994,100.775,961214DW0=
2019-03-22,100.583,101.33,961214DW0=
2019-03-25,101.16,101.966,961214DW0=
2019-03-26,100.81,101.553,961214DW0=
2019-03-27,101.174,101.943,961214DW0=
2019-03-28,101.055,101.208,961214DW0=
2019-03-29,101.07,101.223,961214DW0=
2019-04-01,100.175,101.132,961214DW0=
2019-04-02,100.825,101.863,961214DW0=
2019-04-03,99.879,100.91,961214DW0=
2019-04-04,100.328,101.28,961214DW0=
2019-04-05,100.146,101.176,961214DW0=
2019-04-08,100.26,101.339,961214DW0=
2019-04-09,100.257,101.31,961214DW0=
2019-04-10,100.649,101.622,961214DW0=
2019-04-11,100.299,101.339,961214DW0=
2019-04-12,100.013,101.064,961214DW0=
2019-04-15,100.254,101.233,961214DW0=
2019-04-16,99.885,100.883,961214DW0=
2019-04-17,99.576,100.661,961214DW0=
2019-04-18,100.111,101.095,961214DW0=
2019-04-19,100.692,100.844,961214DW0=
2019-04-22,100.471,100.623,961214DW0=
2019-04-23,100.347,101.084,961214DW0=
2019-04-24,100.938,101.677,961214DW0=
2019-04-25,100.523,101.323,961214DW0=
2019-04-26,100.853,101.605,961214DW0=
2019-04-29,100.638,101.382,961214DW0=
2019-04-30,100.826,101.582,961214DW0=
2019-05-01,100.734,100.886,961214DW0=
2019-05-02,100.441,101.184,961214DW0=
2019-05-03,100.574,101.376,961214DW0=
2019-05-06,100.813,101.547,961214DW0=
2019-05-07,101.161,101.885,961214DW0=
2019-05-08,100.475,101.483,961214DW0=
2019-05-09,100.684,101.712,961214DW0=
2019-05-10,100.715,101.676,961214DW0=
2019-05-13,101.098,102.145,961214DW0=
2019-05-14,100.915,101.946,961214DW0=
2019-05-15,101.301,102.313,961214DW0=
2019-05-16,101.378,102.314,961214DW0=
2019-05-17,101.405,102.392,961214DW0=
2019-05-20,101.294,101.828,961214DW0=
2019-05-21,101.531,102.11,961214DW0=
2019-05-22,101.726,102.258,961214DW0=
