Date,BID,ASK,RIC
2019-02-21,99.712,100.17,961214EC3=
2019-02-22,99.904,100.362,961214EC3=
2019-02-25,99.813,99.95,961214EC3=
2019-02-26,99.936,100.073,961214EC3=
2019-02-27,99.754,99.89,961214EC3=
2019-02-28,99.618,99.754,961214EC3=
2019-03-01,99.405,99.541,961214EC3=
2019-03-04,99.55,99.686,961214EC3=
2019-03-05,99.55,99.686,961214EC3=
2019-03-06,99.904,100.04,961214EC3=
2019-03-07,100.026,100.163,961214EC3=
2019-03-08,100.044,100.181,961214EC3=
2019-03-11,99.981,100.117,961214EC3=
2019-03-12,100.158,100.294,961214EC3=
2019-03-13,100.026,100.162,961214EC3=
2019-03-14,100.035,100.171,961214EC3=
2019-03-15,100.193,100.329,961214EC3=
2019-03-18,100.112,100.247,961214EC3=
2019-03-19,100.229,100.365,961214EC3=
2019-03-20,100.651,100.787,961214EC3=
2019-03-21,100.573,100.709,961214EC3=
2019-03-22,101.041,101.177,961214EC3=
2019-03-25,101.291,101.428,961214EC3=
2019-03-26,101.185,101.322,961214EC3=
2019-03-27,101.358,101.495,961214EC3=
2019-03-28,101.174,101.311,961214EC3=
2019-03-29,101.06,101.196,961214EC3=
2019-04-01,100.651,100.787,961214EC3=
2019-04-02,100.841,100.977,961214EC3=
2019-04-03,100.628,100.763,961214EC3=
2019-04-04,100.681,100.816,961214EC3=
2019-04-05,101.083,101.219,961214EC3=
2019-04-08,101.005,101.141,961214EC3=
2019-04-09,100.91,101.045,961214EC3=
2019-04-10,101.076,101.212,961214EC3=
2019-04-11,100.867,101.002,961214EC3=
2019-04-12,100.853,100.988,961214EC3=
2019-04-15,100.875,101.01,961214EC3=
2019-04-16,100.731,100.866,961214EC3=
2019-04-17,100.743,100.877,961214EC3=
2019-04-18,100.895,101.029,961214EC3=
2019-04-19,100.901,101.036,961214EC3=
2019-04-22,100.818,100.952,961214EC3=
2019-04-23,100.938,101.073,961214EC3=
2019-04-24,101.005,101.14,961214EC3=
2019-04-25,100.923,101.057,961214EC3=
2019-04-26,101.11,101.245,961214EC3=
2019-04-29,101.007,101.141,961214EC3=
2019-04-30,101.423,101.558,961214EC3=
2019-05-01,101.31,101.445,961214EC3=
2019-05-02,101.12,101.254,961214EC3=
2019-05-03,101.218,101.352,961214EC3=
2019-05-06,101.36,101.495,961214EC3=
2019-05-07,101.539,101.673,961214EC3=
2019-05-08,101.381,101.515,961214EC3=
2019-05-09,101.316,101.45,961214EC3=
2019-05-10,101.249,101.383,961214EC3=
2019-05-13,101.48,101.614,961214EC3=
2019-05-14,101.457,101.591,961214EC3=
2019-05-15,101.979,102.114,961214EC3=
2019-05-16,101.842,101.976,961214EC3=
2019-05-17,101.774,101.908,961214EC3=
2019-05-20,101.608,101.742,961214EC3=
2019-05-21,101.505,101.638,961214EC3=
2019-05-22,101.758,101.891,961214EC3=
2019-05-23,102.043,102.177,961214EC3=
2019-05-24,101.911,102.044,961214EC3=
2019-05-27,101.911,102.044,961214EC3=
2019-05-28,102.112,102.246,961214EC3=
2019-05-29,101.778,101.912,961214EC3=
2019-05-30,102.007,102.14,961214EC3=
2019-05-31,102.527,102.662,961214EC3=
2019-06-03,102.857,102.992,961214EC3=
2019-06-04,103.017,103.152,961214EC3=
2019-06-05,103.083,103.218,961214EC3=
2019-06-06,103.033,103.168,961214EC3=
