Date,BID,ASK,RIC
2019-11-18,100.115,100.262,961214EH2=
2019-11-19,100.425,100.573,961214EH2=
2019-11-20,100.336,100.484,961214EH2=
2019-11-21,99.752,99.899,961214EH2=
2019-11-22,99.728,99.874,961214EH2=
2019-11-25,99.865,100.011,961214EH2=
2019-11-26,100.119,100.266,961214EH2=
2019-11-27,99.967,100.114,961214EH2=
2019-11-28,99.933,100.079,961214EH2=
2019-11-29,99.787,99.933,961214EH2=
2019-12-02,99.68,99.826,961214EH2=
2019-12-03,100.03,100.177,961214EH2=
2019-12-04,99.743,99.889,961214EH2=
2019-12-05,99.608,99.753,961214EH2=
2019-12-06,99.429,99.574,961214EH2=
2019-12-09,99.768,99.914,961214EH2=
2019-12-10,99.633,99.778,961214EH2=
2019-12-11,99.865,100.011,961214EH2=
2019-12-12,99.561,99.706,961214EH2=
2019-12-13,99.967,100.112,961214EH2=
2019-12-16,99.977,100.122,961214EH2=
2019-12-17,99.983,100.128,961214EH2=
2019-12-18,99.723,99.868,961214EH2=
2019-12-19,99.93,100.075,961214EH2=
2019-12-20,99.789,99.933,961214EH2=
2019-12-23,99.734,99.879,961214EH2=
2019-12-24,99.894,100.039,961214EH2=
2019-12-25,99.866,100.01,961214EH2=
2019-12-26,99.889,100.034,961214EH2=
2019-12-27,100.082,100.226,961214EH2=
2019-12-30,100.279,100.424,961214EH2=
2019-12-31,100.191,100.335,961214EH2=
2020-01-01,100.232,100.377,961214EH2=
2020-01-02,100.341,100.485,961214EH2=
2020-01-03,100.589,100.734,961214EH2=
2020-01-06,100.4,100.545,961214EH2=
2020-01-07,100.458,100.602,961214EH2=
2020-01-08,100.318,100.462,961214EH2=
2020-01-09,100.4,100.544,961214EH2=
2020-01-10,100.396,100.54,961214EH2=
2020-01-13,100.279,100.423,961214EH2=
2020-01-14,100.528,100.672,961214EH2=
2020-01-15,100.479,100.623,961214EH2=
2020-01-16,100.632,100.775,961214EH2=
2020-01-17,100.464,100.608,961214EH2=
2020-01-20,100.479,100.623,961214EH2=
2020-01-21,100.706,100.85,961214EH2=
2020-01-22,100.876,101.02,961214EH2=
2020-01-23,100.87,101.014,961214EH2=
2020-01-24,101.029,101.173,961214EH2=
2020-01-27,101.203,101.347,961214EH2=
2020-01-28,101.089,101.233,961214EH2=
2020-01-29,101.464,101.609,961214EH2=
2020-01-30,101.545,101.69,961214EH2=
2020-01-31,102.073,102.219,961214EH2=
2020-02-03,101.793,101.938,961214EH2=
2020-02-04,101.479,101.623,961214EH2=
2020-02-05,101.478,101.622,961214EH2=
2020-02-06,101.252,101.396,961214EH2=
2020-02-07,101.437,101.581,961214EH2=
2020-02-10,101.733,101.877,961214EH2=
2020-02-11,101.455,101.598,961214EH2=
2020-02-12,101.267,101.411,961214EH2=
2020-02-13,101.243,101.386,961214EH2=
2020-02-14,101.36,101.503,961214EH2=
2020-02-17,101.352,101.495,961214EH2=
2020-02-18,101.522,101.665,961214EH2=
2020-02-19,101.645,101.789,961214EH2=
2020-02-20,101.673,101.816,961214EH2=
2020-02-21,101.867,102.01,961214EH2=
2020-02-24,102.44,102.584,961214EH2=
2020-02-25,102.323,102.467,961214EH2=
2020-02-26,102.739,102.883,961214EH2=
2020-02-27,102.381,102.525,961214EH2=
2020-02-28,102.996,103.14,961214EH2=
2020-03-02,103.004,103.148,961214EH2=
2020-03-03,103.901,104.047,961214EH2=
2020-03-04,103.742,103.888,961214EH2=
2020-03-05,104.235,104.382,961214EH2=
2020-03-06,104.578,104.725,961214EH2=
2020-03-09,102.778,102.922,961214EH2=
2020-03-10,102.886,103.029,961214EH2=
2020-03-11,102.233,102.376,961214EH2=
2020-03-12,100.874,101.014,961214EH2=
2020-03-13,100.327,100.467,961214EH2=
2020-03-16,101.374,101.515,961214EH2=
2020-03-17,97.062,97.286,961214EH2=
2020-03-18,90.483,90.689,961214EH2=
2020-03-19,90.417,90.623,961214EH2=
2020-03-20,91.309,91.517,961214EH2=
2020-03-23,91.623,91.832,961214EH2=
2020-03-24,91.116,91.323,961214EH2=
2020-03-25,94.436,94.651,961214EH2=
2020-03-26,98.676,98.903,961214EH2=
2020-03-27,99.658,99.887,961214EH2=
2020-03-30,100.389,100.619,961214EH2=
2020-03-31,100.812,101.044,961214EH2=
2020-04-01,100.9,101.132,961214EH2=
2020-04-02,100.844,101.076,961214EH2=
2020-04-03,100.522,100.753,961214EH2=
2020-04-06,100.619,100.849,961214EH2=
2020-04-07,101.045,101.276,961214EH2=
2020-04-08,101.252,101.484,961214EH2=
2020-04-09,101.536,101.768,961214EH2=
2020-04-10,101.54,101.772,961214EH2=
2020-04-13,102.304,102.538,961214EH2=
2020-04-14,102.431,102.665,961214EH2=
2020-04-15,102.817,103.052,961214EH2=
2020-04-16,102.748,102.983,961214EH2=
2020-04-17,102.613,102.847,961214EH2=
2020-04-20,102.697,102.931,961214EH2=
2020-04-21,102.606,102.839,961214EH2=
2020-04-22,102.217,102.449,961214EH2=
2020-04-23,102.65,102.884,961214EH2=
2020-04-24,102.578,102.812,961214EH2=
2020-04-27,102.431,102.664,961214EH2=
2020-04-28,102.343,102.576,961214EH2=
2020-04-29,102.853,103.087,961214EH2=
2020-04-30,102.765,102.998,961214EH2=
2020-05-01,102.634,102.866,961214EH2=
2020-05-04,102.472,102.704,961214EH2=
2020-05-05,102.903,103.136,961214EH2=
2020-05-06,102.914,103.146,961214EH2=
2020-05-07,103.167,103.4,961214EH2=
2020-05-08,103.029,103.261,961214EH2=
2020-05-11,103.128,103.361,961214EH2=
2020-05-12,103.36,103.593,961214EH2=
2020-05-13,103.63,103.864,961214EH2=
2020-05-14,103.654,103.887,961214EH2=
2020-05-15,103.59,103.823,961214EH2=
2020-05-18,103.825,104.059,961214EH2=
2020-05-19,104.39,104.625,961214EH2=
2020-05-20,104.352,104.586,961214EH2=
2020-05-21,104.426,104.661,961214EH2=
2020-05-22,104.882,105.117,961214EH2=
2020-05-25,104.896,105.131,961214EH2=
2020-05-26,104.884,105.119,961214EH2=
2020-05-27,104.99,105.225,961214EH2=
2020-05-28,105.378,105.614,961214EH2=
2020-05-29,105.398,105.634,961214EH2=
2020-06-01,105.429,105.665,961214EH2=
2020-06-02,105.715,105.952,961214EH2=
2020-06-03,105.511,105.747,961214EH2=
2020-06-04,105.484,105.719,961214EH2=
2020-06-05,105.609,105.844,961214EH2=
2020-06-08,105.511,105.746,961214EH2=
2020-06-09,105.608,105.843,961214EH2=
2020-06-10,106.115,106.351,961214EH2=
2020-06-11,105.34,105.574,961214EH2=
2020-06-12,105.668,105.903,961214EH2=
2020-06-15,105.436,105.671,961214EH2=
2020-06-16,105.612,105.846,961214EH2=
2020-06-17,105.61,105.844,961214EH2=
2020-06-18,105.7,105.934,961214EH2=
2020-06-19,105.712,105.946,961214EH2=
2020-06-22,105.686,105.92,961214EH2=
2020-06-23,105.771,106.005,961214EH2=
2020-06-24,105.983,106.217,961214EH2=
2020-06-25,105.768,106.001,961214EH2=
2020-06-26,105.87,106.104,961214EH2=
2020-06-29,105.99,106.223,961214EH2=
2020-06-30,106.187,106.421,961214EH2=
2020-07-01,105.871,106.104,961214EH2=
2020-07-02,106.091,106.324,961214EH2=
2020-07-03,106.091,106.324,961214EH2=
2020-07-06,106.052,106.285,961214EH2=
2020-07-07,106.716,106.951,961214EH2=
2020-07-08,106.639,106.873,961214EH2=
2020-07-09,106.177,106.41,961214EH2=
2020-07-10,106.085,106.317,961214EH2=
2020-07-13,106.593,106.826,961214EH2=
2020-07-14,106.579,106.812,961214EH2=
2020-07-15,106.729,106.962,961214EH2=
2020-07-16,106.759,106.992,961214EH2=
2020-07-17,106.571,106.803,961214EH2=
2020-07-20,106.62,106.852,961214EH2=
2020-07-21,106.837,107.07,961214EH2=
2020-07-22,106.764,106.997,961214EH2=
2020-07-23,106.78,107.012,961214EH2=
2020-07-24,106.771,107.003,961214EH2=
2020-07-27,106.83,107.062,961214EH2=
2020-07-28,106.932,107.164,961214EH2=
2020-07-29,106.906,107.138,961214EH2=
2020-07-30,106.995,107.227,961214EH2=
2020-07-31,107.128,107.36,961214EH2=
2020-08-03,107.079,107.311,961214EH2=
2020-08-04,107.193,107.425,961214EH2=
2020-08-05,107.061,107.292,961214EH2=
2020-08-06,107.078,107.309,961214EH2=
2020-08-07,107.062,107.293,961214EH2=
2020-08-10,107.029,107.26,961214EH2=
2020-08-11,106.849,107.079,961214EH2=
2020-08-12,106.766,106.996,961214EH2=
2020-08-13,106.808,107.038,961214EH2=
2020-08-14,106.903,107.133,961214EH2=
2020-08-17,106.925,107.155,961214EH2=
2020-08-18,106.981,107.21,961214EH2=
2020-08-19,106.931,107.16,961214EH2=
2020-08-20,106.992,107.221,961214EH2=
2020-08-21,107.0,107.229,961214EH2=
2020-08-24,106.932,107.16,961214EH2=
2020-08-25,106.576,106.803,961214EH2=
2020-08-26,106.605,106.833,961214EH2=
2020-08-27,106.51,106.737,961214EH2=
2020-08-28,106.701,106.928,961214EH2=
2020-08-31,106.7,106.927,961214EH2=
2020-09-01,107.089,107.317,961214EH2=
2020-09-02,107.081,107.309,961214EH2=
2020-09-03,107.086,107.314,961214EH2=
2020-09-04,106.874,107.1,961214EH2=
2020-09-07,106.91,107.137,961214EH2=
2020-09-08,106.977,107.204,961214EH2=
2020-09-09,106.938,107.165,961214EH2=
2020-09-10,106.973,107.199,961214EH2=
2020-09-11,107.039,107.266,961214EH2=
2020-09-14,106.851,107.077,961214EH2=
2020-09-15,106.828,107.053,961214EH2=
2020-09-16,106.784,107.009,961214EH2=
2020-09-17,106.792,107.017,961214EH2=
2020-09-18,106.711,106.936,961214EH2=
2020-09-21,106.762,106.986,961214EH2=
2020-09-22,106.781,107.005,961214EH2=
2020-09-23,106.734,106.958,961214EH2=
2020-09-24,106.732,106.956,961214EH2=
2020-09-25,106.727,106.951,961214EH2=
2020-09-28,106.521,106.745,961214EH2=
2020-09-29,106.549,106.772,961214EH2=
2020-09-30,106.697,106.92,961214EH2=
2020-10-01,106.737,106.96,961214EH2=
2020-10-02,106.679,106.902,961214EH2=
2020-10-05,106.51,106.732,961214EH2=
2020-10-06,106.674,106.896,961214EH2=
2020-10-07,106.679,106.901,961214EH2=
2020-10-08,106.683,106.905,961214EH2=
2020-10-09,106.646,106.868,961214EH2=
2020-10-12,106.688,106.91,961214EH2=
2020-10-13,107.012,107.234,961214EH2=
2020-10-14,107.022,107.244,961214EH2=
2020-10-15,106.966,107.188,961214EH2=
2020-10-16,106.965,107.186,961214EH2=
2020-10-19,106.918,107.14,961214EH2=
2020-10-20,106.751,106.972,961214EH2=
2020-10-21,106.682,106.903,961214EH2=
2020-10-22,106.576,106.795,961214EH2=
2020-10-23,106.507,106.726,961214EH2=
2020-10-26,106.58,106.799,961214EH2=
2020-10-27,106.665,106.885,961214EH2=
2020-10-28,106.665,106.885,961214EH2=
2020-10-29,106.534,106.753,961214EH2=
2020-10-30,106.491,106.71,961214EH2=
2020-11-02,106.504,106.723,961214EH2=
2020-11-03,106.435,106.653,961214EH2=
2020-11-04,106.649,106.867,961214EH2=
2020-11-05,106.642,106.86,961214EH2=
2020-11-06,106.524,106.741,961214EH2=
2020-11-09,106.278,106.495,961214EH2=
2020-11-10,106.183,106.399,961214EH2=
2020-11-12,106.375,106.592,961214EH2=
2020-11-13,106.481,106.698,961214EH2=
2020-11-16,106.889,107.107,961214EH2=
2020-11-17,106.976,107.193,961214EH2=
2020-11-18,106.924,107.142,961214EH2=
2020-11-19,106.808,107.025,961214EH2=
2020-11-20,106.931,107.148,961214EH2=
2020-11-23,106.869,107.086,961214EH2=
2020-11-24,106.652,106.868,961214EH2=
2020-11-25,106.676,106.891,961214EH2=
2020-11-26,106.708,106.924,961214EH2=
2020-11-27,106.754,106.969,961214EH2=
2020-11-30,106.773,106.988,961214EH2=
2020-12-01,106.676,106.891,961214EH2=
2020-12-02,106.849,107.064,961214EH2=
2020-12-03,106.912,107.127,961214EH2=
2020-12-04,106.637,106.851,961214EH2=
2020-12-07,106.743,106.958,961214EH2=
2020-12-08,106.723,106.937,961214EH2=
2020-12-09,106.637,106.851,961214EH2=
2020-12-10,106.751,106.965,961214EH2=
2020-12-11,107.05,107.264,961214EH2=
2020-12-14,107.106,107.32,961214EH2=
2020-12-15,106.883,107.097,961214EH2=
2020-12-16,106.87,107.084,961214EH2=
2020-12-17,106.997,107.21,961214EH2=
2020-12-18,106.991,107.204,961214EH2=
2020-12-21,106.987,107.2,961214EH2=
2020-12-22,107.04,107.253,961214EH2=
2020-12-23,107.004,107.216,961214EH2=
2020-12-24,106.895,107.107,961214EH2=
2020-12-28,106.915,107.126,961214EH2=
2020-12-29,107.066,107.279,961214EH2=
2020-12-30,107.089,107.301,961214EH2=
2020-12-31,107.114,107.326,961214EH2=
2021-01-04,107.326,107.538,961214EH2=
2021-01-05,107.247,107.459,961214EH2=
2021-01-06,106.811,107.022,961214EH2=
2021-01-07,106.476,106.685,961214EH2=
2021-01-08,106.371,106.58,961214EH2=
2021-01-11,106.618,106.827,961214EH2=
2021-01-12,106.609,106.818,961214EH2=
2021-01-13,106.511,106.72,961214EH2=
2021-01-14,106.49,106.699,961214EH2=
2021-01-15,106.497,106.705,961214EH2=
2021-01-18,106.485,106.693,961214EH2=
2021-01-19,106.605,106.813,961214EH2=
2021-01-20,106.625,106.833,961214EH2=
2021-01-21,106.63,106.838,961214EH2=
2021-01-22,106.631,106.839,961214EH2=
2021-01-25,106.71,106.917,961214EH2=
2021-01-26,106.677,106.885,961214EH2=
2021-01-27,106.773,106.98,961214EH2=
2021-01-28,106.56,106.767,961214EH2=
2021-01-29,106.569,106.776,961214EH2=
2021-02-01,106.569,106.775,961214EH2=
2021-02-02,106.516,106.722,961214EH2=
2021-02-03,106.458,106.664,961214EH2=
2021-02-04,106.477,106.683,961214EH2=
2021-02-05,106.427,106.632,961214EH2=
2021-02-08,106.557,106.763,961214EH2=
2021-02-09,106.44,106.646,961214EH2=
2021-02-10,106.551,106.756,961214EH2=
