Date,BID,ASK,RIC
2022-11-14,100.835,101.053,961214FK4=
2022-11-15,101.237,101.457,961214FK4=
2022-11-16,101.453,101.673,961214FK4=
2022-11-17,101.086,101.305,961214FK4=
2022-11-18,100.775,100.994,961214FK4=
2022-11-21,101.624,101.844,961214FK4=
2022-11-22,102.092,102.313,961214FK4=
2022-11-23,102.29,102.511,961214FK4=
2022-11-24,102.453,102.674,961214FK4=
2022-11-25,102.654,102.876,961214FK4=
2022-11-28,102.501,102.722,961214FK4=
2022-11-29,102.511,102.733,961214FK4=
2022-11-30,103.172,103.395,961214FK4=
2022-12-01,103.615,103.839,961214FK4=
2022-12-02,103.507,103.73,961214FK4=
2022-12-05,103.064,103.286,961214FK4=
2022-12-06,103.3,103.523,961214FK4=
2022-12-07,103.897,104.121,961214FK4=
2022-12-08,103.37,103.593,961214FK4=
2022-12-09,103.108,103.33,961214FK4=
2022-12-12,103.207,103.429,961214FK4=
2022-12-13,103.71,103.933,961214FK4=
2022-12-14,103.873,104.096,961214FK4=
2022-12-15,104.003,104.226,961214FK4=
2022-12-16,103.745,103.968,961214FK4=
2022-12-19,103.402,103.624,961214FK4=
2022-12-20,103.086,103.307,961214FK4=
2022-12-21,103.09,103.31,961214FK4=
2022-12-22,103.157,103.377,961214FK4=
2022-12-23,102.712,102.931,961214FK4=
2022-12-27,102.436,102.654,961214FK4=
2022-12-28,102.27,102.488,961214FK4=
2022-12-29,102.284,102.502,961214FK4=
2022-12-30,102.316,102.533,961214FK4=
2023-01-02,102.466,102.684,961214FK4=
2023-01-03,102.578,102.796,961214FK4=
2023-01-04,102.664,102.883,961214FK4=
2023-01-05,102.394,102.611,961214FK4=
2023-01-06,103.222,103.442,961214FK4=
2023-01-09,103.326,103.545,961214FK4=
2023-01-10,103.29,103.51,961214FK4=
2023-01-11,103.571,103.791,961214FK4=
2023-01-12,104.117,104.337,961214FK4=
2023-01-13,103.85,104.07,961214FK4=
2023-01-16,103.867,104.087,961214FK4=
2023-01-17,103.993,104.213,961214FK4=
2023-01-18,104.649,104.87,961214FK4=
2023-01-19,104.423,104.643,961214FK4=
2023-01-20,104.129,104.349,961214FK4=
2023-01-23,104.002,104.221,961214FK4=
2023-01-24,104.002,104.221,961214FK4=
2023-01-25,104.162,104.382,961214FK4=
2023-01-26,104.115,104.334,961214FK4=
2023-01-27,103.952,104.171,961214FK4=
2023-01-30,103.796,104.014,961214FK4=
2023-01-31,103.743,103.961,961214FK4=
2023-02-01,104.474,104.694,961214FK4=
2023-02-02,104.773,104.993,961214FK4=
2023-02-03,103.93,104.148,961214FK4=
2023-02-06,103.608,103.825,961214FK4=
2023-02-07,103.303,103.519,961214FK4=
2023-02-08,103.489,103.705,961214FK4=
2023-02-09,103.182,103.397,961214FK4=
2023-02-10,102.763,102.978,961214FK4=
2023-02-13,102.876,103.091,961214FK4=
2023-02-14,102.494,102.708,961214FK4=
2023-02-15,102.295,102.508,961214FK4=
2023-02-16,102.12,102.332,961214FK4=
2023-02-17,102.166,102.378,961214FK4=
2023-02-20,101.984,102.196,961214FK4=
2023-02-21,101.638,101.848,961214FK4=
2023-02-22,101.635,101.845,961214FK4=
2023-02-23,101.763,101.973,961214FK4=
2023-02-24,101.364,101.573,961214FK4=
2023-02-27,101.549,101.759,961214FK4=
2023-02-28,101.439,101.648,961214FK4=
2023-03-01,101.134,101.342,961214FK4=
2023-03-02,101.093,101.301,961214FK4=
2023-03-03,101.179,101.387,961214FK4=
2023-03-06,101.194,101.402,961214FK4=
2023-03-07,101.038,101.246,961214FK4=
2023-03-08,100.828,101.034,961214FK4=
2023-03-09,101.489,101.698,961214FK4=
2023-03-10,101.995,102.204,961214FK4=
2023-03-13,103.298,103.51,961214FK4=
2023-03-14,101.909,102.118,961214FK4=
2023-03-15,101.949,102.158,961214FK4=
2023-03-16,101.774,101.982,961214FK4=
2023-03-17,103.283,103.495,961214FK4=
2023-03-20,102.378,102.588,961214FK4=
2023-03-21,102.688,102.898,961214FK4=
2023-03-22,103.604,103.816,961214FK4=
2023-03-23,104.053,104.266,961214FK4=
2023-03-24,104.08,104.292,961214FK4=
2023-03-27,103.416,103.627,961214FK4=
2023-03-28,103.091,103.301,961214FK4=
2023-03-29,103.117,103.327,961214FK4=
2023-03-30,103.109,103.319,961214FK4=
2023-03-31,104.088,104.3,961214FK4=
2023-04-03,104.506,104.719,961214FK4=
2023-04-04,104.44,104.653,961214FK4=
2023-04-05,104.466,104.678,961214FK4=
2023-04-06,104.235,104.447,961214FK4=
2023-04-07,103.623,103.833,961214FK4=
2023-04-10,103.593,103.803,961214FK4=
2023-04-11,103.591,103.801,961214FK4=
2023-04-12,104.135,104.346,961214FK4=
2023-04-13,103.713,103.923,961214FK4=
2023-04-14,103.264,103.472,961214FK4=
2023-04-17,102.838,103.046,961214FK4=
2023-04-18,103.032,103.239,961214FK4=
2023-04-19,102.857,103.064,961214FK4=
2023-04-20,103.16,103.368,961214FK4=
2023-04-21,103.16,103.367,961214FK4=
2023-04-24,103.5,103.708,961214FK4=
2023-04-25,103.541,103.749,961214FK4=
2023-04-26,103.434,103.642,961214FK4=
2023-04-27,102.957,103.163,961214FK4=
2023-04-28,103.356,103.563,961214FK4=
2023-05-01,103.396,103.604,961214FK4=
2023-05-02,103.788,103.996,961214FK4=
2023-05-03,104.31,104.519,961214FK4=
2023-05-04,104.152,104.36,961214FK4=
2023-05-05,103.797,104.004,961214FK4=
2023-05-08,103.472,103.678,961214FK4=
2023-05-09,103.548,103.754,961214FK4=
2023-05-10,104.061,104.269,961214FK4=
2023-05-11,104.251,104.459,961214FK4=
2023-05-12,104.038,104.245,961214FK4=
2023-05-15,103.645,103.851,961214FK4=
2023-05-16,103.392,103.597,961214FK4=
2023-05-17,103.138,103.342,961214FK4=
2023-05-18,102.727,102.931,961214FK4=
2023-05-19,102.546,102.749,961214FK4=
2023-05-22,102.41,102.613,961214FK4=
2023-05-23,102.496,102.698,961214FK4=
2023-05-24,102.164,102.366,961214FK4=
2023-05-25,101.782,101.982,961214FK4=
2023-05-26,101.689,101.889,961214FK4=
2023-05-29,101.686,101.886,961214FK4=
2023-05-30,102.197,102.398,961214FK4=
2023-05-31,102.431,102.633,961214FK4=
2023-06-01,103.158,103.361,961214FK4=
2023-06-02,102.654,102.856,961214FK4=
2023-06-05,102.751,102.953,961214FK4=
2023-06-06,102.7,102.901,961214FK4=
2023-06-07,102.278,102.478,961214FK4=
2023-06-08,102.535,102.736,961214FK4=
2023-06-09,102.088,102.288,961214FK4=
2023-06-12,102.166,102.366,961214FK4=
2023-06-13,101.853,102.052,961214FK4=
2023-06-14,101.854,102.053,961214FK4=
2023-06-15,102.336,102.535,961214FK4=
2023-06-16,102.065,102.263,961214FK4=
2023-06-19,101.869,102.067,961214FK4=
2023-06-20,102.174,102.373,961214FK4=
2023-06-21,101.962,102.16,961214FK4=
2023-06-22,101.707,101.904,961214FK4=
2023-06-23,101.901,102.099,961214FK4=
2023-06-26,101.987,102.185,961214FK4=
2023-06-27,101.504,101.701,961214FK4=
2023-06-28,101.73,101.927,961214FK4=
2023-06-29,101.516,101.712,961214FK4=
2023-06-30,101.393,101.589,961214FK4=
2023-07-03,101.207,101.402,961214FK4=
2023-07-04,101.287,101.482,961214FK4=
2023-07-05,101.237,101.432,961214FK4=
2023-07-07,101.069,101.264,961214FK4=
2023-07-10,101.276,101.47,961214FK4=
2023-07-11,101.252,101.446,961214FK4=
2023-07-12,101.955,102.151,961214FK4=
2023-07-13,102.46,102.657,961214FK4=
2023-07-14,101.482,101.676,961214FK4=
2023-07-17,101.6,101.794,961214FK4=
2023-07-18,102.107,102.303,961214FK4=
2023-07-19,102.175,102.37,961214FK4=
2023-07-20,101.771,101.965,961214FK4=
2023-07-21,101.811,102.005,961214FK4=
