Date,BID,ASK,RIC
2023-01-19,100.524,100.7452,98105EAM9=
2023-01-20,100.1758,100.396,98105EAM9=
2023-01-23,100.4181,100.639,98105EAM9=
2023-01-24,100.4931,100.7142,98105EAM9=
2023-01-25,100.5678,100.789,98105EAM9=
2023-01-26,100.4166,100.637,98105EAM9=
2023-01-27,100.3638,100.5841,98105EAM9=
2023-01-30,100.157,100.3767,98105EAM9=
2023-01-31,100.7288,100.9498,98105EAM9=
2023-02-01,101.2462,101.4685,98105EAM9=
2023-02-02,101.2927,101.5148,98105EAM9=
2023-02-03,100.5811,100.8012,98105EAM9=
2023-02-06,99.802,100.02,98105EAM9=
2023-02-07,100.7253,100.9456,98105EAM9=
2023-02-08,100.9847,101.2055,98105EAM9=
2023-02-09,101.1945,101.4156,98105EAM9=
2023-02-10,100.4118,100.6307,98105EAM9=
2023-02-13,100.7092,100.9288,98105EAM9=
2023-02-14,100.302,100.5204,98105EAM9=
2023-02-15,100.171,100.389,98105EAM9=
2023-02-16,99.9922,100.2093,98105EAM9=
2023-02-17,100.2047,100.4222,98105EAM9=
2023-02-20,100.0172,100.2343,98105EAM9=
2023-02-21,99.5253,99.741,98105EAM9=
2023-02-22,99.1816,99.3963,98105EAM9=
2023-02-23,99.384,99.5989,98105EAM9=
2023-02-24,99.1914,99.4057,98105EAM9=
2023-02-27,99.3677,99.5821,98105EAM9=
2023-02-28,99.308,99.5222,98105EAM9=
2023-03-01,98.9966,99.2099,98105EAM9=
2023-03-02,98.5683,98.7802,98105EAM9=
2023-03-03,98.8408,99.0533,98105EAM9=
2023-03-06,98.8112,99.0235,98105EAM9=
2023-03-07,98.5514,98.7629,98105EAM9=
2023-03-08,98.4256,98.6367,98105EAM9=
2023-03-09,99.0903,99.3028,98105EAM9=
2023-03-10,99.8112,100.0254,98105EAM9=
2023-03-13,101.0842,101.3015,98105EAM9=
2023-03-14,100.3562,100.5715,98105EAM9=
2023-03-15,99.867,100.081,98105EAM9=
2023-03-16,99.1329,99.3447,98105EAM9=
2023-03-17,100.1078,100.322,98105EAM9=
2023-03-20,99.7791,99.9923,98105EAM9=
2023-03-21,99.08,99.2914,98105EAM9=
2023-03-22,99.9937,100.2073,98105EAM9=
2023-03-23,101.5197,101.7368,98105EAM9=
2023-03-24,101.3815,101.5981,98105EAM9=
2023-03-27,100.5496,100.764,98105EAM9=
2023-03-28,100.2244,100.4379,98105EAM9=
2023-03-29,100.3449,100.5587,98105EAM9=
2023-03-30,100.3922,100.6058,98105EAM9=
2023-03-31,100.8203,101.0349,98105EAM9=
2023-04-03,100.7148,100.929,98105EAM9=
2023-04-04,101.544,101.7601,98105EAM9=
2023-04-05,101.6114,101.8273,98105EAM9=
2023-04-06,101.8044,102.0206,98105EAM9=
2023-04-07,101.1858,101.4005,98105EAM9=
2023-04-10,101.1617,101.3762,98105EAM9=
2023-04-11,100.9814,101.1954,98105EAM9=
2023-04-12,101.4108,101.6257,98105EAM9=
2023-04-13,101.2638,101.478,98105EAM9=
2023-04-14,100.7546,100.9674,98105EAM9=
2023-04-17,100.3195,100.5312,98105EAM9=
2023-04-18,100.6305,100.8428,98105EAM9=
2023-04-19,100.5353,100.7473,98105EAM9=
2023-04-20,100.8406,101.053,98105EAM9=
2023-04-21,100.715,100.927,98105EAM9=
2023-04-24,101.0735,101.2863,98105EAM9=
2023-04-25,101.6361,101.8501,98105EAM9=
2023-04-26,101.4319,101.6453,98105EAM9=
2023-04-27,100.9469,101.1588,98105EAM9=
2023-04-28,101.3369,101.5496,98105EAM9=
2023-05-01,100.7623,100.9735,98105EAM9=
2023-05-02,101.4875,101.7004,98105EAM9=
2023-05-03,102.151,102.3654,98105EAM9=
2023-05-04,102.2532,102.4675,98105EAM9=
2023-05-05,101.636,101.8487,98105EAM9=
2023-05-08,101.4013,101.6133,98105EAM9=
2023-05-09,101.4621,101.6741,98105EAM9=
2023-05-10,101.9805,102.1937,98105EAM9=
2023-05-11,102.0609,102.274,98105EAM9=
2023-05-12,101.6612,101.8732,98105EAM9=
2023-05-15,101.5754,101.7871,98105EAM9=
2023-05-16,101.4755,101.6868,98105EAM9=
2023-05-17,100.9564,101.1663,98105EAM9=
2023-05-18,100.7881,100.9973,98105EAM9=
2023-05-19,100.7333,100.9422,98105EAM9=
2023-05-22,100.5986,100.8071,98105EAM9=
2023-05-23,100.7472,100.9559,98105EAM9=
2023-05-24,100.5402,100.7483,98105EAM9=
2023-05-25,100.0738,100.2803,98105EAM9=
2023-05-26,99.9814,100.1877,98105EAM9=
2023-05-29,99.9849,100.1912,98105EAM9=
2023-05-30,100.5456,100.7532,98105EAM9=
2023-05-31,100.5482,100.7557,98105EAM9=
2023-06-01,101.0222,101.2305,98105EAM9=
2023-06-02,100.1689,100.375,98105EAM9=
2023-06-05,100.2773,100.4836,98105EAM9=
2023-06-06,100.3093,100.5155,98105EAM9=
2023-06-07,99.821,100.0259,98105EAM9=
2023-06-08,100.1726,100.378,98105EAM9=
2023-06-09,99.9415,100.1463,98105EAM9=
2023-06-12,100.0145,100.2193,98105EAM9=
2023-06-13,99.7203,99.9243,98105EAM9=
2023-06-14,99.7657,99.9697,98105EAM9=
2023-06-15,100.0271,100.2313,98105EAM9=
2023-06-16,99.7605,99.9639,98105EAM9=
2023-06-19,99.5726,99.7756,98105EAM9=
2023-06-20,100.0211,100.2251,98105EAM9=
2023-06-21,99.9775,100.1812,98105EAM9=
2023-06-22,99.627,99.8296,98105EAM9=
2023-06-23,99.8652,100.0682,98105EAM9=
2023-06-26,99.9588,100.1619,98105EAM9=
2023-06-27,99.578,99.7801,98105EAM9=
2023-06-28,99.8644,100.0671,98105EAM9=
2023-06-29,99.2089,99.4097,98105EAM9=
2023-06-30,99.1245,99.3249,98105EAM9=
2023-07-03,98.9827,99.1826,98105EAM9=
2023-07-04,99.0916,99.2918,98105EAM9=
2023-07-05,98.8019,99.0013,98105EAM9=
2023-07-07,98.3372,98.535,98105EAM9=
2023-07-10,98.8183,99.0172,98105EAM9=
2023-07-11,98.9234,99.1224,98105EAM9=
2023-07-12,99.5772,99.7776,98105EAM9=
2023-07-13,100.0957,100.297,98105EAM9=
2023-07-14,99.6785,99.8787,98105EAM9=
2023-07-17,99.7978,99.9982,98105EAM9=
2023-07-18,99.6885,99.8885,98105EAM9=
2023-07-19,99.7657,99.9658,98105EAM9=
2023-07-20,99.2898,99.4884,98105EAM9=
2023-07-21,99.333,99.5316,98105EAM9=
