Date,BID,ASK,RIC
2022-03-25,99.084,99.162,AU200180470=
2022-03-28,99.015,99.093,AU200180470=
2022-03-29,99.042,99.12,AU200180470=
2022-03-30,99.133,99.211,AU200180470=
2022-03-31,99.125,99.203,AU200180470=
2022-04-01,98.95,99.027,AU200180470=
2022-04-04,98.996,99.073,AU200180470=
2022-04-05,98.862,98.939,AU200180470=
2022-04-06,98.881,98.958,AU200180470=
2022-04-07,98.938,99.014,AU200180470=
2022-04-08,98.864,98.94,AU200180470=
2022-04-11,98.878,98.954,AU200180470=
2022-04-12,99.009,99.085,AU200180470=
2022-04-13,99.084,99.16,AU200180470=
2022-04-14,98.951,99.026,AU200180470=
2022-04-15,98.967,99.042,AU200180470=
2022-04-18,98.948,99.023,AU200180470=
2022-04-19,98.764,98.839,AU200180470=
2022-04-20,98.767,98.842,AU200180470=
2022-04-21,98.65,98.724,AU200180470=
2022-04-22,98.616,98.69,AU200180470=
2022-04-25,98.679,98.753,AU200180470=
2022-04-26,98.856,98.93,AU200180470=
2022-04-27,98.789,98.863,AU200180470=
2022-04-28,98.753,98.826,AU200180470=
2022-04-29,98.61,98.683,AU200180470=
2022-05-02,98.626,98.699,AU200180470=
2022-05-03,98.543,98.616,AU200180470=
2022-05-04,98.724,98.797,AU200180470=
2022-05-05,98.68,98.752,AU200180470=
2022-05-06,98.67,98.742,AU200180470=
2022-05-09,98.826,98.898,AU200180470=
2022-05-10,98.465,98.537,AU200180470=
2022-05-11,98.397,98.469,AU200180470=
2022-05-12,98.502,98.573,AU200180470=
2022-05-13,98.42,98.491,AU200180470=
2022-05-16,98.474,98.545,AU200180470=
2022-05-17,98.337,98.408,AU200180470=
2022-05-18,98.305,98.376,AU200180470=
2022-05-19,98.396,98.466,AU200180470=
2022-05-20,98.433,98.503,AU200180470=
2022-05-23,98.389,98.459,AU200180470=
2022-05-24,98.402,98.472,AU200180470=
2022-05-25,98.547,98.617,AU200180470=
2022-05-26,98.703,98.773,AU200180470=
2022-05-27,98.604,98.674,AU200180470=
2022-05-30,98.489,98.558,AU200180470=
2022-05-31,98.505,98.574,AU200180470=
2022-06-01,98.39,98.459,AU200180470=
2022-06-02,98.464,98.533,AU200180470=
2022-06-03,98.499,98.568,AU200180470=
2022-06-06,98.344,98.412,AU200180470=
2022-06-07,98.343,98.411,AU200180470=
2022-06-08,98.315,98.383,AU200180470=
2022-06-09,98.237,98.304,AU200180470=
2022-06-10,97.937,98.004,AU200180470=
2022-06-13,97.392,97.458,AU200180470=
2022-06-14,97.261,97.327,AU200180470=
2022-06-15,97.664,97.73,AU200180470=
2022-06-16,97.812,97.878,AU200180470=
2022-06-17,97.694,97.76,AU200180470=
2022-06-20,97.613,97.679,AU200180470=
2022-06-21,97.711,97.777,AU200180470=
2022-06-22,97.877,97.943,AU200180470=
2022-06-23,97.846,97.911,AU200180470=
2022-06-24,97.84,97.905,AU200180470=
2022-06-27,97.793,97.858,AU200180470=
2022-06-28,97.755,97.82,AU200180470=
2022-06-29,97.91,97.975,AU200180470=
2022-06-30,97.879,97.943,AU200180470=
2022-07-01,98.039,98.103,AU200180470=
2022-07-04,97.99,98.054,AU200180470=
2022-07-05,98.028,98.092,AU200180470=
2022-07-06,98.051,98.115,AU200180470=
2022-07-07,98.0,98.064,AU200180470=
2022-07-08,97.886,97.949,AU200180470=
2022-07-11,97.979,98.042,AU200180470=
2022-07-12,97.969,98.032,AU200180470=
2022-07-13,97.798,97.861,AU200180470=
2022-07-14,97.812,97.874,AU200180470=
2022-07-15,97.86,97.922,AU200180470=
2022-07-18,97.854,97.916,AU200180470=
2022-07-19,97.767,97.829,AU200180470=
2022-07-20,97.816,97.878,AU200180470=
2022-07-21,97.953,98.015,AU200180470=
2022-07-22,98.139,98.201,AU200180470=
2022-07-25,98.001,98.062,AU200180470=
2022-07-26,97.997,98.058,AU200180470=
2022-07-27,98.088,98.149,AU200180470=
2022-07-28,98.147,98.208,AU200180470=
2022-07-29,98.166,98.227,AU200180470=
2022-08-01,98.198,98.259,AU200180470=
2022-08-02,98.009,98.069,AU200180470=
2022-08-03,98.015,98.075,AU200180470=
2022-08-04,98.053,98.113,AU200180470=
2022-08-05,97.89,97.95,AU200180470=
2022-08-08,97.831,97.891,AU200180470=
2022-08-09,97.794,97.853,AU200180470=
2022-08-10,97.85,97.909,AU200180470=
2022-08-11,97.922,97.981,AU200180470=
2022-08-12,97.868,97.927,AU200180470=
2022-08-15,97.871,97.93,AU200180470=
2022-08-16,97.878,97.937,AU200180470=
2022-08-17,97.82,97.878,AU200180470=
2022-08-18,97.907,97.965,AU200180470=
2022-08-19,97.935,97.993,AU200180470=
2022-08-22,97.829,97.887,AU200180470=
2022-08-23,97.85,97.908,AU200180470=
2022-08-24,97.746,97.803,AU200180470=
2022-08-25,97.793,97.85,AU200180470=
2022-08-26,97.786,97.843,AU200180470=
2022-08-29,97.724,97.781,AU200180470=
2022-08-30,97.73,97.787,AU200180470=
2022-08-31,97.633,97.689,AU200180470=
2022-09-01,97.629,97.685,AU200180470=
2022-09-02,97.724,97.78,AU200180470=
2022-09-05,97.668,97.724,AU200180470=
2022-09-06,97.722,97.778,AU200180470=
2022-09-07,97.763,97.819,AU200180470=
2022-09-08,97.69,97.745,AU200180470=
2022-09-09,97.628,97.683,AU200180470=
2022-09-12,97.681,97.736,AU200180470=
2022-09-13,97.461,97.516,AU200180470=
2022-09-14,97.421,97.475,AU200180470=
2022-09-15,97.369,97.423,AU200180470=
2022-09-16,97.35,97.404,AU200180470=
2022-09-19,97.3,97.354,AU200180470=
