Date,BID,ASK,RIC
2021-07-29,99.994,100.142,CA0641596E1=
2021-07-30,100.139,100.288,CA0641596E1=
2021-08-03,100.166,100.314,CA0641596E1=
2021-08-04,100.021,100.169,CA0641596E1=
2021-08-05,100.0,100.147,CA0641596E1=
2021-08-06,99.932,100.079,CA0641596E1=
2021-08-09,99.894,100.041,CA0641596E1=
2021-08-10,99.815,99.962,CA0641596E1=
2021-08-11,99.801,99.947,CA0641596E1=
2021-08-12,99.769,99.915,CA0641596E1=
2021-08-13,99.854,100.0,CA0641596E1=
2021-08-16,99.869,100.015,CA0641596E1=
2021-08-17,99.86,100.006,CA0641596E1=
2021-08-18,99.86,100.006,CA0641596E1=
2021-08-19,99.802,99.948,CA0641596E1=
2021-08-20,99.78,99.924,CA0641596E1=
2021-08-23,99.809,99.953,CA0641596E1=
2021-08-24,99.771,99.916,CA0641596E1=
2021-08-25,99.754,99.899,CA0641596E1=
2021-08-26,99.743,99.886,CA0641596E1=
2021-08-27,99.856,100.0,CA0641596E1=
2021-08-30,100.011,100.156,CA0641596E1=
2021-08-31,99.807,99.951,CA0641596E1=
2021-09-01,99.779,99.922,CA0641596E1=
2021-09-02,99.788,99.931,CA0641596E1=
2021-09-03,99.98,100.123,CA0641596E1=
2021-09-07,99.888,100.031,CA0641596E1=
2021-09-08,99.963,100.106,CA0641596E1=
2021-09-09,100.006,100.148,CA0641596E1=
2021-09-10,99.897,100.04,CA0641596E1=
2021-09-13,99.826,99.969,CA0641596E1=
2021-09-14,99.849,99.991,CA0641596E1=
2021-09-15,99.835,99.977,CA0641596E1=
2021-09-16,99.776,99.918,CA0641596E1=
2021-09-17,99.774,99.915,CA0641596E1=
2021-09-20,99.811,99.952,CA0641596E1=
2021-09-21,99.839,99.98,CA0641596E1=
2021-09-22,99.749,99.89,CA0641596E1=
2021-09-23,99.699,99.84,CA0641596E1=
2021-09-24,99.686,99.826,CA0641596E1=
2021-09-27,99.647,99.787,CA0641596E1=
2021-09-28,99.565,99.705,CA0641596E1=
2021-09-29,99.645,99.784,CA0641596E1=
2021-09-30,99.793,99.933,CA0641596E1=
2021-10-01,99.819,99.958,CA0641596E1=
2021-10-04,99.774,99.913,CA0641596E1=
2021-10-05,99.73,99.869,CA0641596E1=
2021-10-06,99.678,99.816,CA0641596E1=
2021-10-07,99.604,99.742,CA0641596E1=
2021-10-08,99.558,99.696,CA0641596E1=
2021-10-12,99.489,99.627,CA0641596E1=
2021-10-13,99.355,99.493,CA0641596E1=
2021-10-14,99.393,99.53,CA0641596E1=
2021-10-15,99.249,99.385,CA0641596E1=
2021-10-18,99.148,99.285,CA0641596E1=
2021-10-19,99.179,99.315,CA0641596E1=
2021-10-20,99.186,99.322,CA0641596E1=
2021-10-21,98.988,99.123,CA0641596E1=
2021-10-22,99.037,99.173,CA0641596E1=
2021-10-25,99.108,99.244,CA0641596E1=
2021-10-26,99.074,99.209,CA0641596E1=
2021-10-27,99.046,99.18,CA0641596E1=
2021-10-28,99.069,99.204,CA0641596E1=
2021-10-29,99.091,99.226,CA0641596E1=
2021-11-01,99.044,99.178,CA0641596E1=
2021-11-02,99.179,99.313,CA0641596E1=
2021-11-03,98.904,99.038,CA0641596E1=
2021-11-04,99.223,99.356,CA0641596E1=
2021-11-05,99.309,99.443,CA0641596E1=
2021-11-08,99.163,99.296,CA0641596E1=
2021-11-09,99.199,99.332,CA0641596E1=
2021-11-10,98.88,99.013,CA0641596E1=
2021-11-11,98.781,98.913,CA0641596E1=
2021-11-12,98.882,99.014,CA0641596E1=
2021-11-15,98.832,98.965,CA0641596E1=
2021-11-16,98.821,98.952,CA0641596E1=
2021-11-17,98.898,99.03,CA0641596E1=
2021-11-18,98.907,99.038,CA0641596E1=
2021-11-19,98.853,98.984,CA0641596E1=
2021-11-22,98.498,98.629,CA0641596E1=
2021-11-23,98.506,98.637,CA0641596E1=
2021-11-24,98.469,98.599,CA0641596E1=
2021-11-25,98.455,98.585,CA0641596E1=
2021-11-26,98.869,98.999,CA0641596E1=
2021-11-29,98.917,99.047,CA0641596E1=
2021-11-30,98.785,98.915,CA0641596E1=
2021-12-01,98.649,98.779,CA0641596E1=
2021-12-02,98.465,98.594,CA0641596E1=
2021-12-03,98.549,98.678,CA0641596E1=
2021-12-06,98.432,98.561,CA0641596E1=
2021-12-07,98.28,98.408,CA0641596E1=
2021-12-08,98.169,98.297,CA0641596E1=
2021-12-09,98.162,98.289,CA0641596E1=
2021-12-10,98.245,98.373,CA0641596E1=
2021-12-13,98.436,98.563,CA0641596E1=
2021-12-14,98.363,98.491,CA0641596E1=
2021-12-15,98.365,98.492,CA0641596E1=
2021-12-16,98.558,98.685,CA0641596E1=
2021-12-17,98.506,98.633,CA0641596E1=
2021-12-20,98.528,98.655,CA0641596E1=
2021-12-21,98.651,98.779,CA0641596E1=
2021-12-22,98.501,98.627,CA0641596E1=
2021-12-23,98.442,98.568,CA0641596E1=
2021-12-24,98.441,98.567,CA0641596E1=
2021-12-29,98.415,98.54,CA0641596E1=
2021-12-30,98.492,98.617,CA0641596E1=
2021-12-31,98.479,98.604,CA0641596E1=
2022-01-04,98.355,98.48,CA0641596E1=
2022-01-05,98.18,98.304,CA0641596E1=
2022-01-06,98.052,98.176,CA0641596E1=
2022-01-07,98.0,98.124,CA0641596E1=
2022-01-10,97.94,98.064,CA0641596E1=
2022-01-11,97.962,98.086,CA0641596E1=
2022-01-12,97.824,97.947,CA0641596E1=
2022-01-13,97.932,98.054,CA0641596E1=
2022-01-14,97.758,97.88,CA0641596E1=
2022-01-17,97.633,97.755,CA0641596E1=
2022-01-18,97.536,97.658,CA0641596E1=
2022-01-19,97.721,97.843,CA0641596E1=
2022-01-20,97.772,97.894,CA0641596E1=
2022-01-21,97.777,97.899,CA0641596E1=
2022-01-24,97.908,98.03,CA0641596E1=
2022-01-25,97.823,97.944,CA0641596E1=
2022-01-26,97.587,97.707,CA0641596E1=
