Date,BID,ASK,RIC
2022-10-20,99.74,,CA254771767=
2022-10-21,99.71,,CA254771767=
2022-10-24,99.73,,CA254771767=
2022-10-25,99.72,,CA254771767=
2022-10-26,99.74,,CA254771767=
2022-10-27,99.77,,CA254771767=
2022-10-28,99.79,,CA254771767=
2022-10-31,99.73,,CA254771767=
2022-11-01,99.66,,CA254771767=
2022-11-02,99.62,,CA254771767=
2022-11-03,99.61,,CA254771767=
2022-11-04,99.53,,CA254771767=
2022-11-07,99.51,,CA254771767=
2022-11-08,99.5,,CA254771767=
2022-11-09,99.52,,CA254771767=
2022-11-10,99.54,,CA254771767=
2022-11-11,99.68,,CA254771767=
2022-11-14,99.61,,CA254771767=
2022-11-15,99.58,,CA254771767=
2022-11-16,99.6,,CA254771767=
2022-11-17,99.58,,CA254771767=
2022-11-18,99.51,,CA254771767=
2022-11-21,99.5,,CA254771767=
2022-11-22,99.45,,CA254771767=
2022-11-23,99.44,,CA254771767=
2022-11-24,99.45,,CA254771767=
2022-11-25,99.45,,CA254771767=
2022-11-28,99.43,,CA254771767=
2022-11-29,99.43,,CA254771767=
2022-11-30,99.43,,CA254771767=
2022-12-01,99.39,,CA254771767=
2022-12-02,99.46,,CA254771767=
2022-12-05,99.43,,CA254771767=
2022-12-06,99.41,,CA254771767=
2022-12-07,99.39,,CA254771767=
2022-12-08,99.43,,CA254771767=
2022-12-09,99.41,,CA254771767=
2022-12-12,99.39,,CA254771767=
2022-12-13,99.37,,CA254771767=
2022-12-14,99.45,,CA254771767=
2022-12-15,99.47,,CA254771767=
2022-12-16,99.41,,CA254771767=
2022-12-19,99.42,,CA254771767=
2022-12-20,99.4,,CA254771767=
2022-12-21,99.38,,CA254771767=
2022-12-22,99.4,,CA254771767=
2022-12-23,99.39,,CA254771767=
2022-12-28,99.34,,CA254771767=
2022-12-29,99.34,,CA254771767=
2022-12-30,99.35,,CA254771767=
2023-01-03,99.35,,CA254771767=
2023-01-04,99.34,,CA254771767=
2023-01-05,99.34,,CA254771767=
2023-01-06,99.29,,CA254771767=
2023-01-09,99.36,,CA254771767=
2023-01-10,99.35,,CA254771767=
2023-01-11,99.35,,CA254771767=
2023-01-12,99.37,,CA254771767=
2023-01-13,99.4,,CA254771767=
2023-01-16,99.41,,CA254771767=
2023-01-17,99.39,,CA254771767=
2023-01-18,99.39,,CA254771767=
2023-01-19,99.4,,CA254771767=
2023-01-20,99.4,,CA254771767=
2023-01-23,99.4,,CA254771767=
2023-01-24,99.39,,CA254771767=
2023-01-25,99.38,,CA254771767=
2023-01-26,99.41,,CA254771767=
2023-01-27,99.4,,CA254771767=
2023-01-30,99.4,,CA254771767=
2023-01-31,99.39,,CA254771767=
2023-02-01,99.41,,CA254771767=
2023-02-02,99.42,,CA254771767=
2023-02-03,99.45,,CA254771767=
2023-02-06,99.39,,CA254771767=
2023-02-07,99.32,,CA254771767=
2023-02-08,99.32,,CA254771767=
2023-02-09,99.32,,CA254771767=
2023-02-10,99.33,,CA254771767=
2023-02-13,99.31,,CA254771767=
2023-02-14,99.3,,CA254771767=
2023-02-15,99.28,,CA254771767=
2023-02-16,99.28,,CA254771767=
2023-02-17,99.29,,CA254771767=
2023-02-20,99.27,,CA254771767=
2023-02-21,99.26,,CA254771767=
2023-02-22,99.25,,CA254771767=
2023-02-23,99.25,,CA254771767=
2023-02-24,99.24,,CA254771767=
2023-02-27,99.22,,CA254771767=
2023-02-28,99.24,,CA254771767=
2023-03-01,99.24,,CA254771767=
2023-03-02,99.19,,CA254771767=
2023-03-03,99.19,,CA254771767=
2023-03-06,99.19,,CA254771767=
2023-03-08,99.14,,CA254771767=
2023-03-09,99.1,,CA254771767=
2023-03-10,99.1,,CA254771767=
2023-03-13,99.24,,CA254771767=
2023-03-14,99.47,,CA254771767=
2023-03-15,99.48,,CA254771767=
2023-03-16,99.74,,CA254771767=
2023-03-17,99.52,,CA254771767=
2023-03-20,99.62,,CA254771767=
2023-03-21,99.59,,CA254771767=
2023-03-22,99.48,,CA254771767=
2023-03-23,99.47,,CA254771767=
2023-03-24,99.53,,CA254771767=
2023-03-27,99.6,,CA254771767=
2023-03-28,99.54,,CA254771767=
2023-03-29,99.49,,CA254771767=
2023-03-30,99.52,,CA254771767=
2023-03-31,99.48,,CA254771767=
2023-04-03,99.46,,CA254771767=
2023-04-04,99.46,,CA254771767=
2023-04-05,99.52,,CA254771767=
2023-04-06,99.56,,CA254771767=
2023-04-11,99.56,,CA254771767=
2023-04-12,99.48,,CA254771767=
2023-04-13,99.48,,CA254771767=
2023-04-14,99.5,,CA254771767=
2023-04-17,99.45,,CA254771767=
2023-04-18,99.44,,CA254771767=
2023-04-19,99.44,,CA254771767=
2023-04-20,99.43,,CA254771767=
2023-04-21,99.44,,CA254771767=
2023-04-24,99.44,,CA254771767=
2023-04-25,99.45,,CA254771767=
2023-04-26,99.47,,CA254771767=
2023-04-27,99.5,,CA254771767=
2023-04-28,99.45,,CA254771767=
2023-05-02,99.47,,CA254771767=
2023-05-03,99.5,,CA254771767=
2023-05-04,99.49,,CA254771767=
2023-05-05,99.48,,CA254771767=
2023-05-09,99.5,,CA254771767=
2023-05-10,99.49,,CA254771767=
2023-05-11,99.5,,CA254771767=
2023-05-12,99.51,,CA254771767=
2023-05-15,99.51,,CA254771767=
2023-05-16,99.51,,CA254771767=
2023-05-17,99.5,,CA254771767=
2023-05-18,99.5,,CA254771767=
2023-05-19,99.47,,CA254771767=
2023-05-22,99.48,,CA254771767=
2023-05-23,99.48,,CA254771767=
2023-05-24,99.48,,CA254771767=
2023-05-25,99.47,,CA254771767=
2023-05-26,99.45,,CA254771767=
2023-05-30,99.44,,CA254771767=
2023-05-31,99.45,,CA254771767=
2023-06-01,99.45,,CA254771767=
2023-06-02,99.49,,CA254771767=
2023-06-05,99.49,,CA254771767=
2023-06-06,99.51,,CA254771767=
2023-06-07,99.5,,CA254771767=
2023-06-08,99.5,,CA254771767=
2023-06-09,99.51,,CA254771767=
2023-06-12,99.51,,CA254771767=
2023-06-13,99.51,,CA254771767=
2023-06-14,99.53,,CA254771767=
2023-06-15,99.53,,CA254771767=
2023-06-16,99.53,,CA254771767=
2023-06-20,99.55,,CA254771767=
2023-06-21,99.56,,CA254771767=
2023-06-22,99.55,,CA254771767=
2023-06-23,99.56,,CA254771767=
2023-06-26,99.57,,CA254771767=
2023-06-27,99.57,,CA254771767=
2023-06-28,99.6,,CA254771767=
2023-06-29,99.6,,CA254771767=
2023-06-30,99.58,,CA254771767=
2023-07-03,99.58,,CA254771767=
2023-07-04,99.6,,CA254771767=
2023-07-05,99.6,,CA254771767=
2023-07-06,99.59,,CA254771767=
2023-07-07,99.6,,CA254771767=
2023-07-10,99.59,,CA254771767=
2023-07-11,99.6,,CA254771767=
2023-07-12,99.61,,CA254771767=
2023-07-13,99.61,,CA254771767=
2023-07-14,99.61,,CA254771767=
2023-07-17,99.61,,CA254771767=
2023-07-18,99.63,,CA254771767=
2023-07-19,99.63,,CA254771767=
2023-07-20,99.63,,CA254771767=
2023-07-21,99.63,,CA254771767=
