Date,BID,ASK,RIC
2022-09-26,76.407,77.004,CH241924505=
2022-09-27,76.288,76.884,CH241924505=
2022-09-28,76.352,76.948,CH241924505=
2022-09-29,76.114,76.707,CH241924505=
2022-09-30,75.842,76.433,CH241924505=
2022-10-03,74.601,75.18,CH241924505=
2022-10-04,71.56,72.11,CH241924505=
2022-10-05,68.262,68.782,CH241924505=
2022-10-06,65.107,65.597,CH241924505=
2022-10-07,64.822,65.309,CH241924505=
2022-10-10,64.468,64.952,CH241924505=
2022-10-11,64.553,65.038,CH241924505=
2022-10-12,64.778,65.265,CH241924505=
2022-10-13,63.996,64.475,CH241924505=
2022-10-14,64.219,64.7,CH241924505=
2022-10-17,64.274,64.756,CH241924505=
2022-10-18,64.305,64.787,CH241924505=
2022-10-19,63.688,64.164,CH241924505=
2022-10-20,63.549,64.023,CH241924505=
2022-10-21,63.175,63.646,CH241924505=
2022-10-24,63.211,63.682,CH241924505=
2022-10-25,63.913,64.39,CH241924505=
2022-10-26,62.722,63.188,CH241924505=
2022-10-27,63.084,63.553,CH241924505=
2022-10-28,62.722,63.188,CH241924505=
2022-10-31,62.544,63.008,CH241924505=
2022-11-01,62.561,63.025,CH241924505=
2022-11-02,62.347,62.809,CH241924505=
2022-11-03,62.126,62.586,CH241924505=
2022-11-04,62.061,62.52,CH241924505=
2022-11-07,61.827,62.284,CH241924505=
2022-11-08,62.237,62.697,CH241924505=
2022-11-09,62.41,62.871,CH241924505=
2022-11-10,63.759,64.232,CH241924505=
2022-11-11,63.576,64.048,CH241924505=
2022-11-14,63.513,63.984,CH241924505=
2022-11-15,63.944,64.419,CH241924505=
2022-11-16,64.346,64.824,CH241924505=
2022-11-17,64.017,64.492,CH241924505=
2022-11-18,63.727,64.199,CH241924505=
2022-11-21,63.674,64.146,CH241924505=
2022-11-22,64.076,64.551,CH241924505=
2022-11-23,64.426,64.904,CH241924505=
2022-11-24,64.558,65.037,CH241924505=
2022-11-25,64.433,64.911,CH241924505=
2022-11-28,64.479,64.957,CH241924505=
2022-11-29,64.168,64.643,CH241924505=
2022-11-30,64.838,65.319,CH241924505=
2022-12-01,65.346,65.831,CH241924505=
2022-12-02,65.45,65.936,CH241924505=
2022-12-05,65.0,65.482,CH241924505=
2022-12-06,65.272,65.756,CH241924505=
2022-12-07,65.817,66.306,CH241924505=
2022-12-08,65.509,65.995,CH241924505=
2022-12-09,65.04,65.521,CH241924505=
2022-12-12,64.803,65.282,CH241924505=
2022-12-13,65.358,65.842,CH241924505=
2022-12-14,65.471,65.956,CH241924505=
2022-12-15,65.634,66.12,CH241924505=
2022-12-16,65.477,65.961,CH241924505=
2022-12-19,64.995,65.475,CH241924505=
2022-12-20,64.498,64.973,CH241924505=
2022-12-21,64.605,65.081,CH241924505=
2022-12-22,64.583,65.058,CH241924505=
2022-12-23,64.275,64.747,CH241924505=
2022-12-26,64.293,64.765,CH241924505=
2022-12-27,64.395,64.868,CH241924505=
2022-12-28,64.224,64.696,CH241924505=
2022-12-29,64.553,65.027,CH241924505=
2022-12-30,64.278,64.75,CH241924505=
2023-01-02,64.508,64.982,CH241924505=
2023-01-03,64.881,65.358,CH241924505=
2023-01-04,65.184,65.663,CH241924505=
2023-01-05,65.083,65.561,CH241924505=
2023-01-06,65.839,66.324,CH241924505=
2023-01-09,66.035,66.521,CH241924505=
2023-01-10,65.623,66.105,CH241924505=
2023-01-11,65.963,66.448,CH241924505=
2023-01-12,66.474,66.963,CH241924505=
2023-01-13,66.228,66.715,CH241924505=
2023-01-16,66.013,66.498,CH241924505=
2023-01-17,65.969,66.454,CH241924505=
2023-01-18,66.823,67.315,CH241924505=
2023-01-19,66.738,67.229,CH241924505=
2023-01-20,66.336,66.823,CH241924505=
2023-01-23,66.15,66.635,CH241924505=
2023-01-24,66.477,66.965,CH241924505=
2023-01-25,66.514,67.002,CH241924505=
2023-01-26,66.268,66.754,CH241924505=
2023-01-27,66.236,66.721,CH241924505=
2023-01-30,66.091,66.575,CH241924505=
2023-01-31,66.258,66.743,CH241924505=
2023-02-01,66.775,67.265,CH241924505=
2023-02-02,66.805,67.295,CH241924505=
2023-02-03,66.225,66.709,CH241924505=
2023-02-06,65.756,66.236,CH241924505=
2023-02-07,65.586,66.064,CH241924505=
2023-02-08,65.89,66.371,CH241924505=
2023-02-09,65.696,66.175,CH241924505=
2023-02-10,65.308,65.783,CH241924505=
2023-02-13,65.515,65.992,CH241924505=
2023-02-14,65.266,65.741,CH241924505=
2023-02-15,65.767,66.246,CH241924505=
2023-02-16,65.5,65.976,CH241924505=
2023-02-17,65.726,66.204,CH241924505=
2023-02-20,65.904,66.384,CH241924505=
2023-02-21,65.377,65.852,CH241924505=
2023-02-22,65.769,66.247,CH241924505=
2023-02-23,65.957,66.436,CH241924505=
2023-02-24,65.712,66.189,CH241924505=
2023-02-27,66.187,66.668,CH241924505=
2023-02-28,66.184,66.665,CH241924505=
2023-03-01,65.867,66.345,CH241924505=
2023-03-02,65.575,66.05,CH241924505=
2023-03-03,66.067,66.546,CH241924505=
2023-03-06,66.055,66.534,CH241924505=
2023-03-07,66.033,66.512,CH241924505=
2023-03-08,65.96,66.438,CH241924505=
2023-03-09,66.363,66.844,CH241924505=
2023-03-10,66.639,67.122,CH241924505=
2023-03-13,67.403,67.893,CH241924505=
2023-03-14,66.731,67.215,CH241924505=
2023-03-15,34.156,34.366,CH241924505=
2023-03-16,34.182,34.392,CH241924505=
2023-03-17,34.191,34.401,CH241924505=
2023-03-20,34.2,34.41,CH241924505=
2023-03-21,34.208,34.418,CH241924505=
2023-03-22,34.217,34.428,CH241924505=
2023-03-23,34.243,34.454,CH241924505=
2023-03-24,34.252,34.463,CH241924505=
2023-03-27,34.261,34.472,CH241924505=
2023-03-28,57.893,58.298,CH241924505=
2023-03-29,57.886,58.291,CH241924505=
2023-03-30,57.918,58.323,CH241924505=
2023-03-31,57.926,58.331,CH241924505=
2023-04-03,57.934,58.339,CH241924505=
2023-04-04,57.942,58.347,CH241924505=
2023-04-05,57.984,58.389,CH241924505=
2023-04-06,57.992,58.397,CH241924505=
2023-04-07,57.992,58.397,CH241924505=
2023-04-10,57.992,58.397,CH241924505=
2023-04-11,58.0,58.405,CH241924505=
2023-04-12,58.008,58.413,CH241924505=
2023-04-13,58.033,58.438,CH241924505=
2023-04-14,58.042,58.447,CH241924505=
2023-04-17,58.05,58.454,CH241924505=
2023-04-18,58.058,58.462,CH241924505=
2023-04-19,58.067,58.471,CH241924505=
2023-04-20,58.091,58.495,CH241924505=
2023-04-21,58.1,58.504,CH241924505=
2023-04-24,58.108,58.512,CH241924505=
2023-04-25,58.116,58.52,CH241924505=
2023-04-26,58.125,58.529,CH241924505=
2023-04-27,58.158,58.562,CH241924505=
2023-04-28,58.167,58.571,CH241924505=
2023-05-01,58.167,58.571,CH241924505=
2023-05-02,58.175,58.579,CH241924505=
2023-05-03,58.183,58.587,CH241924505=
2023-05-04,58.208,58.612,CH241924505=
2023-05-05,58.217,58.621,CH241924505=
2023-05-08,58.225,58.629,CH241924505=
2023-05-09,58.234,58.638,CH241924505=
2023-05-10,58.242,58.646,CH241924505=
2023-05-11,64.462,64.918,CH241924505=
2023-05-12,64.078,64.531,CH241924505=
2023-05-15,63.892,64.343,CH241924505=
2023-05-16,63.72,64.169,CH241924505=
2023-05-17,63.565,64.013,CH241924505=
2023-05-18,63.204,63.649,CH241924505=
2023-05-19,63.035,63.478,CH241924505=
2023-05-22,62.883,63.325,CH241924505=
2023-05-23,63.018,63.461,CH241924505=
2023-05-24,62.78,63.22,CH241924505=
2023-05-25,62.392,62.829,CH241924505=
2023-05-26,62.459,62.896,CH241924505=
2023-05-29,62.591,63.029,CH241924505=
